fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-11-07,0,-9,0,0,0,-9
2023-11-08,0,-9,0,0,0,-9
2023-11-09,0,-9,0,0,0,-9
2023-11-10,0,-9,0,0,0,-9
2023-11-11,0,-9,0,0,0,-9
2023-11-12,0,-9,0,0,0,-9
2023-11-13,0,-9,0,0,0,-9
2023-11-14,32.0,-1055.6,1,0,1,5.0
2023-11-15,100,490.1,0,0,4,0.0
2023-11-16,100,11.5,0,0,7,0.0
2023-11-17,100.0,151.7,2,0,5,0.0
2023-11-18,100,120.9,0,0,9,5.0
2023-11-19,100.0,266.4,1,0,3,0.0
2023-11-20,100.0,-13.3,2,0,1,0.0
2023-11-21,100.0,214.9,1,0,2,0.0
2023-11-22,100.0,199.9,2,0,4,0.0
2023-11-23,100.0,226.4,2,0,0,0.0
2023-11-24,98.4,133.5,2,0,4,5.0
2023-11-25,100.0,187.7,1,0,1,0.0
2023-11-26,100,247.5,0,0,1,0.0
2023-11-27,100,33.8,0,0,0,15.0
2023-11-28,100.0,146.6,2,0,2,15.0
2023-11-29,100,205.0,0,0,0,10.0
2023-11-30,100.0,292.5,2,0,0,5.0
2023-12-01,100,131.6,0,0,0,15.0
2023-12-02,100,188.1,0,0,2,25.0
2023-12-03,100,225.7,0,0,2,20.0
2023-12-04,100.0,331.7,1,0,2,15.0
2023-12-05,100.0,264.5,1,0,2,15.0
2023-12-06,100,224.1,0,0,2,15.0
2023-12-07,100.0,84.1,1,0,4,10.0
2023-12-08,100,280.7,0,0,6,15.0
2023-12-09,100.0,267.2,1,0,0,15.0
2023-12-10,100,361.9,0,0,1,10.0
2023-12-11,100,35.0,0,0,0,5.0
2023-12-12,100,233.4,0,0,1,10.0
2023-12-13,100.0,124.7,1,0,0,10.0
2023-12-14,100.0,271.2,1,0,1,10.0
2023-12-15,100,331.6,0,0,5,0.0
2023-12-16,100.0,381.0,1,0,2,0.0
2023-12-17,100.0,169.2,1,0,3,0.0
2023-12-17,100.0,169.2,2,0,3,0.0
2023-12-18,100,127.1,0,1,3,0.0
2023-12-19,100.0,1024.6,1,0,2,5.0
2023-12-20,97.8,-176.1,2,0,2,5.0
2023-12-21,99.0,-164.8,2,0,2,10.0
2023-12-22,100,116.0,0,0,2,15.0
2023-12-23,100.0,99.2,1,0,1,15.0
2023-12-24,100,251.8,0,0,1,15.0
2023-12-25,100.0,254.8,1,0,0,5.0
2023-12-26,100,226.5,0,0,2,10.0
2023-12-27,100,130.3,0,0,0,0.0
2023-12-28,100,229.7,0,0,3,5.0
2023-12-29,95.7,186.8,2,0,0,5.0
2023-12-30,100,-0.4,0,0,1,15.0
2023-12-31,100,19.4,0,0,0,10.0
2024-01-01,100.0,74.2,1,0,8,20.0
2024-01-02,100.0,134.1,1,0,1,15.0
2024-01-03,100.0,260.8,1,0,0,10.0
2024-01-04,100,54.0,0,0,1,15.0
2024-01-05,100,79.6,0,0,1,10.0
2024-01-06,100.0,51.2,1,0,0,10.0
2024-01-07,100,179.4,0,0,1,10.0
2024-01-08,100,162.3,0,0,0,10.0
2024-01-09,100.0,301.2,2,0,0,10.0
2024-01-10,100.0,236.8,1,0,1,0.0
2024-01-11,100,296.7,0,0,0,0.0
2024-01-12,99.9,272.0,1,0,0,0.0
2024-01-13,100.0,339.1,1,0,0,0.0
2024-01-14,100.0,49.2,1,0,0,0.0
2024-01-15,100.0,105.7,1,0,2,10.0
2024-01-16,100,296.1,0,0,1,10.0
2024-01-17,100,148.4,0,0,0,10.0
2024-01-18,100,205.1,0,0,1,10.0
2024-01-19,100,275.2,0,0,1,5.0
2024-01-20,100.0,202.8,1,0,3,5.0
2024-01-21,100,110.0,0,0,2,5.0
2024-01-22,100.0,333.8,1,0,0,15.0
2024-01-23,100.0,304.3,1,0,0,15.0
2024-01-24,100,245.6,0,0,1,10.0
2024-01-25,100.0,179.3,3,0,0,10.0
2024-01-26,100.0,169.6,3,0,0,5.0
2024-01-27,100,109.0,0,0,0,5.0
2024-01-28,100,111.7,0,0,2,5.0
2024-01-29,100.0,217.4,7,0,0,5.0
2024-01-30,100,-31.2,0,0,1,0.0
2024-01-31,100.0,139.8,1,0,0,0.0
2024-02-01,100.0,317.4,1,0,3,0.0
2024-02-02,100.0,372.7,5,0,3,0.0
2024-02-03,100.0,-127.2,1,0,1,0.0
2024-02-04,100,-87.4,0,0,1,0.0
2024-02-05,100,513.1,0,0,1,0.0
2024-02-06,99.9,-341.2,2,1,3,0.0
2024-02-07,100,508.1,0,0,2,5.0
2024-02-08,100.0,437.8,2,0,2,0.0
2024-02-09,100.0,-671.6,1,0,1,0.0
2024-02-10,100.0,109.0,1,0,1,10.0
2024-02-11,100.0,322.4,1,0,0,15.0
2024-02-12,100.0,309.3,2,0,1,10.0
2024-02-13,98.4,139.8,2,0,2,5.0
2024-02-14,100.0,108.9,4,0,0,5.0
2024-02-15,100.0,156.3,1,0,1,10.0
2024-02-16,100.0,253.2,2,0,0,10.0
2024-02-17,100,143.9,0,0,0,5.0
2024-02-18,100,-13.9,0,0,4,0.0
2024-02-19,100.0,271.2,1,0,1,0.0
2024-02-20,100,225.2,0,0,2,5.0
2024-02-21,100,267.5,0,0,2,0.0
2024-02-22,100.0,1506.2,1,0,1,5.0
2024-02-23,100,930.9,0,0,3,5.0
2024-02-24,100,247.3,0,0,2,15.0
2024-02-25,100.0,206.9,1,0,5,5.0
2024-02-26,100,158.7,0,0,0,5.0
2024-02-27,100,46.3,0,1,0,5.0
2024-02-28,55.4,1042.7,1,0,2,20.0
