fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,598.7,1,0,1,0.0
2023-01-02,100,620.6,0,0,5,0.0
2023-01-03,100,623.0,0,0,7,0.0
2023-01-04,100,630.6,0,0,7,0.0
2023-01-05,100,630.7,0,0,11,0.0
2023-01-06,100,616.2,0,0,7,0.0
2023-01-07,100,596.4,0,0,6,0.0
2023-01-08,98.8,658.7,3,0,8,0.0
2023-01-09,100,624.4,0,0,1,0.0
2023-01-10,100,581.1,0,0,4,0.0
2023-01-11,99.6,651.7,1,0,2,0.0
2023-01-12,100,683.9,0,0,0,0.0
2023-01-13,100,655.6,0,0,3,0.0
2023-01-14,100,636.6,0,0,2,0.0
2023-01-15,100,626.3,0,0,2,0.0
2023-01-16,100,622.9,0,0,2,0.0
2023-01-17,100,636.8,0,0,3,0.0
2023-01-18,100,619.5,0,0,6,0.0
2023-01-19,99.6,628.3,1,0,5,0.0
2023-01-20,100,709.6,0,1,11,0.0
2023-01-21,100,733.8,0,0,3,0.0
2023-01-22,100,723.3,0,0,6,0.0
2023-01-23,100,707.0,0,0,8,0.0
2023-01-24,100,717.6,0,0,6,0.0
2023-01-25,100,738.5,0,2,11,0.0
2023-01-26,99.2,707.8,2,0,5,0.0
2023-01-27,100,785.3,0,1,9,0.0
2023-01-28,99.6,698.5,1,0,6,0.0
2023-01-29,100,668.4,0,0,10,0.0
2023-01-30,99.6,644.0,1,1,0,0.0
2023-01-31,100,627.7,0,0,4,0.0
2023-02-01,100,622.6,0,0,3,0.0
2023-02-02,100,623.1,0,0,2,0.0
2023-02-03,100,619.6,0,0,1,0.0
2023-02-04,99.6,607.2,1,0,2,0.0
2023-02-05,100,754.2,0,0,0,0.0
2023-02-06,100,725.7,0,0,7,5.0
2023-02-07,100,723.1,0,1,3,0.0
2023-02-08,100,747.7,0,0,3,0.0
2023-02-09,100,739.6,0,0,1,0.0
2023-02-10,100,744.2,0,0,0,0.0
2023-02-11,100,733.9,0,0,1,0.0
2023-02-12,100,720.3,0,0,2,0.0
2023-02-13,100,731.2,0,0,0,0.0
2023-02-14,100,729.2,0,1,3,0.0
2023-02-15,100,745.9,0,2,2,0.0
2023-02-16,100,752.9,0,1,4,0.0
2023-02-17,100,758.1,0,0,2,0.0
2023-02-18,100,772.4,0,1,0,0.0
2023-02-19,100,745.3,0,1,7,0.0
2023-02-20,100,767.1,0,1,1,0.0
2023-02-21,100,749.3,0,0,2,0.0
2023-02-22,99.2,704.2,2,0,6,0.0
2023-02-23,99.2,666.1,2,0,9,0.0
2023-02-24,99.6,635.7,1,0,5,0.0
2023-02-25,99.6,737.8,1,1,4,0.0
2023-02-26,99.2,642.0,2,1,5,0.0
2023-02-27,99.2,621.0,2,0,2,0.0
2023-02-28,99.9,766.2,1,0,1,0.0
2023-03-01,99.3,662.9,2,1,5,0.0
2023-03-02,99.6,654.1,1,1,3,0.0
2023-03-03,100,791.6,0,0,6,0.0
2023-03-04,100,781.5,0,0,7,0.0
2023-03-05,99.6,693.1,1,0,5,0.0
2023-03-06,99.6,723.7,1,0,2,0.0
2023-03-07,100,789.5,0,0,7,0.0
2023-03-08,100,803.8,0,0,3,0.0
2023-03-09,100,870.8,0,0,4,0.0
2023-03-10,100,834.0,0,0,9,0.0
2023-03-11,100,801.8,0,0,7,0.0
2023-03-12,100,783.9,0,0,4,0.0
2023-03-13,100,790.0,0,0,2,0.0
