fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,12018.3,1,0,0,45.0
2023-01-02,100,13309.3,0,0,0,50.0
2023-01-03,100,14564.2,0,0,0,50.0
2023-01-04,100,14611.2,0,0,0,55.0
2023-01-05,100,13858.7,0,0,0,55.0
2023-01-06,100,13013.5,0,0,0,50.0
2023-01-07,100,12838.4,0,0,0,55.0
2023-01-08,100,12954.1,0,0,0,50.0
2023-01-09,100,13473.1,0,0,0,50.0
2023-01-10,100,14405.4,0,0,0,55.0
2023-01-11,100,14555.7,0,0,0,55.0
2023-01-12,100,12938.7,0,0,0,50.0
2023-01-13,100,12496.9,0,0,0,50.0
2023-01-14,100,12214.0,0,0,0,50.0
2023-01-15,100,12321.8,0,0,0,50.0
2023-01-16,100,12354.5,0,0,0,50.0
2023-01-17,100,13227.8,0,0,0,55.0
2023-01-18,100,12683.8,0,0,0,55.0
2023-01-19,100,12286.9,0,0,0,50.0
2023-01-20,100,12375.3,0,1,0,55.0
2023-01-21,100,12575.8,0,0,0,50.0
2023-01-22,100,11975.2,0,0,0,50.0
2023-01-23,100,12834.1,0,0,0,50.0
2023-01-24,100,13595.2,0,0,0,45.0
2023-01-25,100,13149.5,0,2,0,50.0
2023-01-26,100,13715.6,0,0,0,50.0
2023-01-27,100,12861.9,0,1,0,50.0
2023-01-28,100,12890.2,0,0,0,50.0
2023-01-29,100,12961.1,0,0,0,50.0
2023-01-30,100,12309.0,0,1,0,50.0
2023-01-31,100,12305.1,0,0,0,50.0
2023-02-01,100,12807.5,0,0,0,55.0
2023-02-02,100,13152.1,0,0,0,55.0
2023-02-03,100,12802.5,0,0,0,60.0
2023-02-04,100,12491.8,0,0,0,60.0
2023-02-05,100,11997.4,0,0,0,50.0
2023-02-06,100,11486.8,0,0,0,50.0
2023-02-07,100,11530.0,0,1,0,50.0
2023-02-08,100,12458.2,0,0,0,50.0
2023-02-09,100,13438.5,0,0,0,50.0
2023-02-10,100,13015.1,0,0,0,55.0
2023-02-11,100,12545.4,0,0,0,55.0
2023-02-12,100,12170.5,0,0,0,55.0
2023-02-13,100,12568.4,0,0,0,55.0
2023-02-14,100,12751.2,0,1,0,50.0
2023-02-15,81.2,12673.8,1,1,1,55.0
2023-02-16,0,-9,0,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,0,-9,0,0,0,-9
2023-02-20,0,-9,0,0,0,-9
2023-02-21,0,-9,0,0,0,-9
2023-02-22,0,-9,0,0,0,-9
2023-02-23,0,-9,0,0,0,-9
2023-02-24,0,-9,0,0,0,-9
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
2023-02-27,0,-9,0,0,0,-9
2023-02-28,0,-9,0,0,0,-9
2023-03-01,0,-9,0,0,0,-9
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,0,-9,0,0,0,-9
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,0,-9,0,0,0,-9
2023-03-21,0,-9,0,0,0,-9
2023-03-22,0,-9,0,0,0,-9
2023-03-23,0,-9,0,0,0,-9
2023-03-24,0,-9,0,0,0,-9
2023-03-25,0,-9,0,0,0,-9
2023-03-26,0,-9,0,0,0,-9
2023-03-27,0,-9,0,0,0,-9
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,20.7,13007.7,4,0,0,25.0
2023-04-12,100,15306.5,0,0,0,50.0
2023-04-13,100,14825.3,0,0,0,55.0
2023-04-14,100,14829.7,0,0,0,50.0
2023-04-15,100,13519.7,0,0,0,50.0
2023-04-16,99.8,14858.4,4,0,0,70.0
2023-04-17,100,16479.4,0,3,0,50.0
2023-04-18,100,16384.5,0,0,0,50.0
2023-04-19,100,15559.8,0,3,0,50.0
2023-04-20,100,14342.5,0,0,0,55.0
2023-04-21,100,16374.5,0,0,0,45.0
2023-04-22,100,18593.6,0,0,0,45.0
2023-04-23,100,18006.3,0,0,0,45.0
2023-04-24,100,16077.2,0,0,0,60.0
2023-04-25,100,15085.3,0,0,0,50.0
2023-04-26,100,14976.0,0,1,0,50.0
2023-04-27,100,15623.0,0,2,0,45.0
2023-04-28,100,15890.3,0,0,0,45.0
2023-04-29,100,16000.2,0,0,0,50.0
2023-04-30,100,14814.9,0,0,0,55.0
2023-05-01,100,15606.6,0,0,0,50.0
2023-05-02,100,14647.9,0,0,0,55.0
2023-05-03,100,14022.4,0,0,0,50.0
2023-05-04,100,14404.1,0,0,0,50.0
2023-05-05,100,14391.1,0,0,0,50.0
