fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,101.0,1,0,3,0.0
2023-01-02,100,111.6,0,0,17,0.0
2023-01-03,100,117.3,0,0,7,0.0
2023-01-04,100,103.3,0,0,11,0.0
2023-01-05,100,105.9,0,0,7,0.0
2023-01-06,100,99.9,0,0,24,5.0
2023-01-07,100,102.9,0,0,5,0.0
2023-01-08,100,103.7,0,0,16,0.0
2023-01-09,100,104.5,0,0,4,0.0
2023-01-10,100,111.7,0,0,19,0.0
2023-01-11,100,106.3,0,0,8,0.0
2023-01-12,100,121.6,0,0,13,0.0
2023-01-13,100,107.8,0,0,2,0.0
2023-01-14,100,117.8,0,0,2,0.0
2023-01-15,100,100.1,0,0,6,0.0
2023-01-16,100,111.9,0,0,2,0.0
2023-01-17,100,114.0,0,0,4,0.0
2023-01-18,100,104.8,0,0,4,0.0
2023-01-19,100,114.6,0,0,3,0.0
2023-01-20,100,100.4,0,1,8,0.0
2023-01-21,100,111.5,0,0,2,0.0
2023-01-22,100,103.9,0,0,5,0.0
2023-01-23,100,97.3,0,0,3,0.0
2023-01-24,100,90.4,0,0,8,0.0
2023-01-25,100,84.8,0,2,6,0.0
2023-01-26,100,75.8,0,0,3,0.0
2023-01-27,100,100.8,0,1,7,0.0
2023-01-28,100,90.6,0,0,2,0.0
2023-01-29,100,90.7,0,0,2,0.0
2023-01-30,100,85.6,0,1,8,0.0
2023-01-31,100,109.0,0,0,16,0.0
2023-02-01,100,101.5,0,0,12,0.0
2023-02-02,100,90.9,0,0,15,0.0
2023-02-03,100,79.1,0,0,11,0.0
2023-02-04,100,78.6,0,0,8,0.0
2023-02-05,100,83.6,0,0,3,0.0
2023-02-06,100,85.7,0,0,5,5.0
2023-02-07,100,76.6,0,1,6,0.0
2023-02-08,100,61.7,0,0,3,0.0
2023-02-09,100,73.9,0,0,4,0.0
2023-02-10,100,77.6,0,0,1,0.0
2023-02-11,100,73.7,0,0,2,0.0
2023-02-12,100,71.1,0,0,4,0.0
2023-02-13,100,56.2,0,0,6,0.0
2023-02-14,100,181.1,0,1,7,0.0
2023-02-15,100,111.1,0,2,7,0.0
2023-02-16,100,92.5,0,1,5,0.0
2023-02-17,100,107.2,0,0,4,0.0
2023-02-18,100,108.6,0,1,4,0.0
2023-02-19,100,87.8,0,1,4,0.0
2023-02-20,100,93.9,0,1,3,0.0
2023-02-21,100,99.6,0,0,2,0.0
2023-02-22,100,110.7,0,0,2,0.0
2023-02-23,100,99.8,0,0,5,0.0
2023-02-24,100,88.8,0,0,0,0.0
2023-02-25,100,92.5,0,1,1,0.0
2023-02-26,100,85.9,0,1,0,0.0
2023-02-27,100,78.8,0,0,0,0.0
2023-02-28,100,85.3,0,0,3,0.0
2023-03-01,100,80.0,0,1,3,0.0
2023-03-02,100,73.5,0,1,6,0.0
2023-03-03,100,80.1,0,0,12,0.0
2023-03-04,100,100.2,0,0,6,0.0
2023-03-05,100,112.3,0,0,4,0.0
2023-03-06,100,85.9,0,0,4,0.0
2023-03-07,100,128.1,0,0,6,0.0
2023-03-08,100,86.7,0,0,7,0.0
2023-03-09,100,108.7,0,0,1,0.0
2023-03-10,100,111.9,0,0,15,0.0
2023-03-11,100,109.7,0,0,6,0.0
2023-03-12,100.0,106.1,1,2,10,0.0
2023-03-13,100,115.7,0,0,12,0.0
2023-03-14,100,105.5,0,0,11,0.0
2023-03-15,100,112.3,0,0,9,0.0
2023-03-16,100,113.6,0,0,11,0.0
2023-03-17,100,102.1,0,0,7,0.0
2023-03-18,100,99.3,0,0,11,0.0
2023-03-19,100,105.0,0,0,7,0.0
2023-03-20,100,103.8,0,0,16,0.0
2023-03-21,100,98.1,0,0,12,0.0
2023-03-22,100,89.0,0,0,14,0.0
2023-03-23,100,104.4,0,0,4,0.0
2023-03-24,100,117.4,0,0,10,0.0
2023-03-25,100,78.5,0,0,5,0.0
2023-03-26,100,100.7,0,0,4,0.0
2023-03-27,100,94.1,0,1,3,0.0
2023-03-28,100,94.0,0,2,5,0.0
2023-03-29,100,111.4,0,1,8,0.0
2023-03-30,100,91.1,0,2,6,0.0
2023-03-31,100,93.9,0,0,3,0.0
2023-04-01,100,85.2,0,0,9,0.0
2023-04-02,100,87.3,0,0,11,0.0
2023-04-03,100,81.0,0,0,8,0.0
2023-04-04,100,78.5,0,0,14,0.0
2023-04-05,100,81.4,0,2,6,0.0
2023-04-06,100,113.2,0,0,13,0.0
2023-04-07,100,99.9,0,0,7,0.0
2023-04-08,100,106.0,0,0,2,0.0
2023-04-09,100,95.3,0,0,2,0.0
2023-04-10,100,92.6,0,0,1,0.0
2023-04-11,100,85.0,0,0,7,0.0
2023-04-12,100,76.9,0,0,9,0.0
2023-04-13,100,81.9,0,0,8,0.0
2023-04-14,100,88.6,0,0,9,0.0
2023-04-15,100,83.7,0,0,11,0.0
2023-04-16,100,127.4,0,0,15,0.0
2023-04-17,100,67.9,0,3,8,0.0
2023-04-18,100,102.4,0,0,8,0.0
2023-04-19,100,90.8,0,3,8,0.0
2023-04-20,100,111.7,0,0,10,0.0
2023-04-21,100,92.0,0,0,7,0.0
2023-04-22,100,110.3,0,0,7,0.0
2023-04-23,100,102.1,0,0,4,0.0
2023-04-24,100,103.3,0,0,7,0.0
2023-04-25,100,119.0,0,0,6,0.0
2023-04-26,100,96.5,0,1,8,0.0
2023-04-27,100,109.5,0,2,9,0.0
2023-04-28,100,102.5,0,0,12,0.0
2023-04-29,100,100.8,0,0,16,0.0
2023-04-30,100,100.2,0,0,4,0.0
2023-05-01,100,88.0,0,0,15,0.0
2023-05-02,100,92.0,0,0,2,0.0
2023-05-03,100,88.4,0,0,9,0.0
