fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,0,0,0,-9
2023-01-02,99.9,-7725.4,4,2,0,40.0
2023-01-03,100,-7714.7,0,0,0,40.0
2023-01-04,99.6,-7689.5,1,1,0,40.0
2023-01-05,100.0,-7669.2,3,2,1,40.0
2023-01-06,100,-7697.6,0,0,0,40.0
2023-01-07,100,-7727.4,0,0,0,40.0
2023-01-08,100,-7729.7,0,0,0,40.0
2023-01-09,100,-7721.9,0,0,0,40.0
2023-01-10,100,-7755.7,0,0,0,40.0
2023-01-11,100,-7719.4,0,0,0,40.0
2023-01-12,100,-7709.6,0,0,0,40.0
2023-01-13,100,-7750.4,0,0,2,40.0
2023-01-14,100,-7801.6,0,0,1,40.0
2023-01-15,100,-7842.6,0,0,1,40.0
2023-01-16,100,-7849.6,0,0,0,40.0
2023-01-17,100,-7864.0,0,0,0,40.0
2023-01-18,100,-7913.7,0,0,0,40.0
2023-01-19,100,-7904.9,0,0,0,40.0
2023-01-20,100.0,-7906.6,1,0,0,40.0
2023-01-21,100,-7927.6,0,0,0,40.0
2023-01-22,100,-7957.5,0,0,0,40.0
2023-01-23,100,-7979.1,0,0,0,40.0
2023-01-24,100,-8005.6,0,0,0,40.0
2023-01-25,100.0,-8022.5,2,0,0,40.0
2023-01-26,100,-7957.4,0,0,0,40.0
2023-01-27,100.0,-7958.4,1,0,0,40.0
2023-01-28,100,-8010.4,0,0,0,40.0
2023-01-29,100,-8047.1,0,0,0,40.0
2023-01-30,100.0,-8102.4,1,0,0,40.0
2023-01-31,100,-8151.8,0,0,0,40.0
2023-02-01,100,-8173.2,0,0,1,40.0
2023-02-02,100,-8214.1,0,0,0,40.0
2023-02-03,100,-8229.2,0,0,0,40.0
2023-02-04,100,-8271.9,0,0,0,40.0
2023-02-05,100,-8308.7,0,0,0,40.0
2023-02-06,100,-8335.3,0,0,1,40.0
2023-02-07,98.4,-8360.2,1,0,1,40.0
2023-02-08,100,-8412.2,0,0,0,40.0
2023-02-09,100,-8437.1,0,0,0,40.0
2023-02-10,100,-8441.9,0,0,0,40.0
2023-02-11,100,-8436.9,0,0,0,40.0
2023-02-12,100,-8368.7,0,0,0,40.0
2023-02-13,100,-8380.7,0,0,0,40.0
2023-02-14,100.0,-8387.5,1,0,0,40.0
2023-02-15,100.0,-8384.5,2,0,1,45.0
2023-02-16,99.9,-8348.0,10,0,0,40.0
2023-02-17,100,-8287.0,0,0,1,40.0
2023-02-18,100.0,-8219.4,1,0,0,40.0
2023-02-19,100.0,-8219.9,1,0,0,40.0
2023-02-20,100.0,-8263.6,1,0,0,40.0
2023-02-21,100,-8306.3,0,0,0,40.0
2023-02-22,100,-8341.6,0,0,0,40.0
2023-02-23,100,-8345.8,0,0,0,40.0
2023-02-24,100,-8382.7,0,0,1,40.0
2023-02-25,100.0,-8390.8,1,0,0,40.0
2023-02-26,100.0,-8450.8,1,0,0,40.0
2023-02-27,100,-8500.6,0,0,0,40.0
2023-02-28,100,-8529.7,0,0,0,40.0
2023-03-01,100.0,-8554.4,1,0,0,40.0
2023-03-02,100.0,-8590.2,1,0,1,40.0
2023-03-03,100,-8575.9,0,0,1,40.0
2023-03-04,100,-8528.4,0,0,0,40.0
2023-03-05,100,-8505.3,0,0,0,40.0
2023-03-06,100,-8275.1,0,0,0,40.0
2023-03-07,100,-7600.4,0,0,0,40.0
2023-03-08,98.6,-7586.3,1,0,0,40.0
2023-03-09,100,-7540.5,0,0,0,40.0
2023-03-10,100,-7416.8,0,0,1,50.0
2023-03-11,100,-7468.0,0,0,1,40.0
2023-03-12,100,-7471.9,0,0,0,40.0
2023-03-13,100,-7539.2,0,0,0,40.0
2023-03-14,100,-7523.8,0,0,0,40.0
2023-03-15,100,-7530.4,0,0,0,40.0
2023-03-16,100,-7559.6,0,0,0,40.0
2023-03-17,99.9,-7603.0,1,0,1,40.0
2023-03-18,99.6,-7582.1,1,0,1,40.0
2023-03-19,99.6,-7589.7,1,0,0,40.0
2023-03-20,99.8,-7600.4,1,0,0,40.0
2023-03-21,99.5,-7655.8,1,0,0,40.0
2023-03-22,100,-7666.4,0,0,0,40.0
2023-03-23,100,-7653.3,0,0,0,40.0
2023-03-24,100,-7675.1,0,0,0,40.0
2023-03-25,100,-7712.7,0,0,1,40.0
2023-03-26,100,-7708.1,0,0,0,40.0
2023-03-27,100.0,-7712.2,1,0,0,40.0
2023-03-28,100.0,-7788.2,2,0,0,40.0
2023-03-29,100.0,-7800.1,1,0,0,40.0
2023-03-30,100.0,-7831.7,2,0,1,40.0
2023-03-31,100,-7848.9,0,0,0,40.0
2023-04-01,100,-7852.3,0,0,0,40.0
2023-04-02,100,-7836.7,0,0,0,40.0
2023-04-03,100,-7863.3,0,0,0,40.0
2023-04-04,100,-7882.4,0,0,1,40.0
2023-04-05,100.0,-7952.9,2,0,0,40.0
2023-04-06,100,-7994.8,0,0,0,40.0
2023-04-07,100,-8007.0,0,0,1,40.0
2023-04-08,100,-8018.8,0,0,0,40.0
2023-04-09,100,-8049.1,0,0,0,40.0
2023-04-10,100,-8097.9,0,0,0,40.0
2023-04-11,100,-8140.0,0,0,0,40.0
2023-04-12,100,-8179.4,0,0,0,40.0
2023-04-13,100,-8215.7,0,0,0,40.0
2023-04-14,100,-8228.3,0,0,0,40.0
2023-04-15,100,-8242.2,0,0,0,40.0
2023-04-16,100,-8285.0,0,0,0,40.0
2023-04-17,99.9,-8231.6,3,0,8,45.0
2023-04-18,100,-8248.4,0,0,4,45.0
2023-04-19,99.9,-8255.8,4,0,1,40.0
2023-04-20,100,-8273.2,0,0,0,40.0
2023-04-21,100,-8296.8,0,0,0,40.0
2023-04-22,100,-8263.8,0,0,0,40.0
2023-04-23,100,-8246.7,0,0,0,40.0
2023-04-24,100,-8235.0,0,0,0,40.0
2023-04-25,100,-8269.3,0,0,0,40.0
2023-04-26,100.0,-8349.1,1,0,0,40.0
2023-04-27,100.0,-8378.8,2,0,0,40.0
2023-04-28,100,-8398.4,0,0,0,40.0
2023-04-29,100,-8416.0,0,0,0,40.0
2023-04-30,100,-8453.4,0,0,1,40.0
2023-05-01,100,-8481.9,0,0,1,45.0
2023-05-02,100,-8487.0,0,0,0,40.0
2023-05-03,100,-8492.6,0,0,0,40.0
2023-05-04,100,-8511.1,0,0,0,40.0
2023-05-05,100,-8564.8,0,0,1,40.0
2023-05-06,100,-8610.4,0,0,1,40.0
2023-05-07,100,-8650.0,0,0,0,40.0
2023-05-08,100,-8700.3,0,0,0,40.0
2023-05-09,100,-8770.7,0,0,0,40.0
2023-05-10,100,-8898.1,0,0,0,40.0
2023-05-11,99.9,-8937.8,1,0,0,40.0
2023-05-12,100,-8927.3,0,0,0,40.0
2023-05-13,100,-8844.0,0,0,0,40.0
2023-05-14,100,-8854.4,0,0,2,40.0
2023-05-15,100,-8886.2,0,0,0,40.0
2023-05-16,100,-8926.0,0,0,0,40.0
2023-05-17,97.8,-8934.8,1,0,0,40.0
2023-05-18,99.6,-8962.6,28,0,0,40.0
2023-05-19,100,-8953.4,0,0,0,40.0
2023-05-20,100,-8939.5,0,0,0,40.0
2023-05-21,100,-8923.6,0,0,0,40.0
2023-05-22,100,-8805.1,0,0,0,40.0
2023-05-23,100,-8757.4,0,0,0,40.0
2023-05-24,100,-8778.6,0,0,0,40.0
2023-05-25,100,-8795.4,0,0,2,50.0
2023-05-26,100,-8792.2,0,0,0,40.0
2023-05-27,100,-8799.7,0,0,1,40.0
2023-05-28,100,-8810.5,0,0,1,45.0
2023-05-29,100.0,-8847.9,1,0,0,40.0
2023-05-30,100,-8886.9,0,0,0,40.0
2023-05-31,100,-8906.4,0,0,0,40.0
2023-06-01,100,-8926.4,0,0,0,40.0
2023-06-02,100,-8976.6,0,0,0,40.0
2023-06-03,100,-8993.0,0,0,0,40.0
2023-06-04,100,-9002.5,0,0,0,40.0
2023-06-05,100,-9029.5,0,0,0,40.0
2023-06-06,99.3,-9024.1,2,0,0,40.0
2023-06-07,98.8,-9014.6,4,0,0,40.0
2023-06-08,99.0,-9000.0,2,0,0,40.0
2023-06-09,99.8,-9008.6,2,0,1,40.0
2023-06-10,100,-8997.7,0,0,0,40.0
2023-06-11,100.0,-9040.5,1,0,0,40.0
2023-06-12,100,-9072.0,0,0,0,40.0
2023-06-13,100,-9026.7,0,0,0,40.0
2023-06-14,100,-9065.8,0,0,0,40.0
2023-06-15,100,-9109.9,0,0,0,40.0
2023-06-16,100.0,-9120.5,1,0,0,40.0
2023-06-17,100.0,-9108.3,1,0,0,40.0
2023-06-18,100,-9094.7,0,0,0,40.0
2023-06-19,100,-9072.5,0,0,0,40.0
2023-06-20,100,-9122.8,0,0,0,40.0
2023-06-21,100.0,-9152.3,2,0,0,40.0
2023-06-22,100.0,-9185.7,4,0,0,40.0
2023-06-23,100,-9220.5,0,0,0,40.0
2023-06-24,100,-9277.2,0,0,0,40.0
2023-06-25,100,-9280.6,0,0,0,40.0
2023-06-26,99.0,-9276.0,2,0,0,40.0
2023-06-27,100,-9287.6,0,0,1,40.0
2023-06-28,100,-9324.2,0,0,0,40.0
2023-06-29,100.0,-9318.3,1,0,0,40.0
2023-06-30,100.0,-9338.8,1,0,1,40.0
2023-07-01,100.0,-9360.6,1,0,0,40.0
2023-07-02,100,-9403.5,0,0,0,40.0
2023-07-03,100,-9418.9,0,0,0,40.0
2023-07-04,100,-9464.3,0,0,0,40.0
2023-07-05,100.0,-9492.4,1,0,1,40.0
2023-07-06,100.0,-9492.0,1,0,0,40.0
2023-07-07,100,-9451.4,0,0,0,40.0
2023-07-08,100,-9420.9,0,0,0,40.0
2023-07-09,100,-9419.5,0,0,0,40.0
2023-07-10,100,-9438.7,0,0,1,40.0
2023-07-11,100.0,-9415.9,1,0,0,40.0
2023-07-12,100.0,-9419.2,2,0,1,40.0
2023-07-13,99.9,-9435.8,4,0,0,40.0
2023-07-14,100.0,-9467.2,1,0,0,40.0
2023-07-15,100,-9470.3,0,0,0,40.0
2023-07-16,100,-9493.3,0,0,0,40.0
2023-07-17,100.0,-9490.3,1,0,0,40.0
2023-07-18,100,-9463.8,0,0,0,40.0
2023-07-19,100.0,-9490.2,1,0,0,40.0
2023-07-20,100,-9508.2,0,0,0,40.0
2023-07-21,100,-9551.1,0,0,0,40.0
2023-07-22,100,-9582.4,0,0,0,40.0
2023-07-23,100,-9622.8,0,0,0,40.0
2023-07-24,100.0,-9638.7,3,0,0,40.0
2023-07-26,100.0,-9735.1,1,0,1,40.0
2023-07-27,100.0,-9825.4,1,0,0,40.0
2023-07-28,100,-9839.5,0,0,0,40.0
2023-07-29,100,-9846.8,0,0,0,40.0
2023-07-30,100,-9865.3,0,0,1,40.0
2023-07-31,100,-9862.3,0,0,0,40.0
2023-08-01,100.0,-9859.7,1,0,0,40.0
2023-08-02,100.0,-9836.9,1,0,0,40.0
2023-08-03,100.0,-9833.6,1,0,0,40.0
2023-08-04,100.0,-9839.5,3,0,0,40.0
2023-08-05,100.0,-9830.9,2,0,0,40.0
2023-08-06,100,-9843.0,0,0,1,40.0
2023-08-07,100,-9852.1,0,0,0,40.0
2023-08-08,100.0,-9861.2,1,0,0,40.0
2023-08-09,100.0,-9868.8,2,0,0,40.0
2023-08-10,100.0,-9892.4,1,0,0,40.0
2023-08-11,100.0,-9889.5,1,0,1,40.0
2023-08-12,100,-9896.0,0,0,0,40.0
2023-08-13,100,-9895.5,0,0,0,40.0
2023-08-14,100.0,-9900.3,1,0,1,40.0
2023-08-15,100.0,-9893.3,1,0,0,40.0
2023-08-16,100.0,-9924.3,1,0,0,40.0
2023-08-17,100.0,-9939.9,1,0,1,50.0
2023-08-18,100,-9964.2,0,0,1,40.0
2023-08-19,100,-10000.0,0,0,0,40.0
2023-08-20,100,-10023.7,0,0,0,40.0
2023-08-21,100,-10056.4,0,0,0,40.0
2023-08-22,100,-10091.8,0,0,0,40.0
2023-08-23,99.8,-10096.4,3,0,0,40.0
2023-08-24,100,-10092.0,0,0,0,40.0
2023-08-25,100,-10094.3,0,0,0,40.0
2023-08-26,100,-10082.9,0,0,1,40.0
2023-08-27,100,-10080.5,0,0,1,40.0
2023-08-28,100,-10077.0,0,0,0,40.0
2023-08-29,100,-10063.7,0,0,1,40.0
2023-08-30,100.0,-10088.8,1,0,0,40.0
2023-08-31,100,-10056.1,0,0,0,40.0
2023-09-01,99.9,-10030.5,1,0,0,40.0
2023-09-02,100,-10038.8,0,0,0,40.0
2023-09-03,100,-10063.1,0,0,0,40.0
2023-09-04,100.0,-10027.4,1,0,0,40.0
2023-09-05,100.0,-10022.1,1,0,0,40.0
2023-09-06,100,-10008.4,0,0,0,40.0
2023-09-07,100.0,-9996.3,2,0,1,40.0
2023-09-08,100,-9960.2,0,0,0,40.0
2023-09-09,100,-9891.2,0,0,0,40.0
2023-09-10,100.0,-9876.0,1,0,0,40.0
2023-09-11,100.0,-9858.7,1,0,0,40.0
2023-09-12,100.0,-9834.7,1,0,2,40.0
2023-09-13,100.0,-9896.9,1,0,0,55.0
2023-09-14,100,-9808.6,0,0,2,55.0
2023-09-15,100,-9774.6,0,0,5,55.0
2023-09-16,100,-9798.5,0,0,3,55.0
2023-09-17,100,-9864.5,0,0,9,75.0
2023-09-18,100,-9876.1,0,0,8,75.0
2023-09-19,100,-9974.3,0,0,4,75.0
2023-09-20,100.0,-9695.1,1,0,9,60.0
2023-09-21,100.0,-9506.4,1,0,0,40.0
2023-09-22,100.0,-9485.4,1,0,1,40.0
2023-09-23,100,-9376.1,0,0,0,40.0
2023-09-24,99.6,-9363.6,1,0,0,40.0
2023-09-25,99.6,-9331.8,4,0,0,40.0
2023-09-26,100,-9266.3,0,0,0,40.0
2023-09-27,100.0,-9224.2,1,0,3,40.0
2023-09-28,100.0,-9205.3,1,0,3,40.0
2023-09-29,100.0,-9214.5,1,0,1,40.0
2023-09-30,100,-9255.8,0,0,0,40.0
2023-10-01,100,-9301.3,0,0,0,40.0
2023-10-02,100.0,-9300.2,1,0,0,40.0
2023-10-03,100.0,-9316.5,1,0,0,40.0
2023-10-04,95.1,-9317.6,41,0,2,45.0
2023-10-05,100.0,-9293.3,1,0,2,45.0
2023-10-06,99.9,-9196.0,2,0,2,45.0
2023-10-07,100,-9205.0,0,0,3,45.0
2023-10-08,100,-9219.0,0,0,1,45.0
2023-10-09,100.0,-9234.2,1,0,0,45.0
2023-10-10,100.0,-9271.7,1,0,0,40.0
2023-10-11,100.0,-9270.2,1,0,1,40.0
2023-10-12,100.0,-9250.5,1,0,0,40.0
