fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,460.8,1,0,1,10.0
2023-01-02,100,-808.3,0,0,1,10.0
2023-01-03,100,-80.3,0,0,0,10.0
2023-01-04,100,2643.8,0,0,0,20.0
2023-01-05,100,-137.0,0,0,3,20.0
2023-01-06,100,8.5,0,0,1,15.0
2023-01-07,100,-89.0,0,0,3,10.0
2023-01-08,100,-360.0,0,0,5,15.0
2023-01-09,100,-15.1,0,0,3,15.0
2023-01-10,100,-328.7,0,0,2,15.0
2023-01-11,100,60.7,0,0,6,15.0
2023-01-12,100,-293.8,0,0,1,15.0
2023-01-13,100,-206.5,0,0,4,20.0
2023-01-14,100,156.3,0,0,1,10.0
2023-01-15,100,-340.0,0,0,3,15.0
2023-01-16,100,129.8,0,0,0,15.0
2023-01-17,100,40.8,0,0,0,5.0
2023-01-18,100,-77.8,0,0,2,10.0
2023-01-19,100,-259.8,0,0,0,10.0
2023-01-20,100.0,-280.2,1,0,8,15.0
2023-01-21,100,-30.7,0,0,0,5.0
2023-01-22,100,-20.1,0,0,1,5.0
2023-01-23,100,-122.6,0,0,6,15.0
2023-01-24,100,-147.4,0,0,0,10.0
2023-01-25,100.0,-68.4,2,0,0,5.0
2023-01-26,100,-182.6,0,0,2,10.0
2023-01-27,100.0,-186.7,1,0,9,25.0
2023-01-28,100,-302.5,0,0,29,25.0
2023-01-29,100,-247.8,0,1,21,25.0
2023-01-30,100.0,-241.7,1,0,2,10.0
2023-01-31,100,-169.1,0,0,1,10.0
2023-02-01,100,-97.5,0,0,1,15.0
2023-02-02,100,-58.7,0,0,2,15.0
2023-02-03,100,70.6,0,0,1,5.0
2023-02-04,100,169.5,0,0,0,5.0
2023-02-05,100,241.2,0,0,0,10.0
2023-02-06,100,308.1,0,0,13,25.0
2023-02-07,99.8,370.0,4,0,5,15.0
2023-02-08,100,467.4,0,0,2,10.0
2023-02-09,100,518.2,0,0,7,10.0
2023-02-10,100,640.8,0,0,1,5.0
2023-02-11,100,714.3,0,0,1,5.0
2023-02-12,100,636.3,0,0,0,0.0
2023-02-13,100,725.7,0,0,0,5.0
2023-02-14,100.0,867.5,1,0,1,5.0
2023-02-15,100.0,745.9,2,0,2,10.0
2023-02-16,100.0,808.4,1,0,0,0.0
2023-02-17,100,909.4,0,0,1,5.0
2023-02-18,100.0,1108.1,1,0,1,10.0
2023-02-19,100.0,1209.7,1,0,0,10.0
2023-02-20,100.0,1410.1,1,0,1,10.0
2023-02-21,100,1329.8,0,0,2,5.0
2023-02-22,100,104.2,0,0,2,10.0
2023-02-23,100,1346.5,0,0,7,10.0
2023-02-24,100,1544.9,0,0,2,5.0
2023-02-25,100.0,1552.0,1,0,0,5.0
2023-02-26,100.0,1619.4,1,0,1,10.0
2023-02-27,100,1754.6,0,0,0,5.0
2023-02-28,100,1693.6,0,0,0,5.0
2023-03-01,100.0,1607.4,1,0,1,15.0
2023-03-02,100.0,1733.9,1,0,3,10.0
2023-03-03,100,1764.6,0,0,0,5.0
2023-03-04,100,211.5,0,0,4,15.0
2023-03-05,100,836.9,0,0,2,10.0
2023-03-06,100,-48.5,0,0,3,10.0
2023-03-07,100,-9167.4,0,0,4,5.0
2023-03-08,100,-2686.3,0,0,1,5.0
2023-03-09,100,-2094.5,0,0,2,0.0
2023-03-10,100,-796.0,0,0,1,10.0
2023-03-11,100,-289.6,0,0,2,0.0
2023-03-12,100,-57.3,0,0,0,0.0
2023-03-13,100,-540.0,0,0,1,5.0
2023-03-14,100,-7.0,0,0,0,0.0
2023-03-15,100,-9159.6,0,0,5,20.0
2023-03-16,100,-1881.2,0,0,6,5.0
2023-03-17,100,-1003.2,0,0,0,5.0
2023-03-18,100,-518.1,0,0,4,0.0
2023-03-19,100,-640.7,0,0,1,5.0
2023-03-20,100,-221.0,0,0,0,5.0
2023-03-21,100,-175.1,0,0,3,5.0
2023-03-22,100,-107.7,0,0,0,10.0
2023-03-23,100,-14.2,0,0,0,10.0
2023-03-24,100,117.5,0,0,0,5.0
2023-03-25,100,294.5,0,0,3,10.0
2023-03-26,100,466.3,0,0,2,10.0
2023-03-27,100.0,558.7,1,0,1,10.0
2023-03-28,100.0,193.7,1,0,0,15.0
2023-03-29,100.0,531.6,1,0,2,10.0
2023-03-30,100.0,766.5,2,0,5,15.0
2023-03-31,100,993.7,0,0,1,5.0
2023-04-01,100,-1388.1,0,0,2,10.0
2023-04-02,100,349.6,0,0,1,5.0
2023-04-03,100,1239.5,0,0,1,0.0
2023-04-04,100,1420.9,0,0,5,5.0
2023-04-05,100.0,873.5,2,0,0,5.0
2023-04-06,100,-2243.6,0,0,0,5.0
2023-04-07,100,-4395.4,0,0,1,10.0
2023-04-08,100,364.9,0,0,4,5.0
2023-04-09,100,1087.0,0,0,0,0.0
2023-04-10,100,1160.3,0,1,0,0.0
2023-04-11,100,78.4,0,1,0,5.0
2023-04-12,100,12.7,0,0,3,15.0
2023-04-13,100,474.9,0,0,16,20.0
2023-04-14,100,1258.3,0,0,18,20.0
2023-04-15,100,1014.0,0,0,12,10.0
2023-04-16,100,-409.5,0,0,15,25.0
2023-04-17,100.0,-2225.3,3,0,0,0.0
2023-04-18,100,-433.3,0,0,2,0.0
2023-04-19,100.0,-3034.9,3,0,1,0.0
2023-04-20,100,-420.0,0,0,1,0.0
2023-04-21,100,-1017.3,0,0,4,10.0
2023-04-22,100,3727.0,0,0,3,15.0
2023-04-23,100,-1411.5,0,0,1,5.0
2023-04-24,100,-827.6,0,0,6,0.0
2023-04-25,100,-828.0,0,0,2,0.0
2023-04-26,100.0,-671.0,1,0,2,0.0
2023-04-27,100.0,-1339.6,2,0,2,10.0
2023-04-28,100,-746.2,0,0,2,0.0
2023-04-29,100,-636.8,0,0,0,0.0
2023-04-30,100,-969.9,0,1,1,5.0
2023-05-01,100,-644.6,0,0,2,0.0
2023-05-02,100,-639.6,0,0,1,0.0
2023-05-03,100,-610.7,0,0,0,0.0
2023-05-04,100,-524.9,0,0,0,0.0
2023-05-05,100,-290.2,0,0,2,5.0
2023-05-06,100,-230.3,0,0,0,0.0
