fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-74388.5,1,0,0,35.0
2023-01-02,100,-72877.5,0,0,0,35.0
2023-01-03,100,-72392.5,0,0,0,35.0
2023-01-04,100,-70770.7,0,0,0,35.0
2023-01-05,100,-70213.3,0,0,0,35.0
2023-01-06,100,-71247.2,0,0,0,35.0
2023-01-07,100,-69338.2,0,0,0,35.0
2023-01-08,100,-68067.0,0,0,0,35.0
2023-01-09,100,-68111.7,0,0,0,40.0
2023-01-10,100,-64919.7,0,0,0,35.0
2023-01-11,100,-66216.1,0,0,0,35.0
2023-01-12,100,-67416.3,0,0,0,35.0
2023-01-13,100,-67806.8,0,0,0,35.0
2023-01-14,100,-67763.6,0,0,0,35.0
2023-01-15,100,-67856.5,0,0,0,35.0
2023-01-16,100,-68394.6,0,0,0,35.0
2023-01-17,100,-69095.1,0,0,0,35.0
2023-01-18,100,-69411.6,0,0,0,35.0
2023-01-19,100,-69158.6,0,0,0,35.0
2023-01-20,100.0,-69736.1,1,0,0,40.0
2023-01-21,100,-69715.1,0,0,0,35.0
2023-01-22,100,-70041.5,0,0,0,35.0
2023-01-23,100,-70805.8,0,0,0,35.0
2023-01-24,100,-71319.1,0,0,0,35.0
2023-01-25,100.0,-70723.2,2,0,0,35.0
2023-01-26,100,-70730.4,0,0,0,35.0
2023-01-27,100.0,-70942.4,1,0,0,35.0
2023-01-28,100,-71473.8,0,0,0,35.0
2023-01-29,100,-72028.2,0,0,0,35.0
2023-01-30,100.0,-72567.5,1,0,0,35.0
2023-01-31,100,-73084.5,0,0,0,35.0
2023-02-01,100,-73768.2,0,0,0,35.0
2023-02-02,100,-73167.5,0,0,0,35.0
2023-02-03,100,-74273.7,0,0,0,35.0
2023-02-04,100,-75217.1,0,0,0,35.0
2023-02-05,100,-75064.5,0,0,0,35.0
2023-02-06,100,-74924.8,0,0,0,40.0
2023-02-07,99.8,-76506.3,4,0,0,35.0
2023-02-08,100,-77361.7,0,0,0,35.0
2023-02-09,100,-76932.6,0,0,0,35.0
2023-02-10,100,-77294.1,0,0,0,35.0
2023-02-11,100,-77608.4,0,0,0,35.0
2023-02-12,100,-76001.4,0,0,0,35.0
2023-02-13,100,-76455.7,0,0,0,35.0
2023-02-14,100.0,-77090.4,1,0,0,35.0
2023-02-15,100.0,-76707.8,2,0,0,35.0
2023-02-16,100.0,-76364.3,1,0,0,35.0
2023-02-17,100,-76291.9,0,0,0,35.0
2023-02-18,100.0,-76380.0,1,0,0,35.0
2023-02-19,100.0,-77171.1,1,0,0,35.0
2023-02-20,100.0,-77556.1,1,0,0,35.0
2023-02-21,100,-77497.9,0,0,0,35.0
2023-02-22,100,-72587.8,0,0,0,35.0
2023-02-23,100,-73110.0,0,0,0,35.0
2023-02-24,100,-75232.8,0,0,0,35.0
