fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-35449.0,1,0,0,40.0
2023-01-02,100,-35528.4,0,0,0,40.0
2023-01-03,52.0,-35549.4,1,0,0,30.0
2023-01-04,100,-35579.6,0,0,0,40.0
2023-01-05,100,-35509.8,0,0,0,40.0
2023-01-06,100,-35489.9,0,0,0,40.0
2023-01-07,100,-35446.9,0,0,0,40.0
2023-01-08,100,-35639.2,0,0,0,40.0
2023-01-09,100,-35650.8,0,0,0,40.0
2023-01-10,100,-35684.7,0,0,0,40.0
2023-01-11,100,-35728.6,0,0,0,40.0
2023-01-12,100,-35718.6,0,0,0,40.0
2023-01-13,100,-35729.8,0,0,0,40.0
2023-01-14,100,-35634.0,0,0,0,40.0
2023-01-15,79.6,-35711.2,1,0,0,35.0
2023-01-16,100,-35659.6,0,0,0,40.0
2023-01-17,100,-35700.2,0,0,0,40.0
2023-01-18,100,-35679.9,0,0,0,40.0
2023-01-19,100,-35695.7,0,0,0,40.0
2023-01-20,100.0,-35750.8,1,0,0,40.0
2023-01-21,98.3,-35787.6,1,0,0,40.0
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,66.1,-35550.3,1,0,0,40.0
2023-01-27,100.0,-35517.4,1,0,1,40.0
2023-01-28,100,-35473.7,0,0,0,40.0
2023-01-29,100,-35405.4,0,0,0,40.0
2023-01-30,100.0,-35431.3,1,0,0,40.0
2023-01-31,100,-35446.0,0,0,0,40.0
2023-02-01,100,-35479.4,0,0,0,40.0
2023-02-02,85.7,-35533.1,1,0,0,40.0
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,34.7,-35198.0,1,0,0,40.0
2023-02-07,99.8,-35288.1,4,0,0,40.0
2023-02-08,100,-35114.1,0,0,0,40.0
2023-02-09,100,-35127.2,0,0,0,40.0
2023-02-10,100,-35101.3,0,0,0,40.0
2023-02-11,100,-35089.7,0,0,0,40.0
2023-02-12,100,-35060.7,0,0,0,40.0
2023-02-13,100,-35127.7,0,0,1,40.0
2023-02-14,100.0,-35158.3,1,0,0,40.0
2023-02-15,100.0,-35176.4,2,0,0,40.0
2023-02-16,100.0,-35175.2,1,0,0,40.0
2023-02-17,100,-35335.4,0,0,0,40.0
2023-02-18,100.0,-35265.6,1,0,0,40.0
2023-02-19,100.0,-35422.7,1,0,0,40.0
2023-02-20,100.0,-35331.6,1,0,0,40.0
2023-02-21,100,-35597.7,0,0,0,40.0
2023-02-22,100,-35731.6,0,0,0,40.0
2023-02-23,100,-35743.4,0,0,0,40.0
2023-02-24,100,-35570.7,0,0,0,40.0
2023-02-25,100.0,-35419.2,1,0,0,40.0
2023-02-26,100,-35348.7,0,0,0,40.0
2023-02-27,100,-35316.3,0,0,0,40.0
2023-02-28,100,-35097.6,0,0,0,40.0
2023-03-01,100.0,-34945.1,1,0,0,40.0
2023-03-02,100.0,-34976.6,1,0,0,40.0
2023-03-03,96.1,-34991.0,1,0,0,40.0
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,14.8,-35169.1,1,0,0,40.0
2023-03-07,100,-35329.8,0,0,0,40.0
2023-03-08,100,-35415.0,0,0,0,40.0
2023-03-09,100,-35563.6,0,0,0,40.0
2023-03-10,100,-35680.0,0,0,1,40.0
2023-03-11,100,-35715.3,0,0,0,40.0
2023-03-12,100,-35739.5,0,0,0,40.0
2023-03-13,100,-35759.2,0,0,0,40.0
2023-03-14,46.8,-35802.2,1,0,0,40.0
2023-03-15,35.1,-34451.9,2,0,1,40.0
2023-03-16,100,-34643.2,0,0,0,40.0
2023-03-17,100,-34577.2,0,0,0,40.0
2023-03-18,97.4,-34772.8,1,0,1,40.0
2023-03-19,31.5,-34552.1,3,0,0,40.0
2023-03-20,100,-34662.5,0,0,0,40.0
2023-03-21,100,-34662.9,0,0,1,40.0
2023-03-22,79.0,-34732.3,2,0,0,35.0
2023-03-23,77.8,-34267.8,3,0,0,30.0
2023-03-24,6.9,-33509.8,1,0,0,35.0
2023-03-25,0,-9,0,0,0,-9
2023-03-26,0,-9,0,0,0,-9
2023-03-27,11.4,-35698.9,2,0,0,40.0
2023-03-28,100.0,-35958.0,1,0,0,40.0
2023-03-29,100.0,-35919.6,1,0,0,40.0
2023-03-30,100.0,-35956.6,2,0,0,40.0
2023-03-31,100,-35834.4,0,0,0,40.0
2023-04-01,100,-35931.4,0,0,0,40.0
