fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,0,0,0,-9
2023-01-02,100.0,22686.3,1,2,0,55.0
2023-01-03,100,22549.9,0,0,0,55.0
2023-01-04,100,22762.0,0,0,0,55.0
2023-01-05,100,23095.8,0,4,0,60.0
2023-01-06,100,22514.9,0,1,0,60.0
2023-01-07,100,22290.5,0,1,0,55.0
2023-01-08,100,22168.9,0,2,0,55.0
2023-01-09,100,22302.8,0,0,0,55.0
2023-01-10,100,22234.1,0,0,0,55.0
2023-01-11,100,22854.1,0,5,0,55.0
2023-01-12,100,22737.1,0,0,0,55.0
2023-01-13,100,22871.6,0,0,0,60.0
2023-01-14,100,22260.2,0,0,0,55.0
2023-01-15,100,22456.6,0,0,0,50.0
2023-01-16,100,22552.3,0,1,0,55.0
2023-01-17,100,23198.4,0,3,0,55.0
2023-01-18,100,23323.1,0,0,0,55.0
2023-01-19,100,23457.1,0,4,0,55.0
2023-01-20,99.9,27033.3,1,2,0,55.0
2023-01-21,100,22652.4,0,2,0,55.0
2023-01-22,100,22762.1,0,0,0,55.0
2023-01-23,100,23724.8,0,2,0,60.0
2023-01-24,100,23121.8,0,0,0,60.0
2023-01-25,100.0,23573.6,2,1,0,60.0
2023-01-26,100,23487.1,0,0,0,60.0
2023-01-27,100.0,23692.8,1,1,0,55.0
2023-01-28,100,23384.2,0,0,0,55.0
2023-01-29,100,23279.8,0,0,0,55.0
2023-01-30,100.0,22745.8,1,0,0,55.0
2023-01-31,100,23328.5,0,1,0,55.0
2023-02-01,100,23117.7,0,0,0,60.0
2023-02-02,100,23416.2,0,1,0,55.0
2023-02-03,100,23114.6,0,0,0,70.0
2023-02-04,100,22290.7,0,0,0,55.0
2023-02-05,100,23014.0,0,0,0,55.0
2023-02-06,100,22999.5,0,0,0,55.0
2023-02-07,99.8,23406.3,4,3,0,60.0
2023-02-08,100,23392.6,0,3,0,55.0
2023-02-09,100,23251.8,0,0,0,60.0
2023-02-10,61.2,22489.8,1,0,0,55.0
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,66.8,23022.7,3,0,0,55.0
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0.7,24241.3,2,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,0,-9,0,0,0,-9
2023-02-20,0,-9,0,0,0,-9
2023-02-21,88.7,24589.1,4,0,0,55.0
2023-02-22,100.0,24040.2,1,0,0,55.0
2023-02-23,100.0,23666.9,1,0,0,55.0
2023-02-24,100,23732.5,0,0,0,55.0
