fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-90782.0,1,0,1,95.0
2023-01-02,100,-99059.4,0,1,0,90.0
2023-01-03,92.1,-100944.0,2,3,0,90.0
2023-01-04,100,-104365.9,0,1,0,90.0
2023-01-05,81.3,-104339.8,2,3,0,90.0
2023-01-06,94.9,-90264.4,1,2,0,90.0
2023-01-07,89.6,-93726.5,1,2,0,95.0
2023-01-08,100,-100141.3,0,1,0,90.0
2023-01-09,100,-95426.9,0,0,0,95.0
2023-01-10,100,-101334.4,0,0,0,90.0
2023-01-11,30.7,-100997.8,1,2,0,85.0
2023-01-12,100,-100253.5,0,0,0,90.0
2023-01-13,100,-104490.4,0,0,0,90.0
2023-01-14,100,-101759.1,0,0,0,90.0
2023-01-15,90.4,-108576.8,1,1,0,90.0
2023-01-16,100,-112772.6,0,0,0,95.0
2023-01-17,100,-107037.1,0,0,0,95.0
2023-01-18,100,-102180.1,0,0,0,95.0
2023-01-19,19.9,-106485.2,1,2,0,90.0
2023-01-20,41.4,-113081.1,1,1,0,90.0
2023-01-21,96.6,-106662.1,1,2,0,90.0
2023-01-22,100,-103718.5,0,1,0,90.0
2023-01-23,100,-110569.0,0,1,0,90.0
2023-01-24,100,-120393.2,0,0,0,90.0
2023-01-25,93.3,-122304.2,4,2,0,90.0
2023-01-26,100,-123910.4,0,1,0,90.0
2023-01-27,85.2,-128958.8,8,2,0,100.0
2023-01-28,83.0,-121181.4,5,0,0,95.0
2023-01-29,17.7,-128412.8,32,2,0,100.0
2023-01-30,16.1,-122177.9,12,3,0,30.0
2023-01-31,40.2,-117191.6,29,3,0,100.0
2023-02-01,55.6,-123906.9,9,3,0,95.0
2023-02-02,95.4,-126303.4,2,2,0,90.0
2023-02-03,75.8,-128603.0,2,2,0,90.0
2023-02-04,63.1,-131587.4,1,2,0,90.0
2023-02-05,34.7,-132116.8,4,5,0,90.0
2023-02-06,100,-138402.3,0,0,0,90.0
2023-02-07,99.8,-140998.8,4,0,0,90.0
2023-02-08,100,-139183.2,0,0,0,90.0
2023-02-09,100,-130976.4,0,0,0,95.0
2023-02-10,86.1,-129640.8,2,0,0,95.0
2023-02-11,5.0,-135271.7,2,0,0,90.0
2023-02-12,88.9,-130671.9,2,2,0,90.0
2023-02-13,100,-130006.1,0,1,0,90.0
2023-02-14,100.0,-132139.7,1,0,0,95.0
2023-02-15,42.9,-126565.5,2,2,0,90.0
2023-02-16,100.0,-134436.9,1,0,0,90.0
2023-02-17,100,-142364.0,0,0,0,90.0
2023-02-18,97.8,-149065.3,2,2,0,90.0
2023-02-19,100.0,-147924.2,1,0,0,95.0
2023-02-20,100.0,-146700.1,1,0,0,90.0
2023-02-21,100,-147710.1,0,0,0,90.0
2023-02-22,100,-142658.9,0,0,0,90.0
2023-02-23,100,-144587.5,0,0,0,90.0
2023-02-24,97.6,-152427.7,2,2,0,90.0
2023-02-25,100.0,-153522.4,1,0,0,90.0
2023-02-26,100.0,-147972.9,1,1,0,90.0
2023-02-27,100,-157277.7,0,0,0,90.0
2023-02-28,99.6,-159743.1,1,0,0,90.0
2023-03-01,94.8,-157770.0,1,2,0,90.0
2023-03-02,85.6,-159966.3,1,1,1,90.0
2023-03-03,100,-157282.0,0,1,0,90.0
2023-03-04,100,-151324.7,0,0,0,90.0
