fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-28512.7,1,0,2,30.0
2023-01-02,100,-28479.7,0,0,1,35.0
2023-01-03,100,-28439.5,0,0,3,35.0
2023-01-04,100,-28400.5,0,0,0,35.0
2023-01-05,100,-28362.2,0,0,3,35.0
2023-01-06,100,-28322.1,0,0,1,35.0
2023-01-07,100,-28277.2,0,0,3,35.0
2023-01-08,100,-28232.3,0,0,1,35.0
2023-01-09,100,-28189.7,0,0,1,35.0
2023-01-10,100,-28147.8,0,0,1,35.0
2023-01-11,100,-28084.2,0,0,1,35.0
2023-01-12,100,-28027.3,0,0,2,35.0
2023-01-13,100,-27984.0,0,0,2,35.0
2023-01-14,100,-27942.9,0,0,5,35.0
2023-01-15,100,-27906.6,0,0,2,35.0
2023-01-16,100,-27869.6,0,0,2,35.0
2023-01-17,100,-27828.4,0,0,2,30.0
2023-01-18,100,-27786.0,0,0,3,35.0
2023-01-19,100,-27746.6,0,0,2,30.0
2023-01-20,100.0,-27712.1,1,0,4,35.0
2023-01-21,100,-27678.2,0,0,0,35.0
2023-01-22,100,-27634.5,0,0,0,35.0
2023-01-23,100,-27586.4,0,0,1,35.0
2023-01-24,100,-27545.2,0,0,1,35.0
2023-01-25,100.0,-27508.9,2,0,0,35.0
2023-01-26,100,-27472.1,0,0,0,35.0
2023-01-27,100.0,-27431.8,1,0,0,35.0
2023-01-28,100,-27396.7,0,0,2,35.0
2023-01-29,100,-27361.3,0,0,0,35.0
2023-01-30,100.0,-27328.2,1,0,2,35.0
2023-01-31,100,-27291.8,0,0,2,35.0
2023-02-01,100,-27260.3,0,0,3,30.0
2023-02-02,100,-27229.8,0,0,1,35.0
2023-02-03,100,-27198.8,0,0,3,35.0
2023-02-04,100,-27163.3,0,1,0,35.0
2023-02-05,100,-27134.4,0,0,0,35.0
2023-02-06,100,-27105.7,0,0,0,35.0
2023-02-07,98.4,-27075.8,1,0,2,35.0
2023-02-08,100,-27042.7,0,0,2,35.0
2023-02-09,100,-27011.0,0,0,0,30.0
2023-02-10,100,-26980.8,0,0,1,30.0
2023-02-11,100,-26951.7,0,0,0,30.0
2023-02-12,0,-9,0,0,0,-9
2023-02-13,100.0,-26894.4,1,0,3,35.0
2023-02-14,100.0,-26861.5,1,0,5,35.0
2023-02-15,100.0,-26831.5,2,0,1,30.0
2023-02-16,100.0,-26806.6,1,0,3,30.0
2023-02-17,100,-26781.2,0,0,0,35.0
2023-02-18,100.0,-26753.9,1,0,1,35.0
2023-02-19,100.0,-26726.5,1,0,1,35.0
2023-02-20,100.0,-26695.8,1,0,1,35.0
2023-02-21,100,-26668.4,0,0,4,30.0
2023-02-22,100,-26636.9,0,0,5,30.0
2023-02-23,100,-26605.9,0,0,1,35.0
2023-02-24,100,-26576.4,0,0,4,35.0
2023-02-25,100.0,-26546.8,1,0,2,35.0
2023-02-26,100.0,-26519.8,1,0,2,35.0
2023-02-27,100,-26490.2,0,0,2,35.0
2023-02-28,100,-26460.3,0,0,0,35.0
2023-03-01,99.9,-26432.0,2,0,1,35.0
2023-03-02,100.0,-26408.2,1,0,1,35.0
2023-03-03,100,-26383.6,0,0,2,35.0
2023-03-04,100,-26355.3,0,0,1,35.0
2023-03-05,100,-26325.4,0,0,2,35.0
2023-03-06,100,-26296.9,0,0,4,35.0
2023-03-07,100,-26271.1,0,0,6,35.0
2023-03-08,100,-26242.2,0,0,5,30.0
2023-03-09,100,-26213.7,0,0,3,35.0
2023-03-10,100,-26186.1,0,0,2,35.0
2023-03-11,100,-26155.0,0,0,4,35.0
2023-03-12,100,-26103.4,0,0,0,35.0
2023-03-13,100,-26058.7,0,0,7,35.0
2023-03-14,100,-26021.0,0,0,2,30.0
2023-03-15,100,-25981.4,0,0,0,35.0
2023-03-16,100,-25926.8,0,0,4,35.0
2023-03-17,100,-25887.4,0,0,4,35.0
2023-03-18,100,-25852.8,0,0,3,35.0
2023-03-19,100,-25819.5,0,0,0,35.0
2023-03-20,100,-25785.1,0,0,0,30.0
2023-03-21,100.0,-25752.5,1,0,2,30.0
2023-03-22,100,-25717.8,0,0,1,35.0
2023-03-23,100,-25682.9,0,0,6,30.0
2023-03-24,100,-25649.8,0,0,5,35.0
2023-03-25,100.0,-25603.6,1,2,3,35.0
