fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-21018.7,1,0,0,30.0
2023-01-02,100,-20640.0,0,0,0,30.0
2023-01-03,71.2,-20085.9,78,0,0,35.0
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0.4,-20326.4,63,0,0,30.0
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,1.1,-20865.2,97,0,0,30.0
2023-01-15,0,-9,9,9,9,-9
2023-01-16,0,-9,9,9,9,-9
2023-01-17,0,-9,9,9,9,-9
2023-01-18,0.6,-20711.5,34,0,0,30.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,5.1,-18710.5,58,0,0,40.0
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,19.6,-18682.7,88,0,0,40.0
2023-01-26,0,-9,0,0,0,-9
2023-01-27,26.8,-20089.7,80,0,0,40.0
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0.6,-21438.8,23,0,0,40.0
2023-01-30,3.1,-19610.6,2,0,0,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,1.1,-18825.5,2,0,0,-9
2023-02-15,2.6,-18679.3,3,0,0,15.0
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0.1,-18819.4,9,0,0,-9
2023-02-18,0.8,-18819.6,2,0,0,-9
2023-02-19,16.6,-18401.4,54,0,0,40.0
2023-02-20,4.6,-19639.7,38,0,0,40.0
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,0,-9,9,9,9,-9
2023-02-24,0,-9,9,9,9,-9
2023-02-25,5.4,-21012.5,1,0,0,30.0
2023-02-26,21.5,-20174.1,26,0,0,30.0
2023-02-27,2.0,-20141.8,97,0,0,40.0
2023-02-28,95.2,-18830.2,1,0,0,35.0
2023-03-01,92.0,-18395.6,3,0,0,35.0
2023-03-02,100.0,-17744.6,1,0,0,35.0
2023-03-03,100,-17419.5,0,0,0,35.0
2023-03-04,100,-17417.6,0,0,0,35.0
2023-03-05,100,-17253.9,0,0,0,35.0
2023-03-06,100,-17557.0,0,0,0,30.0
2023-03-07,100,-18077.7,0,0,0,30.0
2023-03-08,100,-17440.6,0,0,0,35.0
2023-03-09,100,-17561.1,0,0,0,30.0
2023-03-10,100,-17813.1,0,0,1,35.0
2023-03-11,100,-18033.9,0,0,0,35.0
2023-03-12,100,-17303.4,0,0,0,35.0
2023-03-13,100,-17252.0,0,0,0,30.0
2023-03-14,100,-17445.0,0,0,0,35.0
2023-03-15,100,-17191.6,0,0,0,35.0
2023-03-16,100,-17460.5,0,0,0,35.0
2023-03-17,100,-17651.2,0,0,0,30.0
2023-03-18,100,-17089.6,0,0,0,35.0
2023-03-19,100,-16613.3,0,0,0,35.0
2023-03-20,100,-17411.0,0,0,0,30.0
2023-03-21,100,-18084.3,0,0,0,35.0
2023-03-22,100,-17468.8,0,0,0,35.0
2023-03-23,100,-16735.7,0,0,0,35.0
2023-03-24,100,-17764.2,0,0,0,30.0
2023-03-25,100,-17133.0,0,0,0,35.0
2023-03-26,100,-16188.3,0,0,0,35.0
2023-03-27,100.0,-16313.4,1,0,0,30.0
2023-03-28,100.0,-17203.6,2,0,0,35.0
2023-03-29,100.0,-17796.8,1,0,0,30.0
2023-03-30,100.0,-17131.1,2,0,0,35.0
2023-03-31,100,-17113.5,0,0,0,35.0
2023-04-01,100,-17135.9,0,0,0,35.0
2023-04-02,100,-17214.5,0,0,0,35.0
2023-04-03,100,-16966.8,0,0,0,35.0
2023-04-04,100,-17211.4,0,0,0,35.0
2023-04-05,100.0,-17644.3,2,0,0,35.0
2023-04-06,100,-17316.7,0,0,0,30.0
2023-04-07,100,-17157.3,0,0,0,30.0
2023-04-08,100,-16928.6,0,0,0,30.0
2023-04-09,100,-16665.7,0,0,0,35.0
2023-04-10,100,-16513.1,0,0,0,30.0
2023-04-11,100,-16939.5,0,0,0,35.0
2023-04-12,100,-17686.1,0,0,0,35.0
2023-04-13,100,-17887.3,0,0,0,35.0
2023-04-14,100,-17381.4,0,0,0,35.0
2023-04-15,100,-17150.1,0,0,0,35.0
2023-04-16,100,-17005.4,0,0,0,30.0
2023-04-17,100.0,-17014.2,3,0,0,35.0
2023-04-18,100,-17155.4,0,0,0,30.0
2023-04-19,100.0,-17625.8,3,0,0,35.0
2023-04-20,100,-17928.9,0,0,0,35.0
2023-04-21,100,-17413.6,0,0,0,30.0
2023-04-22,100,-17136.0,0,0,0,30.0
2023-04-23,100,-17583.3,0,0,0,35.0
2023-04-24,100,-17454.1,0,0,0,35.0
2023-04-25,100,-17299.6,0,0,0,30.0
2023-04-26,100.0,-16975.1,1,0,0,30.0
2023-04-27,100.0,-17008.9,2,0,0,35.0
2023-04-28,100,-17019.0,0,0,0,30.0
2023-04-29,100,-16953.0,0,0,0,35.0
2023-04-30,100,-16698.7,0,0,0,30.0
2023-05-01,100,-16436.6,0,0,0,35.0
2023-05-02,100,-16450.2,0,0,0,35.0
2023-05-03,100,-16000.7,0,0,0,35.0
2023-05-04,100,-16034.2,0,0,0,40.0
2023-05-05,100,-16455.2,0,0,0,40.0
2023-05-06,100,-15809.9,0,0,0,40.0
2023-05-07,100,-15838.0,0,0,0,40.0
2023-05-08,100,-16478.7,0,0,0,40.0
2023-05-09,100,-16310.7,0,0,0,40.0
2023-05-10,100,-16309.7,0,0,0,35.0
2023-05-11,99.9,-17084.4,1,0,0,35.0
2023-05-12,100,-17465.0,0,0,0,35.0
2023-05-13,100,-17088.4,0,0,0,35.0
2023-05-14,100,-16677.6,0,0,1,35.0
2023-05-15,100,-16049.4,0,0,0,35.0
2023-05-16,100,-16295.6,0,0,0,30.0
2023-05-17,100,-16738.4,0,0,0,30.0
2023-05-18,100,-17037.3,0,0,0,35.0
2023-05-19,100,-17825.5,0,0,0,35.0
2023-05-20,100,-17495.5,0,0,0,35.0
2023-05-21,100,-17593.7,0,0,0,30.0
2023-05-22,100,-17628.4,0,0,0,30.0
2023-05-23,100,-17116.4,0,0,0,30.0
2023-05-24,100,-16893.2,0,0,0,35.0
2023-05-25,100,-16690.6,0,0,0,35.0
2023-05-26,100,-16083.7,0,0,0,35.0
2023-05-27,100,-16084.6,0,0,0,35.0
2023-05-28,100,-16567.5,0,0,1,35.0
2023-05-29,100.0,-16040.9,1,0,0,35.0
2023-05-30,100,-16527.2,0,0,0,30.0
2023-05-31,100,-16368.9,0,0,0,35.0
2023-06-01,100,-16161.0,0,0,0,35.0
2023-06-02,100,-15422.3,0,0,0,35.0
2023-06-03,99.8,-15857.3,7,0,0,35.0
2023-06-04,100,-15786.6,0,0,0,35.0
2023-06-05,100,-15769.1,0,0,0,35.0
2023-06-06,100,-15332.4,0,0,0,35.0
2023-06-07,100,-15363.1,0,0,0,35.0
2023-06-08,100,-15433.9,0,0,0,35.0
2023-06-09,100,-14985.0,0,0,0,35.0
2023-06-10,100,-14933.9,0,0,0,35.0
2023-06-11,100.0,-15184.2,1,0,0,35.0
2023-06-12,100,-14455.5,0,0,0,35.0
2023-06-13,100,-15395.1,0,0,0,35.0
2023-06-14,100,-15465.2,0,0,0,35.0
2023-06-15,100,-14678.4,0,0,0,35.0
2023-06-16,100.0,-14530.3,1,0,0,35.0
2023-06-17,100.0,-14128.0,1,0,0,35.0
2023-06-18,100,-13871.2,0,0,0,35.0
2023-06-19,100,-14582.7,0,0,0,35.0
2023-06-20,100,-14940.6,0,0,0,40.0
2023-06-21,100.0,-15481.2,2,0,0,40.0
2023-06-22,100.0,-15666.0,3,0,0,35.0
2023-06-23,100,-16075.6,0,0,0,30.0
2023-06-24,100,-16376.5,0,0,0,30.0
2023-06-25,100,-15919.7,0,0,0,35.0
2023-06-26,100,-15726.0,0,0,0,35.0
2023-06-27,100,-15898.8,0,0,0,30.0
2023-06-28,100,-16008.5,0,0,0,30.0
2023-06-29,100.0,-16122.1,1,0,0,35.0
2023-06-30,100.0,-15531.7,1,0,0,40.0
2023-07-01,100.0,-15055.9,1,0,0,35.0
2023-07-02,100,-15314.1,0,0,0,35.0
2023-07-03,100,-15680.8,0,0,0,35.0
2023-07-04,100,-16002.2,0,0,0,35.0
2023-07-05,100.0,-16383.8,1,0,0,35.0
2023-07-06,100.0,-16079.8,1,0,0,35.0
2023-07-07,100.0,-15965.0,1,0,0,35.0
2023-07-08,100,-15878.5,0,0,0,35.0
2023-07-09,100,-14934.5,0,0,0,35.0
2023-07-10,100,-14251.7,0,0,0,35.0
2023-07-11,100.0,-14668.2,1,0,0,35.0
2023-07-12,100.0,-14523.2,2,0,0,35.0
2023-07-13,99.9,-14870.7,5,0,0,35.0
2023-07-14,100.0,-15446.2,1,0,0,35.0
2023-07-15,100,-14764.4,0,0,0,35.0
2023-07-16,100,-14505.8,0,0,0,35.0
2023-07-17,100.0,-14275.9,1,0,0,35.0
2023-07-18,100,-13978.0,0,0,0,35.0
2023-07-19,100.0,-13330.7,1,0,0,35.0
2023-07-20,100,-13219.5,0,0,0,40.0
2023-07-21,100,-13871.1,0,0,0,40.0
2023-07-22,100,-13585.1,0,0,0,40.0
2023-07-23,100,-13127.7,0,0,0,35.0
2023-07-24,100.0,-14047.8,3,0,0,40.0
2023-07-26,100.0,-14903.8,1,0,0,35.0
2023-07-27,100.0,-15197.8,1,0,0,35.0
2023-07-28,100,-14756.1,0,0,0,35.0
2023-07-29,100,-14676.9,0,0,0,40.0
2023-07-30,100,-14567.7,0,0,0,35.0
2023-07-31,100,-13889.4,0,0,0,35.0
2023-08-01,100.0,-13168.0,1,0,0,35.0
2023-08-02,100.0,-12813.4,1,0,0,35.0
2023-08-03,100.0,-13281.6,1,0,0,35.0
2023-08-04,100.0,-13639.2,3,0,0,35.0
2023-08-05,100.0,-14147.1,2,0,0,35.0
2023-08-06,100,-14555.1,0,0,0,35.0
2023-08-07,100,-14489.0,0,0,0,35.0
