fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-06-17,0,-9,0,0,0,-9
2023-06-18,0,-9,0,0,0,-9
2023-06-19,0,-9,0,0,0,-9
2023-06-20,0,-9,0,0,0,-9
2023-06-21,0,-9,0,0,0,-9
2023-06-22,16.5,2928.9,2,0,0,40.0
2023-06-23,100,3165.6,0,0,0,35.0
2023-06-24,93.6,3277.0,1,1,2,35.0
2023-06-25,98.8,3310.3,1,0,2,35.0
2023-06-26,100,3383.5,0,1,1,35.0
2023-06-27,100,3485.4,0,0,0,35.0
2023-06-28,99.9,3295.5,1,0,0,35.0
2023-06-29,99.9,3090.9,2,1,2,35.0
2023-06-30,100.0,3175.0,1,0,1,35.0
2023-07-01,93.9,3143.8,2,0,0,35.0
2023-07-02,73.4,3079.4,5,2,0,35.0
2023-07-03,100,3116.6,0,0,2,35.0
2023-07-04,99.7,3162.0,3,2,2,35.0
2023-07-05,100.0,3242.0,1,0,2,35.0
2023-07-06,99.0,3163.4,2,0,1,35.0
2023-07-07,98.9,3181.0,2,0,0,35.0
2023-07-08,0.3,3482.4,2,1,0,-9
2023-07-09,5.0,3368.1,2,0,0,35.0
2023-07-10,43.9,3180.7,2,0,0,30.0
2023-07-11,100.0,3117.8,1,1,1,35.0
2023-07-12,100.0,3026.7,2,0,2,35.0
2023-07-13,99.9,3093.4,5,0,2,35.0
2023-07-14,86.2,2866.1,2,1,0,35.0
2023-07-15,100,2926.0,0,0,1,35.0
2023-07-16,100,2799.2,0,0,0,35.0
2023-07-17,100.0,2698.4,1,0,1,35.0
2023-07-18,100,2955.6,0,0,0,35.0
2023-07-19,99.7,2997.4,2,2,0,35.0
2023-07-20,99.5,3000.2,1,1,0,35.0
2023-07-21,100,3019.5,0,0,0,35.0
2023-07-22,100.0,3181.4,1,1,3,35.0
2023-07-23,100,2930.7,0,0,0,35.0
2023-07-24,100.0,2697.4,3,0,0,35.0
2023-07-26,100.0,2819.5,1,0,2,35.0
2023-07-27,100.0,3070.8,1,0,0,35.0
2023-07-28,99.8,3042.8,1,1,0,35.0
2023-07-29,100,2891.0,0,0,0,35.0
2023-07-30,100,2774.7,0,0,0,35.0
2023-07-31,100,2838.7,0,0,0,35.0
2023-08-01,100.0,2928.9,1,0,1,35.0
2023-08-02,100.0,3246.1,1,0,2,35.0
2023-08-03,64.4,3139.8,8,2,1,35.0
2023-08-04,100.0,2890.9,3,0,1,35.0
2023-08-05,100.0,2833.2,2,0,0,35.0
2023-08-06,100,2966.6,0,0,1,35.0
2023-08-07,99.9,2985.5,1,1,0,35.0
2023-08-08,100.0,2901.3,2,1,0,35.0
2023-08-09,100.0,2920.8,2,0,4,35.0
2023-08-10,100.0,3291.7,1,0,0,35.0
2023-08-11,57.5,3117.3,6,2,1,35.0
2023-08-12,100,3271.2,0,0,0,35.0
2023-08-13,90.2,3362.0,1,2,1,35.0
2023-08-14,100.0,3489.6,1,0,1,35.0
2023-08-15,100,3272.2,0,0,1,35.0
2023-08-16,100.0,3344.0,1,0,1,35.0
2023-08-17,100,3399.9,0,0,3,40.0
2023-08-18,55.2,3313.7,2,1,3,35.0
2023-08-19,100,3364.4,0,0,2,35.0
2023-08-20,94.9,3389.1,1,2,0,35.0
2023-08-21,100,3407.4,0,0,0,35.0
2023-08-22,100,3517.9,0,0,1,35.0
2023-08-23,100.0,3553.9,1,0,4,35.0
2023-08-24,100,3592.4,0,1,1,35.0
2023-08-25,95.6,3580.5,2,3,1,35.0
2023-08-26,99.9,3351.7,1,1,1,35.0
2023-08-27,99.8,3290.7,1,1,1,35.0
2023-08-28,100,3415.4,0,0,0,35.0
2023-08-29,100,3293.5,0,0,0,35.0
2023-08-30,100.0,3164.5,1,0,0,35.0
2023-08-31,100,3378.9,0,0,1,35.0
2023-09-01,99.9,3404.3,1,0,1,35.0
2023-09-02,74.7,3393.2,1,0,2,35.0
2023-09-03,5.0,3425.2,2,0,0,35.0
2023-09-04,11.7,3532.6,2,0,1,30.0
2023-09-05,100.0,3561.6,2,0,0,35.0
2023-09-06,100,3478.0,0,0,1,35.0
2023-09-07,100.0,3549.8,2,0,2,35.0
2023-09-08,100,3619.2,0,0,0,35.0
2023-09-09,39.0,3403.1,1,1,1,30.0
2023-09-10,100.0,3403.4,1,0,0,35.0
2023-09-11,100.0,3512.1,1,0,2,35.0
2023-09-12,100.0,3521.3,1,0,0,35.0
2023-09-13,100.0,3408.2,1,0,1,35.0
2023-09-14,97.7,3350.5,2,1,3,35.0
2023-09-15,89.1,3437.0,1,0,1,35.0
2023-09-16,93.3,3521.6,3,0,1,35.0
2023-09-17,100,3545.2,0,0,0,35.0
2023-09-18,100,3691.1,0,0,0,35.0
2023-09-19,100,3460.8,0,0,1,35.0
2023-09-20,100.0,3577.9,1,0,1,35.0
2023-09-21,100.0,3682.9,1,0,0,35.0
2023-09-22,100.0,3650.9,1,1,0,35.0
2023-09-23,39.9,3469.0,1,0,1,25.0
2023-09-24,46.1,3599.9,2,1,1,35.0
2023-09-25,33.2,3682.4,3,0,0,40.0
2023-09-26,96.9,3759.3,1,0,1,35.0
2023-09-27,66.5,3726.6,10,2,0,35.0
2023-09-28,77.5,3834.5,6,1,1,35.0
2023-09-29,100.0,4072.9,1,0,2,35.0
2023-09-30,63.8,3953.8,3,2,1,35.0
2023-10-01,92.8,3850.2,3,2,0,35.0
2023-10-02,100.0,3845.4,1,0,0,35.0
2023-10-03,100.0,3642.2,1,0,1,35.0
2023-10-04,43.8,3817.0,5,2,2,35.0
2023-10-05,12.3,3919.1,2,0,0,30.0
2023-10-06,54.8,4068.2,2,0,1,30.0
2023-10-07,100,4024.2,0,0,1,35.0
2023-10-08,17.7,3731.8,1,0,0,35.0
2023-10-09,6.1,3917.7,1,0,0,35.0
2023-10-10,78.2,3945.5,3,0,3,35.0
2023-10-11,30.0,3950.1,3,1,0,25.0
2023-10-12,100.0,4008.1,1,0,3,35.0
2023-10-13,100.0,3961.5,1,0,0,35.0
2023-10-14,100,3998.5,0,0,1,35.0
2023-10-15,84.0,4034.1,1,0,1,30.0
2023-10-16,73.2,4028.8,3,1,1,35.0
2023-10-17,100,4140.4,0,0,3,35.0
2023-10-18,100.0,4139.4,1,0,4,35.0
2023-10-19,100.0,4058.2,1,1,1,35.0
