fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,0,0,0,-9
2023-01-02,99.6,11014.8,3,0,0,40.0
2023-01-03,100,7086.0,0,0,0,40.0
2023-01-04,100,4922.0,0,0,0,40.0
2023-01-05,99.8,6074.7,36,0,0,40.0
2023-01-06,100,5866.0,0,0,0,40.0
2023-01-07,99.9,12450.5,21,0,0,40.0
2023-01-08,100,5932.4,0,0,0,40.0
2023-01-09,100,2107.0,0,0,0,40.0
2023-01-10,100,3667.4,0,0,0,40.0
2023-01-11,99.0,3645.3,34,0,0,40.0
2023-01-12,100,3939.0,0,0,0,40.0
2023-01-13,100,5221.0,0,0,0,45.0
2023-01-14,100,7833.3,0,0,0,40.0
2023-01-15,100,8606.2,0,0,0,40.0
2023-01-16,97.8,7706.8,2,0,0,40.0
2023-01-17,100,8107.0,0,0,0,40.0
2023-01-18,100,6911.0,0,0,0,40.0
2023-01-19,100,5549.7,0,0,0,40.0
2023-01-20,100.0,4578.4,1,0,0,45.0
2023-01-21,99.6,-1422.6,1,0,0,40.0
2023-01-22,100,344.2,0,0,0,40.0
2023-01-23,100,2833.8,0,0,0,40.0
2023-01-24,99.6,4117.7,1,0,0,45.0
2023-01-25,100.0,7540.4,2,0,0,40.0
2023-01-26,52.9,5175.4,2,0,0,25.0
2023-01-27,0,-9,9,9,9,-9
2023-01-28,100,10017.8,0,0,0,40.0
2023-01-29,95.6,7416.2,2,0,0,40.0
2023-01-30,100.0,7005.2,1,0,0,40.0
2023-01-31,100,8428.0,0,0,0,40.0
2023-02-01,100,7254.4,0,0,0,45.0
2023-02-02,100,7692.9,0,0,0,40.0
2023-02-03,100,9632.2,0,0,0,40.0
2023-02-04,100,11711.8,0,0,0,40.0
2023-02-05,100,13006.8,0,0,0,40.0
2023-02-06,100,10623.4,0,0,0,40.0
2023-02-07,99.8,18023.6,4,0,0,45.0
2023-02-08,100,16417.1,0,0,0,40.0
2023-02-09,100,21838.2,0,0,0,40.0
2023-02-10,100,19817.3,0,0,0,40.0
2023-02-11,100,19806.7,0,0,0,40.0
2023-02-12,100,21990.0,0,0,0,40.0
2023-02-13,97.8,22027.2,1,0,0,40.0
2023-02-14,100.0,24265.2,2,0,0,40.0
2023-02-15,100.0,26204.9,6,0,0,45.0
2023-02-16,99.9,25441.1,3,0,0,40.0
2023-02-17,100,18442.3,0,0,0,40.0
2023-02-18,100.0,17000.9,7,0,0,40.0
2023-02-19,99.1,16328.8,3,0,0,40.0
2023-02-20,99.0,17929.8,4,0,0,40.0
2023-02-21,100.0,17257.3,1,0,0,40.0
2023-02-22,98.2,18359.9,2,0,0,40.0
2023-02-23,95.8,19684.9,1,0,0,40.0
2023-02-24,100,18525.2,0,0,0,40.0
2023-02-25,100.0,22162.3,3,0,0,40.0
2023-02-26,100.0,23983.5,1,0,0,40.0
2023-02-27,100,25836.3,0,0,0,40.0
2023-02-28,98.0,27926.9,2,0,0,45.0
2023-03-01,100.0,28496.5,4,0,0,40.0
2023-03-02,100.0,24785.3,2,0,0,45.0
2023-03-03,100,23405.7,0,0,0,45.0
2023-03-04,100,24409.9,0,0,0,40.0
2023-03-05,100,26633.4,0,0,0,40.0
2023-03-06,98.8,27407.4,2,0,0,40.0
2023-03-07,90.8,27747.8,5,0,0,40.0
2023-03-08,98.0,27067.8,2,0,0,40.0
2023-03-09,97.5,27922.7,3,0,0,40.0
2023-03-10,99.6,24364.1,1,0,0,55.0
2023-03-11,100,22948.0,0,0,0,40.0
2023-03-12,46.8,4582.4,1,0,0,10.0
2023-03-13,83.9,1778.5,3,4,0,40.0
2023-03-14,100.0,11430.4,1,2,0,45.0
2023-03-15,100,16093.9,0,7,0,40.0
2023-03-16,100,14984.7,0,0,0,40.0
2023-03-17,100,22511.1,0,3,0,40.0
2023-03-18,100,22816.7,0,0,0,40.0
2023-03-19,100,25207.3,0,0,0,40.0
2023-03-20,100,25311.3,0,0,0,40.0
2023-03-21,100.0,24912.2,1,1,0,40.0
2023-03-22,100,22624.4,0,2,0,45.0
2023-03-23,100,22735.3,0,0,0,40.0
2023-03-24,100,25283.4,0,0,0,45.0
2023-03-25,100,29036.4,0,0,0,40.0
2023-03-26,100,28728.4,0,0,0,40.0
2023-03-27,100.0,27960.9,1,0,0,40.0
2023-03-28,100.0,28326.5,2,1,0,45.0
2023-03-29,100.0,25695.5,1,0,0,40.0
2023-03-30,100.0,25673.3,2,1,0,40.0
2023-03-31,100,26076.8,0,2,0,40.0
2023-04-01,100,29598.2,0,0,0,40.0
