fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,202140.7,1,0,0,85.0
2023-01-02,100,202179.4,0,0,2,90.0
2023-01-03,100,202212.9,0,0,4,90.0
2023-01-04,100,202259.3,0,0,1,95.0
2023-01-05,100,202296.0,0,0,2,90.0
2023-01-06,100,202377.1,0,0,2,90.0
2023-01-07,100.0,202500.7,1,0,1,90.0
2023-01-08,100,202515.6,0,0,1,90.0
2023-01-09,100,202554.7,0,0,3,95.0
2023-01-10,100,202585.0,0,0,0,90.0
2023-01-11,100,202636.6,0,0,1,95.0
2023-01-12,100,202664.9,0,0,2,95.0
2023-01-13,100,202716.8,0,0,0,95.0
2023-01-14,100,202742.9,0,0,0,90.0
2023-01-15,100,202761.3,0,0,0,90.0
2023-01-16,99.7,202759.4,2,0,0,95.0
2023-01-17,100,202826.0,0,0,1,90.0
2023-01-18,100,202847.6,0,0,3,90.0
2023-01-19,100,202872.0,0,0,2,90.0
2023-01-20,100.0,202858.8,1,0,0,95.0
2023-01-21,100,202867.9,0,0,2,90.0
2023-01-22,100,202894.5,0,0,0,90.0
2023-01-23,100,202910.1,0,0,1,90.0
2023-01-24,100,202940.7,0,0,2,90.0
2023-01-25,100.0,202881.7,2,0,1,90.0
2023-01-26,100,202902.2,0,0,5,95.0
2023-01-27,99.9,202995.2,2,0,0,95.0
2023-01-28,100,203107.2,0,0,0,90.0
2023-01-29,99.8,203202.8,1,0,1,90.0
2023-01-30,100.0,203325.7,1,0,6,95.0
2023-01-31,100,203464.4,0,0,3,95.0
2023-02-01,100,203598.4,0,0,2,95.0
2023-02-02,100,203738.1,0,0,4,90.0
2023-02-03,100,203833.0,0,0,3,90.0
2023-02-04,99.9,203864.2,1,0,4,90.0
2023-02-05,100,203832.5,0,0,5,90.0
2023-02-06,100,203842.1,0,0,1,90.0
2023-02-07,99.8,203814.7,4,0,0,95.0
2023-02-08,99.4,203790.8,2,0,2,95.0
2023-02-09,100.0,203820.6,1,0,2,95.0
2023-02-10,100,203782.2,0,0,0,95.0
2023-02-11,100,203736.2,0,0,0,90.0
2023-02-12,99.9,203671.0,1,0,1,90.0
2023-02-13,99.6,203584.0,1,0,2,95.0
2023-02-14,100.0,203588.6,1,0,0,90.0
2023-02-15,99.8,203629.6,7,0,1,90.0
2023-02-16,100.0,203641.4,1,0,3,90.0
2023-02-17,100,203650.8,0,0,2,90.0
2023-02-18,100.0,203694.5,1,0,1,90.0
2023-02-19,100.0,203736.0,1,0,2,90.0
2023-02-20,98.6,203780.6,3,0,3,95.0
2023-02-21,99.9,203816.6,2,0,3,90.0
2023-02-22,100,203830.4,0,0,2,95.0
2023-02-23,100,203880.0,0,0,2,95.0
2023-02-24,100,203985.5,0,0,1,95.0
2023-02-25,100.0,204060.7,1,0,2,90.0
2023-02-26,100.0,204113.4,1,0,1,90.0
2023-02-27,100.0,204242.4,1,0,2,90.0
2023-02-28,99.2,204278.7,1,0,6,90.0
2023-03-01,99.8,204299.2,2,0,0,90.0
2023-03-02,100.0,204337.9,1,0,0,95.0
2023-03-03,100.0,204309.9,1,0,0,90.0
2023-03-04,100.0,204322.7,1,0,2,90.0
2023-03-05,76.0,204314.1,5,0,0,90.0
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,0,-9,0,0,0,-9
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,43.8,204614.8,1,0,0,100.0
