fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,474.2,1,0,5,25.0
2023-01-02,100,475.8,0,0,2,25.0
2023-01-03,100,476.9,0,0,3,25.0
2023-01-04,100,482.8,0,0,4,25.0
2023-01-05,100,478.1,0,0,2,25.0
2023-01-06,100,478.4,0,0,2,25.0
2023-01-07,100,476.3,0,0,5,25.0
2023-01-08,100,478.7,0,0,0,25.0
2023-01-09,100,477.5,0,0,3,25.0
2023-01-10,100,481.5,0,0,0,25.0
2023-01-11,100,481.0,0,0,3,25.0
2023-01-12,100,481.9,0,0,3,25.0
2023-01-13,100,483.2,0,0,4,25.0
2023-01-14,100,483.4,0,0,5,25.0
2023-01-15,100,480.9,0,0,3,25.0
2023-01-16,100,474.3,0,0,4,25.0
2023-01-17,100,475.2,0,0,2,25.0
2023-01-18,100,478.7,0,0,0,25.0
2023-01-19,100,478.3,0,0,1,25.0
2023-01-20,100,475.7,0,1,4,25.0
2023-01-21,100,475.4,0,0,1,25.0
2023-01-22,100,476.5,0,0,4,25.0
2023-01-23,100,480.7,0,0,3,25.0
2023-01-24,100,475.0,0,0,3,25.0
2023-01-25,100,473.1,0,2,2,25.0
2023-01-26,100,471.3,0,0,5,25.0
2023-01-27,100,474.8,0,1,3,25.0
2023-01-28,100,475.6,0,0,5,25.0
2023-01-29,100,474.3,0,0,6,25.0
2023-01-30,100,467.1,0,1,6,25.0
2023-01-31,100,470.9,0,0,3,25.0
2023-02-01,100,473.5,0,0,5,25.0
2023-02-02,100,468.9,0,0,4,25.0
2023-02-03,100,463.0,0,0,5,25.0
2023-02-04,100,470.0,0,0,4,25.0
2023-02-05,100,469.4,0,0,8,25.0
2023-02-06,100,462.8,0,0,6,25.0
2023-02-07,100,465.6,0,1,6,25.0
2023-02-08,100,465.2,0,0,2,25.0
2023-02-09,100,461.0,0,0,4,25.0
2023-02-10,100,459.9,0,0,4,25.0
2023-02-11,100,452.6,0,0,5,25.0
2023-02-12,100,455.2,0,0,9,25.0
2023-02-13,100,456.8,0,0,7,25.0
2023-02-14,100,457.4,0,1,6,25.0
2023-02-15,100,465.0,0,2,6,25.0
2023-02-16,100,466.5,0,1,3,25.0
2023-02-17,100,459.5,0,0,5,25.0
2023-02-18,100,455.9,0,1,5,25.0
2023-02-19,100,456.6,0,1,8,25.0
2023-02-20,100,464.5,0,1,7,25.0
2023-02-21,100,465.6,0,0,9,25.0
2023-02-22,100,478.2,0,0,4,25.0
2023-02-23,100,473.1,0,0,3,25.0
2023-02-24,100,464.0,0,0,3,25.0
2023-02-25,100,463.0,0,1,5,25.0
2023-02-26,100,460.6,0,1,2,25.0
2023-02-27,100,459.0,0,0,5,25.0
2023-02-28,100,465.7,0,0,7,25.0
2023-03-01,100,468.4,0,1,2,25.0
2023-03-02,100,466.3,0,1,3,25.0
2023-03-03,100,460.1,0,0,7,25.0
2023-03-04,100,464.8,0,0,8,25.0
2023-03-05,100,467.4,0,0,5,25.0
2023-03-06,100,465.9,0,0,9,25.0
2023-03-07,100,465.4,0,0,5,25.0
2023-03-08,100,470.2,0,0,3,25.0
2023-03-09,100,466.1,0,0,0,25.0
2023-03-10,100,464.5,0,0,10,25.0
2023-03-11,100,471.0,0,0,6,25.0
2023-03-12,100,476.3,0,0,6,25.0
2023-03-13,100,474.0,0,0,2,25.0
2023-03-14,100,473.5,0,0,6,25.0
2023-03-15,100,471.8,0,0,7,25.0
