fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,282.3,1,0,9,25.0
2023-01-02,100,282.8,0,0,8,25.0
2023-01-03,100,282.6,0,0,3,25.0
2023-01-04,100,287.5,0,0,3,25.0
2023-01-05,100,284.1,0,0,5,25.0
2023-01-06,100,284.0,0,0,9,25.0
2023-01-07,100,282.1,0,0,5,25.0
2023-01-08,100,284.2,0,0,6,25.0
2023-01-09,100,282.8,0,0,4,25.0
2023-01-10,100,286.1,0,0,3,25.0
2023-01-11,100,285.5,0,0,6,25.0
2023-01-12,100,287.3,0,0,7,25.0
2023-01-13,100,288.0,0,0,8,25.0
2023-01-14,100,288.4,0,0,4,25.0
2023-01-15,100,286.1,0,0,4,25.0
2023-01-16,100,281.2,0,0,11,25.0
2023-01-17,100,281.5,0,0,3,25.0
2023-01-18,100,283.7,0,0,8,25.0
2023-01-19,100,284.6,0,0,5,25.0
2023-01-20,100,282.2,0,1,6,25.0
2023-01-21,100,281.8,0,0,14,25.0
2023-01-22,100,282.6,0,0,8,25.0
2023-01-23,100,286.2,0,0,6,25.0
2023-01-24,100,282.0,0,0,4,25.0
2023-01-25,100,279.9,0,2,2,25.0
2023-01-26,100,279.1,0,0,9,25.0
2023-01-27,100,281.0,0,1,9,25.0
2023-01-28,100,281.7,0,0,15,25.0
2023-01-29,100,280.7,0,0,13,25.0
2023-01-30,100,274.8,0,1,5,25.0
2023-01-31,100,277.1,0,0,8,25.0
2023-02-01,100,279.8,0,0,6,25.0
2023-02-02,100,276.9,0,0,7,25.0
2023-02-03,100,271.8,0,0,6,25.0
2023-02-04,100,277.7,0,0,9,25.0
2023-02-05,100,277.7,0,0,11,25.0
2023-02-06,100,272.7,0,0,6,25.0
2023-02-07,100,274.3,0,1,8,25.0
2023-02-08,100,274.9,0,0,7,25.0
2023-02-09,100,270.6,0,0,5,25.0
2023-02-10,100,270.2,0,0,5,25.0
2023-02-11,100,265.0,0,0,5,25.0
2023-02-12,100,266.3,0,0,8,25.0
2023-02-13,100,268.2,0,0,6,25.0
2023-02-14,100,268.0,0,1,10,25.0
2023-02-15,100,274.6,0,2,7,25.0
2023-02-16,100,275.7,0,1,7,25.0
2023-02-17,100,271.1,0,0,9,25.0
2023-02-18,100,267.3,0,1,12,25.0
2023-02-19,100,268.1,0,1,10,25.0
2023-02-20,100,272.8,0,1,11,25.0
2023-02-21,100,275.6,0,0,11,25.0
2023-02-22,100,284.2,0,0,6,25.0
2023-02-23,100,281.1,0,0,5,25.0
2023-02-24,100,274.2,0,0,5,25.0
2023-02-25,100,274.0,0,1,4,25.0
2023-02-26,100,271.4,0,1,8,25.0
2023-02-27,100,269.8,0,0,7,25.0
2023-02-28,100,274.5,0,0,12,25.0
2023-03-01,100,277.1,0,1,5,25.0
2023-03-02,100,275.4,0,1,8,25.0
2023-03-03,100,270.2,0,0,6,25.0
2023-03-04,100,274.7,0,0,13,25.0
2023-03-05,100,277.0,0,0,13,25.0
2023-03-06,100,275.7,0,0,10,25.0
2023-03-07,100,275.3,0,0,10,25.0
2023-03-08,100,279.3,0,0,7,25.0
2023-03-09,100,276.2,0,0,11,25.0
2023-03-10,100,275.1,0,0,12,25.0
2023-03-11,100,279.6,0,0,7,25.0
2023-03-12,100,283.3,0,0,10,25.0
2023-03-13,100,281.4,0,0,9,25.0
2023-03-14,100,281.3,0,0,7,25.0
2023-03-15,100,280.1,0,0,10,25.0
2023-03-16,100,280.8,0,0,5,25.0
2023-03-17,100,281.0,0,0,7,25.0
2023-03-18,100,279.9,0,0,4,25.0
2023-03-19,100,280.9,0,0,5,25.0
2023-03-20,100,282.7,0,0,4,25.0
2023-03-21,100,276.1,0,0,2,25.0
2023-03-22,100,274.5,0,0,2,25.0
2023-03-23,100,267.7,0,0,7,25.0
2023-03-24,100,267.7,0,0,7,25.0
2023-03-25,100,264.4,0,0,6,25.0
2023-03-26,100,271.4,0,0,8,25.0
2023-03-27,82.3,279.8,1,0,5,25.0
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,0,-9,0,0,0,-9
2023-04-12,0,-9,0,0,0,-9
2023-04-13,0,-9,0,0,0,-9
2023-04-14,0,-9,0,0,0,-9
2023-04-15,0,-9,0,0,0,-9
2023-04-16,0,-9,0,0,0,-9
2023-04-17,0,-9,0,0,0,-9
2023-04-18,0,-9,0,0,0,-9
2023-04-19,0,-9,0,0,0,-9
2023-04-20,0,-9,0,0,0,-9
2023-04-21,0,-9,0,0,0,-9
2023-04-22,0,-9,0,0,0,-9
2023-04-23,0,-9,0,0,0,-9
2023-04-24,0,-9,0,0,0,-9
2023-04-25,0,-9,0,0,0,-9
2023-04-26,0,-9,0,0,0,-9
2023-04-27,0,-9,0,0,0,-9
