fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,81.6,0.0,2,0,1,0.0
2023-01-02,80.3,0.0,1,0,3,0.0
2023-01-03,77.0,0.0,1,0,1,5.0
2023-01-04,77.9,-0.0,2,0,1,5.0
2023-01-05,74.0,0.1,1,0,1,5.0
2023-01-06,79.8,-1.1,3,0,1,0.0
2023-01-07,75.2,-5.6,2,0,4,5.0
2023-01-08,70.0,0.0,4,0,4,5.0
2023-01-09,63.4,-0.0,2,0,2,10.0
2023-01-10,59.7,-0.1,4,0,0,10.0
2023-01-11,50.7,-0.0,1,0,2,15.0
2023-01-12,69.9,0.0,1,0,2,10.0
2023-01-13,83.5,0.0,1,0,5,0.0
2023-01-14,88.5,0.0,1,0,5,5.0
2023-01-15,84.8,0.0,1,0,4,0.0
2023-01-16,75.5,0.0,2,0,1,0.0
2023-01-17,92.7,-0.2,2,0,2,15.0
2023-01-18,91.6,0.0,1,0,3,5.0
2023-01-19,91.2,-0.0,1,0,2,5.0
2023-01-20,91.7,0.0,2,0,3,10.0
2023-01-21,93.2,-0.0,1,0,5,15.0
2023-01-22,92.5,0.0,1,0,1,10.0
2023-01-23,91.1,0.0,1,0,1,5.0
2023-01-24,89.7,-0.0,2,0,2,5.0
2023-01-25,79.5,0.1,5,0,1,0.0
2023-01-26,88.4,-0.1,1,0,3,10.0
2023-01-27,88.0,0.1,2,0,0,10.0
2023-01-28,90.9,-0.0,2,0,2,15.0
2023-01-29,89.8,-0.0,1,0,2,10.0
2023-01-30,97.7,0.0,2,0,1,15.0
2023-01-31,84.6,0.0,2,0,1,5.0
2023-02-01,99.6,0.0,1,0,3,20.0
2023-02-02,86.1,0.0,2,0,0,10.0
2023-02-03,93.6,0.0,1,0,2,10.0
2023-02-04,87.9,-0.0,3,0,2,5.0
2023-02-05,86.6,-0.0,4,0,2,5.0
2023-02-06,84.4,0.1,3,0,8,5.0
2023-02-07,90.8,-0.0,6,0,1,10.0
2023-02-08,77.5,0.1,4,0,2,10.0
2023-02-09,85.5,-0.1,2,0,0,10.0
2023-02-10,89.1,0.1,3,0,0,10.0
2023-02-11,89.5,0.1,2,0,2,10.0
2023-02-12,83.4,-0.0,4,0,1,0.0
2023-02-13,81.4,0.1,2,0,0,0.0
2023-02-14,80.3,0.0,4,0,1,0.0
2023-02-15,83.2,-0.0,4,0,2,10.0
2023-02-16,77.8,0.1,6,0,1,10.0
2023-02-17,80.1,-1.3,9,0,1,10.0
2023-02-18,87.2,0.3,7,0,0,15.0
2023-02-19,72.5,0.2,12,0,0,10.0
2023-02-20,79.2,0.2,9,0,1,10.0
2023-02-21,69.7,-0.1,5,0,1,0.0
2023-02-22,82.3,0.0,6,0,0,5.0
2023-02-23,84.0,0.0,17,0,1,20.0
2023-02-24,82.4,0.1,12,0,3,20.0
2023-02-25,83.6,-0.1,12,0,1,20.0
2023-02-26,84.1,0.1,10,0,5,15.0
2023-02-27,87.0,3.9,7,0,3,15.0
2023-02-28,82.9,-0.0,8,0,1,10.0
2023-03-01,83.1,-1.5,10,0,5,15.0
2023-03-02,77.1,0.0,13,0,0,10.0
2023-03-03,78.5,-0.1,12,0,1,15.0
2023-03-04,77.0,-0.8,14,0,1,15.0
2023-03-05,72.2,3.8,18,1,1,10.0
2023-03-06,74.4,0.4,20,0,2,10.0
2023-03-07,70.9,-0.1,19,0,1,10.0
2023-03-08,73.7,0.2,17,0,1,5.0
2023-03-09,38.4,0.5,10,0,2,20.0
2023-03-10,45.3,-0.0,1,0,2,15.0
2023-03-11,82.0,0.1,15,0,0,15.0
2023-03-12,72.7,4.5,11,0,2,0.0
2023-03-13,55.3,0.0,6,0,3,15.0
2023-03-14,69.2,0.0,5,0,4,5.0
2023-03-15,59.3,0.0,5,0,2,10.0
2023-03-16,68.1,0.1,11,0,6,5.0
2023-03-17,41.6,0.2,2,0,1,35.0
2023-03-18,55.6,-0.0,3,0,5,10.0
2023-03-19,85.8,-0.0,8,0,1,0.0
2023-03-20,90.2,0.0,5,0,4,10.0
2023-03-21,92.0,0.0,3,0,5,10.0
2023-03-22,88.7,0.0,5,0,3,15.0
2023-03-23,90.3,0.0,5,0,4,15.0
2023-03-24,85.6,0.0,8,0,1,15.0
2023-03-25,90.1,0.0,5,0,5,15.0
2023-03-26,89.0,0.2,7,0,3,15.0
2023-03-27,89.2,0.0,8,0,2,10.0
2023-03-28,85.6,-0.1,10,0,3,10.0
2023-03-29,83.1,0.4,17,0,3,5.0
2023-03-30,85.0,-0.1,12,0,5,10.0
2023-03-31,82.7,-0.0,13,0,1,15.0
2023-04-01,80.0,-0.1,15,0,3,10.0
2023-04-02,75.4,-0.0,17,0,3,10.0
2023-04-03,80.7,0.0,16,0,2,10.0
2023-04-04,84.0,0.0,13,0,3,15.0
2023-04-05,87.5,0.0,10,0,1,10.0
2023-04-06,82.6,0.0,11,0,1,10.0
2023-04-07,75.2,-0.2,13,0,2,0.0
2023-04-08,58.1,-0.9,8,0,1,10.0
2023-04-09,74.4,0.0,5,0,1,0.0
2023-04-10,79.4,0.0,10,0,2,0.0
2023-04-11,74.4,-0.0,7,0,2,0.0
2023-04-12,51.5,0.1,6,0,2,10.0
2023-04-13,65.8,-0.0,6,0,0,5.0
2023-04-14,75.1,0.5,12,0,4,0.0
2023-04-15,76.0,-0.1,10,0,1,0.0
2023-04-16,74.9,0.1,8,0,1,10.0
2023-04-17,52.2,0.0,7,0,0,15.0
2023-04-18,72.2,-0.0,6,0,5,0.0
2023-04-19,57.4,0.8,10,0,3,10.0
2023-04-20,85.5,-0.2,11,0,3,15.0
2023-04-21,83.9,0.0,11,0,2,15.0
2023-04-22,51.5,-0.3,8,0,3,15.0
2023-04-23,79.1,0.0,6,0,3,5.0
2023-04-24,63.4,-0.3,5,0,9,10.0
2023-04-25,72.3,0.1,5,0,3,5.0
2023-04-26,73.8,-0.0,6,0,0,5.0
2023-04-27,83.0,-0.0,12,1,3,0.0
2023-04-28,71.0,0.1,9,0,2,0.0
2023-04-29,57.5,0.0,1,0,2,15.0
2023-04-30,72.9,0.1,14,0,2,5.0
2023-05-01,51.7,0.5,3,0,3,5.0
2023-05-02,75.9,-0.0,11,0,0,0.0
2023-05-03,75.2,0.0,5,0,3,0.0
2023-05-04,79.0,0.0,10,0,1,0.0
2023-05-05,64.8,0.0,11,0,2,0.0
2023-05-06,47.7,0.1,10,0,4,0.0
2023-05-07,77.3,0.5,12,0,3,0.0
2023-05-08,59.7,-0.0,5,0,4,10.0
2023-05-09,79.3,-0.0,10,0,4,5.0
2023-05-10,71.3,0.5,10,0,6,0.0
2023-05-11,54.4,0.0,3,0,2,15.0
2023-05-12,78.0,0.0,12,0,2,0.0
2023-05-13,80.5,0.0,11,0,3,5.0
2023-05-14,79.0,0.0,11,0,2,0.0
2023-05-15,71.0,-0.0,9,0,3,0.0
2023-05-16,11.1,0.1,4,0,0,5.0
2023-05-17,48.0,0.0,2,0,2,10.0
2023-05-18,63.8,0.1,2,0,2,10.0
2023-05-19,84.4,0.0,5,0,7,5.0
2023-05-20,82.5,-0.0,7,0,4,5.0
2023-05-21,60.2,0.1,3,0,2,10.0
2023-05-22,53.7,0.0,3,0,4,15.0
2023-05-23,75.1,0.0,6,0,1,0.0
2023-05-24,81.5,-0.0,4,0,3,0.0
2023-05-25,61.3,0.0,6,0,2,10.0
2023-05-26,60.6,-0.0,3,0,1,15.0
2023-05-27,46.4,0.0,5,0,1,15.0
2023-05-28,82.9,0.0,6,0,3,0.0
2023-05-29,73.0,0.0,5,0,4,5.0
2023-05-30,63.5,0.1,7,0,3,5.0
2023-05-31,66.7,0.0,2,0,1,10.0
2023-06-01,79.8,-0.0,4,0,2,0.0
2023-06-02,50.0,0.7,3,0,3,15.0
2023-06-03,62.8,0.0,4,0,3,10.0
2023-06-04,69.3,0.0,8,0,9,10.0
2023-06-05,46.1,-0.0,1,0,1,20.0
2023-06-06,53.1,0.0,2,0,2,30.0
2023-06-07,73.0,0.1,3,0,4,5.0
2023-06-08,63.6,0.0,6,0,4,5.0
2023-06-09,51.1,0.0,2,0,3,5.0
