fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-1786.1,1,1,1,20.0
2023-01-02,100,-1775.6,0,1,0,25.0
2023-01-03,45.7,-1616.2,1,0,0,30.0
2023-01-04,34.5,-2386.5,2,1,0,40.0
2023-01-05,100,-1852.6,0,3,0,40.0
2023-01-06,100,-1812.1,0,0,2,40.0
2023-01-07,100,-1813.1,0,0,1,40.0
2023-01-08,100,-1774.5,0,4,2,40.0
2023-01-09,100,-1752.5,0,1,2,40.0
2023-01-10,100,-1675.0,0,0,7,30.0
2023-01-11,45.8,-1610.2,1,0,0,35.0
2023-01-12,30.8,-2315.9,2,0,1,50.0
2023-01-13,100,-1806.0,0,1,3,35.0
2023-01-14,100,-1788.7,0,0,2,35.0
2023-01-15,100,-1752.5,0,0,2,35.0
2023-01-16,100,-1734.1,0,2,4,35.0
2023-01-17,100,-1736.9,0,0,0,35.0
2023-01-18,100,-1744.0,0,0,2,40.0
2023-01-19,100,-1740.0,0,2,4,35.0
2023-01-20,12.2,-1740.6,1,0,0,30.0
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,80.9,-1736.5,1,0,2,35.0
2023-01-25,100.0,-1733.5,2,0,0,40.0
2023-01-26,100,-1739.8,0,0,0,40.0
2023-01-27,100.0,-1733.1,1,0,0,45.0
2023-01-28,100,-1704.1,0,0,0,40.0
2023-01-29,100,-1673.2,0,1,1,45.0
2023-01-30,100.0,-1679.5,1,0,0,40.0
2023-01-31,100,-1704.0,0,0,4,40.0
2023-02-01,100,-1714.5,0,0,1,45.0
2023-02-02,100,-1690.5,0,1,0,45.0
2023-02-03,100,-1652.1,0,0,1,35.0
2023-02-04,100,-1672.9,0,1,1,40.0
2023-02-05,100,-1678.1,0,0,1,35.0
2023-02-06,100,-1684.9,0,0,9,35.0
2023-02-07,64.0,-1777.6,4,0,1,10.0
2023-02-08,100,-1687.1,0,0,1,40.0
2023-02-09,100,-1676.1,0,0,1,40.0
2023-02-10,100,-1674.3,0,1,0,40.0
2023-02-11,100,-1679.9,0,0,1,40.0
2023-02-12,100,-1680.3,0,0,1,40.0
2023-02-13,100,-1684.1,0,1,1,35.0
2023-02-14,33.0,-1600.0,1,0,0,25.0
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0,-9,0,0,0,-9
2023-02-17,11.2,-1846.0,1,0,0,40.0
2023-02-18,2.2,-1712.4,1,0,0,-9
2023-02-19,9.4,-1978.1,1,0,1,40.0
2023-02-20,24.2,-2136.1,1,0,0,75.0
2023-02-21,47.3,-1852.3,2,0,3,35.0
2023-02-22,100,-1777.7,0,0,0,40.0
2023-02-23,45.4,-1571.1,1,0,0,40.0
2023-02-24,38.5,-2406.5,2,0,3,45.0
2023-02-25,100.0,-1750.0,1,0,0,40.0
2023-02-26,48.9,-1568.3,1,0,0,40.0
2023-02-27,35.0,-1850.2,1,2,1,40.0
2023-02-28,100,-1698.4,0,1,1,30.0
2023-03-01,31.0,-1656.9,1,1,0,25.0
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,23.9,-1819.1,1,0,0,40.0
2023-03-05,100,-1638.7,0,2,1,40.0
2023-03-06,100,-1636.5,0,0,1,35.0
2023-03-07,100,-1627.4,0,0,2,35.0
2023-03-08,100,-1608.2,0,0,0,35.0
2023-03-09,58.7,-1507.2,1,0,0,35.0
2023-03-10,9.2,-2850.9,2,1,2,25.0
2023-03-11,99.3,-1812.9,2,2,3,40.0
2023-03-12,37.8,-1623.6,1,0,0,35.0
2023-03-13,22.0,-2355.7,3,1,0,30.0
2023-03-14,100,-1745.2,0,0,3,40.0
2023-03-15,45.8,-1575.9,1,0,0,35.0
2023-03-16,34.2,-2015.9,3,1,5,35.0
2023-03-17,100,-1544.4,0,0,0,35.0
2023-03-18,63.4,-1600.3,2,1,0,10.0
2023-03-19,100,-1551.7,0,0,1,40.0
2023-03-20,100,-1523.4,0,1,1,30.0
2023-03-21,100,-1525.3,0,1,0,40.0
2023-03-22,100,-1517.1,0,1,2,40.0
2023-03-23,100,-1512.6,0,0,2,40.0
2023-03-24,100,-1510.8,0,0,1,40.0
2023-03-25,100,-1511.8,0,1,1,40.0
2023-03-26,100,-1509.1,0,0,2,40.0
2023-03-27,78.4,-1484.9,1,0,0,40.0
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,14.1,-1554.1,1,0,0,35.0
2023-03-31,100,-1507.1,0,0,1,40.0
2023-04-01,100,-1501.1,0,0,2,40.0
2023-04-02,100,-1503.4,0,0,0,40.0
2023-04-03,100,-1499.2,0,0,1,35.0
2023-04-04,100,-1503.8,0,1,4,35.0
2023-04-05,100.0,-1487.6,2,1,0,40.0
2023-04-06,100,-1491.4,0,0,1,40.0
2023-04-07,100,-1500.7,0,0,1,40.0
2023-04-08,100,-1501.6,0,0,0,35.0
2023-04-09,100,-1515.4,0,0,0,35.0
2023-04-10,100,-1513.3,0,0,1,30.0
2023-04-11,100,-1497.0,0,0,1,30.0
2023-04-12,100,-1515.4,0,0,0,35.0
2023-04-13,100,-1515.5,0,0,0,35.0
2023-04-14,100,-1510.1,0,0,4,40.0
2023-04-15,100,-1513.2,0,0,1,40.0
2023-04-16,100,-1503.3,0,0,0,40.0
2023-04-17,99.9,-1499.1,3,1,0,30.0
2023-04-18,100,-1513.2,0,1,0,35.0
2023-04-19,98.2,-1523.2,2,0,1,35.0
2023-04-20,100,-1522.3,0,1,0,35.0
2023-04-21,100,-1513.8,0,0,0,40.0
2023-04-22,100,-1514.9,0,1,1,30.0
2023-04-23,100,-1514.1,0,0,1,35.0
2023-04-24,100,-1524.7,0,0,2,35.0
2023-04-25,100,-1524.6,0,1,2,30.0
2023-04-26,100.0,-1522.3,1,1,0,35.0
2023-04-27,100.0,-1520.1,2,0,0,35.0
2023-04-28,100,-1514.0,0,0,2,25.0
2023-04-29,100,-1529.7,0,0,1,25.0
2023-04-30,100,-1513.1,0,0,1,30.0
2023-05-01,35.0,-1466.5,1,0,0,25.0
2023-05-02,0,-9,0,0,0,-9
2023-05-03,32.4,-298.7,2,1,1,45.0
2023-05-04,100,-1607.0,0,0,1,35.0
2023-05-05,100,-1571.3,0,0,2,35.0
2023-05-06,100,-1562.1,0,0,2,35.0
2023-05-07,100,-1551.2,0,1,0,30.0
2023-05-08,100,-1548.9,0,0,0,30.0
2023-05-09,100,-1549.0,0,0,2,30.0
2023-05-10,100,-1524.1,0,0,3,35.0
2023-05-11,99.9,-1545.6,1,0,1,30.0
2023-05-12,100,-1541.8,0,0,2,35.0
2023-05-13,100,-1539.0,0,0,1,35.0
2023-05-14,100,-1527.1,0,0,1,40.0
2023-05-15,100,-1512.3,0,0,2,30.0
2023-05-16,23.0,-1850.5,3,0,2,45.0
2023-05-17,48.5,-1885.4,3,0,6,35.0
2023-05-18,100,-1616.8,0,0,0,30.0
2023-05-19,100,-1593.1,0,0,6,40.0
2023-05-20,100,-1562.1,0,1,1,40.0
2023-05-21,85.8,-1623.9,3,2,0,15.0
2023-05-22,73.0,-1671.3,2,2,0,10.0
2023-05-23,83.9,-1658.8,2,1,1,5.0
2023-05-24,82.1,-1666.8,2,3,0,0.0
2023-05-25,82.0,-1649.8,2,0,5,0.0
2023-05-26,76.4,-1697.7,3,0,2,10.0
2023-05-27,75.9,-1686.9,2,2,1,10.0
2023-05-28,100,-1587.4,0,0,6,40.0
2023-05-29,77.7,-1660.8,4,1,12,0.0
2023-05-30,56.8,-1900.8,3,4,10,15.0
2023-05-31,78.5,-1703.0,2,0,14,15.0
2023-06-01,100,-1549.1,0,0,7,40.0
2023-06-02,53.1,-1774.6,2,0,4,15.0
2023-06-03,100,-1613.8,0,0,9,40.0
2023-06-04,100,-1560.8,0,0,7,35.0
2023-06-05,45.2,-1823.9,2,1,9,35.0
2023-06-06,70.8,-1736.1,2,1,4,10.0
2023-06-07,100,-1612.2,0,0,6,40.0
2023-06-08,82.7,-1646.3,2,0,8,10.0
2023-06-09,59.8,-1766.0,2,0,5,15.0
2023-06-10,84.3,-1681.0,3,3,6,15.0
2023-06-11,100.0,-1598.5,1,0,7,40.0
2023-06-12,100,-1600.6,0,0,9,40.0
2023-06-13,100,-1596.6,0,0,4,40.0
2023-06-14,100,-1590.8,0,1,4,40.0
2023-06-15,100,-1578.7,0,0,8,40.0
2023-06-16,100.0,-1590.8,1,0,7,40.0
2023-06-17,100.0,-1578.6,1,0,10,40.0
2023-06-18,100,-1574.9,0,2,8,35.0
2023-06-19,100,-1585.2,0,0,13,40.0
2023-06-20,100,-1586.5,0,0,7,40.0
2023-06-21,100.0,-1584.2,2,0,8,35.0
2023-06-22,100.0,-1571.8,4,2,2,35.0
2023-06-23,100,-1559.4,0,0,9,40.0
2023-06-24,100,-1563.9,0,0,0,30.0
2023-06-25,100,-1564.0,0,0,3,30.0
2023-06-26,100,-1563.9,0,0,0,35.0
2023-06-27,100,-1575.1,0,0,1,35.0
2023-06-28,100,-1569.5,0,0,0,35.0
2023-06-29,71.5,-1695.2,3,1,1,10.0
2023-06-30,100.0,-1602.6,1,0,1,35.0
2023-07-01,100.0,-1583.1,1,1,0,30.0
2023-07-02,100,-1557.8,0,0,4,25.0
