fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,1587.9,1,1,0,5.0
2023-01-02,100,1534.7,0,1,1,0.0
2023-01-03,45.7,549.1,1,1,0,15.0
2023-01-04,34.5,3032.4,2,1,1,5.0
2023-01-05,100,1625.7,0,1,0,10.0
2023-01-06,100,1598.1,0,0,0,0.0
2023-01-07,100,1643.5,0,1,0,5.0
2023-01-08,100,1461.8,0,2,1,10.0
2023-01-09,100,1404.3,0,0,2,15.0
2023-01-10,100,1262.5,0,0,1,15.0
2023-01-11,45.8,846.3,1,0,0,10.0
2023-01-12,30.8,2976.1,2,1,1,5.0
2023-01-13,100,1610.9,0,1,3,0.0
2023-01-14,100,1608.8,0,0,0,0.0
2023-01-15,100,1376.2,0,0,1,5.0
2023-01-16,100,1516.4,0,2,1,0.0
2023-01-17,100,1499.3,0,0,0,5.0
2023-01-18,100,1519.8,0,0,4,0.0
2023-01-19,100,1499.5,0,1,0,0.0
2023-01-20,12.2,1274.0,1,0,0,0.0
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,80.9,1517.2,1,0,2,0.0
2023-01-25,100.0,1505.7,2,0,1,10.0
2023-01-26,100,1563.8,0,1,0,10.0
2023-01-27,100.0,1496.3,1,0,0,15.0
2023-01-28,100,1413.7,0,0,0,15.0
2023-01-29,100,1305.5,0,0,1,5.0
2023-01-30,100.0,1390.3,1,0,1,10.0
2023-01-31,100,1527.1,0,0,1,15.0
2023-02-01,100,1524.9,0,0,0,15.0
2023-02-02,100,1420.5,0,2,1,15.0
2023-02-03,100,1256.3,0,0,0,5.0
2023-02-04,100,1395.0,0,0,1,5.0
2023-02-05,100,1436.4,0,0,1,10.0
2023-02-06,100,1452.6,0,0,9,25.0
2023-02-07,64.0,1949.2,4,0,1,25.0
2023-02-08,100,1433.1,0,0,1,15.0
2023-02-09,100,1397.3,0,0,1,15.0
2023-02-10,100,1397.2,0,0,0,5.0
2023-02-11,100,1426.7,0,0,0,5.0
2023-02-12,100,1457.7,0,0,2,0.0
2023-02-13,100,1440.9,0,2,1,5.0
2023-02-14,33.0,837.7,1,1,0,0.0
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0,-9,0,0,0,-9
2023-02-17,11.2,2351.4,1,0,0,15.0
2023-02-18,2.2,1416.2,1,1,0,-9
2023-02-19,9.4,2516.5,1,0,0,20.0
2023-02-20,24.2,2161.6,1,0,0,80.0
2023-02-21,47.3,873.3,2,0,1,35.0
2023-02-22,100,1509.9,0,0,0,5.0
2023-02-23,45.4,513.5,1,0,0,15.0
2023-02-24,38.5,3511.2,2,1,0,20.0
2023-02-25,100.0,1395.2,1,0,0,15.0
2023-02-26,48.9,428.9,1,0,0,10.0
2023-02-27,35.0,2366.2,1,0,1,5.0
2023-02-28,100,1460.3,0,0,2,5.0
2023-03-01,31.0,1057.8,1,2,0,0.0
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,23.9,2245.8,1,0,0,5.0
2023-03-05,100,1285.7,0,0,1,15.0
2023-03-06,100,1283.0,0,0,2,5.0
2023-03-07,100,1327.0,0,0,2,5.0
2023-03-08,100,1186.8,0,0,1,10.0
2023-03-09,58.7,631.9,1,0,0,15.0
2023-03-10,9.2,3862.8,2,0,1,0.0
2023-03-11,99.3,1579.4,2,1,1,5.0
2023-03-12,37.8,847.6,1,0,0,5.0
2023-03-13,22.0,2856.4,3,1,0,0.0
2023-03-14,100,1461.9,0,0,1,5.0
2023-03-15,45.8,664.3,1,0,0,10.0
2023-03-16,34.2,2754.8,3,1,0,0.0
2023-03-17,100,1376.0,0,0,1,5.0
2023-03-18,63.4,1404.9,2,1,0,30.0
2023-03-19,100,1465.7,0,0,2,0.0
2023-03-20,100,1376.4,0,0,1,0.0
2023-03-21,100,1453.5,0,1,0,5.0
2023-03-22,100,1411.7,0,0,1,10.0
2023-03-23,100,1389.7,0,0,2,5.0
2023-03-24,100,1386.0,0,0,1,5.0
2023-03-25,100,1406.7,0,1,1,10.0
2023-03-26,100,1412.7,0,0,1,5.0
2023-03-27,78.4,1227.3,1,0,1,5.0
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,14.1,1771.1,1,0,0,5.0
2023-03-31,100,1424.8,0,0,1,0.0
2023-04-01,100,1384.1,0,0,1,15.0
2023-04-02,100,1423.3,0,0,3,10.0
2023-04-03,100,1384.1,0,0,1,5.0
2023-04-04,100,1429.2,0,0,2,10.0
2023-04-05,100.0,1253.9,2,1,0,10.0
2023-04-06,100,1258.2,0,0,2,10.0
2023-04-07,100,1265.2,0,0,2,15.0
2023-04-08,100,1246.5,0,0,0,5.0
2023-04-09,100,1396.5,0,1,0,0.0
2023-04-10,100,1396.1,0,1,1,0.0
2023-04-11,100,1180.1,0,1,2,5.0
2023-04-12,100,1365.4,0,0,1,0.0
2023-04-13,100,1396.6,0,0,1,0.0
2023-04-14,100,1344.3,0,0,1,5.0
2023-04-15,100,1371.8,0,0,1,0.0
2023-04-16,100,1238.9,0,0,2,0.0
2023-04-17,99.9,1087.6,3,1,0,10.0
2023-04-18,100,1278.9,0,0,1,5.0
2023-04-19,98.2,1360.5,2,0,1,0.0
2023-04-20,100,1369.1,0,0,0,0.0
2023-04-21,100,1252.0,0,0,1,0.0
2023-04-22,100,1201.0,0,0,0,0.0
2023-04-23,100,1294.6,0,0,0,0.0
2023-04-24,100,1342.2,0,0,4,0.0
2023-04-25,100,1351.6,0,2,1,0.0
2023-04-26,100.0,1345.7,1,0,0,0.0
2023-04-27,100.0,1321.4,2,0,2,0.0
2023-04-28,100,1248.2,0,0,2,0.0
2023-04-29,100,1299.3,0,0,2,0.0
2023-04-30,100,1155.7,0,0,1,0.0
2023-05-01,35.0,791.5,1,0,0,10.0
2023-05-02,0,-9,0,0,0,-9
2023-05-03,32.4,2859.4,2,0,0,10.0
2023-05-04,100,1465.1,0,0,2,0.0
2023-05-05,100,1425.6,0,0,3,0.0
2023-05-06,100,1438.9,0,0,2,0.0
2023-05-07,100,1380.2,0,2,1,0.0
2023-05-08,100,1428.8,0,0,2,0.0
2023-05-09,100,1453.9,0,0,2,0.0
2023-05-10,100,1223.5,0,0,2,15.0
2023-05-11,99.9,1458.2,1,0,1,0.0
2023-05-12,100,1443.8,0,0,1,0.0
2023-05-13,100,1441.2,0,0,0,0.0
2023-05-14,100,1342.0,0,0,2,0.0
2023-05-15,100,1155.2,0,0,2,5.0
2023-05-16,22.9,2081.0,3,0,1,70.0
2023-05-17,48.5,2766.7,3,0,3,0.0
2023-05-18,100,1528.8,0,0,1,0.0
2023-05-19,100,1497.6,0,0,3,0.0
2023-05-20,100,1288.1,0,1,3,0.0
2023-05-21,86.2,1341.2,2,1,2,0.0
2023-05-22,73.0,1643.6,2,2,0,10.0
2023-05-23,83.9,1678.6,2,0,2,0.0
2023-05-24,82.1,1650.2,2,2,1,0.0
2023-05-25,81.6,1507.6,3,2,2,0.0
2023-05-26,76.4,1816.8,2,1,2,5.0
