fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,465.2,1,0,0,30.0
2023-01-02,100,501.3,0,0,0,30.0
2023-01-03,100,507.9,0,0,0,30.0
2023-01-04,100,471.4,0,0,0,30.0
2023-01-05,100,513.3,0,0,0,30.0
2023-01-06,77.7,522.0,2,0,0,35.0
2023-01-07,64.2,504.1,2,0,0,40.0
2023-01-08,88.9,522.8,2,0,0,30.0
2023-01-09,64.6,468.3,2,0,1,35.0
2023-01-10,100,489.4,0,0,0,30.0
2023-01-11,100,471.1,0,0,0,30.0
2023-01-12,100,498.4,0,0,0,30.0
2023-01-13,100,502.9,0,0,0,30.0
2023-01-14,100,487.6,0,0,0,30.0
2023-01-15,100,489.2,0,0,1,30.0
2023-01-16,100,492.4,0,0,0,30.0
2023-01-17,100,481.8,0,0,0,30.0
2023-01-18,100,489.1,0,0,0,35.0
2023-01-19,100,464.9,0,0,0,30.0
2023-01-20,100,464.6,0,1,1,30.0
2023-01-21,100,503.8,0,0,0,30.0
2023-01-22,100,490.5,0,0,0,30.0
2023-01-23,100,468.7,0,0,2,30.0
2023-01-24,100,487.2,0,0,0,30.0
2023-01-25,100,466.1,0,2,0,30.0
2023-01-26,100,470.8,0,0,0,30.0
2023-01-27,100,483.4,0,1,1,30.0
2023-01-28,100,465.5,0,0,0,30.0
2023-01-29,100,486.6,0,0,0,25.0
2023-01-30,100,486.6,0,1,0,25.0
2023-01-31,100,493.5,0,0,0,30.0
2023-02-01,100,481.1,0,0,1,30.0
2023-02-02,100,476.9,0,0,0,30.0
2023-02-03,100,466.7,0,0,0,30.0
2023-02-04,100,487.7,0,0,1,30.0
2023-02-05,100,473.1,0,0,0,30.0
2023-02-06,100,465.6,0,0,0,25.0
2023-02-07,100,463.9,0,1,0,30.0
2023-02-08,100,485.9,0,0,0,30.0
2023-02-09,100,495.5,0,0,0,30.0
2023-02-10,100,480.2,0,0,1,30.0
2023-02-11,100,480.5,0,0,1,30.0
2023-02-12,100,487.9,0,0,0,35.0
2023-02-13,100,480.4,0,0,0,30.0
2023-02-14,100,486.2,0,1,0,30.0
2023-02-15,100,479.1,0,2,0,30.0
2023-02-16,100,482.0,0,1,0,35.0
2023-02-17,100,458.9,0,0,0,30.0
2023-02-18,100,482.2,0,1,0,35.0
2023-02-19,100,477.6,0,1,0,30.0
2023-02-20,100,460.2,0,1,3,30.0
2023-02-21,100,468.1,0,0,0,30.0
2023-02-22,100,500.8,0,0,0,35.0
2023-02-23,100,461.8,0,0,0,30.0
2023-02-24,100,459.9,0,0,1,30.0
2023-02-25,100,487.9,0,1,0,35.0
2023-02-26,100,463.2,0,1,0,35.0
2023-02-27,94.3,513.2,2,0,0,30.0
2023-02-28,100,979.1,0,0,0,30.0
2023-03-01,100,974.8,0,1,0,30.0
2023-03-02,100,988.9,0,1,1,30.0
2023-03-03,100,987.9,0,0,1,30.0
2023-03-04,100,977.7,0,0,0,30.0
2023-03-05,100,1004.9,0,0,1,35.0
2023-03-06,100,983.0,0,0,1,30.0
2023-03-07,100,1012.0,0,0,1,35.0
2023-03-08,100,-2559.7,0,0,1,25.0
2023-03-09,100,1005.5,0,0,0,35.0
2023-03-10,84.9,982.7,2,0,1,30.0
2023-03-11,100,988.4,0,0,1,30.0
2023-03-12,86.7,973.1,2,0,0,30.0
2023-03-13,100,1003.1,0,0,1,30.0
2023-03-14,100,966.6,0,0,2,30.0
2023-03-15,100,1004.4,0,0,1,30.0
2023-03-16,79.8,992.1,2,0,1,35.0
2023-03-17,85.0,975.4,2,0,0,30.0
2023-03-18,79.0,998.3,2,0,2,30.0
2023-03-19,100,974.8,0,0,1,25.0
2023-03-20,89.2,667.6,2,0,0,25.0
2023-03-21,100,-2771.1,0,0,2,25.0
2023-03-22,100,-4753.7,0,0,0,25.0
2023-03-23,100,-11801.4,0,0,0,20.0
2023-03-24,100,-11737.5,0,0,0,20.0
2023-03-25,100,-8351.0,0,0,0,25.0
2023-03-26,100,-3368.2,0,0,0,25.0
2023-03-27,100,-3662.4,0,1,0,25.0
2023-03-28,85.5,-6786.1,2,1,0,25.0
2023-03-29,100,-8964.7,0,1,1,20.0
2023-03-30,100,-11423.3,0,2,0,10.0
2023-03-31,100,-7108.2,0,0,0,20.0
2023-04-01,100,-15044.2,0,0,0,25.0
2023-04-02,100,-13148.7,0,0,0,20.0
2023-04-03,100,-14724.4,0,0,0,25.0
2023-04-04,100,-10605.7,0,0,0,10.0
2023-04-05,84.2,-31233.7,2,1,0,25.0
2023-04-06,100,-4546.8,0,0,0,25.0
2023-04-07,100,-7269.2,0,0,0,25.0
2023-04-08,81.5,-8517.1,2,0,0,25.0
2023-04-09,100,-5885.5,0,0,0,25.0
2023-04-10,100,-12604.3,0,0,2,20.0
2023-04-11,100,-17163.8,0,0,0,25.0
2023-04-12,100,-12540.3,0,0,0,25.0
2023-04-13,93.0,-4185.0,2,0,0,25.0
2023-04-14,100,-4943.1,0,0,0,25.0
2023-04-15,100,-11305.9,0,0,1,25.0
2023-04-16,100,-15052.6,0,0,0,25.0
2023-04-17,94.6,-20541.2,2,2,0,25.0
2023-04-18,100,-5075.2,0,0,0,25.0
2023-04-19,100,-6340.9,0,3,0,25.0
2023-04-20,100,-14364.2,0,0,0,20.0
2023-04-21,94.6,-27386.9,2,0,0,25.0
2023-04-22,100,-8211.0,0,0,0,25.0
2023-04-23,100,-4966.8,0,0,0,25.0
2023-04-24,100,-7249.8,0,0,0,25.0
2023-04-25,79.3,-15320.9,2,0,0,30.0
2023-04-26,100,-13453.0,0,1,0,20.0
2023-04-27,100,-22996.6,0,2,2,15.0
2023-04-28,83.5,-32558.8,2,0,1,25.0
2023-04-29,100,-21233.4,0,0,0,25.0
2023-04-30,100,-17070.2,0,0,0,25.0
2023-05-01,82.5,-15076.8,2,0,0,25.0
2023-05-02,100,-9761.1,0,0,0,25.0
2023-05-03,100,-8591.2,0,0,0,25.0
2023-05-04,100,-10781.2,0,0,0,25.0
2023-05-05,100,-16395.5,0,0,1,20.0
2023-05-06,100,-21333.3,0,0,0,15.0
2023-05-07,100,-23080.1,0,0,0,20.0
2023-05-08,100,-23301.6,0,0,0,15.0
2023-05-09,100,-18311.0,0,0,0,20.0
2023-05-10,100,-21467.6,0,0,0,5.0
2023-05-11,100,-22982.6,0,1,0,20.0
2023-05-12,100,-13970.8,0,0,0,20.0
2023-05-13,100,-6990.8,0,0,2,20.0
2023-05-14,100,-20287.3,0,0,0,15.0
2023-05-15,100,-29477.1,0,0,0,15.0
2023-05-16,100,-27116.1,0,0,0,10.0
2023-05-17,100,-7503.5,0,0,1,20.0
2023-05-18,100,986.2,0,0,0,30.0
2023-05-19,100,-471.0,0,0,0,20.0
2023-05-20,100,-4858.3,0,0,0,5.0
2023-05-21,100,-5666.2,0,0,0,15.0
2023-05-22,100,254.2,0,0,1,30.0
2023-05-23,100,1011.7,0,0,0,30.0
2023-05-24,100,991.5,0,0,1,30.0
2023-05-25,100,994.4,0,0,4,30.0
2023-05-26,100,992.0,0,0,0,30.0
2023-05-27,100,985.6,0,0,0,30.0
2023-05-28,100,1007.0,0,0,2,30.0
2023-05-29,100,988.3,0,1,0,30.0
2023-05-30,100,1003.3,0,0,1,35.0
2023-05-31,100,990.7,0,0,1,30.0
2023-06-01,100,1024.1,0,0,1,35.0
2023-06-02,100,991.4,0,0,0,35.0
2023-06-03,100,999.3,0,0,0,35.0
2023-06-04,100,1000.3,0,0,1,35.0
2023-06-05,100,1003.0,0,0,0,35.0
2023-06-06,100,1027.8,0,0,0,35.0
2023-06-07,100,998.1,0,0,0,35.0
2023-06-08,100,1003.4,0,0,0,35.0
2023-06-09,100,998.6,0,0,0,35.0
2023-06-10,100,991.2,0,0,1,35.0
2023-06-11,100,997.1,0,1,1,35.0
2023-06-12,100,996.9,0,0,1,35.0
2023-06-13,100,1000.8,0,0,0,35.0
2023-06-14,100,1013.3,0,0,0,35.0
2023-06-15,100,1014.5,0,0,0,35.0
2023-06-16,100,1001.8,0,1,0,35.0
2023-06-17,100.0,1020.2,1,0,1,40.0
2023-06-18,100,1004.0,0,0,3,35.0
2023-06-19,100,997.8,0,0,2,35.0
2023-06-20,100,994.0,0,0,0,35.0
2023-06-21,100,999.6,0,2,0,35.0
2023-06-22,100,1016.4,0,4,0,45.0
2023-06-23,100,1021.3,0,0,0,35.0
2023-06-24,100,994.7,0,0,0,35.0
2023-06-25,100,1024.5,0,0,0,40.0
2023-06-26,100,1006.5,0,0,1,40.0
2023-06-27,100,985.0,0,0,2,30.0
2023-06-28,100,993.6,0,0,0,35.0
2023-06-29,100.0,996.4,1,0,0,40.0
2023-06-30,100.0,1008.6,1,0,1,40.0
2023-07-01,100.0,1010.7,1,0,0,40.0
2023-07-02,100,1021.2,0,0,0,40.0
2023-07-03,100,1001.5,0,0,1,40.0
2023-07-04,100,1007.8,0,0,0,40.0
2023-07-05,100.0,1019.3,1,0,0,40.0
2023-07-06,100.0,993.2,1,0,0,40.0
2023-07-07,100.0,1003.5,1,0,0,35.0
2023-07-08,100,1003.4,0,0,0,40.0
2023-07-09,100,993.6,0,0,0,35.0
2023-07-10,100,999.1,0,0,1,40.0
2023-07-11,100.0,995.4,1,0,0,40.0
2023-07-12,100,996.8,0,2,0,40.0
2023-07-13,100.0,1001.0,1,3,0,35.0
2023-07-14,100,1018.6,0,1,1,40.0
2023-07-15,100,999.4,0,0,0,40.0
2023-07-16,100,986.8,0,0,0,40.0
2023-07-17,36.5,1022.1,2,0,1,40.0
2023-07-18,0,-9,0,0,0,-9
2023-07-19,0,-9,0,0,0,-9
2023-07-20,0,-9,0,0,0,-9
2023-07-21,0,-9,0,0,0,-9
2023-07-22,0,-9,0,0,0,-9
