fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-27,0,-9,0,0,0,-9
2023-09-28,14.8,6426.8,1,0,0,-9
2023-09-29,99.8,3033.7,5,0,2,-9
2023-09-30,100,3698.1,0,0,1,-9
2023-10-01,100,3279.3,0,0,0,-9
2023-10-02,100.0,1376.5,1,0,0,-9
2023-10-03,100.0,1409.2,1,0,0,-9
2023-10-04,100.0,-1842.2,1,0,0,10.0
2023-10-05,100.0,3871.3,1,0,0,0.0
2023-10-06,99.9,3077.8,2,0,1,0.0
2023-10-07,100,2083.2,0,0,2,0.0
2023-10-08,100,201.2,0,0,0,10.0
2023-10-09,100.0,3972.1,1,0,0,0.0
2023-10-10,100.0,3317.0,1,0,1,0.0
2023-10-11,100.0,2081.7,1,0,1,0.0
2023-10-12,100.0,3222.4,1,0,1,0.0
2023-10-13,100.0,2860.4,1,0,1,0.0
2023-10-14,100,494.3,0,0,0,0.0
2023-10-15,100,3411.8,0,0,0,0.0
2023-10-16,100,139.5,0,0,0,0.0
2023-10-17,100.0,3300.0,1,0,3,5.0
2023-10-18,100.0,3453.7,1,0,0,0.0
2023-10-19,100.0,3355.1,1,0,1,0.0
2023-10-20,100.0,-2.0,2,0,3,5.0
2023-10-21,100.0,2567.3,1,0,1,5.0
2023-10-22,100,2206.0,0,0,0,0.0
2023-10-22,100.0,2206.0,1,0,0,0.0
2023-10-23,100,3237.1,0,0,0,0.0
2023-10-24,100,2035.9,0,0,2,0.0
2023-10-25,100.0,-789.4,2,0,1,5.0
2023-10-26,100.0,2294.1,1,0,3,5.0
2023-10-27,100,1527.2,0,0,3,5.0
2023-10-28,100,2494.8,0,0,0,0.0
2023-10-29,100,2741.4,0,0,0,0.0
2023-10-30,100.0,2369.2,1,0,1,0.0
2023-10-31,100,1989.2,0,0,3,0.0
2023-11-01,100,704.3,0,0,0,0.0
2023-11-02,100.0,2349.8,1,0,0,0.0
2023-11-03,100,2577.3,0,0,0,0.0
2023-11-04,100,2709.3,0,0,0,0.0
2023-11-05,100,2529.1,0,0,0,0.0
2023-11-06,100,-386.7,0,0,0,0.0
2023-11-07,100.0,2781.8,2,0,0,0.0
2023-11-08,100,4087.1,0,0,1,0.0
2023-11-09,100.0,3640.4,5,0,0,0.0
2023-11-10,100.0,2789.6,4,0,0,0.0
2023-11-11,100,2505.6,0,0,0,0.0
2023-11-12,100,2571.8,0,0,0,0.0
2023-11-13,100,2817.9,0,0,0,0.0
2023-11-14,100,2658.5,0,0,0,0.0
2023-11-15,100,600.5,0,0,0,0.0
2023-11-16,100,2732.1,0,0,0,0.0
2023-11-17,100.0,2872.1,2,0,0,0.0
2023-11-18,100,581.3,0,0,0,0.0
2023-11-19,100,-666.8,0,0,0,0.0
2023-11-20,100.0,3617.0,1,0,1,0.0
2023-11-21,100.0,2845.8,1,0,0,0.0
2023-11-22,100,1736.8,0,0,2,0.0
2023-11-23,100.0,3092.2,2,0,0,0.0
2023-11-24,100.0,3299.0,1,0,0,0.0
2023-11-25,100.0,1742.0,1,0,0,0.0
2023-11-26,100,2740.2,0,0,1,0.0
2023-11-27,100,3104.3,0,0,0,0.0
2023-11-28,100.0,2757.8,2,0,0,0.0
2023-11-29,100,2592.7,0,0,0,0.0
2023-11-30,100.0,2469.1,1,0,1,0.0
2023-12-01,100,1993.2,0,0,0,0.0
2023-12-02,100,1836.4,0,0,4,0.0
2023-12-03,100,1961.5,0,0,0,0.0
2023-12-04,100,2232.8,0,0,0,0.0
2023-12-05,100,2498.9,0,0,0,0.0
2023-12-06,100,2463.2,0,0,0,0.0
2023-12-07,100,2237.9,0,0,0,0.0
2023-12-08,100,2580.8,0,0,0,0.0
2023-12-09,100,2900.6,0,0,0,0.0
2023-12-10,100,2672.4,0,0,1,0.0
2023-12-11,100,3095.6,0,0,0,0.0
2023-12-12,100,2711.9,0,0,0,0.0
2023-12-13,100,2414.2,0,0,0,0.0
2023-12-14,100.0,2558.7,1,0,0,0.0
2023-12-15,100,2328.8,0,0,2,0.0
2023-12-16,100.0,3190.2,1,0,0,0.0
2023-12-17,100,2324.0,0,0,0,0.0
2023-12-17,100.0,2324.0,1,0,0,0.0
2023-12-18,100,2048.8,0,0,0,0.0
2023-12-19,100.0,2202.6,1,0,1,0.0
2023-12-20,100,2758.3,0,0,0,0.0
2023-12-21,100.0,1475.7,1,0,0,0.0
2023-12-22,100,2442.7,0,0,0,0.0
2023-12-23,100,2691.9,0,0,1,0.0
2023-12-24,100,2675.2,0,0,2,0.0
2023-12-25,100,2807.3,0,0,1,0.0
2023-12-26,100,2397.2,0,0,0,0.0
2023-12-27,100,1559.7,0,0,0,0.0
2023-12-28,100,2246.0,0,0,0,0.0
2023-12-29,100,1322.3,0,0,0,0.0
2023-12-30,100,3001.3,0,0,0,0.0
2023-12-31,100,3259.6,0,0,0,0.0
2024-01-01,100.0,1451.0,1,0,4,0.0
2024-01-02,100.0,2574.0,1,0,0,0.0
2024-01-03,100.0,2549.5,1,0,0,0.0
2024-01-04,100,2546.4,0,0,0,0.0
2024-01-05,100,2285.3,0,0,1,0.0
2024-01-06,17.7,-5918.8,2,0,0,0.0
2024-01-07,0,-9,0,0,0,-9
2024-01-08,41.6,28023.4,1,0,1,0.0
2024-01-09,100.0,2576.6,1,0,0,0.0
2024-01-10,100,2506.7,0,0,0,0.0
2024-01-11,100,2925.2,0,0,1,0.0
2024-01-12,100,3003.5,0,0,1,0.0
2024-01-13,31.6,-2837.8,1,0,0,0.0
2024-01-14,0,-9,0,0,0,-9
2024-01-15,42.6,35871.9,1,0,1,0.0
2024-01-16,100,2884.3,0,0,0,0.0
2024-01-17,100,2976.3,0,0,3,5.0
2024-01-18,100,3148.1,0,0,0,0.0
2024-01-19,100,3088.9,0,0,2,0.0
2024-01-20,100.0,3378.0,1,0,1,0.0
2024-01-21,100,3294.9,0,0,1,-9
2024-01-22,100.0,3182.8,1,0,1,0.0
2024-01-23,46.3,-5056.5,2,0,0,0.0
2024-01-24,41.6,32746.5,1,0,1,0.0
2024-01-25,100.0,3458.1,3,0,0,0.0
2024-01-26,100.0,3156.2,3,0,0,0.0
2024-01-27,100,3284.5,0,0,2,0.0
2024-01-28,100,3808.7,0,0,2,0.0
2024-01-29,100.0,3263.6,7,0,0,0.0
2024-01-30,100,4058.7,0,0,0,0.0
2024-01-31,100.0,3545.7,1,0,0,0.0
2024-02-01,100.0,3354.4,1,0,0,0.0
2024-02-02,99.9,27.9,5,0,0,0.0
2024-02-03,33.2,-1260.4,1,0,0,5.0
2024-02-04,38.8,29730.2,1,0,1,0.0
2024-02-05,100,2915.8,0,0,0,0.0
2024-02-06,100,1600.7,0,0,0,0.0
2024-02-07,100,506.2,0,0,0,5.0
2024-02-08,8.2,-3460.4,2,0,0,5.0
2024-02-09,42.8,27428.0,1,0,0,0.0
2024-02-10,100,4099.2,0,0,0,0.0
2024-02-11,100,4433.1,0,0,0,0.0
2024-02-12,100.0,3951.5,1,0,0,0.0
2024-02-13,100.0,4460.6,1,0,0,0.0
2024-02-14,100.0,4236.2,1,0,0,0.0
2024-02-15,100.0,4429.7,1,0,3,0.0
2024-02-16,100.0,4922.5,2,0,0,0.0
2024-02-17,100,4935.7,0,0,0,0.0
2024-02-18,100,5096.5,0,0,0,0.0
2024-02-19,100.0,4783.8,1,0,2,0.0
2024-02-20,100,4387.5,0,0,1,0.0
2024-02-21,100,3878.6,0,0,0,0.0
2024-02-22,100,25.2,0,0,1,5.0
2024-02-23,100,2771.8,0,0,4,0.0
2024-02-24,100,3341.1,0,0,0,0.0
2024-02-25,100,3245.4,0,0,0,0.0
2024-02-26,100,3752.6,0,0,0,0.0
2024-02-27,100,3593.6,0,0,0,0.0
2024-02-28,100,3728.7,0,0,0,0.0
