fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-521.3,1,0,6,0.0
2023-01-02,100,-479.6,0,0,7,0.0
2023-01-03,100,-514.6,0,0,2,0.0
2023-01-04,100,-614.0,0,0,0,0.0
2023-01-05,100,-654.0,0,0,3,0.0
2023-01-06,100,-771.7,0,0,6,0.0
2023-01-07,100,647.1,0,0,4,0.0
2023-01-08,100,-187.1,0,0,4,0.0
2023-01-09,100,-221.4,0,0,3,0.0
2023-01-10,100,-258.9,0,0,4,0.0
2023-01-11,100,914.7,0,0,2,0.0
2023-01-12,100,375.6,0,0,6,0.0
2023-01-13,100,116.7,0,0,4,0.0
2023-01-14,100,-213.0,0,0,9,10.0
2023-01-15,100,-182.1,0,0,4,0.0
2023-01-16,100,-152.7,0,0,7,0.0
2023-01-17,100,-126.0,0,0,4,0.0
2023-01-18,100,-140.8,0,0,3,0.0
2023-01-19,100,-118.8,0,0,8,0.0
2023-01-20,100,-103.8,0,1,7,0.0
2023-01-21,100,-76.6,0,0,3,0.0
2023-01-22,100,-71.0,0,0,7,5.0
2023-01-23,100,-79.7,0,0,8,0.0
2023-01-24,100,-58.3,0,0,0,0.0
2023-01-25,100,-57.8,0,2,3,0.0
2023-01-26,100,-84.9,0,0,7,20.0
2023-01-27,100,-101.1,0,1,8,20.0
2023-01-28,100,-116.4,0,0,3,10.0
2023-01-29,100,-140.8,0,0,11,10.0
2023-01-30,100,-149.2,0,1,11,15.0
2023-01-31,100,-161.5,0,0,5,15.0
2023-02-01,100,-173.3,0,0,2,20.0
2023-02-02,100,-197.7,0,0,2,0.0
2023-02-03,100,-240.9,0,0,3,0.0
2023-02-04,100,-236.1,0,0,2,0.0
2023-02-05,100,-196.1,0,0,2,0.0
2023-02-06,100,-213.1,0,0,7,25.0
2023-02-07,100,-214.1,0,1,12,0.0
2023-02-08,100,-225.6,0,0,7,0.0
2023-02-09,100,-247.4,0,0,9,0.0
2023-02-10,100,-470.7,0,0,13,0.0
2023-02-11,100,-139.2,0,0,15,0.0
2023-02-12,100,-149.1,0,0,10,0.0
2023-02-13,100,-264.3,0,0,10,0.0
2023-02-14,100,-277.8,0,1,15,0.0
2023-02-15,100,-315.9,0,2,7,0.0
2023-02-16,100,827.4,0,1,15,0.0
2023-02-17,100,-196.9,0,0,2,0.0
2023-02-18,100,-282.5,0,1,5,0.0
2023-02-19,100,-253.8,0,1,5,0.0
2023-02-20,100,-193.5,0,1,9,0.0
2023-02-21,100,-186.8,0,0,6,0.0
2023-02-22,100,-177.7,0,0,4,0.0
2023-02-23,100,-217.0,0,0,9,0.0
2023-02-24,100,-208.1,0,0,5,0.0
2023-02-25,100,-231.2,0,1,8,0.0
2023-02-26,100,-190.8,0,1,7,0.0
2023-02-27,100,-198.3,0,0,7,0.0
2023-02-28,100,-335.3,0,0,13,0.0
2023-03-01,100,-426.6,0,1,6,0.0
2023-03-02,100,-231.9,0,1,3,0.0
2023-03-03,100,-209.6,0,0,8,0.0
2023-03-04,100,-137.8,0,0,11,0.0
2023-03-05,100,-631.4,0,0,11,0.0
2023-03-06,100,-315.9,0,0,5,0.0
2023-03-07,100,-247.4,0,0,7,0.0
2023-03-08,100,-252.2,0,0,8,0.0
2023-03-09,100,2322.6,0,0,1,0.0
2023-03-10,100,226.8,0,0,12,5.0
2023-03-11,100,-1573.3,0,0,3,10.0
2023-03-12,100,-1642.1,0,0,2,0.0
2023-03-13,100,-784.9,0,0,9,0.0
2023-03-14,100,-645.9,0,0,5,0.0
2023-03-15,100,-519.0,0,0,8,0.0
