fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-13738.9,1,0,0,35.0
2023-01-02,100,-13699.8,0,0,0,35.0
2023-01-03,100,-13653.7,0,0,0,35.0
2023-01-04,100,-13605.6,0,0,0,35.0
2023-01-05,100,-13538.3,0,0,0,35.0
2023-01-06,100,-13473.9,0,0,2,35.0
2023-01-07,100,-13491.8,0,0,1,35.0
2023-01-08,100,-13554.3,0,0,2,35.0
2023-01-09,100,-13599.4,0,0,0,35.0
2023-01-10,100,-13630.1,0,0,0,35.0
2023-01-11,100,-13581.6,0,0,1,35.0
2023-01-12,100,-13410.3,0,0,2,35.0
2023-01-13,100,-13210.0,0,0,0,35.0
2023-01-14,100,-13227.4,0,0,1,35.0
2023-01-15,100,-13258.0,0,0,0,35.0
2023-01-16,100,-13288.8,0,0,0,35.0
2023-01-17,100,-13321.4,0,0,1,35.0
2023-01-18,100,-13335.3,0,0,1,35.0
2023-01-19,100,-13360.7,0,0,2,35.0
2023-01-20,100,-13365.5,0,1,0,35.0
2023-01-21,100,-13363.4,0,0,0,35.0
2023-01-22,100,-13364.4,0,0,0,35.0
2023-01-23,100,-13371.1,0,0,0,35.0
2023-01-24,100,-13358.3,0,0,0,35.0
2023-01-25,100,-13345.4,0,2,0,35.0
2023-01-26,100,-13329.9,0,0,1,35.0
2023-01-27,100,-13300.1,0,1,0,35.0
2023-01-28,100,-13268.0,0,0,1,35.0
2023-01-29,100,-13225.2,0,0,1,35.0
2023-01-30,100,-13194.8,0,1,0,35.0
2023-01-31,100,-13142.9,0,0,1,35.0
2023-02-01,100,-13095.1,0,0,1,35.0
2023-02-02,100,-13031.7,0,0,1,35.0
2023-02-03,100,-12988.2,0,0,2,35.0
2023-02-04,100,-12959.7,0,0,2,35.0
2023-02-05,100,-12933.3,0,0,2,35.0
2023-02-06,100,-12906.5,0,0,0,35.0
2023-02-07,100,-12889.2,0,1,1,35.0
2023-02-08,100,-12863.1,0,0,1,35.0
2023-02-09,100,-12831.5,0,0,0,35.0
2023-02-10,100,-12812.4,0,0,1,35.0
2023-02-11,100,-12814.3,0,0,1,35.0
2023-02-12,100,-12808.9,0,0,1,35.0
2023-02-13,100,-12787.2,0,0,0,35.0
2023-02-14,100,-12781.7,0,1,2,35.0
2023-02-15,100,-12770.1,0,2,2,35.0
2023-02-16,100,-12715.8,0,1,1,35.0
2023-02-17,100,-12760.3,0,0,0,35.0
2023-02-18,100,-12795.8,0,1,1,35.0
2023-02-19,100,-12818.8,0,1,2,35.0
2023-02-20,100,-12834.3,0,1,0,35.0
2023-02-21,100,-12833.4,0,0,1,35.0
2023-02-22,100,-12823.4,0,0,0,35.0
2023-02-23,100,-12802.5,0,0,0,35.0
2023-02-24,100,-12753.4,0,0,1,35.0
2023-02-25,100,-12688.4,0,1,3,35.0
2023-02-26,100,-12622.4,0,1,0,35.0
2023-02-27,100,-12557.3,0,0,1,35.0
2023-02-28,100,-12515.3,0,0,1,35.0
2023-03-01,100,-12492.0,0,1,1,35.0
2023-03-02,100,-12492.7,0,1,1,35.0
2023-03-03,100,-12478.1,0,0,3,35.0
2023-03-04,100,-12474.2,0,0,1,35.0
2023-03-05,100,-12462.5,0,0,4,35.0
2023-03-06,100,-12486.2,0,0,0,35.0
2023-03-07,100,-12514.0,0,0,1,35.0
2023-03-08,100,-12532.8,0,0,2,35.0
2023-03-09,100,-12381.6,0,0,2,35.0
2023-03-10,100,-12361.8,0,0,2,35.0
2023-03-11,100,-12261.4,0,0,0,35.0
2023-03-12,100,-12606.9,0,0,0,35.0
2023-03-13,100,-12735.8,0,0,0,35.0
2023-03-14,100,-12801.3,0,0,0,35.0
2023-03-15,100,-12876.7,0,0,0,35.0
2023-03-16,100,-12921.7,0,0,0,35.0
2023-03-17,100,-12965.0,0,0,0,35.0
2023-03-18,100,-13019.5,0,0,2,40.0
2023-03-19,100,-13066.7,0,0,0,35.0
2023-03-20,100,-13103.0,0,0,0,35.0
2023-03-21,100,-13126.2,0,0,1,35.0
2023-03-22,100,-13141.4,0,0,1,35.0
2023-03-23,100,-13154.9,0,0,3,35.0
2023-03-24,100,-13171.3,0,0,1,35.0
2023-03-25,100,-13183.3,0,0,2,35.0
2023-03-26,100,-13136.8,0,0,3,35.0
2023-03-27,100,-13093.7,0,1,1,35.0
2023-03-28,100,-13090.6,0,2,0,35.0
2023-03-29,100,-13112.4,0,1,1,35.0
2023-03-30,100,-13114.0,0,2,3,35.0
2023-03-31,100,-13123.3,0,0,0,35.0
2023-04-01,100,-13081.3,0,0,1,35.0
2023-04-02,100,-12972.0,0,0,1,35.0
2023-04-03,100,-12974.0,0,0,0,35.0
2023-04-04,100,-12999.2,0,0,0,35.0
2023-04-05,100,-13020.9,0,2,0,35.0
2023-04-06,100,-13038.2,0,0,1,35.0
2023-04-07,100,-13065.4,0,0,0,35.0
2023-04-08,100,-13070.8,0,0,3,35.0
2023-04-09,100,-13021.4,0,0,1,35.0
2023-04-10,100,-12977.6,0,0,3,35.0
2023-04-11,100,-12986.3,0,0,2,35.0
2023-04-12,100,-12983.2,0,0,2,35.0
2023-04-13,100,-12999.1,0,0,0,35.0
2023-04-14,100,-13032.9,0,0,3,35.0
2023-04-15,100,-13063.2,0,0,4,35.0
2023-04-16,100,-13048.9,0,0,0,35.0
2023-04-17,100,-13041.5,0,3,0,35.0
2023-04-18,100,-13059.8,0,0,0,35.0
2023-04-19,100,-13074.2,0,3,2,35.0
2023-04-20,100,-13093.5,0,0,0,35.0
2023-04-21,100,-13062.7,0,0,0,35.0
2023-04-22,100,-13062.1,0,0,3,35.0
2023-04-23,100,-13022.7,0,0,1,35.0
2023-04-24,100,-12984.9,0,0,6,35.0
2023-04-25,100,-12995.8,0,0,0,35.0
2023-04-26,100,-13033.1,0,1,1,35.0
2023-04-27,100,-13090.0,0,2,1,35.0
2023-04-28,100,-13110.3,0,0,6,35.0
2023-04-29,100,-13159.6,0,0,4,35.0
2023-04-30,100,-13180.4,0,0,0,35.0
2023-05-01,100,-13221.3,0,0,4,35.0
2023-05-02,100,-13242.4,0,0,2,35.0
2023-05-03,100,-13262.3,0,0,2,35.0
2023-05-04,100,-13262.4,0,0,0,35.0
2023-05-05,100,-13248.9,0,0,1,35.0
2023-05-06,100,-13229.4,0,0,1,35.0
2023-05-07,100,-13240.8,0,0,1,35.0
2023-05-08,100,-13284.4,0,0,0,35.0
2023-05-09,100,-13280.1,0,0,2,35.0
2023-05-10,100,-13262.9,0,0,0,35.0
2023-05-11,100,-13315.1,0,1,0,35.0
2023-05-12,100,-13350.6,0,0,0,35.0
2023-05-13,100,-13368.9,0,0,1,35.0
2023-05-14,100,-13384.8,0,0,0,35.0
2023-05-15,100,-13354.5,0,0,0,35.0
2023-05-16,100,-13387.7,0,0,0,35.0
2023-05-17,100,-13414.7,0,0,0,35.0
2023-05-18,100,-13431.0,0,0,0,35.0
2023-05-19,100,-13445.4,0,0,0,35.0
2023-05-20,100,-13439.2,0,0,1,35.0
2023-05-21,100,-13478.2,0,0,1,35.0
2023-05-22,100,-13526.5,0,0,0,35.0
2023-05-23,100,-13554.2,0,0,0,35.0
2023-05-24,100,-13620.6,0,0,1,35.0
2023-05-25,100,-13605.0,0,0,5,40.0
2023-05-26,100,-13622.0,0,0,1,35.0
2023-05-27,100,-13640.1,0,0,0,35.0
2023-05-28,100,-13609.6,0,0,1,35.0
2023-05-29,100,-13656.1,0,1,2,35.0
2023-05-30,100,-13685.3,0,0,1,35.0
2023-05-31,100,-13689.9,0,0,1,35.0
2023-06-01,100,-13665.0,0,0,3,35.0
2023-06-02,90.4,-13670.3,1,0,3,35.0
2023-06-03,0,-9,0,0,0,-9
2023-06-04,0,-9,0,0,0,-9
2023-06-05,0,-9,0,0,0,-9
2023-06-06,0,-9,0,0,0,-9
2023-06-07,0,-9,0,0,0,-9
2023-06-08,0,-9,0,0,0,-9
2023-06-09,0,-9,0,0,0,-9
2023-06-10,0,-9,0,0,0,-9
2023-06-11,0,-9,0,0,0,-9
2023-06-12,0,-9,0,0,0,-9
2023-06-13,0,-9,0,0,0,-9
2023-06-14,0,-9,0,0,0,-9
2023-06-15,0,-9,0,0,0,-9
2023-06-16,0,-9,0,0,0,-9
2023-06-17,0,-9,0,0,0,-9
2023-06-18,0,-9,0,0,0,-9
2023-06-19,0,-9,0,0,0,-9
2023-06-20,0,-9,0,0,0,-9
2023-06-21,0,-9,0,0,0,-9
2023-06-22,0,-9,0,0,0,-9
2023-06-23,0,-9,0,0,0,-9
2023-06-24,0,-9,0,0,0,-9
2023-06-25,0,-9,0,0,0,-9
2023-06-26,0,-9,0,0,0,-9
2023-06-27,0,-9,0,0,0,-9
2023-06-28,0,-9,0,0,0,-9
2023-06-29,0,-9,0,0,0,-9
2023-06-30,0,-9,0,0,0,-9
2023-07-01,0,-9,0,0,0,-9
2023-07-02,0,-9,0,0,0,-9
2023-07-03,0,-9,0,0,0,-9
2023-07-04,0,-9,0,0,0,-9
2023-07-05,0,-9,0,0,0,-9
2023-07-06,0,-9,0,0,0,-9
2023-07-07,0,-9,0,0,0,-9
2023-07-08,0,-9,0,0,0,-9
2023-07-09,0,-9,0,0,0,-9
2023-07-10,0,-9,0,0,0,-9
2023-07-11,0,-9,0,0,0,-9
2023-07-12,0,-9,0,0,0,-9
2023-07-13,0,-9,0,0,0,-9
2023-07-14,0,-9,0,0,0,-9
2023-07-15,32.3,-14126.8,1,0,0,40.0
2023-07-16,70.8,-14509.8,1,0,0,35.0
2023-07-17,50.1,-14540.8,2,0,0,30.0
2023-07-18,100,-14904.4,0,0,0,40.0
2023-07-19,100.0,-15044.0,1,0,0,40.0
2023-07-20,89.0,-15037.9,1,0,0,40.0
2023-07-21,100,-15062.4,0,0,2,40.0
2023-07-22,100,-15108.4,0,0,2,40.0
2023-07-23,100,-15148.4,0,0,1,40.0
2023-07-24,85.5,-14994.9,2,2,1,40.0
2023-07-26,100.0,-15058.4,1,0,0,40.0
2023-07-27,100,-15121.5,0,2,0,40.0
2023-07-28,89.5,-15076.6,1,0,1,40.0
2023-07-29,73.3,-14987.5,1,0,0,35.0
2023-07-30,84.6,-14911.6,1,0,0,40.0
2023-07-31,79.7,-14819.5,1,0,0,35.0
2023-08-01,87.0,-14822.4,2,0,0,40.0
2023-08-02,100.0,-14872.2,1,0,0,40.0
2023-08-03,100.0,-14904.1,1,0,1,40.0
2023-08-04,100.0,-14918.3,1,2,4,40.0
2023-08-05,100,-14920.9,0,2,1,40.0
2023-08-06,100,-14916.4,0,0,0,40.0
2023-08-07,100,-14905.3,0,0,0,40.0
2023-08-08,100.0,-14912.8,1,0,3,40.0
2023-08-09,100.0,-14904.1,1,1,3,40.0
2023-08-10,76.3,-14788.1,2,0,1,35.0
2023-08-11,82.3,-14695.5,2,0,0,35.0
2023-08-12,100,-14797.7,0,0,1,40.0
2023-08-13,100,-14843.6,0,0,3,40.0
2023-08-14,100.0,-14852.8,1,0,1,40.0
2023-08-15,49.6,-14796.9,3,0,0,30.0
2023-08-16,100,-14681.0,0,1,1,40.0
2023-08-17,100,-14729.8,0,1,0,40.0
2023-08-18,100,-14768.5,0,0,1,40.0
2023-08-19,100,-14813.0,0,0,0,40.0
2023-08-20,89.7,-14773.7,1,0,0,40.0
2023-08-21,87.8,-14754.5,1,0,0,40.0
2023-08-22,87.2,-14720.9,1,0,1,40.0
2023-08-23,91.3,-14717.9,1,1,1,40.0
2023-08-24,100,-14800.1,0,0,1,40.0
2023-08-25,89.4,-14751.0,1,0,0,40.0
2023-08-26,91.2,-14713.4,1,0,0,40.0
2023-08-27,100,-14798.5,0,0,0,40.0
2023-08-28,87.7,-14727.5,1,0,1,35.0
2023-08-29,100,-14749.2,0,0,1,40.0
2023-08-30,89.0,-14723.7,2,0,0,35.0
2023-08-31,91.0,-14665.1,1,0,0,35.0
2023-09-01,90.5,-14682.5,1,1,0,40.0
2023-09-02,92.9,-14679.0,1,0,0,40.0
2023-09-03,88.1,-14660.2,1,0,0,40.0
2023-09-04,100.0,-14744.8,1,0,0,40.0
2023-09-05,100.0,-14713.2,1,1,3,40.0
2023-09-06,100,-14723.9,0,0,2,40.0
2023-09-07,100.0,-14740.0,1,1,2,40.0
2023-09-08,100,-14771.8,0,0,2,40.0
2023-09-09,86.5,-14651.8,1,0,0,40.0
2023-09-10,100,-14719.0,0,1,1,40.0
2023-09-11,68.8,-14563.5,1,1,0,30.0
2023-09-12,93.5,-14710.2,2,0,2,40.0
2023-09-13,84.4,-14673.4,2,0,0,35.0
2023-09-14,96.2,-14729.8,1,0,2,40.0
2023-09-15,88.8,-14684.2,1,0,0,35.0
2023-09-16,100,-14825.7,0,0,2,40.0
2023-09-17,95.1,-14783.8,1,0,2,40.0
2023-09-18,90.2,-14722.3,1,0,1,35.0
2023-09-19,86.2,-14768.3,1,0,0,35.0
2023-09-20,79.8,-14654.9,1,1,0,35.0
2023-09-21,86.1,-14676.1,2,0,0,35.0
2023-09-22,87.8,-14762.6,2,0,1,40.0
2023-09-23,92.9,-14766.0,1,0,0,40.0
2023-09-24,82.2,-14740.3,1,0,0,35.0
2023-09-25,82.7,-14787.8,2,2,0,35.0
2023-09-26,87.2,-14837.0,1,0,0,35.0
2023-09-27,92.8,-14903.8,2,0,0,40.0
2023-09-28,84.9,-14992.9,1,1,0,40.0
2023-09-29,88.5,-15037.2,1,0,0,40.0
2023-09-30,91.3,-15075.4,1,0,0,40.0
2023-10-01,87.4,-15097.1,1,0,0,40.0
2023-10-02,85.5,-15184.2,2,0,0,40.0
2023-10-03,88.2,-15245.2,2,0,0,40.0
2023-10-04,90.6,-15308.0,2,1,2,40.0
2023-10-05,88.7,-15376.4,1,1,0,40.0
2023-10-06,80.7,-15337.9,2,1,0,35.0
2023-10-07,89.1,-15489.5,1,0,1,40.0
2023-10-08,84.0,-15545.5,1,0,0,40.0
2023-10-09,82.3,-15583.0,2,0,0,40.0
2023-10-10,85.1,-15420.4,2,0,0,35.0
2023-10-11,86.2,-15414.7,2,0,0,40.0
2023-10-12,89.2,-15473.9,2,0,0,40.0
2023-10-13,80.4,-15429.4,2,0,0,35.0
2023-10-14,66.6,-15368.5,1,0,0,30.0
2023-10-15,83.0,-15498.6,1,0,0,40.0
2023-10-16,88.7,-15556.1,2,0,0,40.0
2023-10-17,79.1,-15544.3,2,0,2,35.0
2023-10-18,86.9,-15642.0,2,0,0,35.0
2023-10-19,84.5,-15631.0,2,0,1,35.0
2023-10-20,83.7,-15682.0,2,1,0,35.0
2023-10-21,84.5,-15672.9,1,1,0,35.0
2023-10-22,87.1,-15735.3,1,0,0,35.0
2023-10-22,87.1,-15735.3,2,0,0,35.0
2023-10-23,73.4,-15703.0,1,0,0,40.0
2023-10-24,82.2,-15780.3,1,0,0,35.0
2023-10-25,74.3,-15761.9,2,1,0,30.0
2023-10-26,82.9,-15841.0,2,0,0,35.0
