fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-29079.9,1,0,0,35.0
2023-01-02,100,-29174.8,0,0,1,35.0
2023-01-03,100,-29147.6,0,0,0,35.0
2023-01-04,100,-29113.7,0,0,0,35.0
2023-01-05,100,-29095.9,0,0,1,35.0
2023-01-06,100,-29094.7,0,0,1,35.0
2023-01-07,100,-29039.0,0,0,0,35.0
2023-01-08,100,-28833.8,0,0,0,35.0
2023-01-09,100,-28806.2,0,0,0,35.0
2023-01-10,100,-28793.4,0,0,0,35.0
2023-01-11,100,-28655.1,0,0,1,35.0
2023-01-12,100,-28446.4,0,0,0,35.0
2023-01-13,100,-28309.2,0,0,0,35.0
2023-01-14,100,-28328.4,0,0,0,35.0
2023-01-15,100,-28398.9,0,0,0,35.0
2023-01-16,100,-28443.6,0,0,0,35.0
2023-01-17,100,-28515.8,0,0,0,35.0
2023-01-18,100,-28481.6,0,0,0,35.0
2023-01-19,100,-28512.4,0,0,0,35.0
2023-01-20,100,-28499.8,0,1,0,35.0
2023-01-21,100,-28482.8,0,0,0,35.0
2023-01-22,100,-28464.2,0,0,0,35.0
2023-01-23,100,-28496.0,0,0,0,35.0
2023-01-24,100,-28433.0,0,0,0,35.0
2023-01-25,100,-28354.7,0,2,0,35.0
2023-01-26,100,-28311.6,0,0,0,35.0
2023-01-27,100,-28306.6,0,1,0,35.0
2023-01-28,100,-28304.8,0,0,0,35.0
2023-01-29,100,-28259.8,0,0,0,35.0
2023-01-30,100,-28253.9,0,1,0,35.0
2023-01-31,100,-28213.0,0,0,0,35.0
2023-02-01,100,-28163.1,0,0,0,35.0
2023-02-02,100,-28078.4,0,0,0,35.0
2023-02-03,100,-28077.7,0,0,0,35.0
2023-02-04,100,-28120.4,0,0,0,35.0
2023-02-05,100,-28156.3,0,0,0,35.0
2023-02-06,100,-28132.1,0,0,0,35.0
2023-02-07,100,-28101.3,0,1,0,35.0
2023-02-08,100,-28129.4,0,0,2,35.0
