fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,87.9,-321.7,3,2,6,5.0
2023-01-02,99.9,-326.7,1,17,3,5.0
2023-01-03,100,-352.6,0,5,2,0.0
2023-01-04,0,-9,9,9,9,-9
2023-01-05,99.9,-320.0,5,77,8,20.0
2023-01-06,100,-328.6,0,9,2,10.0
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,88.1,-372.7,3,2,7,0.0
2023-01-10,93.9,-327.6,1,0,4,0.0
2023-01-11,97.8,-314.3,1,2,1,0.0
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,87.1,-346.5,2,42,1,5.0
2023-01-15,0,-9,9,9,9,-9
2023-01-16,100.0,-336.9,1,89,0,0.0
2023-01-17,99.5,-311.6,2,0,3,10.0
2023-01-18,100,-317.3,0,0,8,15.0
2023-01-19,100.0,-314.8,2,13,0,0.0
2023-01-20,100.0,-333.7,1,0,12,0.0
2023-01-21,100,-330.5,0,0,0,0.0
2023-01-22,100.0,-338.8,1,20,0,0.0
2023-01-23,100.0,-346.1,1,56,4,10.0
2023-01-24,100.0,-348.4,2,31,8,10.0
2023-01-25,100.0,-358.9,3,12,3,10.0
2023-01-26,99.2,-318.8,2,0,1,15.0
2023-01-27,100.0,-322.3,1,0,1,10.0
2023-01-28,100,-339.8,0,21,0,20.0
2023-01-29,100,-324.6,0,0,2,20.0
2023-01-30,100.0,-296.6,1,0,1,20.0
2023-01-31,100.0,-338.0,1,35,0,20.0
2023-02-01,100,-328.8,0,34,1,20.0
2023-02-02,0,-9,9,9,9,-9
2023-02-03,99.6,-331.6,14,70,2,5.0
2023-02-04,99.9,-320.9,2,3,0,10.0
2023-02-05,100,-324.9,0,0,2,15.0
2023-02-06,100,-317.6,0,0,18,25.0
2023-02-07,99.7,-318.3,6,0,6,15.0
2023-02-08,100,-323.5,0,0,1,15.0
2023-02-09,99.9,-307.8,1,0,2,5.0
2023-02-10,99.7,-336.7,12,74,1,0.0
2023-02-11,100.0,-347.5,2,25,0,0.0
2023-02-12,100,-325.1,0,0,1,0.0
2023-02-13,99.9,-342.9,2,87,0,0.0
2023-02-14,100.0,-325.6,2,27,0,0.0
2023-02-15,0,-9,9,9,9,-9
2023-02-16,51.5,-281.6,3,45,0,15.0
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,0,-9,0,0,0,-9
2023-02-20,0,-9,0,0,0,-9
2023-02-21,0,-9,0,0,0,-9
2023-02-22,0,-9,0,0,0,-9
2023-02-23,0,-9,0,0,0,-9
2023-02-24,0,-9,0,0,0,-9
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
2023-02-27,0,-9,0,0,0,-9
2023-02-28,0,-9,0,0,0,-9
2023-03-01,0,-9,0,0,0,-9
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,0,-9,0,0,0,-9
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,0,-9,0,0,0,-9
2023-03-21,0,-9,0,0,0,-9
2023-03-22,0,-9,0,0,0,-9
2023-03-23,0,-9,0,0,0,-9
2023-03-24,0,-9,0,0,0,-9
2023-03-25,0,-9,0,0,0,-9
2023-03-26,0,-9,0,0,0,-9
2023-03-27,0,-9,0,0,0,-9
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,0,-9,0,0,0,-9
