fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,717.8,1,0,1,25.0
2023-01-02,100,726.0,0,0,2,25.0
2023-01-03,100,735.6,0,0,0,20.0
2023-01-04,100,738.1,0,0,1,20.0
2023-01-05,100,735.8,0,0,3,20.0
2023-01-06,100,729.2,0,0,2,20.0
2023-01-07,100,733.1,0,0,0,20.0
2023-01-08,100,752.6,0,0,0,25.0
2023-01-09,100,739.4,0,0,2,25.0
2023-01-10,100,741.3,0,0,2,20.0
2023-01-11,100,745.3,0,0,1,20.0
2023-01-12,100,757.0,0,0,0,20.0
2023-01-13,100,732.5,0,0,3,25.0
2023-01-14,100,732.9,0,0,3,25.0
2023-01-15,100,725.5,0,0,1,25.0
2023-01-16,100,721.5,0,0,0,25.0
2023-01-17,100,738.7,0,0,1,20.0
2023-01-18,100,741.6,0,0,1,25.0
2023-01-19,100,743.8,0,0,1,20.0
2023-01-20,100,755.8,0,1,4,20.0
2023-01-21,100,749.6,0,0,0,25.0
2023-01-22,100,752.9,0,0,1,20.0
2023-01-23,100,768.5,0,0,0,20.0
2023-01-24,100,761.7,0,0,2,25.0
2023-01-25,100,740.2,0,2,1,25.0
2023-01-26,100,732.7,0,0,0,25.0
2023-01-27,100,727.6,0,1,2,25.0
2023-01-28,100,724.4,0,0,1,25.0
2023-01-29,100,711.2,0,0,2,25.0
2023-01-30,100,738.6,0,1,1,25.0
2023-01-31,100,743.9,0,0,3,25.0
2023-02-01,100,742.0,0,0,3,25.0
2023-02-02,100,714.2,0,0,0,25.0
2023-02-03,100,703.9,0,0,1,25.0
2023-02-04,100,699.2,0,0,0,25.0
2023-02-05,100,755.3,0,0,0,20.0
2023-02-06,100,741.9,0,0,1,25.0
2023-02-07,100,721.1,0,1,4,25.0
2023-02-08,100,703.4,0,0,2,25.0
2023-02-09,100,734.7,0,0,1,20.0
2023-02-10,100,749.1,0,0,0,20.0
2023-02-11,100,740.0,0,0,0,20.0
2023-02-12,100,737.3,0,0,1,20.0
2023-02-13,100,732.2,0,0,0,20.0
2023-02-14,100,724.3,0,1,1,25.0
2023-02-15,100,746.0,0,2,3,20.0
2023-02-16,100,756.8,0,1,2,20.0
2023-02-17,100,706.2,0,0,1,25.0
2023-02-18,100,708.7,0,1,1,25.0
2023-02-19,100,752.4,0,1,1,25.0
2023-02-20,100,713.6,0,1,1,25.0
2023-02-21,100,727.0,0,0,2,25.0
2023-02-22,100,718.2,0,0,0,25.0
2023-02-23,100,736.1,0,0,0,25.0
2023-02-24,100,731.5,0,0,1,25.0
2023-02-25,100,751.5,0,1,2,25.0
2023-02-26,100,702.3,0,1,1,25.0
2023-02-27,100,689.6,0,0,0,25.0
2023-02-28,100,691.1,0,0,2,25.0
2023-03-01,100,715.3,0,1,0,25.0
2023-03-02,100,741.0,0,1,2,25.0
2023-03-03,100,739.7,0,0,1,25.0
2023-03-04,100,746.8,0,0,2,25.0
2023-03-05,100,731.6,0,0,0,25.0
2023-03-06,100,722.5,0,0,0,25.0
2023-03-07,100,714.3,0,0,3,25.0
2023-03-08,100,733.1,0,0,2,20.0
2023-03-09,100,723.0,0,0,2,25.0
2023-03-10,100,730.4,0,0,1,25.0
2023-03-11,100,735.5,0,0,3,20.0
2023-03-12,100,735.1,0,0,1,25.0
2023-03-13,100,733.3,0,0,2,25.0
2023-03-14,100,727.8,0,0,1,25.0
2023-03-15,100,720.8,0,0,3,25.0
2023-03-16,100,704.5,0,0,1,25.0
2023-03-17,100,714.6,0,0,1,25.0
2023-03-18,100,709.0,0,0,2,25.0
2023-03-19,100,702.5,0,0,1,25.0
2023-03-20,100,736.4,0,0,0,25.0
2023-03-21,100,725.7,0,0,1,25.0
2023-03-22,100,726.0,0,0,1,25.0
2023-03-23,100,719.1,0,0,0,25.0
2023-03-24,100,712.2,0,0,1,25.0
2023-03-25,100,730.0,0,0,2,25.0
2023-03-26,100,752.1,0,0,2,20.0
2023-03-27,100,742.6,0,1,7,20.0
2023-03-28,100,718.8,0,2,0,25.0
2023-03-29,100.0,724.3,1,0,1,25.0
2023-03-30,100,730.1,0,2,2,25.0
2023-03-31,100,737.3,0,0,4,20.0
2023-04-01,100,748.9,0,0,1,20.0
2023-04-02,100,747.4,0,0,2,25.0
2023-04-03,100,739.7,0,0,0,25.0
2023-04-04,100,732.3,0,0,2,25.0
2023-04-05,100.0,722.9,1,1,0,25.0
2023-04-06,100,717.0,0,0,0,25.0
2023-04-07,100,720.9,0,0,2,20.0
