fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,336.3,1,0,0,5.0
2023-01-02,100,308.3,0,0,0,5.0
2023-01-03,100,383.8,0,0,0,10.0
2023-01-04,100,324.1,0,0,0,10.0
2023-01-05,100,427.1,0,0,0,10.0
2023-01-06,100,498.7,0,0,1,10.0
2023-01-07,100,214.6,0,0,0,10.0
2023-01-08,100,304.7,0,0,3,10.0
2023-01-09,100,454.0,0,0,2,15.0
2023-01-10,100,377.3,0,0,0,15.0
2023-01-11,100,244.1,0,0,0,15.0
2023-01-12,100,252.0,0,0,0,10.0
2023-01-13,100,513.9,0,0,0,10.0
2023-01-14,100,305.7,0,0,2,0.0
2023-01-15,100,214.3,0,0,1,0.0
2023-01-16,100,409.3,0,0,0,10.0
2023-01-17,100,305.7,0,0,0,15.0
2023-01-18,100,191.5,0,0,0,10.0
2023-01-19,100,276.4,0,0,0,5.0
2023-01-20,100,398.4,0,1,2,0.0
2023-01-21,21.9,522.7,9,0,0,80.0
2023-01-22,5.0,365.8,28,0,0,75.0
2023-01-23,25.8,342.1,70,0,0,0.0
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,0,-9,0,0,0,-9
2023-01-27,0,-9,0,0,0,-9
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,0,-9,0,0,0,-9
2023-01-31,0,-9,0,0,0,-9
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,0,0,0,-9
2023-02-08,0,-9,0,0,0,-9
2023-02-09,0,-9,0,0,0,-9
2023-02-10,0,-9,0,0,0,-9
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,55.1,425.3,5,0,0,10.0
2023-02-14,64.1,251.3,4,1,0,5.0
2023-02-15,77.4,451.5,31,2,0,0.0
2023-02-16,44.8,333.3,5,0,1,25.0
2023-02-17,100,457.6,0,0,0,0.0
2023-02-18,45.7,298.2,4,0,0,30.0
2023-02-19,16.5,540.3,17,1,0,15.0
2023-02-20,0.9,569.1,13,0,0,95.0
2023-02-21,0.0,957.0,2,0,0,-9
2023-02-22,3.6,109.6,9,0,0,80.0
2023-02-23,3.2,391.5,11,0,0,80.0
2023-02-24,0.5,268.3,3,0,0,100.0
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
2023-02-27,0,-9,0,0,0,-9
2023-02-28,0,-9,0,0,0,-9
2023-03-01,0,-9,0,0,0,-9
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,0,-9,0,0,0,-9
2023-03-07,0,-9,0,0,0,-9
2023-03-08,0,-9,0,0,0,-9
2023-03-09,0,-9,0,0,0,-9
2023-03-10,0,-9,0,0,0,-9
2023-03-11,0,-9,0,0,0,-9
2023-03-12,0,-9,0,0,0,-9
2023-03-13,0,-9,0,0,0,-9
2023-03-14,0,-9,0,0,0,-9
2023-03-15,0,-9,0,0,0,-9
2023-03-16,0,-9,0,0,0,-9
2023-03-17,33.6,2287.3,2,0,1,5.0
2023-03-18,99.8,-11807.3,2,0,7,10.0
2023-03-19,100,116.9,0,0,0,5.0
2023-03-20,100,716.7,0,0,0,5.0
2023-03-21,100,680.4,0,0,3,0.0
2023-03-22,100,684.0,0,0,1,0.0
2023-03-23,100,794.9,0,0,0,5.0
2023-03-24,100,751.5,0,0,0,0.0
2023-03-25,100,747.1,0,0,0,5.0
2023-03-26,100,698.0,0,0,1,0.0
2023-03-27,100,690.8,0,1,0,0.0
2023-03-28,100,708.3,0,2,2,5.0
2023-03-29,100,745.6,0,1,3,10.0
2023-03-30,100,675.5,0,2,3,10.0
2023-03-31,100,665.4,0,0,0,5.0
2023-04-01,100,746.2,0,0,0,5.0
2023-04-02,100,703.9,0,0,0,5.0
2023-04-03,100,666.2,0,0,0,5.0
2023-04-04,100,706.9,0,0,3,5.0
2023-04-05,100,691.9,0,2,0,0.0
2023-04-06,100,672.4,0,0,3,0.0
2023-04-07,100,680.7,0,0,0,5.0
2023-04-08,100,678.1,0,0,0,5.0
2023-04-09,100,736.6,0,0,0,5.0
2023-04-10,100,735.0,0,0,0,5.0
2023-04-11,100,623.6,0,0,1,5.0
2023-04-12,100,658.7,0,0,1,5.0
2023-04-13,100,609.2,0,0,0,5.0
2023-04-14,100,664.3,0,0,0,0.0
2023-04-15,100,709.7,0,0,2,5.0
2023-04-16,100,719.6,0,0,6,5.0
2023-04-17,100,648.6,0,3,0,5.0
2023-04-18,100,692.8,0,0,7,10.0
2023-04-19,100,640.6,0,3,0,0.0
2023-04-20,100,713.0,0,0,1,0.0
2023-04-21,100,728.8,0,0,2,0.0
2023-04-22,100,652.1,0,0,2,0.0
2023-04-23,100,719.0,0,0,1,0.0
2023-04-24,100,652.6,0,0,6,0.0
2023-04-25,100,714.5,0,0,4,0.0
2023-04-26,100,855.8,0,1,1,0.0
2023-04-27,100,558.1,0,2,1,0.0
2023-04-28,100,698.0,0,0,3,0.0
2023-04-29,100,684.8,0,0,1,0.0
2023-04-30,100,731.8,0,0,3,0.0
2023-05-01,100,726.7,0,0,3,0.0
2023-05-02,100,635.7,0,0,1,0.0
2023-05-03,100,696.3,0,0,1,0.0
2023-05-04,100,716.4,0,0,0,0.0
2023-05-05,100,616.6,0,0,0,0.0
2023-05-06,100,678.2,0,0,0,5.0
2023-05-07,100,697.3,0,0,3,5.0
2023-05-08,100,743.3,0,0,1,0.0
2023-05-09,100,691.7,0,0,2,0.0
2023-05-10,100,669.7,0,0,0,0.0
2023-05-11,100,668.2,0,1,1,0.0
2023-05-12,100,553.3,0,0,0,0.0
2023-05-13,100,649.5,0,0,1,0.0
2023-05-14,100,792.5,0,0,0,0.0
2023-05-15,100,663.3,0,0,2,0.0
2023-05-16,100,670.5,0,0,1,0.0
2023-05-17,100,627.6,0,0,0,0.0
2023-05-18,100,673.4,0,0,1,0.0
2023-05-19,100,642.8,0,0,6,0.0
2023-05-20,100,741.2,0,0,2,5.0
2023-05-21,100,732.8,0,0,3,0.0
2023-05-22,100,600.4,0,0,0,5.0
2023-05-23,100,595.1,0,0,5,0.0
2023-05-24,100,708.3,0,0,0,0.0
2023-05-25,100,696.2,0,0,5,0.0
2023-05-26,100,759.6,0,0,1,0.0
2023-05-27,100,766.0,0,0,0,0.0
2023-05-28,100,786.1,0,0,6,0.0
2023-05-29,100,608.3,0,1,0,0.0
2023-05-30,100,623.8,0,0,0,0.0
2023-05-31,100,741.9,0,0,4,0.0
2023-06-01,100,710.8,0,0,2,0.0
2023-06-02,100,661.3,0,0,1,0.0
2023-06-03,100,740.8,0,0,2,0.0
2023-06-04,100,650.1,0,0,1,0.0
2023-06-05,100,756.8,0,0,2,0.0
2023-06-06,100,683.5,0,0,5,0.0
2023-06-07,100,704.2,0,0,0,0.0
2023-06-08,100,755.9,0,0,3,0.0
2023-06-09,100,739.0,0,0,1,0.0
2023-06-10,100,709.8,0,0,1,0.0
2023-06-11,100,751.0,0,1,2,0.0
2023-06-12,100,688.6,0,0,1,0.0
2023-06-13,100,701.4,0,0,2,0.0
2023-06-14,100,715.2,0,0,3,0.0
2023-06-15,100,658.3,0,0,2,0.0
2023-06-16,100,686.1,0,1,4,0.0
2023-06-17,100.0,492.4,1,0,4,0.0
2023-06-18,100,565.9,0,0,2,0.0
2023-06-19,100,638.2,0,0,3,0.0
2023-06-20,100,680.3,0,0,0,0.0
2023-06-21,100,605.2,0,2,2,0.0
2023-06-22,100,752.0,0,4,0,0.0
2023-06-23,100,660.3,0,0,2,0.0
2023-06-24,100,660.2,0,0,0,0.0
2023-06-25,100,786.5,0,0,1,0.0
2023-06-26,100,595.5,0,0,0,0.0
2023-06-27,100,756.0,0,0,1,0.0
2023-06-28,100,586.9,0,0,0,0.0
2023-06-29,100.0,734.6,1,0,1,0.0
2023-06-30,100.0,727.3,1,0,2,0.0
2023-07-01,100.0,526.3,1,0,2,0.0
2023-07-02,100,-1318.2,0,0,5,0.0
2023-07-03,100,-440.5,0,0,0,0.0
2023-07-04,100,-179.7,0,0,0,0.0
2023-07-05,100.0,-193.3,1,0,4,0.0
2023-07-06,100.0,-420.8,1,0,2,0.0
2023-07-07,100.0,162.3,1,0,4,0.0
2023-07-08,100,344.6,0,0,2,0.0
2023-07-09,100,374.2,0,0,2,0.0
2023-07-10,100,402.5,0,0,3,0.0
2023-07-11,100.0,387.6,1,0,0,0.0
2023-07-12,100,249.0,0,2,1,0.0
2023-07-13,100.0,325.3,1,3,0,0.0
2023-07-14,100,155.1,0,1,6,0.0
2023-07-15,100,187.9,0,0,1,0.0
2023-07-16,100,278.1,0,0,3,0.0
2023-07-17,100.0,288.1,1,0,5,0.0
2023-07-18,100,262.7,0,0,0,0.0
2023-07-19,100.0,272.6,1,0,3,0.0
2023-07-20,100,195.0,0,0,0,0.0
2023-07-21,100,223.1,0,0,0,0.0
2023-07-22,100,247.5,0,0,3,0.0
2023-07-23,100,265.4,0,0,3,0.0
2023-07-24,100.0,296.1,1,2,0,0.0
2023-07-26,100.0,299.8,1,0,2,5.0
2023-07-27,100,352.8,0,2,3,5.0
2023-07-28,100,-20.6,0,0,1,0.0
2023-07-29,100,270.0,0,0,0,0.0
2023-07-30,100,227.7,0,0,1,0.0
2023-07-31,100,213.5,0,0,0,0.0
2023-08-01,100.0,242.1,1,0,2,0.0
2023-08-02,100.0,196.9,1,0,1,0.0
2023-08-03,100.0,255.7,1,0,2,0.0
2023-08-04,100.0,270.6,1,2,0,0.0
2023-08-05,100,290.7,0,2,3,5.0
2023-08-06,100,285.0,0,0,0,0.0
2023-08-07,100,284.8,0,0,0,0.0
2023-08-08,100.0,290.5,1,0,1,0.0
2023-08-09,54.4,428.9,2,0,1,5.0
2023-08-10,0,-9,0,0,0,-9
2023-08-11,0,-9,0,0,0,-9
2023-08-12,0,-9,0,0,0,-9
2023-08-13,0,-9,0,0,0,-9
2023-08-14,0,-9,0,0,0,-9
2023-08-15,0,-9,0,0,0,-9
2023-08-16,0,-9,0,0,0,-9
2023-08-17,0,-9,0,0,0,-9
2023-08-18,0,-9,0,0,0,-9
2023-08-19,0,-9,0,0,0,-9
2023-08-20,0,-9,0,0,0,-9
2023-08-21,0,-9,0,0,0,-9
2023-08-22,0,-9,0,0,0,-9
2023-08-23,0,-9,0,0,0,-9
2023-08-24,0,-9,0,0,0,-9
2023-08-25,0,-9,0,0,0,-9
2023-08-26,0,-9,0,0,0,-9
2023-08-27,0,-9,0,0,0,-9
2023-08-28,0,-9,0,0,0,-9
2023-08-29,0,-9,0,0,0,-9
2023-08-30,0,-9,0,0,0,-9
2023-08-31,0,-9,0,0,0,-9
2023-09-01,0,-9,0,0,0,-9
2023-09-02,0,-9,0,0,0,-9
2023-09-03,0,-9,0,0,0,-9
2023-09-04,0,-9,0,0,0,-9
2023-09-05,0,-9,0,0,0,-9
2023-09-06,0,-9,0,0,0,-9
2023-09-07,0,-9,0,0,0,-9
2023-09-08,0,-9,0,0,0,-9
2023-09-09,0,-9,0,0,0,-9
2023-09-10,0,-9,0,0,0,-9
2023-09-11,0,-9,0,0,0,-9
2023-09-12,0,-9,0,0,0,-9
