fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-374.9,1,0,0,10.0
2023-01-02,100,-371.5,0,0,0,10.0
2023-01-03,100,-374.7,0,0,0,10.0
2023-01-04,100,-377.2,0,0,0,5.0
2023-01-05,99.8,-378.9,4,0,1,5.0
2023-01-06,100,-363.5,0,0,1,5.0
2023-01-07,100,-347.4,0,0,0,10.0
2023-01-08,100,-342.3,0,0,0,10.0
2023-01-09,100,-344.5,0,0,0,5.0
2023-01-10,100,-341.7,0,0,0,5.0
2023-01-11,100,-351.5,0,0,0,5.0
2023-01-12,100,-367.5,0,0,1,5.0
2023-01-13,100,-375.0,0,0,2,5.0
2023-01-14,100,-379.0,0,0,1,5.0
2023-01-15,100,-379.1,0,0,1,5.0
2023-01-16,100,-381.0,0,0,0,5.0
2023-01-17,100,-386.2,0,0,0,5.0
2023-01-18,100,-385.0,0,0,0,5.0
2023-01-19,100,-383.4,0,0,0,5.0
2023-01-20,100,-382.2,0,1,0,5.0
2023-01-21,100,-375.9,0,0,1,5.0
2023-01-22,100,-366.5,0,0,0,5.0
2023-01-23,100,-368.0,0,0,0,5.0
2023-01-24,100,-367.7,0,0,0,10.0
2023-01-25,100,-362.9,0,2,0,10.0
2023-01-26,100,-357.9,0,0,0,15.0
2023-01-27,100,-364.4,0,1,1,10.0
2023-01-28,100,-361.4,0,0,1,15.0
2023-01-29,100,-354.1,0,0,0,25.0
2023-01-30,100,-373.8,0,1,0,10.0
2023-01-31,100,-369.6,0,0,0,10.0
2023-02-01,100,-364.6,0,0,1,10.0
2023-02-02,100,-360.5,0,0,0,25.0
2023-02-03,100,-376.8,0,0,0,10.0
2023-02-04,100,-375.1,0,0,0,10.0
2023-02-05,100,-374.5,0,0,0,10.0
2023-02-06,100,-381.0,0,0,0,10.0
2023-02-07,100,-376.4,0,1,3,10.0
2023-02-08,100,-380.0,0,0,0,15.0
2023-02-09,100,-367.4,0,0,0,25.0
2023-02-10,100,-379.3,0,0,1,15.0
2023-02-11,100,-382.4,0,0,0,25.0
2023-02-12,100,-379.5,0,0,1,25.0
2023-02-13,100,-382.8,0,0,0,15.0
2023-02-14,100,-387.3,0,1,0,15.0
2023-02-15,100,-392.7,0,2,1,10.0
2023-02-16,100,-401.0,0,1,0,10.0
2023-02-17,100,-410.3,0,0,0,10.0
2023-02-18,100,-418.4,0,1,0,5.0
2023-02-19,100,-424.5,0,1,0,10.0
2023-02-20,100,-423.7,0,1,0,10.0
2023-02-21,100,-418.8,0,0,1,15.0
2023-02-22,100,-400.6,0,0,0,15.0
2023-02-23,100,-412.4,0,0,0,10.0
2023-02-24,100,-440.8,0,0,1,5.0
2023-02-25,100,-446.0,0,1,0,10.0
2023-02-26,100,-446.0,0,1,0,10.0
2023-02-27,100,-445.6,0,0,0,10.0
2023-02-28,100,-443.7,0,0,0,15.0
2023-03-01,100,523810.4,0,1,5,5.0
2023-03-02,100,4392450.2,0,1,0,5.0
2023-03-03,99.8,4397927.0,4,0,0,5.0
2023-03-04,100,4408080.0,0,0,0,5.0
2023-03-05,100,4425648.3,0,0,0,5.0
2023-03-06,100,4436231.9,0,0,0,5.0
2023-03-07,100,4437884.3,0,0,0,5.0
2023-03-08,100,4438004.3,0,0,0,10.0
2023-03-09,100,4438821.2,0,0,0,10.0
2023-03-10,100,4436594.7,0,0,0,10.0
2023-03-11,100,4430225.9,0,0,0,5.0
2023-03-12,100,4434190.8,0,0,0,10.0
2023-03-13,100,4444339.4,0,0,0,5.0
2023-03-14,100,4446346.1,0,0,0,5.0
2023-03-15,100,4445445.7,0,0,0,5.0
2023-03-16,100,4447745.0,0,0,0,5.0
2023-03-17,100,4441950.5,0,0,0,5.0
2023-03-18,100,4437169.0,0,0,0,10.0
2023-03-19,100,4434152.3,0,0,0,10.0
2023-03-20,100,4432165.4,0,0,0,10.0
2023-03-21,100,4438025.7,0,0,0,10.0
2023-03-22,100,4435554.8,0,0,0,10.0
2023-03-23,100,4436610.4,0,0,0,10.0
2023-03-24,100,4435203.3,0,0,0,10.0
2023-03-25,100,4433001.1,0,0,0,10.0
