fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,61.7,300946.2,3,0,0,5.0
2023-01-02,58.3,317407.3,2,0,0,10.0
2023-01-03,61.3,301929.1,2,0,0,10.0
2023-01-04,61.3,302411.2,2,0,0,5.0
2023-01-05,61.9,299840.1,2,0,0,5.0
2023-01-06,61.7,301413.7,2,0,0,10.0
2023-01-07,62.9,295124.5,2,0,0,10.0
2023-01-08,53.7,343925.2,2,0,0,10.0
2023-01-09,53.3,346262.2,2,0,0,10.0
2023-01-10,54.2,340681.5,2,0,0,10.0
2023-01-11,55.9,330255.7,2,0,0,10.0
2023-01-12,48.4,381049.7,2,0,0,15.0
2023-01-13,58.6,315049.2,2,0,0,10.0
2023-01-14,12.3,4876.4,1,0,0,35.0
2023-01-15,39.2,468805.1,3,0,1,40.0
2023-01-16,48.7,378941.9,2,0,0,40.0
2023-01-17,57.5,321279.1,2,0,0,10.0
2023-01-18,53.3,345997.4,2,0,0,10.0
2023-01-19,48.2,381883.3,2,0,0,15.0
2023-01-20,57.7,319938.9,2,1,0,10.0
2023-01-21,56.1,329621.9,2,0,0,10.0
2023-01-22,58.3,316669.2,2,0,0,10.0
2023-01-23,58.5,316172.7,2,0,0,10.0
2023-01-24,57.4,321897.0,2,0,0,5.0
2023-01-25,8.1,4793.8,1,0,0,40.0
2023-01-26,49.3,374742.1,2,0,0,40.0
2023-01-27,59.1,313644.4,2,1,0,10.0
2023-01-28,59.4,312467.8,2,0,0,5.0
2023-01-29,61.2,303603.0,2,0,0,10.0
2023-01-30,62.7,296492.6,2,1,0,5.0
2023-01-31,61.2,303587.0,2,0,0,5.0
2023-02-01,61.7,301107.4,2,0,0,10.0
2023-02-02,62.1,299216.9,2,0,0,5.0
2023-02-03,61.0,305123.0,2,0,0,10.0
2023-02-04,61.3,303412.4,2,0,0,5.0
2023-02-05,58.9,314666.6,2,0,0,10.0
2023-02-06,56.2,973904.7,6,0,0,5.0
2023-02-07,60.6,305360.7,2,1,0,10.0
2023-02-08,58.9,314761.3,2,0,0,10.0
2023-02-09,58.9,314142.5,2,0,0,10.0
2023-02-10,45.7,1197922.2,6,0,1,10.0
2023-02-11,46.5,396534.6,2,0,0,15.0
2023-02-12,57.0,324807.5,2,0,0,10.0
2023-02-13,58.0,318389.5,2,0,0,10.0
2023-02-14,59.9,309029.1,2,1,0,5.0
2023-02-15,50.6,365431.0,1,2,0,15.0
2023-02-16,53.8,1018517.7,6,1,1,10.0
2023-02-17,59.5,311232.2,2,0,0,10.0
2023-02-18,59.0,314179.1,2,1,0,10.0
2023-02-19,59.6,311541.6,2,1,0,10.0
2023-02-20,61.5,301808.7,2,1,0,10.0
2023-02-21,11.8,6478.9,1,0,0,40.0
2023-02-22,48.1,383940.1,2,0,0,40.0
2023-02-23,47.3,390984.3,3,0,0,10.0
2023-02-24,13.5,1354558.1,1,1,0,60.0
2023-02-25,100,5531.0,0,1,0,40.0
2023-02-26,100,5122.4,0,1,0,40.0
2023-02-27,100,4883.8,0,0,0,40.0
2023-02-28,100,4746.2,0,0,0,40.0
2023-03-01,100,4367.3,0,1,0,40.0
2023-03-02,100,4181.2,0,1,0,40.0
2023-03-03,100,3718.2,0,0,1,40.0
2023-03-04,100,3792.2,0,0,0,40.0
2023-03-05,100,3645.0,0,0,0,40.0
2023-03-06,100,3608.5,0,0,0,40.0
2023-03-07,100,3582.6,0,0,0,40.0
2023-03-08,100,3960.6,0,0,0,40.0
2023-03-09,100,4299.4,0,0,0,40.0
2023-03-10,100,3977.4,0,0,0,40.0
2023-03-11,100,3722.2,0,0,0,40.0
2023-03-12,100,3268.1,0,0,0,40.0
2023-03-13,100,3395.1,0,0,0,40.0
2023-03-14,100,3476.1,0,0,1,40.0
2023-03-15,100,3377.9,0,0,0,40.0
2023-03-16,100,3443.5,0,0,0,40.0
2023-03-17,100,3932.1,0,0,0,40.0
2023-03-18,100,4330.5,0,0,1,40.0
2023-03-19,100,4481.1,0,0,0,40.0
2023-03-20,100,4218.8,0,0,0,40.0
2023-03-21,100,4274.6,0,0,4,40.0
2023-03-22,100,4360.9,0,0,0,40.0
2023-03-23,100,4483.1,0,0,0,40.0
2023-03-24,100,4402.6,0,0,1,40.0
2023-03-25,100,4295.9,0,0,1,35.0
2023-03-26,100,3836.5,0,0,0,40.0
2023-03-27,100,3470.6,0,1,1,40.0
2023-03-28,100,3583.4,0,2,0,40.0
2023-03-29,100,3694.9,0,1,0,35.0
2023-03-30,100,4016.5,0,2,0,35.0
2023-03-31,100,3907.8,0,0,4,35.0
2023-04-01,100,3333.4,0,0,1,35.0
2023-04-02,100,3524.6,0,0,1,35.0
2023-04-03,100,3371.8,0,0,3,40.0
2023-04-04,100,3839.3,0,0,1,35.0
2023-04-05,100,3699.9,0,2,0,40.0
2023-04-06,100,3687.7,0,0,0,40.0
2023-04-07,100,3705.6,0,0,1,40.0
2023-04-08,100,3436.2,0,0,0,35.0
2023-04-09,100,3132.1,0,0,1,35.0
2023-04-10,100,3696.3,0,0,0,40.0
2023-04-11,100,4196.2,0,0,0,40.0
2023-04-12,100,4326.2,0,0,0,40.0
2023-04-13,100,4138.7,0,0,0,40.0
2023-04-14,100,4207.6,0,0,3,40.0
2023-04-15,100,3819.8,0,0,0,40.0
2023-04-16,100,3450.0,0,0,4,35.0
2023-04-17,100,3223.5,0,3,0,35.0
2023-04-18,100,3593.7,0,0,0,40.0
2023-04-19,100,3978.1,0,3,3,40.0
2023-04-20,100,3901.8,0,0,1,40.0
2023-04-21,100,3294.8,0,0,2,40.0
2023-04-22,100,3308.2,0,0,2,40.0
2023-04-23,100,3675.7,0,0,0,40.0
2023-04-24,100,3323.1,0,0,0,40.0
2023-04-25,100,3659.1,0,0,2,40.0
2023-04-26,100,3523.0,0,1,0,40.0
2023-04-27,100,3374.8,0,2,2,35.0
2023-04-28,100,3211.1,0,0,1,40.0
2023-04-29,100,3678.3,0,0,0,35.0
2023-04-30,100,3376.2,0,0,2,40.0
2023-05-01,100,3546.7,0,0,1,35.0
2023-05-02,100,3702.3,0,0,0,40.0
2023-05-03,100,3731.3,0,0,0,40.0
2023-05-04,100,3435.4,0,0,0,40.0
2023-05-05,100,3441.9,0,0,1,40.0
2023-05-06,100,3489.5,0,0,0,40.0
2023-05-07,100,3554.1,0,0,0,40.0
2023-05-08,100,3998.8,0,0,0,40.0
2023-05-09,100,3689.1,0,0,0,40.0
2023-05-10,100,3268.3,0,0,0,40.0
2023-05-11,100,3399.3,0,1,1,40.0
2023-05-12,100,3416.9,0,0,0,40.0
2023-05-13,100,3180.3,0,0,0,40.0
2023-05-14,100,3251.6,0,0,0,40.0
2023-05-15,100,3229.7,0,0,0,40.0
2023-05-16,100,3200.6,0,0,0,40.0
2023-05-17,100,3637.5,0,0,0,40.0
2023-05-18,100,3921.3,0,0,0,40.0
2023-05-19,100,3953.3,0,0,1,40.0
2023-05-20,100,3610.2,0,0,0,40.0
2023-05-21,100,3734.0,0,0,0,40.0
2023-05-22,100,3853.3,0,0,0,40.0
2023-05-23,100,3555.8,0,0,0,40.0
2023-05-24,100,3457.6,0,0,0,40.0
2023-05-25,100,3361.3,0,0,2,40.0
2023-05-26,100,3431.4,0,0,0,40.0
2023-05-27,100,3326.3,0,0,0,40.0
2023-05-28,100,3741.8,0,0,1,40.0
2023-05-29,100,3898.0,0,1,0,40.0
2023-05-30,100,3505.2,0,0,1,40.0
