fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-1.0,1,0,0,70.0
2023-01-02,100,-1.3,0,0,0,75.0
2023-01-03,99.9,-20.1,3,0,2,90.0
2023-01-04,100,-1.2,0,0,0,80.0
2023-01-05,99.9,-1.4,1,1,0,80.0
2023-01-06,99.9,-1.2,2,1,1,80.0
2023-01-07,100,-1.3,0,0,0,80.0
2023-01-08,100.0,-1.1,1,0,0,75.0
2023-01-09,100,-1.4,0,0,1,75.0
2023-01-10,90.5,-16.4,11,2,2,70.0
2023-01-11,99.8,-14.4,3,1,2,85.0
2023-01-12,99.8,-15.4,6,1,3,85.0
2023-01-13,100,-1.2,0,0,1,80.0
2023-01-14,100,-1.3,0,0,0,80.0
2023-01-15,99.4,-1.3,4,4,0,75.0
2023-01-16,99.6,-1.5,6,5,0,80.0
2023-01-17,100,-2.0,0,0,0,80.0
2023-01-18,99.7,-2.3,2,3,1,80.0
2023-01-19,98.6,-14.0,13,10,0,85.0
2023-01-20,99.9,-1.2,3,1,0,80.0
2023-01-21,99.8,-1.3,3,3,0,80.0
2023-01-22,100,-1.3,0,0,0,75.0
2023-01-23,100,-2.0,0,0,1,80.0
2023-01-24,99.4,-2.1,5,1,0,80.0
2023-01-25,100.0,-1.4,2,0,0,80.0
2023-01-26,100,-1.4,0,0,0,80.0
2023-01-27,79.2,-1.6,4,0,1,80.0
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,30.4,-4.6,1,0,0,75.0
2023-01-31,100,-2.9,0,0,0,80.0
2023-02-01,100,-3.4,0,0,0,80.0
2023-02-02,96.5,-1.1,48,0,1,80.0
2023-02-03,100,-2.1,0,0,1,80.0
2023-02-04,100,-1.4,0,0,0,80.0
2023-02-05,100,-1.3,0,0,0,70.0
2023-02-06,100,-2.4,0,0,0,75.0
2023-02-07,99.0,-3.3,5,0,0,80.0
2023-02-08,100,-2.4,0,0,0,80.0
2023-02-09,100,-2.1,0,0,0,80.0
2023-02-10,100,-1.3,0,0,0,80.0
2023-02-11,100,-1.3,0,0,0,80.0
2023-02-12,100,-1.3,0,0,0,75.0
2023-02-13,100,-1.4,0,0,0,80.0
2023-02-14,100.0,-1.3,1,0,0,80.0
2023-02-15,100.0,-1.4,2,0,0,80.0
2023-02-16,100.0,-3.5,2,1,0,80.0
2023-02-17,100,-2.7,0,0,0,80.0
2023-02-18,99.8,-1.2,3,0,0,80.0
2023-02-19,100.0,-1.3,1,0,0,75.0
2023-02-20,99.9,-15.3,3,0,1,85.0
2023-02-21,100,-2.2,0,0,0,80.0
