fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,60.2,-3171.9,2,0,0,40.0
2023-01-02,59.9,-3678.5,1,0,0,40.0
2023-01-03,100,-2875.7,0,0,0,40.0
2023-01-04,52.7,-3676.2,1,0,0,35.0
2023-01-05,81.1,-3388.5,1,0,0,40.0
2023-01-06,79.0,-3366.8,1,0,0,40.0
2023-01-07,48.9,-3646.7,1,0,0,35.0
2023-01-08,53.8,-3728.1,1,0,0,30.0
2023-01-09,52.6,-3608.7,1,0,0,35.0
2023-01-10,51.7,-3354.9,1,0,0,30.0
2023-01-11,59.2,-3744.1,1,0,0,35.0
2023-01-12,64.4,-3628.6,1,0,0,25.0
2023-01-13,73.7,-3587.3,1,0,0,40.0
2023-01-14,80.2,-3310.8,1,0,0,35.0
2023-01-15,68.3,-3412.6,1,0,0,35.0
2023-01-16,100,-2601.2,0,0,0,40.0
2023-01-17,90.3,-2952.1,1,0,0,40.0
2023-01-18,59.2,-3535.9,1,0,0,25.0
2023-01-19,58.6,-3563.9,1,0,0,30.0
2023-01-20,85.9,-3287.6,2,0,0,40.0
2023-01-21,100,-2934.6,0,0,0,40.0
2023-01-22,69.1,-3350.2,1,0,0,30.0
2023-01-23,78.8,-3368.5,1,0,0,40.0
2023-01-24,100,-2573.0,0,0,0,40.0
2023-01-25,100.0,-2780.6,2,0,0,40.0
2023-01-26,100,-2907.7,0,0,0,40.0
2023-01-27,100.0,-2663.3,1,0,0,40.0
2023-01-28,100,-2609.0,0,0,0,40.0
2023-01-29,100,-2431.2,0,0,0,40.0
2023-01-30,100.0,-2359.9,1,0,0,40.0
2023-01-31,100,-2352.7,0,0,0,40.0
2023-02-01,100,-2286.5,0,0,0,40.0
2023-02-02,100,-2315.1,0,0,0,40.0
2023-02-03,100,-2027.5,0,0,0,40.0
2023-02-04,100,-1996.1,0,0,0,40.0
2023-02-05,100,-2275.6,0,0,0,40.0
2023-02-06,100,-2079.9,0,0,0,40.0
2023-02-07,99.8,-2074.0,4,0,0,40.0
2023-02-08,100,-1950.5,0,0,0,40.0
2023-02-09,100,-1570.3,0,0,0,40.0
2023-02-10,100,-1594.1,0,0,0,40.0
2023-02-11,100,-1545.4,0,0,0,40.0
2023-02-12,100,-1182.8,0,0,0,40.0
2023-02-13,100,-1318.1,0,0,0,40.0
2023-02-14,100.0,-1384.6,1,0,0,40.0
2023-02-15,100.0,-1181.2,2,0,0,40.0
2023-02-16,100.0,-792.3,1,0,0,40.0
2023-02-17,62.8,-1959.4,1,0,0,35.0
2023-02-18,100.0,-1636.3,1,0,0,40.0
2023-02-19,100.0,-1548.2,1,0,0,40.0
2023-02-20,100.0,-1359.0,1,0,0,40.0
2023-02-21,76.1,-1871.0,1,0,0,40.0
2023-02-22,84.9,-2503.8,1,0,0,40.0
2023-02-23,90.0,-2504.4,1,0,0,40.0
