fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-39298.1,1,0,0,0.0
2023-01-02,100,-39261.2,0,0,0,0.0
2023-01-03,100,-39258.9,0,0,0,0.0
2023-01-04,100,-39304.7,0,0,0,0.0
2023-01-05,100,-39333.2,0,0,4,0.0
2023-01-06,100,-39302.9,0,0,1,0.0
2023-01-07,100,-39207.7,0,0,0,0.0
2023-01-08,100,-39487.7,0,0,4,0.0
2023-01-09,100,-39294.5,0,0,2,0.0
2023-01-10,100,-39290.6,0,0,0,0.0
2023-01-11,100,-39232.1,0,0,0,0.0
2023-01-12,100,-39302.1,0,0,2,0.0
2023-01-13,100,-39254.9,0,0,2,0.0
2023-01-14,100,-39144.0,0,0,3,0.0
2023-01-15,99.9,-39306.6,1,0,1,0.0
2023-01-16,100,-39145.2,0,0,1,0.0
2023-01-17,100,-39380.9,0,0,1,0.0
2023-01-18,100,-39330.7,0,0,4,0.0
2023-01-19,100,-39340.0,0,0,2,0.0
2023-01-20,99.7,-39310.9,2,0,8,0.0
2023-01-21,100,-39288.7,0,0,1,0.0
2023-01-22,99.9,-39357.7,1,0,1,0.0
2023-01-23,100,-39310.6,0,0,1,0.0
2023-01-24,100,-39303.2,0,0,2,0.0
2023-01-25,99.9,-39273.9,3,0,0,0.0
2023-01-26,100,-39316.7,0,0,4,0.0
2023-01-27,100.0,-39289.2,1,0,1,0.0
2023-01-28,100,-39285.4,0,0,1,0.0
2023-01-29,100,-39286.2,0,0,1,0.0
2023-01-30,100.0,-39290.4,1,0,1,0.0
2023-01-31,99.9,-39324.8,1,0,0,0.0
2023-02-01,100,-39248.8,0,0,1,0.0
2023-02-02,100,-39303.5,0,0,0,0.0
2023-02-03,99.9,-39286.6,1,0,0,0.0
2023-02-04,100,-39303.7,0,0,0,0.0
2023-02-05,100,-39324.6,0,0,0,0.0
2023-02-06,100,-39293.3,0,0,13,25.0
2023-02-07,99.9,-39260.5,4,0,4,0.0
2023-02-08,100,-39286.7,0,0,1,0.0
2023-02-09,100,-39340.7,0,0,0,0.0
2023-02-10,100,-39277.9,0,0,1,0.0
2023-02-11,100,-39270.1,0,0,1,0.0
2023-02-12,100,-39327.1,0,0,0,0.0
2023-02-13,99.9,-39273.7,1,0,1,0.0
2023-02-14,100.0,-39316.6,1,0,0,0.0
2023-02-15,100.0,-39321.7,2,0,1,0.0
2023-02-16,100.0,-39338.7,1,0,3,0.0
2023-02-17,100,-39197.5,0,0,0,0.0
2023-02-18,100.0,-39212.4,1,0,1,0.0
2023-02-19,100,-39314.7,0,0,2,0.0
2023-02-20,100,-39293.3,0,0,2,0.0
2023-02-21,98.3,-39310.1,1,0,2,0.0
2023-02-22,100,-39320.4,0,0,0,0.0
2023-02-23,100,-39278.3,0,0,9,0.0
2023-02-24,100,-39293.1,0,0,2,0.0
2023-02-25,99.9,-39308.7,2,0,4,0.0
2023-02-26,100.0,-39274.2,1,0,1,0.0
2023-02-27,100,-39302.0,0,0,1,0.0
2023-02-28,100,-39316.7,0,0,1,0.0
