fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-3452.9,1,0,0,40.0
2023-01-02,93.3,-3386.6,34,0,0,40.0
2023-01-03,0,-9,9,9,9,-9
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0,-9,9,9,9,-9
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,0,-9,9,9,9,-9
2023-01-15,0,-9,9,9,9,-9
2023-01-16,0,-9,9,9,9,-9
2023-01-17,0,-9,9,9,9,-9
2023-01-18,0.7,-3673.0,57,0,0,30.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,0,-9,9,9,9,-9
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,19.7,-2139.5,99,0,0,50.0
2023-01-26,0,-9,0,0,0,-9
2023-01-27,27.2,-3279.5,80,0,0,50.0
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0.7,-4349.0,23,0,0,65.0
2023-01-30,3.0,-3716.2,2,0,0,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,1.0,-4663.6,2,0,0,-9
2023-02-15,2.6,-4804.2,3,0,0,15.0
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0.1,-5171.4,8,0,0,-9
2023-02-18,0.8,-4975.1,2,0,0,-9
2023-02-19,16.6,-5118.3,52,0,0,40.0
2023-02-20,4.8,-5381.3,53,0,0,55.0
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,0,-9,9,9,9,-9
2023-02-24,0,-9,9,9,9,-9
2023-02-25,5.4,-5721.9,1,0,0,40.0
2023-02-26,21.8,-5426.5,53,0,0,30.0
2023-02-27,0,-9,9,9,9,-9
2023-02-28,95.2,-5396.2,1,0,0,40.0
2023-03-01,92.0,-5461.6,3,0,0,40.0
2023-03-02,100.0,-5283.0,1,0,0,40.0
2023-03-03,100,-4948.4,0,0,0,40.0
2023-03-04,100,-4815.5,0,0,0,40.0
2023-03-05,83.2,-4756.8,59,0,0,40.0
2023-03-06,100,-5064.4,0,0,0,40.0
2023-03-07,100,-5234.4,0,0,0,40.0
2023-03-08,86.3,-4837.1,26,0,0,40.0
2023-03-09,100,-4620.5,0,0,0,40.0
2023-03-10,100,-4349.7,0,0,1,40.0
2023-03-11,100,-4441.7,0,0,0,40.0
2023-03-12,100,-4189.3,0,0,0,40.0
2023-03-13,100,-4248.0,0,0,0,40.0
2023-03-14,100,-4324.1,0,0,0,40.0
2023-03-15,100,-4554.9,0,0,0,40.0
2023-03-16,100,-4448.7,0,0,0,40.0
2023-03-17,100,-4549.8,0,0,0,40.0
2023-03-18,100,-4638.8,0,0,1,40.0
2023-03-19,100,-4754.4,0,0,0,40.0
2023-03-20,100,-4789.7,0,0,0,40.0
2023-03-21,99.6,-4869.2,41,0,0,40.0
2023-03-22,0,-9,9,9,9,-9
2023-03-23,100,-4884.3,0,0,0,40.0
2023-03-24,98.7,-4861.2,72,0,0,40.0
2023-03-25,0,-9,9,9,9,-9
2023-03-26,0,-9,9,9,9,-9
2023-03-27,100.0,-4367.2,1,0,0,40.0
2023-03-28,100.0,-4739.1,2,0,0,40.0
2023-03-29,100.0,-4801.1,1,0,0,40.0
2023-03-30,100.0,-4517.0,2,0,0,40.0
2023-03-31,100,-4678.2,0,0,0,40.0
2023-04-01,100,-4576.8,0,0,0,40.0
2023-04-02,0,-9,9,9,9,-9
2023-04-03,0,-9,9,9,9,-9
2023-04-04,100,-4609.8,0,0,0,40.0
2023-04-05,94.1,-4809.3,27,0,0,40.0
2023-04-06,99.4,-4717.8,3,1,0,40.0
2023-04-07,100,-4679.2,0,0,0,40.0
2023-04-08,100,-4490.2,0,0,0,40.0
2023-04-09,78.5,-4420.2,46,0,0,40.0
2023-04-10,71.2,-4339.6,44,0,0,40.0
2023-04-11,100,-4452.7,0,0,0,40.0
2023-04-12,100,-4564.0,0,0,0,40.0
2023-04-13,100,-4542.2,0,0,0,40.0
2023-04-14,100,-4806.3,0,0,0,40.0
2023-04-15,100,-4812.2,0,0,0,40.0
2023-04-16,100,-4890.2,0,0,0,40.0
2023-04-17,72.8,-4633.8,81,1,0,40.0
2023-04-18,91.8,-4628.6,30,0,0,40.0
2023-04-19,100.0,-4791.7,3,0,0,40.0
2023-04-20,100,-4990.7,0,0,0,40.0
2023-04-21,100,-4848.0,0,0,1,40.0
2023-04-22,100,-4621.8,0,0,0,40.0
2023-04-23,100,-4826.9,0,0,0,40.0
2023-04-24,100,-4820.3,0,0,0,40.0
2023-04-25,98.9,-4625.2,17,0,0,40.0
2023-04-26,100.0,-4563.1,1,0,0,40.0
2023-04-27,100.0,-4629.7,2,0,0,40.0
2023-04-28,0,-9,9,9,9,-9
2023-04-29,100,-4477.4,0,0,0,40.0
2023-04-30,100,-4443.9,0,0,0,40.0
2023-05-01,100,-4283.3,0,0,1,40.0
2023-05-02,100,-4355.8,0,0,0,40.0
2023-05-03,100,-4102.5,0,0,0,40.0
2023-05-04,100,-4284.1,0,0,0,40.0
2023-05-05,100,-4190.5,0,0,0,40.0
2023-05-06,100,-4172.1,0,0,0,40.0
2023-05-07,100,-4459.7,0,0,0,40.0
2023-05-08,100,-4754.3,0,0,0,40.0
2023-05-09,100,-4274.0,0,0,0,40.0
2023-05-10,100,-4462.3,0,0,0,40.0
2023-05-11,95.5,-4761.4,70,0,0,40.0
2023-05-12,100,-5119.6,0,0,0,40.0
2023-05-13,93.6,-5078.0,83,0,0,40.0
2023-05-14,100,-5010.1,0,0,1,40.0
2023-05-15,100,-4850.5,0,0,0,40.0
2023-05-16,100,-4936.1,0,0,0,40.0
2023-05-17,100,-5055.9,0,0,0,40.0
2023-05-18,100,-5280.8,0,0,0,40.0
2023-05-19,100,-5500.3,0,0,0,40.0
2023-05-20,100,-5284.8,0,0,0,40.0
2023-05-21,100,-5265.4,0,0,0,40.0
2023-05-22,100,-5381.0,0,0,0,40.0
2023-05-23,100,-5166.1,0,0,0,40.0
2023-05-24,100,-5052.2,0,0,0,40.0
2023-05-25,100,-5163.0,0,0,0,40.0
2023-05-26,95.6,-4966.7,66,0,0,40.0
2023-05-27,100,-4657.9,0,0,1,40.0
2023-05-28,100,-4666.7,0,0,1,40.0
2023-05-29,100.0,-4672.4,1,0,0,40.0
2023-05-30,100,-4809.6,0,0,0,40.0
2023-05-31,0,-9,9,9,9,-9
2023-06-01,100,-4700.0,0,0,0,40.0
2023-06-02,100,-4339.8,0,0,1,40.0
2023-06-03,100,-4694.4,0,0,0,40.0
2023-06-04,100,-4924.4,0,0,0,40.0
2023-06-05,96.5,-4699.7,17,2,0,40.0
2023-06-06,100,-4411.2,0,0,0,40.0
2023-06-07,100,-4352.6,0,0,0,40.0
2023-06-08,100,-4417.3,0,0,0,40.0
2023-06-09,100,-4431.0,0,0,0,40.0
2023-06-10,100,-4649.2,0,0,0,40.0
2023-06-11,100.0,-4730.2,1,0,0,40.0
2023-06-12,100,-4475.4,0,0,0,40.0
