fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,701.0,1,0,0,0.0
2023-01-02,100,674.0,0,0,0,0.0
2023-01-03,100,706.5,0,0,3,0.0
2023-01-04,100,658.6,0,0,0,0.0
2023-01-05,100,680.5,0,0,3,0.0
2023-01-06,100,707.3,0,0,1,0.0
2023-01-07,100,718.1,0,0,1,0.0
2023-01-08,100,697.7,0,0,2,0.0
2023-01-09,100,712.3,0,0,3,0.0
2023-01-10,100,666.4,0,0,1,0.0
2023-01-11,100,640.1,0,0,1,0.0
2023-01-12,100,679.1,0,0,1,0.0
2023-01-13,100,638.8,0,0,2,0.0
2023-01-14,100,698.3,0,0,0,0.0
2023-01-15,100,672.6,0,0,2,0.0
2023-01-16,100,659.9,0,0,2,0.0
2023-01-17,100,750.6,0,0,0,0.0
2023-01-18,100,720.1,0,0,1,0.0
2023-01-19,100,722.3,0,0,0,0.0
2023-01-20,100,672.6,0,1,5,0.0
2023-01-21,100,621.0,0,0,1,0.0
2023-01-22,100,668.2,0,0,1,0.0
2023-01-23,100,714.4,0,0,1,0.0
2023-01-24,100,595.0,0,0,0,0.0
2023-01-25,100,693.5,0,2,1,0.0
2023-01-26,100,608.9,0,0,3,0.0
2023-01-27,100,648.5,0,1,0,0.0
2023-01-28,100,649.5,0,0,0,0.0
2023-01-29,100,656.0,0,0,1,0.0
2023-01-30,100,691.0,0,1,1,0.0
2023-01-31,100,681.1,0,0,0,0.0
2023-02-01,100,585.9,0,0,0,0.0
2023-02-02,100,637.6,0,0,1,0.0
2023-02-03,100,660.5,0,0,4,0.0
2023-02-04,100,644.5,0,0,1,0.0
2023-02-05,100,691.0,0,0,2,0.0
2023-02-06,100,641.4,0,0,8,5.0
2023-02-07,100,659.3,0,1,4,0.0
2023-02-08,100,648.9,0,0,0,0.0
2023-02-09,100,734.2,0,0,1,0.0
2023-02-10,100,624.2,0,0,2,0.0
2023-02-11,100,639.6,0,0,1,0.0
2023-02-12,100,593.6,0,0,0,0.0
2023-02-13,100,710.0,0,0,0,0.0
2023-02-14,100,618.9,0,1,0,0.0
2023-02-15,100,658.2,0,2,1,0.0
2023-02-16,100,724.5,0,1,3,0.0
2023-02-17,100,680.6,0,0,0,0.0
2023-02-18,100,688.1,0,1,1,0.0
2023-02-19,100,647.0,0,1,0,0.0
2023-02-20,100,685.3,0,1,0,0.0
2023-02-21,100,730.4,0,0,1,0.0
2023-02-22,100,661.8,0,0,0,0.0
2023-02-23,100,639.6,0,0,1,0.0
2023-02-24,100,631.6,0,0,0,0.0
2023-02-25,100,560.8,0,1,1,0.0
2023-02-26,100,664.6,0,1,1,0.0
