fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,0,0,0,-9
2023-01-02,28.5,15802.8,2,0,0,70.0
2023-01-03,47.7,15699.8,1,0,0,70.0
2023-01-04,100,15636.4,0,0,0,65.0
2023-01-05,100,15968.6,0,0,0,65.0
2023-01-06,100,16019.7,0,0,0,65.0
2023-01-07,100,16078.8,0,0,0,65.0
2023-01-08,100,15658.2,0,0,0,70.0
2023-01-09,100,15535.4,0,0,0,70.0
2023-01-10,100,15551.6,0,0,0,65.0
2023-01-11,100,15572.3,0,0,0,60.0
2023-01-12,100,15481.4,0,0,0,60.0
2023-01-13,100,15452.8,0,0,0,60.0
2023-01-14,100,15725.6,0,0,0,60.0
2023-01-15,15.3,15938.0,1,0,0,70.0
2023-01-16,47.5,15597.5,1,0,0,70.0
2023-01-17,99.8,15405.6,1,0,0,60.0
2023-01-18,47.1,15493.5,1,0,0,70.0
2023-01-19,100,15391.0,0,0,0,60.0
2023-01-20,100.0,15378.6,1,0,0,60.0
2023-01-21,98.3,14972.2,1,0,0,60.0
2023-01-22,0,-9,0,0,0,-9
2023-01-23,48.8,15340.0,1,0,0,70.0
2023-01-24,100,15664.4,0,0,1,60.0
2023-01-25,100.0,15428.5,2,0,0,60.0
2023-01-26,100,15807.6,0,0,0,60.0
2023-01-27,100.0,16161.0,1,0,1,60.0
2023-01-28,100,16301.7,0,0,0,60.0
2023-01-29,100,16783.5,0,0,0,60.0
2023-01-30,100.0,16937.4,1,0,0,60.0
2023-01-31,100,16564.0,0,0,0,60.0
2023-02-01,100,16215.6,0,0,0,60.0
2023-02-02,37.9,15388.5,4,0,0,30.0
2023-02-03,49.4,15139.6,1,0,0,70.0
2023-02-04,100,15256.9,0,0,0,60.0
2023-02-05,40.6,15518.5,1,0,0,60.0
2023-02-06,49.0,15491.4,1,0,0,70.0
2023-02-07,99.8,15734.2,4,0,0,60.0
2023-02-08,98.8,15900.5,1,0,0,60.0
2023-02-09,100,16136.9,0,0,0,60.0
2023-02-10,99.0,16428.2,1,0,0,60.0
2023-02-11,75.1,16532.0,1,0,0,60.0
2023-02-12,0,-9,0,0,0,-9
2023-02-13,46.6,16485.1,1,0,0,70.0
2023-02-14,100.0,16426.1,1,0,0,60.0
2023-02-15,100.0,16563.9,2,0,1,60.0
2023-02-16,100.0,16280.8,1,0,0,60.0
2023-02-17,100,16167.2,0,0,0,60.0
2023-02-18,72.7,16246.6,2,0,0,60.0
2023-02-19,0,-9,0,0,0,-9
2023-02-20,46.1,15799.5,2,0,0,70.0
2023-02-21,100,15387.3,0,0,0,60.0
2023-02-22,100,14929.3,0,0,0,60.0
2023-02-23,93.5,14641.5,1,0,2,60.0
2023-02-24,100,14911.2,0,0,0,60.0
2023-02-25,100.0,15216.5,1,0,0,60.0
2023-02-26,100.0,15365.0,1,0,0,60.0
2023-02-27,100,15792.1,0,0,0,60.0
2023-02-28,100,16351.0,0,0,0,60.0
2023-03-01,90.8,16836.2,2,0,0,60.0
2023-03-02,0,-9,0,0,0,-9
2023-03-03,24.5,16891.2,2,0,0,30.0
2023-03-04,100.0,16840.0,1,0,0,60.0
2023-03-05,100,16457.2,0,0,0,60.0
2023-03-06,71.4,16179.1,1,0,0,30.0
2023-03-07,100,15991.2,0,0,0,60.0
2023-03-08,88.9,15803.4,1,0,0,50.0
2023-03-09,100,15207.8,0,0,0,60.0
2023-03-10,100,14617.0,0,0,1,60.0
2023-03-11,100,14198.4,0,0,0,60.0
2023-03-12,100,13743.3,0,0,0,60.0
2023-03-13,100,13715.4,0,0,0,60.0
2023-03-14,100,13640.1,0,0,0,60.0
2023-03-15,100,13350.9,0,0,1,60.0
2023-03-16,100,13014.9,0,0,0,60.0
2023-03-17,46.6,13379.7,2,0,0,50.0
2023-03-18,0,-9,0,0,0,-9
2023-03-19,0,-9,0,0,0,-9
2023-03-20,0,-9,0,0,0,-9
2023-03-21,38.1,13906.4,1,0,0,70.0
2023-03-22,100,13546.2,0,0,0,60.0
2023-03-23,100,14027.0,0,0,0,60.0
2023-03-24,45.4,14040.3,3,0,0,30.0
2023-03-25,100,13624.9,0,0,0,60.0
2023-03-26,100,13796.3,0,0,0,60.0
2023-03-27,100.0,13868.8,1,0,0,60.0
2023-03-28,100.0,13964.5,2,0,0,60.0
2023-03-29,100.0,14182.3,1,0,0,60.0
2023-03-30,100.0,14481.8,2,0,0,60.0
2023-03-31,100,14855.6,0,0,0,60.0
2023-04-01,100,15034.7,0,0,0,60.0
2023-04-02,100,15025.2,0,0,0,65.0
2023-04-03,94.6,14914.8,1,0,0,60.0
2023-04-04,49.0,15234.4,1,0,0,70.0
2023-04-05,97.1,14991.5,3,0,0,60.0
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,47.8,15135.8,2,0,0,70.0
2023-04-11,68.1,15213.0,1,0,0,60.0
2023-04-12,82.1,15088.6,2,0,0,60.0
2023-04-13,100,15466.3,0,0,0,60.0
2023-04-14,83.1,15310.8,1,0,0,60.0
2023-04-15,0,-9,0,0,0,-9
2023-04-16,0,-9,0,0,0,-9
2023-04-17,48.2,14250.5,4,0,0,65.0
2023-04-18,100,14141.7,0,0,0,60.0
2023-04-19,100.0,14581.4,3,0,0,60.0
2023-04-20,100,14997.4,0,0,0,60.0
2023-04-21,100,14482.7,0,0,0,60.0
2023-04-22,100,14232.1,0,0,0,60.0
2023-04-23,100,14087.8,0,0,0,60.0
2023-04-24,100,13879.3,0,0,0,60.0
2023-04-25,100,14025.0,0,0,0,60.0
