fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,97.4,-32903.6,32,0,1,0.0
2023-01-02,100,-32988.1,0,0,0,0.0
2023-01-03,100,-32963.1,0,0,7,0.0
2023-01-04,99.2,-32845.8,1,0,3,0.0
2023-01-05,100,-32747.8,0,0,4,0.0
2023-01-06,98.9,-32884.7,20,0,3,0.0
2023-01-07,100,-32806.3,0,0,2,0.0
2023-01-08,63.4,-32757.0,12,0,2,0.0
2023-01-09,0,-9,0,0,0,-9
2023-01-10,0,-9,0,0,0,-9
2023-01-11,0,-9,0,0,0,-9
2023-01-12,0,-9,0,0,0,-9
2023-01-13,0,-9,0,0,0,-9
2023-01-14,0,-9,0,0,0,-9
2023-01-15,0,-9,0,0,0,-9
2023-01-16,0,-9,0,0,0,-9
2023-01-17,0,-9,0,0,0,-9
2023-01-18,0,-9,0,0,0,-9
2023-01-19,0,-9,0,0,0,-9
2023-01-20,0,-9,0,0,0,-9
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,0,-9,0,0,0,-9
2023-01-27,0,-9,0,0,0,-9
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,0,-9,0,0,0,-9
2023-01-31,0,-9,0,0,0,-9
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,0,0,0,-9
2023-02-08,0,-9,0,0,0,-9
2023-02-09,0,-9,0,0,0,-9
2023-02-10,0,-9,0,0,0,-9
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,0,-9,0,0,0,-9
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0,-9,0,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,18.9,-32984.2,1,0,1,0.0
2023-02-20,100.0,-32884.3,2,0,5,0.0
2023-02-21,100.0,-32872.4,1,0,0,0.0
2023-02-22,100.0,-33011.1,2,0,2,0.0
2023-02-23,100.0,-32940.1,1,0,9,0.0
2023-02-24,100.0,-32841.2,1,0,2,0.0
2023-02-25,100.0,-32846.8,1,0,2,0.0
2023-02-26,100.0,-32859.8,1,0,2,0.0
2023-02-27,99.9,-32826.9,6,0,3,0.0
2023-02-28,100,-32850.7,0,0,0,0.0
2023-03-01,99.9,-32858.2,6,0,0,0.0
2023-03-02,100.0,-32847.1,1,0,0,0.0
2023-03-03,100,-32878.3,0,0,3,0.0
2023-03-04,100,-32906.4,0,0,4,0.0
2023-03-05,100.0,-33146.8,2,0,0,0.0
2023-03-06,99.9,-32953.1,7,0,0,0.0
2023-03-07,100.0,-32904.7,1,0,2,0.0
2023-03-08,100,-32862.5,0,0,3,0.0
2023-03-09,99.9,-32965.3,2,0,2,0.0
2023-03-10,99.9,-32938.2,4,0,4,0.0
2023-03-11,100.0,-32878.6,3,0,3,0.0
2023-03-12,100,-32899.6,0,0,0,0.0
2023-03-13,100,-32907.3,0,0,2,0.0
2023-03-14,95.2,-32837.9,51,0,0,0.0
2023-03-15,100,-32899.0,0,0,3,0.0
2023-03-16,100,-32871.5,0,0,6,0.0
2023-03-17,100,-32841.0,0,0,8,0.0
2023-03-18,100,-32848.8,0,0,9,0.0
2023-03-19,100,-32905.7,0,0,5,0.0
2023-03-20,100,-32869.7,0,0,2,0.0
2023-03-21,100,-32791.3,0,0,9,0.0
2023-03-22,100,-32817.1,0,0,10,0.0
2023-03-23,93.0,-32854.8,1,0,2,0.0
2023-03-24,100,-32939.1,0,0,0,0.0
2023-03-25,100,-32780.9,0,0,1,0.0
2023-03-26,100,-32803.8,0,0,0,0.0
2023-03-27,100.0,-32769.5,1,0,1,0.0
2023-03-28,100.0,-32840.8,2,0,0,0.0
2023-03-29,100.0,-32810.9,1,0,1,0.0
2023-03-30,98.2,-32818.0,25,0,4,0.0
2023-03-31,100,-32815.0,0,0,0,0.0
2023-04-01,100,-32829.4,0,0,1,0.0
2023-04-02,100,-32805.4,0,0,7,0.0
2023-04-03,100,-32850.0,0,0,2,0.0
2023-04-04,100,-32877.6,0,0,7,0.0
2023-04-05,100.0,-32851.7,2,0,1,0.0
2023-04-06,100,-33071.7,0,0,0,0.0
2023-04-07,100,-32872.6,0,0,0,0.0
2023-04-08,100,-32820.4,0,0,2,0.0
2023-04-09,100,-32783.5,0,0,2,0.0
2023-04-10,100,-32763.9,0,0,2,0.0
2023-04-11,99.9,-32771.3,2,0,2,0.0
2023-04-12,100,-32766.7,0,0,0,0.0
2023-04-13,100,-32800.9,0,0,0,0.0
2023-04-14,100,-32813.8,0,0,3,0.0
2023-04-15,100,-32821.1,0,0,2,0.0
2023-04-16,100,-32790.6,0,0,2,0.0
2023-04-17,100.0,-32901.3,2,0,1,0.0
2023-04-18,100,-32860.3,0,0,5,0.0
2023-04-19,100.0,-32829.5,2,0,3,0.0
2023-04-20,100.0,-32758.8,2,0,1,0.0
2023-04-21,100,-32860.8,0,0,2,0.0
2023-04-22,100,-32785.4,0,0,2,0.0
2023-04-23,100,-32752.9,0,0,2,0.0
2023-04-24,98.7,-32719.1,1,0,8,0.0
2023-04-25,100,-32690.2,0,0,7,0.0
2023-04-26,84.2,-32759.4,1,0,4,10.0
2023-04-27,100.0,-32694.1,2,0,2,0.0
2023-04-28,100,-32658.4,0,0,8,0.0
2023-04-29,100,-32664.2,0,0,0,0.0
2023-04-30,100,-32708.9,0,0,0,0.0
2023-05-01,100,-32684.8,0,0,0,0.0
2023-05-02,100,-32738.6,0,0,0,0.0
2023-05-03,100,-32846.6,0,0,0,10.0
2023-05-04,100,-32832.2,0,0,0,0.0
2023-05-05,100,-32830.0,0,0,0,5.0
2023-05-06,100,-32838.5,0,0,0,0.0
2023-05-07,100,-32848.1,0,0,1,0.0
2023-05-08,100,-32877.7,0,0,0,0.0
2023-05-09,100,-32897.2,0,0,0,5.0
2023-05-10,100,-32886.3,0,0,4,0.0
2023-05-11,99.9,-32861.2,1,0,1,0.0
2023-05-12,100,-32837.2,0,0,3,0.0
2023-05-13,100,-32806.4,0,0,0,0.0
2023-05-14,100,-32745.9,0,0,2,0.0
2023-05-15,100,-32863.6,0,0,0,0.0
2023-05-16,100,-32925.3,0,0,1,0.0
2023-05-17,100,-32897.0,0,0,3,0.0
2023-05-18,100,-32827.8,0,0,0,0.0
2023-05-19,98.1,-32805.9,1,0,3,0.0
2023-05-20,100,-32792.5,0,0,0,0.0
2023-05-21,100,-32785.9,0,0,8,0.0
2023-05-22,99.9,-32714.2,1,0,3,0.0
2023-05-23,100,-32824.6,0,0,3,0.0
2023-05-24,100,-32750.9,0,0,1,0.0
2023-05-25,100,-32756.5,0,0,6,0.0
2023-05-26,100,-32635.3,0,0,1,0.0
2023-05-27,100,-32682.4,0,0,0,0.0
2023-05-28,100,-32620.5,0,0,1,0.0
2023-05-29,100.0,-32709.8,1,0,0,0.0
2023-05-30,100,-32690.9,0,0,6,0.0
2023-05-31,100,-32676.2,0,0,3,0.0
2023-06-01,100.0,-32793.3,1,0,0,0.0
2023-06-02,100,-32802.4,0,0,1,0.0
2023-06-03,100.0,-32750.7,1,0,5,0.0
