fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,97.3,-33079.5,16,0,0,0.0
2023-01-02,100,-33072.0,0,0,0,0.0
2023-01-03,100,-33004.1,0,0,2,0.0
2023-01-04,99.2,-33076.0,1,0,1,0.0
2023-01-05,100,-33168.7,0,0,0,0.0
2023-01-06,98.9,-33075.8,18,0,2,0.0
2023-01-07,100.0,-33028.6,1,0,0,0.0
2023-01-08,63.4,-33032.1,13,0,0,0.0
2023-01-09,0,-9,0,0,0,-9
2023-01-10,0,-9,0,0,0,-9
2023-01-11,0,-9,0,0,0,-9
2023-01-12,0,-9,0,0,0,-9
2023-01-13,0,-9,0,0,0,-9
2023-01-14,0,-9,0,0,0,-9
2023-01-15,0,-9,0,0,0,-9
2023-01-16,0,-9,0,0,0,-9
2023-01-17,0,-9,0,0,0,-9
2023-01-18,0,-9,0,0,0,-9
2023-01-19,0,-9,0,0,0,-9
2023-01-20,0,-9,0,0,0,-9
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,0,-9,0,0,0,-9
2023-01-27,0,-9,0,0,0,-9
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,0,-9,0,0,0,-9
2023-01-31,0,-9,0,0,0,-9
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,0,0,0,-9
2023-02-08,0,-9,0,0,0,-9
2023-02-09,0,-9,0,0,0,-9
2023-02-10,0,-9,0,0,0,-9
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,0,-9,0,0,0,-9
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0,-9,0,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,18.9,-33029.4,1,0,0,0.0
2023-02-20,100,-33181.3,0,0,6,0.0
2023-02-21,100.0,-33134.3,2,0,0,0.0
2023-02-22,100.0,-33045.6,1,0,1,0.0
2023-02-23,100.0,-33002.3,1,0,5,0.0
2023-02-24,100.0,-33109.6,1,0,0,0.0
2023-02-25,100.0,-33113.3,1,0,1,0.0
2023-02-26,100.0,-33092.9,1,0,0,0.0
2023-02-27,99.9,-33129.5,4,0,2,0.0
2023-02-28,100,-33032.9,0,0,0,0.0
2023-03-01,99.9,-32884.8,6,0,0,0.0
2023-03-02,100.0,-32925.2,1,0,1,0.0
2023-03-03,100,-32961.8,0,0,4,0.0
2023-03-04,100,-32963.5,0,0,4,0.0
2023-03-05,100.0,-32934.8,1,0,0,0.0
2023-03-06,99.9,-32966.1,7,0,0,0.0
2023-03-07,100,-33008.5,0,0,2,0.0
2023-03-08,100,-33077.8,0,0,1,0.0
2023-03-09,99.9,-33075.0,2,0,0,0.0
2023-03-10,99.9,-33101.8,7,0,2,0.0
2023-03-11,100.0,-33075.4,2,0,2,0.0
2023-03-12,100,-33056.7,0,0,0,0.0
2023-03-13,100,-33093.5,0,0,1,0.0
2023-03-14,95.1,-33087.1,40,0,1,0.0
2023-03-15,100,-33083.6,0,0,2,0.0
2023-03-16,100,-33024.4,0,0,3,0.0
2023-03-17,100,-33033.5,0,0,1,0.0
2023-03-18,100,-33013.2,0,0,4,0.0
2023-03-19,100,-33009.2,0,0,0,0.0
2023-03-20,100,-33019.6,0,0,0,0.0
2023-03-21,100,-33110.7,0,0,9,0.0
2023-03-22,100,-33103.1,0,0,0,0.0
2023-03-23,93.0,-33092.5,1,0,0,0.0
2023-03-24,100,-33029.5,0,0,0,0.0
2023-03-25,100,-33090.4,0,0,1,0.0
2023-03-26,100,-33101.9,0,0,2,0.0
2023-03-27,100.0,-33020.6,1,0,0,0.0
2023-03-28,100.0,-32913.1,1,0,0,0.0
2023-03-29,100.0,-33015.0,1,0,0,0.0
2023-03-30,98.2,-33011.5,29,0,3,0.0
2023-03-31,100,-33012.5,0,0,0,0.0
2023-04-01,100,-32982.1,0,0,1,0.0
2023-04-02,100,-32931.6,0,0,10,0.0
2023-04-03,100,-32958.9,0,0,4,0.0
2023-04-04,100,-32989.5,0,0,9,0.0
2023-04-05,100.0,-33076.5,2,0,0,0.0
2023-04-06,100.0,-33092.1,1,0,0,0.0
2023-04-07,100,-33114.6,0,0,0,0.0
2023-04-08,100,-33152.0,0,0,0,0.0
2023-04-09,100,-33118.9,0,0,1,0.0
2023-04-10,100,-33089.0,0,0,0,0.0
2023-04-11,99.9,-33030.3,1,0,0,0.0
2023-04-12,100,-33029.8,0,0,0,0.0
2023-04-13,100,-32970.8,0,0,0,0.0
2023-04-14,100,-32939.2,0,0,1,0.0
2023-04-15,100,-32953.7,0,0,2,0.0
2023-04-16,100,-32973.1,0,0,3,0.0
2023-04-17,100.0,-32987.9,3,0,1,0.0
2023-04-18,100,-33073.5,0,0,1,0.0
2023-04-19,100.0,-33148.8,2,0,2,0.0
2023-04-20,100,-33192.9,0,0,0,0.0
2023-04-21,100,-33149.2,0,0,5,0.0
2023-04-22,100,-33113.2,0,0,5,0.0
2023-04-23,100,-33111.4,0,0,1,0.0
2023-04-24,98.7,-33074.2,1,0,3,0.0
2023-04-25,100,-33137.2,0,0,5,0.0
2023-04-26,84.2,-33072.3,1,0,2,15.0
2023-04-27,100.0,-33034.3,2,0,1,0.0
2023-04-28,100,-33051.8,0,0,2,0.0
2023-04-29,100,-33018.6,0,0,0,0.0
2023-04-30,100,-32935.3,0,0,0,0.0
2023-05-01,100,-32920.8,0,0,5,0.0
2023-05-02,100,-32838.4,0,0,0,0.0
2023-05-03,100,-32785.5,0,0,0,0.0
2023-05-04,100,-32869.1,0,0,0,0.0
2023-05-05,100,-32907.6,0,0,0,0.0
2023-05-06,100,-32921.8,0,0,0,0.0
2023-05-07,100,-32939.8,0,0,0,0.0
2023-05-08,100,-32911.3,0,0,2,0.0
2023-05-09,100,-32935.2,0,0,0,0.0
2023-05-10,100,-33028.5,0,0,0,0.0
2023-05-11,99.9,-33112.9,1,0,0,0.0
2023-05-12,100,-33150.2,0,0,2,0.0
