fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-8887.4,1,0,0,35.0
2023-01-02,100,-8887.6,0,0,0,30.0
2023-01-03,0,-9,9,9,9,-9
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,1.4,-8886.3,72,0,0,80.0
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,0,-9,9,9,9,-9
2023-01-15,0,-9,9,9,9,-9
2023-01-16,0,-9,9,9,9,-9
2023-01-17,0,-9,9,9,9,-9
2023-01-18,1.0,-8884.3,40,0,0,65.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,4.8,-8886.7,68,0,0,35.0
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,18.7,-8885.8,59,0,0,30.0
2023-01-26,0,-9,0,0,0,-9
2023-01-27,26.7,-8877.8,59,0,0,30.0
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0.7,-8884.7,16,0,0,30.0
2023-01-30,2.7,-8877.0,2,0,0,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,0.5,-8883.0,2,0,0,-9
2023-02-15,2.4,-8883.9,3,0,0,85.0
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0.1,-8886.8,2,0,0,-9
2023-02-18,0.7,-8885.6,2,0,0,-9
2023-02-19,21.3,-8887.0,3,0,0,30.0
2023-02-20,6.9,-8881.5,22,0,0,30.0
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,0,-9,9,9,9,-9
2023-02-24,0,-9,9,9,9,-9
2023-02-25,5.4,-8882.4,1,0,0,30.0
2023-02-26,20.8,-8878.6,33,0,0,60.0
2023-02-27,3.2,-8883.8,60,0,0,35.0
2023-02-28,95.2,-8881.8,1,0,0,35.0
2023-03-01,92.0,-8881.7,3,0,0,30.0
2023-03-02,100.0,-8881.3,1,0,2,30.0
2023-03-03,100,-8881.1,0,0,2,35.0
2023-03-04,100,-8880.8,0,0,1,35.0
2023-03-05,100,-8882.1,0,0,2,35.0
2023-03-06,100,-8881.5,0,0,0,30.0
2023-03-07,100,-8880.6,0,0,1,35.0
2023-03-08,100,-8881.8,0,0,0,35.0
2023-03-09,100,-8882.9,0,0,1,35.0
2023-03-10,100,-8883.5,0,0,3,35.0
2023-03-11,100,-8882.7,0,0,3,35.0
2023-03-12,100,-8884.2,0,0,1,35.0
2023-03-13,100,-8884.4,0,0,1,35.0
2023-03-14,100,-8884.0,0,0,1,35.0
2023-03-15,100,-8883.4,0,0,0,35.0
2023-03-16,100,-8883.8,0,0,1,30.0
2023-03-17,100,-8884.4,0,0,1,30.0
2023-03-18,100,-8883.9,0,0,1,30.0
2023-03-19,100,-8882.9,0,0,0,30.0
2023-03-20,100,-8883.1,0,0,0,30.0
2023-03-21,100,-8883.2,0,0,1,30.0
2023-03-22,100,-8882.3,0,0,0,30.0
2023-03-23,100,-8883.2,0,0,0,30.0
2023-03-24,100,-8882.5,0,0,0,35.0
2023-03-25,100,-8882.7,0,0,2,30.0
2023-03-26,100,-8882.5,0,0,4,35.0
2023-03-27,100.0,-8881.7,1,0,2,35.0
2023-03-28,100.0,-8882.1,1,0,0,35.0
2023-03-29,100.0,-8883.7,1,0,0,35.0
2023-03-30,100,-8883.9,0,0,1,35.0
2023-03-31,100,-8882.5,0,0,0,30.0
2023-04-01,100,-8883.0,0,0,1,30.0
2023-04-02,100,-8882.3,0,0,0,30.0
2023-04-03,100,-8883.2,0,0,0,30.0
2023-04-04,100,-8881.5,0,0,2,30.0
2023-04-05,100.0,-8882.0,2,0,0,30.0
2023-04-06,100,-8883.2,0,0,0,30.0
2023-04-07,100,-8883.6,0,0,1,30.0
2023-04-08,100,-8883.7,0,0,2,30.0
2023-04-09,100,-8883.7,0,0,0,30.0
2023-04-10,100,-8882.5,0,0,0,30.0
2023-04-11,100,-8882.0,0,0,0,35.0
2023-04-12,100,-8881.8,0,0,0,30.0
2023-04-13,100,-8880.3,0,0,1,30.0
2023-04-14,100,-8880.9,0,0,0,35.0
2023-04-15,100,-8881.0,0,0,2,30.0
