fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,1982.8,1,0,10,5.0
2023-01-02,100,2222.8,0,0,6,0.0
2023-01-03,100,2213.4,0,0,11,10.0
2023-01-04,100,2318.8,0,0,10,15.0
2023-01-05,100,2308.1,0,0,12,5.0
2023-01-06,100,2315.0,0,0,9,10.0
2023-01-07,100,2356.3,0,0,15,10.0
2023-01-08,100,2378.5,0,0,10,5.0
2023-01-09,100,2276.0,0,0,8,5.0
2023-01-10,100,2349.7,0,0,15,5.0
2023-01-11,100,2311.8,0,0,12,5.0
2023-01-12,100,2411.4,0,0,12,5.0
2023-01-13,100,2305.3,0,0,11,0.0
2023-01-14,100,2312.7,0,0,13,5.0
2023-01-15,100,2273.6,0,0,17,5.0
2023-01-16,100,2529.0,0,0,14,5.0
2023-01-17,100,2418.0,0,0,13,5.0
2023-01-18,100,2238.9,0,0,12,10.0
2023-01-19,100,2179.7,0,0,12,5.0
2023-01-20,100,2399.7,0,1,10,5.0
2023-01-21,100,2305.2,0,0,13,0.0
2023-01-22,100,2307.6,0,0,8,0.0
2023-01-23,100,2203.0,0,0,15,5.0
2023-01-24,100,2821.2,0,0,8,5.0
2023-01-25,100,2332.0,0,2,6,0.0
2023-01-26,100,2402.6,0,0,3,0.0
2023-01-27,100,2211.6,0,1,9,5.0
2023-01-28,100,2388.4,0,0,7,5.0
2023-01-29,100,2427.0,0,0,7,5.0
2023-01-30,100,2357.2,0,1,10,5.0
2023-01-31,100,2326.1,0,0,12,0.0
2023-02-01,100,2462.2,0,0,9,5.0
2023-02-02,100,2380.2,0,0,14,0.0
2023-02-03,100,2334.7,0,0,9,5.0
2023-02-04,100,2310.0,0,0,13,5.0
2023-02-05,100,2226.3,0,0,17,0.0
2023-02-06,100,2510.5,0,0,13,25.0
2023-02-07,100,2353.2,0,1,14,0.0
2023-02-08,100,2226.4,0,0,5,0.0
2023-02-09,100,2433.6,0,0,12,5.0
2023-02-10,100,2439.6,0,0,10,10.0
2023-02-11,100,2310.7,0,0,12,0.0
2023-02-12,100,2520.0,0,0,10,0.0
2023-02-13,100,2329.7,0,0,13,5.0
2023-02-14,100,2272.0,0,1,16,0.0
2023-02-15,100,2372.3,0,2,13,5.0
2023-02-16,100,2431.5,0,1,16,0.0
2023-02-17,100,2367.4,0,0,15,0.0
2023-02-18,100,2417.1,0,1,20,0.0
2023-02-19,100,2503.9,0,1,22,5.0
2023-02-20,100,2469.7,0,1,15,0.0
2023-02-21,100,2396.7,0,0,15,0.0
2023-02-22,100,2408.1,0,0,10,0.0
2023-02-23,100,2359.3,0,0,13,0.0
2023-02-24,100,2300.6,0,0,12,0.0
2023-02-25,100,2321.9,0,1,4,0.0
2023-02-26,100,2336.5,0,1,9,0.0
2023-02-27,100,2350.2,0,0,10,0.0
2023-02-28,100,2388.4,0,0,15,0.0
2023-03-01,100,2440.2,0,1,24,0.0
2023-03-02,100,2417.7,0,1,24,0.0
2023-03-03,100,2445.4,0,0,11,0.0
2023-03-04,100,2475.5,0,0,13,0.0
2023-03-05,100,2415.7,0,0,23,0.0
2023-03-06,100,2399.3,0,0,14,0.0
2023-03-07,100,2388.3,0,0,19,0.0
2023-03-08,100,2435.6,0,0,13,0.0
2023-03-09,100,2363.7,0,0,15,0.0
2023-03-10,100,2414.5,0,0,17,0.0
2023-03-11,100,2565.0,0,0,17,0.0
2023-03-12,100,2407.4,0,0,20,0.0
2023-03-13,100,2518.3,0,0,17,0.0
2023-03-14,100,2418.7,0,0,16,0.0
2023-03-15,88.7,6493.9,2,0,16,0.0
2023-03-16,100,1965.6,0,0,16,0.0
2023-03-17,100,1968.5,0,0,23,10.0
2023-03-18,100,2031.3,0,0,19,5.0
2023-03-19,100,2113.4,0,0,12,0.0
2023-03-20,100,2003.8,0,0,12,0.0
2023-03-21,100,2004.7,0,0,11,0.0
2023-03-22,100,2070.6,0,0,9,0.0
2023-03-23,100,1948.6,0,0,11,0.0
2023-03-24,100,1956.3,0,0,13,0.0
2023-03-25,100,1990.1,0,0,11,0.0
2023-03-26,100,2064.1,0,0,13,0.0
2023-03-27,100,2069.9,0,1,14,0.0
2023-03-28,100,2077.1,0,2,6,0.0
2023-03-29,100,2115.7,0,1,17,0.0
2023-03-30,100,2172.0,0,2,15,5.0
2023-03-31,100,2106.6,0,0,12,0.0
2023-04-01,100,2197.3,0,0,10,0.0
2023-04-02,100,2192.1,0,0,9,0.0
2023-04-03,100,2066.7,0,0,5,0.0
2023-04-04,100,2131.6,0,0,13,0.0
2023-04-05,100,2127.1,0,2,11,0.0
2023-04-06,100,2070.0,0,0,10,0.0
2023-04-07,100,2081.6,0,0,16,0.0
2023-04-08,100,2332.6,0,0,12,0.0
2023-04-09,100,2111.3,0,0,11,0.0
2023-04-10,100,2008.6,0,0,11,0.0
2023-04-11,100,2040.4,0,0,13,0.0
2023-04-12,100,1982.2,0,0,16,0.0
2023-04-13,100,1989.8,0,0,18,0.0
2023-04-14,100,1964.0,0,0,12,0.0
2023-04-15,100,1944.9,0,0,18,5.0
2023-04-16,100,2194.5,0,0,17,0.0
2023-04-17,100,2051.6,0,3,19,0.0
2023-04-18,100,1998.8,0,0,17,5.0
2023-04-19,100,2016.5,0,3,16,0.0
2023-04-20,100,1978.2,0,0,14,0.0
2023-04-21,100,2044.9,0,0,6,0.0
2023-04-22,100,2048.8,0,0,19,5.0
2023-04-23,100,2336.5,0,0,17,5.0
2023-04-24,100,2010.5,0,0,24,5.0
2023-04-25,100,2136.3,0,0,23,5.0
2023-04-26,100,1975.0,0,1,10,0.0
2023-04-27,100,2068.5,0,2,19,0.0
2023-04-28,100,1963.5,0,0,20,5.0
2023-04-29,100,1875.1,0,0,22,5.0
2023-04-30,100,2071.4,0,0,18,5.0
2023-05-01,100,1983.2,0,0,13,0.0
2023-05-02,100,2396.6,0,0,18,10.0
2023-05-03,100,1916.1,0,0,20,5.0
2023-05-04,100,2013.1,0,0,12,0.0
2023-05-05,100,1937.3,0,0,18,5.0
2023-05-06,100,1967.6,0,0,14,0.0
2023-05-07,100,1941.1,0,0,16,5.0
2023-05-08,100,2497.8,0,0,4,0.0
2023-05-09,100,2162.8,0,0,10,0.0
2023-05-10,100,2070.6,0,0,13,0.0
2023-05-11,100,1968.7,0,1,13,0.0
2023-05-12,100,2093.5,0,0,13,0.0
2023-05-13,100,2251.5,0,0,11,0.0
2023-05-14,100,2074.4,0,0,10,0.0
2023-05-15,100,2106.0,0,0,12,0.0
2023-05-16,100,2116.1,0,0,19,0.0
2023-05-17,100,2029.1,0,0,9,0.0
2023-05-18,100,1668.6,0,0,16,0.0
2023-05-19,100,1937.9,0,0,19,5.0
2023-05-20,100,2321.5,0,0,10,0.0
2023-05-21,100,1994.2,0,0,8,0.0
2023-05-22,100,1965.5,0,0,22,10.0
2023-05-23,100,2170.1,0,0,22,5.0
2023-05-24,100,2882.3,0,0,19,5.0
2023-05-25,100,1659.6,0,0,4,0.0
2023-05-26,100,1866.6,0,0,14,0.0
2023-05-27,100,2154.7,0,0,13,0.0
2023-05-28,100,1834.1,0,0,12,5.0
2023-05-29,100,1999.5,0,1,15,0.0
2023-05-30,100,2106.8,0,0,6,0.0
2023-05-31,100,2091.8,0,0,7,0.0
2023-06-01,100,2008.8,0,0,10,0.0
2023-06-02,100,2014.6,0,0,10,0.0
2023-06-03,100,2062.8,0,0,17,5.0
2023-06-04,100,1999.0,0,0,14,5.0
2023-06-05,100,1983.0,0,0,13,0.0
2023-06-06,100,2038.7,0,0,14,5.0
2023-06-07,100,2032.6,0,0,17,5.0
2023-06-08,100,2080.7,0,0,9,0.0
2023-06-09,100,1864.6,0,0,13,5.0
2023-06-10,100,1796.8,0,0,14,10.0
2023-06-11,100,1894.5,0,1,12,0.0
2023-06-12,100,1869.8,0,0,17,5.0
2023-06-13,100,1826.2,0,0,15,5.0
2023-06-14,100,1912.4,0,0,22,15.0
2023-06-15,100,1894.2,0,0,22,15.0
2023-06-16,100,2030.4,0,1,21,15.0
2023-06-17,100.0,1752.4,1,0,25,15.0
2023-06-18,100,1760.5,0,0,23,15.0
2023-06-19,100,1764.6,0,0,18,10.0
2023-06-20,100,1783.6,0,0,21,15.0
2023-06-21,100,1726.7,0,2,12,5.0
2023-06-22,100,1917.3,0,4,14,5.0
2023-06-23,100,1790.7,0,0,18,5.0
2023-06-24,100,1608.4,0,0,12,5.0
2023-06-25,100,1577.3,0,0,19,0.0
2023-06-26,100,1650.6,0,0,11,0.0
2023-06-27,100,1713.2,0,0,20,5.0
2023-06-28,100,1716.2,0,0,13,0.0
2023-06-29,100.0,1948.5,1,0,19,0.0
2023-06-30,100.0,2138.4,1,0,8,0.0
2023-07-01,100.0,1850.9,1,0,9,0.0
2023-07-02,100,1941.0,0,0,10,0.0
2023-07-03,100,1314.4,0,0,13,15.0
2023-07-04,100,1994.0,0,0,7,0.0
2023-07-05,100.0,1448.3,1,0,16,0.0
2023-07-06,100.0,1620.8,1,0,17,0.0
2023-07-07,100.0,1813.6,1,0,15,0.0
2023-07-08,100,1562.5,0,0,13,5.0
2023-07-09,100,1618.5,0,0,20,10.0
2023-07-10,100,1579.7,0,0,22,10.0
2023-07-11,100.0,1861.0,1,0,17,5.0
2023-07-12,100,1593.3,0,2,15,5.0
2023-07-13,100,1587.3,0,3,19,10.0
2023-07-14,100,1339.8,0,1,17,15.0
2023-07-15,100,1610.8,0,0,15,0.0
2023-07-16,100,1606.9,0,0,16,5.0
2023-07-17,100.0,1656.7,1,0,12,0.0
2023-07-18,100,1758.4,0,0,17,5.0
2023-07-19,100.0,1517.0,1,0,22,5.0
2023-07-20,100,1921.1,0,0,15,5.0
2023-07-21,100,1762.1,0,0,13,10.0
2023-07-22,100,1514.2,0,0,17,10.0
2023-07-23,100,1708.9,0,0,15,5.0
2023-07-24,100.0,1892.6,1,2,18,10.0
2023-07-26,100.0,1934.7,1,0,23,10.0
2023-07-27,100,1690.1,0,2,15,15.0
2023-07-28,100,1604.4,0,0,20,15.0
2023-07-29,100,1512.9,0,0,24,20.0
2023-07-30,100,1793.7,0,0,19,15.0
2023-07-31,100,1500.1,0,0,21,15.0
2023-08-01,73.8,111.2,2,0,9,15.0
2023-08-02,89.0,782.9,2,0,14,0.0
2023-08-03,100.0,1738.3,1,0,15,25.0
2023-08-04,100.0,1867.0,1,2,12,25.0
2023-08-05,100,1721.8,0,2,17,25.0
2023-08-06,100,1797.4,0,0,15,25.0
2023-08-07,100,1025.4,0,0,18,25.0
2023-08-08,100.0,1550.7,1,0,19,25.0
2023-08-09,100.0,1706.1,1,1,14,25.0
2023-08-10,100,1757.7,0,0,14,25.0
2023-08-11,100.0,1556.2,1,0,10,25.0
2023-08-12,100,1639.4,0,0,24,25.0
2023-08-13,100,1597.8,0,0,25,25.0
2023-08-14,100.0,1475.5,1,0,23,25.0
2023-08-15,100.0,1864.5,1,0,11,25.0
2023-08-16,100,1415.6,0,1,14,25.0
2023-08-17,100,1708.9,0,1,13,25.0
2023-08-18,100,1479.1,0,0,14,25.0
2023-08-19,100,1311.9,0,0,16,25.0
2023-08-20,100,1712.6,0,0,3,25.0
2023-08-21,100,1461.2,0,0,12,20.0
2023-08-22,100,1496.0,0,0,13,25.0
2023-08-23,100,1536.1,0,1,9,25.0
2023-08-24,100,1526.7,0,0,7,20.0
2023-08-25,100,1168.3,0,0,19,25.0
2023-08-26,100,1301.0,0,0,9,25.0
2023-08-27,100,1428.2,0,0,9,25.0
2023-08-28,100,1286.6,0,0,6,25.0
2023-08-29,100,1111.5,0,0,8,25.0
2023-08-30,100.0,1276.9,1,0,8,25.0
2023-08-31,100,1216.1,0,0,4,25.0
2023-09-01,100,1199.8,0,1,3,25.0
2023-09-02,100,1332.5,0,0,5,25.0
2023-09-03,100,1290.7,0,0,6,25.0
2023-09-04,100.0,1564.4,1,0,3,25.0
2023-09-05,100.0,1614.7,1,1,15,25.0
2023-09-06,100,1478.0,0,0,14,25.0
2023-09-07,100.0,1152.9,1,1,7,25.0
2023-09-08,100,1412.6,0,0,4,25.0
2023-09-09,100,1209.0,0,0,3,25.0
2023-09-10,100,1388.8,0,1,6,25.0
2023-09-11,100,1592.8,0,1,6,25.0
2023-09-12,100.0,1481.6,3,0,9,25.0
2023-09-13,100.0,1848.9,1,0,5,25.0
2023-09-14,100,1913.4,0,0,10,25.0
2023-09-15,100,1287.5,0,0,13,25.0
2023-09-16,100,1831.2,0,0,6,25.0
2023-09-17,100,1893.9,0,0,5,25.0
2023-09-18,100,1970.9,0,0,3,25.0
2023-09-19,100,1838.0,0,0,5,25.0
2023-09-20,100,1558.6,0,1,7,25.0
2023-09-21,100.0,1848.6,1,0,3,25.0
2023-09-22,100.0,1759.7,1,0,4,25.0
2023-09-23,100,1944.2,0,0,5,25.0
2023-09-24,100,1871.8,0,0,8,25.0
2023-09-25,100.0,1573.1,1,2,5,25.0
2023-09-26,100,1609.0,0,0,7,25.0
2023-09-27,100.0,1981.9,1,0,4,25.0
2023-09-28,100,2223.4,0,1,2,25.0
2023-09-29,100.0,1676.9,1,0,9,25.0
2023-09-30,100,1887.7,0,0,5,25.0
2023-10-01,100,1743.6,0,0,4,25.0
2023-10-02,100.0,1747.2,1,0,6,25.0
2023-10-03,100.0,1944.0,1,0,5,25.0
2023-10-04,100.0,1615.2,1,1,3,25.0
2023-10-05,100,1889.3,0,1,6,25.0
2023-10-06,100,1866.2,0,1,2,25.0
2023-10-07,100,1797.0,0,0,6,25.0
2023-10-08,100,1539.1,0,0,8,25.0
2023-10-09,100.0,1816.0,1,0,10,25.0
2023-10-10,100.0,1731.4,1,0,12,25.0
2023-10-11,100.0,1779.0,1,0,10,25.0
2023-10-12,100.0,1574.8,1,0,8,25.0
2023-10-13,100.0,1653.3,1,0,10,25.0
2023-10-14,100,1737.3,0,0,3,25.0
2023-10-15,100,1897.8,0,0,10,25.0
2023-10-16,100.0,1946.6,1,0,13,25.0
2023-10-17,100.0,1812.4,1,0,14,25.0
2023-10-18,100.0,1493.8,1,0,16,25.0
2023-10-19,100.0,1730.4,1,0,16,25.0
2023-10-20,100.0,1715.6,1,1,15,25.0
2023-10-21,100,1916.7,0,1,8,25.0
2023-10-22,100,1665.5,0,0,9,25.0
2023-10-22,100.0,1665.5,1,0,9,25.0
2023-10-23,100,1639.5,0,0,12,25.0
2023-10-24,100,1766.6,0,0,9,25.0
2023-10-25,100.0,1816.5,1,1,5,20.0
2023-10-26,100.0,1645.6,1,0,10,20.0
2023-10-27,100,1706.0,0,0,7,25.0
2023-10-28,100,1754.5,0,0,5,20.0
2023-10-29,100,1813.7,0,0,12,20.0
2023-10-30,100.0,1854.8,1,0,15,20.0
2023-10-31,100,1884.4,0,0,14,25.0
2023-11-01,100,1728.8,0,0,13,20.0
2023-11-02,100.0,1779.7,1,0,7,20.0
2023-11-03,100,1876.1,0,0,13,20.0
2023-11-04,100,1563.0,0,0,14,20.0
2023-11-05,100,1592.0,0,0,18,20.0
2023-11-06,100,1910.6,0,0,20,20.0
2023-11-07,100.0,1745.0,1,1,13,20.0
2023-11-08,100,1950.4,0,0,10,25.0
2023-11-09,100,1711.7,0,5,11,20.0
2023-11-10,100,1121.3,0,4,15,25.0
2023-11-11,100,1746.9,0,0,14,20.0
2023-11-12,100,1853.8,0,1,11,15.0
2023-11-13,100,1701.7,0,0,13,15.0
2023-11-14,100,1617.5,0,0,13,15.0
2023-11-15,100,1430.0,0,0,12,20.0
2023-11-16,100,1720.8,0,0,18,20.0
2023-11-17,100.0,1820.6,1,1,13,20.0
2023-11-18,100,1862.2,0,0,12,15.0
2023-11-19,100,1405.0,0,0,10,20.0
2023-11-20,100.0,1702.8,1,0,5,15.0
2023-11-21,100.0,1826.3,1,0,13,15.0
2023-11-22,100,1802.2,0,0,12,20.0
2023-11-23,100.0,1713.3,1,1,14,20.0
2023-11-24,100.0,1746.0,1,0,12,15.0
2023-11-25,100.0,1706.2,1,0,16,15.0
2023-11-26,100,1717.4,0,0,15,15.0
2023-11-27,100,1631.2,0,0,12,15.0
2023-11-28,100.0,1655.0,1,1,11,15.0
2023-11-29,100,1548.3,0,0,14,20.0
2023-11-30,100.0,1539.3,1,0,10,15.0
2023-12-01,100,1664.5,0,0,8,20.0
2023-12-02,100,1752.7,0,0,11,25.0
2023-12-03,100,1614.3,0,0,16,25.0
2023-12-04,100,1660.7,0,0,15,20.0
2023-12-05,100,1595.4,0,0,10,20.0
2023-12-06,100,1613.4,0,0,9,20.0
2023-12-07,100,1512.9,0,0,12,25.0
2023-12-08,100,1603.8,0,0,7,15.0
2023-12-09,100,1292.0,0,0,15,25.0
2023-12-10,100,1629.4,0,0,12,25.0
2023-12-11,100,1709.9,0,0,8,15.0
2023-12-12,100,1503.1,0,0,10,20.0
2023-12-13,100,1650.5,0,1,14,20.0
2023-12-14,94.6,711.8,2,0,11,20.0
2023-12-15,91.6,1056.4,1,0,11,15.0
2023-12-16,46.0,-238.3,1,0,7,25.0
2023-12-17,47.9,-1051.4,1,0,9,60.0
2023-12-17,47.9,-1051.4,2,0,9,60.0
2023-12-18,77.4,-200.9,1,0,16,15.0
2023-12-19,46.7,-1059.1,2,0,5,60.0
2023-12-20,0.8,38.8,1,0,0,-9
2023-12-21,0,-9,0,0,0,-9
2023-12-22,0,-9,0,0,0,-9
2023-12-23,0,-9,0,0,0,-9
2023-12-24,0,-9,0,0,0,-9
2023-12-25,0,-9,0,0,0,-9
2023-12-26,0,-9,0,0,0,-9
2023-12-27,0,-9,0,0,0,-9
2023-12-28,0,-9,0,0,0,-9
2023-12-29,0,-9,0,0,0,-9
2023-12-30,0,-9,0,0,0,-9
2023-12-31,0,-9,0,0,0,-9
