fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,6128.1,1,0,0,35.0
2023-01-02,100,6136.7,0,0,0,35.0
2023-01-03,100,6153.1,0,0,0,35.0
2023-01-04,100,6138.6,0,0,0,35.0
2023-01-05,100,6151.7,0,0,0,35.0
2023-01-06,100,6184.5,0,0,1,35.0
2023-01-07,100,6236.9,0,0,0,35.0
2023-01-08,100,6310.1,0,0,1,35.0
2023-01-09,100,6341.5,0,0,0,35.0
2023-01-10,100,6339.3,0,0,0,35.0
2023-01-11,100,6351.8,0,0,0,35.0
2023-01-12,100,6352.0,0,0,0,35.0
2023-01-13,100,6311.5,0,0,1,35.0
2023-01-14,100,6252.7,0,0,0,35.0
2023-01-15,100,6198.7,0,0,0,35.0
2023-01-16,100,6176.9,0,0,1,35.0
2023-01-17,100,6208.2,0,0,0,35.0
2023-01-18,100,6241.8,0,0,0,35.0
2023-01-19,100,6269.7,0,0,0,35.0
2023-01-20,100,6317.5,0,1,0,35.0
2023-01-21,100,6382.6,0,0,0,35.0
2023-01-22,100,6425.0,0,0,0,35.0
2023-01-23,100,6487.6,0,0,0,35.0
2023-01-24,100,6524.7,0,0,0,35.0
2023-01-25,100,6605.1,0,2,1,35.0
2023-01-26,100,6693.2,0,0,0,35.0
2023-01-27,100,6891.5,0,1,0,35.0
2023-01-28,100,7099.0,0,0,0,35.0
2023-01-29,100,7264.8,0,0,0,35.0
2023-01-30,100,7491.2,0,1,0,35.0
2023-01-31,100,7753.9,0,0,0,35.0
2023-02-01,100,7943.6,0,0,0,35.0
2023-02-02,100,8155.5,0,0,0,35.0
2023-02-03,100,8406.0,0,0,0,35.0
2023-02-04,100,8718.9,0,0,0,35.0
2023-02-05,100,9047.1,0,0,0,35.0
2023-02-06,100,9274.6,0,0,0,40.0
2023-02-07,100,9471.7,0,1,0,35.0
2023-02-08,100,9654.8,0,0,0,35.0
2023-02-09,100,9789.6,0,0,0,35.0
2023-02-10,100,9935.7,0,0,0,35.0
2023-02-11,100,10082.2,0,0,0,35.0
2023-02-12,100,10238.3,0,0,0,35.0
2023-02-13,100,10340.6,0,0,0,35.0
2023-02-14,100,10427.7,0,1,0,35.0
2023-02-15,100,10470.9,0,2,0,35.0
2023-02-16,100,10523.3,0,1,0,35.0
2023-02-17,100,10525.8,0,0,0,35.0
2023-02-18,100,10522.8,0,1,1,35.0
2023-02-19,100,10531.4,0,1,0,35.0
2023-02-20,100,10637.0,0,1,0,35.0
2023-02-21,100,10820.3,0,0,0,35.0
2023-02-22,100,10963.7,0,0,1,35.0
2023-02-23,100,11085.9,0,0,0,35.0
2023-02-24,100,11271.1,0,0,0,35.0
2023-02-25,100,11484.0,0,1,0,40.0
