fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,3051.4,1,0,1,30.0
2023-01-02,100,2908.8,0,0,1,30.0
2023-01-03,100,2790.8,0,0,6,30.0
2023-01-04,100,2785.8,0,0,1,30.0
2023-01-05,100,2745.5,0,0,1,30.0
2023-01-06,100,2887.2,0,0,4,30.0
2023-01-07,100,2856.5,0,0,1,30.0
2023-01-08,100,2681.9,0,0,0,30.0
2023-01-09,100,2793.7,0,0,2,30.0
2023-01-10,100,2826.2,0,0,0,30.0
2023-01-11,100,2772.4,0,0,2,30.0
2023-01-12,100,2717.0,0,0,0,30.0
2023-01-13,100,2726.5,0,0,5,30.0
2023-01-14,100,2768.6,0,0,3,30.0
2023-01-15,100,2782.2,0,0,1,30.0
2023-01-16,100,2711.0,0,0,0,30.0
2023-01-17,100,2699.8,0,0,1,30.0
2023-01-18,100,2715.4,0,0,1,30.0
2023-01-19,100,2732.4,0,0,0,30.0
2023-01-20,100,2670.5,0,1,3,30.0
2023-01-21,100,2722.2,0,0,0,30.0
2023-01-22,100,2836.9,0,0,3,30.0
2023-01-23,100,2841.0,0,0,0,30.0
2023-01-24,100,2817.9,0,0,1,30.0
2023-01-25,100,2882.1,0,2,5,30.0
2023-01-26,100,2844.7,0,0,3,30.0
2023-01-27,100,2917.1,0,1,1,30.0
2023-01-28,100,2946.3,0,0,0,30.0
2023-01-29,100,2936.1,0,0,0,30.0
2023-01-30,100,2936.8,0,1,1,30.0
2023-01-31,100,2854.9,0,0,1,30.0
2023-02-01,100,2846.3,0,0,2,30.0
2023-02-02,99.6,2864.4,1,0,1,30.0
2023-02-03,100,2869.6,0,0,0,30.0
2023-02-04,100,2948.2,0,0,1,30.0
2023-02-05,100,2895.4,0,0,1,30.0
2023-02-06,100,2657.7,0,0,11,30.0
2023-02-07,100,2836.0,0,1,0,30.0
2023-02-08,100,2932.1,0,0,2,30.0
2023-02-09,100,2956.1,0,0,4,30.0
2023-02-10,100,2823.4,0,0,0,30.0
2023-02-11,100,2878.0,0,0,0,30.0
2023-02-12,100,2872.0,0,0,0,30.0
2023-02-13,100,2910.3,0,0,0,30.0
2023-02-14,100,2893.0,0,1,0,30.0
2023-02-15,100,2887.5,0,2,5,30.0
2023-02-16,100,2727.1,0,1,3,30.0
2023-02-17,100,2648.6,0,0,0,30.0
2023-02-18,100,2740.6,0,1,2,30.0
2023-02-19,100,2747.1,0,1,2,30.0
2023-02-20,100,2921.6,0,1,3,30.0
2023-02-21,100,2994.0,0,0,3,30.0
2023-02-22,100,3023.3,0,0,3,30.0
2023-02-23,100,3072.3,0,0,1,30.0
2023-02-24,100,3058.7,0,0,2,30.0
2023-02-25,100,3205.8,0,1,1,30.0
2023-02-26,100,3114.3,0,1,0,30.0
2023-02-27,100,2972.8,0,0,2,30.0
2023-02-28,100,2954.9,0,0,2,30.0
2023-03-01,100,2842.1,0,1,3,30.0
2023-03-02,100,2687.0,0,1,3,30.0
2023-03-03,100,2612.7,0,0,4,30.0
2023-03-04,100,2649.2,0,0,2,30.0
2023-03-05,100,2689.1,0,0,3,30.0
2023-03-06,100,2792.8,0,0,0,30.0
2023-03-07,100,2769.4,0,0,2,30.0
2023-03-08,100,2763.5,0,0,0,30.0
2023-03-09,100,2775.6,0,0,2,30.0
2023-03-10,100,2626.4,0,0,3,30.0
2023-03-11,100,2626.7,0,0,2,30.0
2023-03-12,82.4,278102.6,2,0,1,25.0
2023-03-13,56.4,406579.4,2,0,0,10.0
2023-03-14,81.4,284114.7,2,0,0,25.0
2023-03-15,87.6,502248.9,4,0,2,30.0
2023-03-16,72.5,317242.4,2,0,1,25.0
2023-03-17,100,2959.8,0,0,1,30.0
2023-03-18,100,2974.2,0,0,5,30.0
2023-03-19,100,2892.9,0,0,2,30.0
2023-03-20,70.6,323443.0,75,0,2,30.0
2023-03-21,72.1,1091442.3,63,0,1,25.0
2023-03-22,74.2,1129289.1,8,0,0,25.0
2023-03-23,100,3048.5,0,0,1,30.0
2023-03-24,100,2942.3,0,0,0,30.0
2023-03-25,91.9,1647935.3,15,0,4,45.0
2023-03-26,52.3,2001369.0,9,0,0,10.0
2023-03-27,63.3,1497725.1,9,1,1,5.0
2023-03-28,69.1,1396408.9,9,1,0,25.0
2023-03-29,68.9,4509863.2,27,1,0,25.0
2023-03-30,62.7,2727251.5,17,2,1,25.0
2023-03-31,100,2911.7,0,0,0,30.0
2023-04-01,82.9,2441341.8,20,0,2,30.0
2023-04-02,69.7,1704309.6,10,0,1,25.0
2023-04-03,77.7,1014693.0,7,0,0,25.0
2023-04-04,100,2883.3,0,0,2,30.0
2023-04-05,100,2855.8,0,2,1,30.0
2023-04-06,100,2823.3,0,0,3,30.0
2023-04-07,100,2839.5,0,0,1,30.0
2023-04-08,100,2706.5,0,0,1,30.0
2023-04-09,84.0,273020.8,2,0,2,25.0
2023-04-10,94.5,242858.8,2,0,2,30.0
2023-04-11,100,2942.0,0,0,1,30.0
2023-04-12,100,2881.1,0,0,2,30.0
2023-04-13,100,2909.5,0,0,1,30.0
2023-04-14,100,2884.5,0,0,0,30.0
2023-04-15,100,3017.1,0,0,0,30.0
2023-04-16,100,3010.8,0,0,2,30.0
2023-04-17,100,2755.7,0,3,3,30.0
2023-04-18,100,2715.2,0,0,2,30.0
2023-04-19,100,2802.5,0,3,2,30.0
2023-04-20,100,2756.5,0,0,2,30.0
2023-04-21,100,2749.5,0,0,4,30.0
2023-04-22,100,2739.1,0,0,2,30.0
2023-04-23,79.4,2676.3,1,0,1,30.0
2023-04-24,0.0,3577.3,3,0,0,55.0
2023-04-25,0.0,4036.0,5,0,0,90.0
2023-04-26,0.1,1351355.6,5,0,0,100.0
2023-04-27,0.7,12797135.4,26,1,0,30.0
2023-04-28,32.4,642826.2,34,0,2,5.0
2023-04-29,100,2809.8,0,0,2,30.0
2023-04-30,100,2866.0,0,0,1,30.0
2023-05-01,100,2768.3,0,0,3,30.0
2023-05-02,100,2750.8,0,0,3,30.0
2023-05-03,100,2794.9,0,0,0,30.0
2023-05-04,100,2906.0,0,0,2,30.0
2023-05-05,100,2999.3,0,0,2,30.0
2023-05-06,100,2960.3,0,0,1,30.0
2023-05-07,100,2813.8,0,0,4,30.0
