fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-223.1,1,2023-1-1-0-0-0-0-0.52_,0,15,2023-1-1-1-39-25-270000_2023-1-1-1-42-35-670000_2023-1-1-2-54-12-270000_2023-1-1-2-55-2-670000_2023-1-1-2-55-53-20000_2023-1-1-4-28-17-120000_2023-1-1-7-29-43-970000_2023-1-1-7-33-47-570000_2023-1-1-8-15-14-20000_2023-1-1-8-19-12-370000_2023-1-1-11-29-53-320000_2023-1-1-11-31-4-970000_2023-1-1-14-4-8-870000_2023-1-1-14-11-20-270000_2023-1-1-18-25-31-120000_,20.0
2023-01-02,100.0,-282.9,1,2023-1-2-6-3-59-280000-2.3400001525878906_,0,5,2023-1-2-0-43-13-290000_2023-1-2-3-50-40-90000_2023-1-2-3-51-30-640000_2023-1-2-9-51-49-680000_2023-1-2-15-11-13-730000_,0.0
2023-01-03,39.1,-101.4,1,2023-1-3-9-22-54-60000-52625.94_,0,0,[],0.0
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,0,-9,0,[],0,0,[],-9
2023-01-06,0,-9,0,[],0,0,[],-9
2023-01-07,0,-9,0,[],0,0,[],-9
2023-01-08,0,-9,0,[],0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,0,-9,0,[],0,0,[],-9
2023-01-14,0,-9,0,[],0,0,[],-9
2023-01-15,0,-9,0,[],0,0,[],-9
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
