fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,4866.6,1,2023-1-1-0-0-0-0-1.819538_,0,0,[],40.0
2023-01-02,100,4977.5,0,[],0,0,[],40.0
2023-01-03,100,4953.8,0,[],0,0,[],40.0
2023-01-04,100,4934.7,0,[],0,0,[],40.0
2023-01-05,100,4949.3,0,[],0,0,[],40.0
2023-01-06,100,4908.3,0,[],0,0,[],40.0
2023-01-07,100,4890.1,0,[],0,0,[],40.0
2023-01-08,99.3,4876.9,3,2023-1-8-23-4-21-979538-499.00000071525574_2023-1-8-23-19-32-979539-102.99999904632568_2023-1-8-23-21-18-979538-14.0_,0,0,[],40.0
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
2023-01-11,0,-9,9,[],9,9,[],-9
2023-01-12,100,5066.2,0,[],0,0,[],40.0
2023-01-13,100,5043.4,0,[],0,0,[],40.0
2023-01-14,100,5075.7,0,[],0,0,[],40.0
2023-01-15,100,5091.0,0,[],0,0,[],40.0
2023-01-16,100,5069.5,0,[],0,0,[],40.0
2023-01-17,100,5052.8,0,[],0,0,[],40.0
2023-01-18,100,5083.8,0,[],0,0,[],40.0
2023-01-19,100,5141.0,0,[],0,0,[],40.0
2023-01-20,100,5153.8,0,[],1,1,2023-1-20-22-24-45-234538_,40.0
2023-01-21,100,5138.3,0,[],0,0,[],40.0
2023-01-22,100,5113.3,0,[],0,0,[],40.0
2023-01-23,100,5099.3,0,[],0,0,[],40.0
2023-01-24,100,5049.7,0,[],0,0,[],40.0
2023-01-25,100,4989.1,0,[],2,0,[],40.0
2023-01-26,100,5051.8,0,[],0,0,[],40.0
2023-01-27,100,5128.5,0,[],1,0,[],40.0
2023-01-28,100,5233.2,0,[],0,0,[],40.0
2023-01-29,100,5377.9,0,[],0,0,[],40.0
2023-01-30,100,5370.2,0,[],1,0,[],40.0
2023-01-31,100,5351.6,0,[],0,0,[],40.0
2023-02-01,100,5479.6,0,[],0,0,[],40.0
2023-02-02,100,5510.2,0,[],0,0,[],40.0
2023-02-03,100,5401.7,0,[],0,0,[],40.0
2023-02-04,100,5324.9,0,[],0,0,[],40.0
2023-02-05,100,5315.9,0,[],0,0,[],40.0
2023-02-06,100,5274.8,0,[],0,0,[],40.0
2023-02-07,100,5233.1,0,[],1,1,2023-2-7-21-31-55-534538_,40.0
2023-02-08,100,5217.5,0,[],0,0,[],40.0
2023-02-09,100,5240.7,0,[],0,0,[],40.0
2023-02-10,100,5256.4,0,[],0,0,[],40.0
2023-02-11,100,5242.9,0,[],0,0,[],40.0
2023-02-12,100,5270.6,0,[],0,0,[],40.0
2023-02-13,100,5281.1,0,[],0,0,[],40.0
2023-02-14,100,5302.8,0,[],1,0,[],40.0
2023-02-15,100,5325.9,0,[],2,0,[],40.0
2023-02-16,100,5296.8,0,[],1,0,[],40.0
2023-02-17,100,5303.1,0,[],0,0,[],40.0
2023-02-18,100,5366.9,0,[],1,0,[],40.0
2023-02-19,100,5518.7,0,[],1,0,[],40.0
2023-02-20,100,5571.7,0,[],1,0,[],40.0
2023-02-21,100,5495.6,0,[],0,0,[],40.0
2023-02-22,100,5509.7,0,[],0,0,[],40.0
2023-02-23,100,5488.4,0,[],0,0,[],40.0
2023-02-24,100,5460.4,0,[],0,0,[],40.0
2023-02-25,99.8,5534.6,2,2023-2-25-9-44-54-979538-144.0_2023-2-25-10-0-16-979538-3.0000038146972656_,1,0,[],40.0
2023-02-26,100,5543.9,0,[],1,0,[],40.0
2023-02-27,100,5569.2,0,[],0,0,[],40.0
2023-02-28,100,5559.7,0,[],0,0,[],40.0
2023-03-01,100,5534.2,0,[],1,0,[],40.0
2023-03-02,100,5535.4,0,[],1,0,[],40.0
2023-03-03,100,5471.8,0,[],0,0,[],40.0
2023-03-04,100,5469.0,0,[],0,0,[],40.0
2023-03-05,100,5504.6,0,[],0,0,[],40.0
2023-03-06,100,5575.9,0,[],0,0,[],40.0
2023-03-07,100,5576.0,0,[],0,0,[],40.0
2023-03-08,100,5750.3,0,[],0,0,[],40.0
2023-03-09,100,5748.5,0,[],0,0,[],40.0
2023-03-10,100,5725.0,0,[],0,1,2023-3-10-9-19-37-599538_,40.0
2023-03-11,100,5711.4,0,[],0,0,[],40.0
2023-03-12,100,5767.8,0,[],0,0,[],40.0
2023-03-13,100,5614.9,0,[],0,0,[],40.0
2023-03-14,100,5628.6,0,[],0,0,[],40.0
2023-03-15,100,5582.1,0,[],0,0,[],40.0
2023-03-16,100,5663.3,0,[],0,0,[],40.0
2023-03-17,100,5765.2,0,[],0,0,[],40.0
2023-03-18,100,5734.7,0,[],0,0,[],40.0
2023-03-19,100,5650.7,0,[],0,0,[],40.0
2023-03-20,100,5647.7,0,[],0,0,[],40.0
2023-03-21,100,5662.1,0,[],0,0,[],40.0
2023-03-22,100,5691.0,0,[],0,0,[],40.0
2023-03-23,100,5626.3,0,[],0,0,[],40.0
2023-03-24,100,5681.7,0,[],0,0,[],40.0
2023-03-25,100,5768.4,0,[],0,0,[],40.0
2023-03-26,100,5771.0,0,[],0,0,[],40.0
2023-03-27,100,5721.0,0,[],1,0,[],40.0
2023-03-28,100,5739.5,0,[],2,0,[],40.0
2023-03-29,100,5701.5,0,[],1,0,[],40.0
2023-03-30,100,5755.9,0,[],2,0,[],40.0
2023-03-31,100,5727.6,0,[],0,0,[],40.0
2023-04-01,100,5716.2,0,[],0,0,[],40.0
2023-04-02,100,5709.7,0,[],0,0,[],40.0
2023-04-03,100,5708.4,0,[],0,0,[],40.0
2023-04-04,100,5660.0,0,[],0,0,[],40.0
2023-04-05,100,5691.0,0,[],2,0,[],40.0
2023-04-06,100,5718.8,0,[],0,0,[],40.0
2023-04-07,100,5885.9,0,[],0,0,[],40.0
2023-04-08,91.5,5907.0,84,2023-4-8-13-45-24-979538-255.0_2023-4-8-13-50-4-979538-140.0_2023-4-8-13-54-23-979538-182.0_2023-4-8-13-58-34-979538-76.0_2023-4-8-13-59-51-979538-20.0_2023-4-8-14-2-52-979538-119.0_2023-4-8-14-13-49-979538-37.0_2023-4-8-14-18-56-979538-54.0_2023-4-8-14-23-54-979538-38.0_2023-4-8-14-26-40-979538-23.0_2023-4-8-14-28-3-979538-105.0_2023-4-8-19-29-24-979538-31.0_2023-4-8-19-30-20-979538-12.0_2023-4-8-19-32-12-979538-56.0_2023-4-8-19-33-13-979538-129.0_2023-4-8-19-35-37-979538-22.0_2023-4-8-19-36-16-979538-92.0_2023-4-8-19-37-52-979538-135.0_2023-4-8-19-40-14-979538-10.0_2023-4-8-19-40-44-979538-88.0_2023-4-8-19-42-30-979538-5.0_2023-4-8-19-43-4-979538-54.0_2023-4-8-19-44-1-979538-30.0_2023-4-8-19-45-3-979538-53.0_2023-4-8-19-45-57-979538-15.999998092651367_2023-4-8-19-46-15-979536-112.00000214576721_2023-4-8-19-48-18-979538-20.999998092651367_2023-4-8-19-48-41-979536-2.000002145767212_2023-4-8-19-49-2-979538-3.999998092651367_2023-4-8-19-49-25-979536-4.000002145767212_2023-4-8-19-49-36-979538-68.0_2023-4-8-19-55-0-979538-49.0_2023-4-8-19-55-50-979538-120.99999809265137_2023-4-8-19-57-55-979536-11.000002145767212_2023-4-8-19-59-11-979538-53.99999809265137_2023-4-8-20-0-6-979536-261.0000021457672_2023-4-8-20-5-18-979538-155.0_2023-4-8-20-7-54-979538-14.000000715255737_2023-4-8-20-8-9-979539-152.99999904632568_2023-4-8-20-11-4-979538-1.0000007152557373_2023-4-8-20-12-52-979539-94.99999904632568_2023-4-8-20-14-39-979538-7.0_2023-4-8-20-15-6-979538-4.0_2023-4-8-20-15-16-979538-66.0_2023-4-8-20-16-30-979538-6.0_2023-4-8-20-17-54-979538-40.0_2023-4-8-20-18-36-979538-262.0_2023-4-8-20-23-31-979538-74.0_2023-4-8-20-24-46-979538-135.0_2023-4-8-20-27-2-979538-22.0_2023-4-8-20-30-26-979538-176.99999809265137_2023-4-8-20-34-9-979536-85.00000214576721_2023-4-8-20-35-40-979538-31.0_2023-4-8-20-36-33-979538-2.0_2023-4-8-20-36-46-979538-71.0_2023-4-8-20-38-6-979538-30.0_2023-4-8-20-39-30-979538-126.0_2023-4-8-20-43-8-979538-45.0_2023-4-8-20-44-4-979538-133.99999809265137_2023-4-8-20-47-11-979536-61.00000214576721_2023-4-8-20-51-24-979538-87.0_2023-4-8-20-52-52-979538-17.0_2023-4-8-20-54-23-979538-52.0_2023-4-8-20-55-33-979538-5.0_2023-4-8-20-55-53-979538-1.0_2023-4-8-20-56-0-979538-65.0_2023-4-8-20-57-6-979538-1411.0_2023-4-8-21-22-33-979538-43.0_2023-4-8-21-23-48-979538-361.0_2023-4-8-21-29-51-979538-213.0_2023-4-8-21-34-0-979538-212.0_2023-4-8-21-39-17-979538-29.0_2023-4-8-21-39-49-979538-116.0_2023-4-8-21-42-1-979538-36.0_2023-4-8-21-42-52-979538-70.99999809265137_2023-4-8-21-44-21-979536-4.000000238418579_2023-4-8-21-44-27-979536-14.000002145767212_2023-4-8-21-44-45-979538-108.0_2023-4-8-21-46-35-979538-10.0_2023-4-8-21-49-23-979538-22.0_2023-4-8-21-49-58-979538-1.0_2023-4-8-21-52-27-979538-12.0_2023-4-8-21-53-3-979538-11.0_2023-4-8-21-54-42-979538-145.0_,0,0,[],40.0
2023-04-09,92.6,5842.6,65,2023-4-9-23-58-35-979538-84.020462_2023-4-9-20-44-45-979538-108.0_2023-4-9-20-48-1-979538-18.0_2023-4-9-20-48-20-979538-16.0_2023-4-9-20-49-6-979538-53.0_2023-4-9-20-50-1-979538-157.0_2023-4-9-20-53-13-979538-75.0_2023-4-9-20-54-49-979538-277.0_2023-4-9-20-59-34-979538-6.0_2023-4-9-21-0-23-979538-79.99999809265137_2023-4-9-21-2-43-979536-49.00000214576721_2023-4-9-21-3-38-979538-12.0_2023-4-9-21-3-58-979538-111.0_2023-4-9-21-5-52-979538-17.0_2023-4-9-21-6-19-979538-29.0_2023-4-9-21-46-32-979538-86.0_2023-4-9-21-48-11-979538-2.0_2023-4-9-21-48-58-979538-54.0_2023-4-9-21-52-20-979538-91.0_2023-4-9-21-54-1-979538-6.0_2023-4-9-21-54-24-979538-332.0_2023-4-9-22-0-59-979538-56.0_2023-4-9-22-1-59-979538-34.0_2023-4-9-22-2-44-979538-96.0_2023-4-9-22-5-59-979538-75.0_2023-4-9-22-7-21-979538-32.0_2023-4-9-22-8-6-979538-138.0_2023-4-9-22-11-3-979538-178.0_2023-4-9-22-14-3-979538-15.0_2023-4-9-22-18-36-979538-49.0_2023-4-9-22-20-37-979538-48.0_2023-4-9-22-21-33-979538-10.0_2023-4-9-22-21-44-979538-266.0_2023-4-9-22-26-27-979538-19.0_2023-4-9-22-27-11-979538-57.0_2023-4-9-22-28-9-979538-17.0_2023-4-9-22-28-27-979538-267.0_2023-4-9-22-33-8-979538-20.0_2023-4-9-22-33-47-979538-73.0_2023-4-9-22-35-1-979538-15.0_2023-4-9-22-35-22-979538-95.0_2023-4-9-22-37-4-979538-147.0_2023-4-9-22-42-37-979538-90.0_2023-4-9-22-45-24-979538-32.0_2023-4-9-22-46-23-979538-13.0_2023-4-9-22-50-49-979538-88.0_2023-4-9-22-54-37-979538-138.0_2023-4-9-22-57-35-979538-45.0_2023-4-9-22-58-21-979538-16.0_2023-4-9-22-58-43-979538-9.0_2023-4-9-22-59-14-979538-2.0_2023-4-9-22-59-19-979538-73.0_2023-4-9-23-1-0-979538-120.0_2023-4-9-23-3-9-979538-220.0_2023-4-9-23-7-7-979538-1289.0_2023-4-9-23-29-43-979538-232.0_2023-4-9-23-33-37-979538-30.0_2023-4-9-23-34-12-979538-13.0_2023-4-9-23-37-5-979538-23.000000715255737_2023-4-9-23-44-33-979539-99.99999904632568_2023-4-9-23-46-27-979538-348.0_2023-4-9-23-54-17-979538-11.000000715255737_2023-4-9-23-55-8-979539-80.99999904632568_2023-4-9-23-57-22-979538-66.0_2023-4-9-23-58-29-979538-3.0_,0,0,[],40.0
2023-04-10,0,-9,9,[],9,9,[],-9
2023-04-11,0,-9,9,[],9,9,[],-9
2023-04-12,99.2,5841.8,3,2023-4-12-23-44-38-979538-51.0_2023-4-12-23-45-30-979538-516.0_2023-4-12-23-57-40-979538-121.0_,0,0,[],40.0
2023-04-13,0,-9,9,[],9,9,[],-9
2023-04-14,0,-9,9,[],9,9,[],-9
2023-04-15,0,-9,9,[],9,9,[],-9
2023-04-16,0,-9,9,[],9,9,[],-9
2023-04-17,100,6080.7,0,[],3,0,[],40.0
2023-04-18,7.6,6103.6,1,2023-4-18-1-49-43-979538-79816.020462_,0,0,[],40.0
2023-04-19,0,-9,0,[],0,0,[],-9
2023-04-20,0,-9,0,[],0,0,[],-9
2023-04-21,0,-9,0,[],0,0,[],-9
2023-04-22,0,-9,0,[],0,0,[],-9
2023-04-23,0,-9,0,[],0,0,[],-9
2023-04-24,0,-9,0,[],0,0,[],-9
2023-04-25,0,-9,0,[],0,0,[],-9
2023-04-26,0,-9,0,[],0,0,[],-9
2023-04-27,0,-9,0,[],0,0,[],-9
2023-04-28,0,-9,0,[],0,0,[],-9
2023-04-29,0,-9,0,[],0,0,[],-9
2023-04-30,0,-9,0,[],0,0,[],-9
2023-05-01,0,-9,0,[],0,0,[],-9
2023-05-02,0,-9,0,[],0,0,[],-9
2023-05-03,0,-9,0,[],0,0,[],-9
2023-05-04,0,-9,0,[],0,0,[],-9
2023-05-05,0,-9,0,[],0,0,[],-9
2023-05-06,0,-9,0,[],0,0,[],-9
2023-05-07,0,-9,0,[],0,0,[],-9
2023-05-08,0,-9,0,[],0,0,[],-9
2023-05-09,0,-9,0,[],0,0,[],-9
2023-05-10,0,-9,0,[],0,0,[],-9
2023-05-11,0,-9,0,[],0,0,[],-9
2023-05-12,0,-9,0,[],0,0,[],-9
2023-05-13,0,-9,0,[],0,0,[],-9
2023-05-14,0,-9,0,[],0,0,[],-9
2023-05-15,0,-9,0,[],0,0,[],-9
2023-05-16,0,-9,0,[],0,0,[],-9
2023-05-17,0,-9,0,[],0,0,[],-9
2023-05-18,0,-9,0,[],0,0,[],-9
2023-05-19,0,-9,0,[],0,0,[],-9
2023-05-20,0,-9,0,[],0,0,[],-9
2023-05-21,0,-9,0,[],0,0,[],-9
2023-05-22,0,-9,0,[],0,0,[],-9
2023-05-23,0,-9,0,[],0,0,[],-9
2023-05-24,0,-9,0,[],0,0,[],-9
2023-05-25,0,-9,0,[],0,0,[],-9
2023-05-26,0,-9,0,[],0,0,[],-9
2023-05-27,0,-9,0,[],0,0,[],-9
2023-05-28,0,-9,0,[],0,0,[],-9
2023-05-29,0,-9,0,[],0,0,[],-9
2023-05-30,0,-9,0,[],0,0,[],-9
2023-05-31,0,-9,0,[],0,0,[],-9
2023-06-01,0,-9,0,[],0,0,[],-9
2023-06-02,0,-9,0,[],0,0,[],-9
2023-06-03,0,-9,0,[],0,0,[],-9
2023-06-04,0,-9,0,[],0,0,[],-9
2023-06-05,0,-9,0,[],0,0,[],-9
2023-06-06,0,-9,0,[],0,0,[],-9
2023-06-07,0,-9,0,[],0,0,[],-9
2023-06-08,0,-9,0,[],0,0,[],-9
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,35.9,-1405.3,1,2023-6-10-0-0-0-0-55340.984542_,0,0,[],40.0
2023-06-11,100,-1075.9,0,[],1,0,[],40.0
2023-06-12,100,-1105.2,0,[],0,0,[],40.0
2023-06-13,100,-1070.8,0,[],0,0,[],40.0
2023-06-14,100,-1072.1,0,[],0,0,[],40.0
2023-06-15,100,-1024.9,0,[],0,0,[],40.0
2023-06-16,100,-957.5,0,[],1,0,[],40.0
2023-06-17,100.0,-859.8,1,2023-6-17-0-0-0-0-1.259538_,0,0,[],40.0
2023-06-18,100,-824.8,0,[],0,0,[],40.0
2023-06-19,100,-348.7,0,[],0,0,[],40.0
2023-06-20,100,4589.9,0,[],0,8,2023-6-20-21-10-13-974539_2023-6-20-22-10-48-824539_2023-6-20-22-24-8-974539_2023-6-20-22-25-0-624539_2023-6-20-22-42-30-224539_2023-6-20-23-10-35-524539_2023-6-20-23-12-37-474539_2023-6-20-23-14-43-624539_,40.0
2023-06-21,100,-120.0,0,[],2,0,[],40.0
2023-06-22,100,71.1,0,[],4,0,[],40.0
2023-06-23,100,184.5,0,[],0,0,[],40.0
2023-06-24,100,51.2,0,[],0,0,[],40.0
2023-06-25,100,192.7,0,[],0,0,[],40.0
2023-06-26,100,251.0,0,[],0,0,[],40.0
2023-06-27,99.9,236.4,2,2023-6-27-15-38-5-979538-75.0_2023-6-27-15-51-16-979538-3.0000038146972656_,0,0,[],40.0
2023-06-28,100,195.9,0,[],0,0,[],40.0
2023-06-29,100.0,148.5,1,2023-6-29-0-0-0-0-1.229538_,0,0,[],40.0
2023-06-30,100.0,175.6,1,2023-6-30-0-0-0-0-2.894538_,0,0,[],40.0
2023-07-01,100.0,219.7,1,2023-7-1-0-0-0-0-1.564538_,0,0,[],40.0
2023-07-02,100,442.1,0,[],0,0,[],40.0
2023-07-03,100,370.9,0,[],0,0,[],40.0
2023-07-04,100,359.6,0,[],0,0,[],40.0
