fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,2009.4,1,2023-1-1-0-0-0-0-2.184538_,0,0,[],30.0
2023-01-02,100,1812.3,0,[],0,1,2023-1-2-10-38-24-719538_,30.0
2023-01-03,100,1873.5,0,[],0,0,[],30.0
2023-01-04,100,1873.4,0,[],0,0,[],30.0
2023-01-05,100,1862.0,0,[],0,0,[],30.0
2023-01-06,100,1872.0,0,[],0,2,2023-1-6-7-28-54-994538_2023-1-6-10-35-26-544538_,30.0
2023-01-07,100,1991.6,0,[],0,1,2023-1-7-8-10-17-984538_,30.0
2023-01-08,100,1809.4,0,[],0,0,[],30.0
2023-01-09,100,1730.7,0,[],0,2,2023-1-9-9-15-40-794538_2023-1-9-16-26-24-394538_,30.0
2023-01-10,100,1706.8,0,[],0,1,2023-1-10-23-18-34-779539_,30.0
2023-01-11,100,1635.4,0,[],0,7,2023-1-11-0-10-1-749538_2023-1-11-5-49-53-499538_2023-1-11-7-7-50-999538_2023-1-11-7-29-59-249538_2023-1-11-7-32-6-349538_2023-1-11-8-56-7-899538_2023-1-11-9-30-47-649538_,30.0
2023-01-12,100,1625.9,0,[],0,0,[],30.0
2023-01-13,100,1721.2,0,[],0,1,2023-1-13-1-57-30-74538_,30.0
2023-01-14,100,1807.9,0,[],0,0,[],30.0
2023-01-15,100,1758.0,0,[],0,0,[],30.0
2023-01-16,100,1733.4,0,[],0,0,[],30.0
2023-01-17,100,1818.8,0,[],0,3,2023-1-17-8-25-57-539538_2023-1-17-10-29-44-289538_2023-1-17-11-8-52-439538_,30.0
2023-01-18,100,1873.4,0,[],0,0,[],30.0
2023-01-19,100,1865.6,0,[],0,2,2023-1-19-8-0-2-814538_2023-1-19-8-7-18-414538_,30.0
2023-01-20,100,1909.4,0,[],1,1,2023-1-20-8-2-48-119538_,30.0
2023-01-21,100,1871.5,0,[],0,0,[],30.0
2023-01-22,100,1906.4,0,[],0,0,[],30.0
2023-01-23,100,1945.4,0,[],0,3,2023-1-23-0-24-55-274538_2023-1-23-0-56-15-974538_2023-1-23-9-14-5-124538_,30.0
2023-01-24,100,2056.1,0,[],0,0,[],30.0
2023-01-25,100,1902.1,0,[],2,1,2023-1-25-6-10-45-919538_,30.0
2023-01-26,100,1985.0,0,[],0,0,[],30.0
2023-01-27,100,1954.3,0,[],1,0,[],30.0
2023-01-28,100,1935.6,0,[],0,0,[],30.0
2023-01-29,100,1889.6,0,[],0,0,[],30.0
2023-01-30,100,1933.5,0,[],1,0,[],30.0
2023-01-31,100,1982.1,0,[],0,0,[],30.0
2023-02-01,100,1980.4,0,[],0,1,2023-2-1-8-40-55-109538_,30.0
2023-02-02,100,1989.2,0,[],0,0,[],30.0
2023-02-03,100,2003.9,0,[],0,0,[],30.0
2023-02-04,99.6,2052.9,1,2023-2-4-21-9-41-979538-338.0_,0,0,[],30.0
2023-02-05,100,2055.4,0,[],0,0,[],30.0
2023-02-06,100,2179.0,0,[],0,2,2023-2-6-2-6-53-284539_2023-2-6-11-15-14-334539_,30.0
2023-02-07,100,2049.9,0,[],1,1,2023-2-7-10-33-9-989538_,30.0
2023-02-08,100,2161.3,0,[],0,0,[],30.0
2023-02-09,100,2184.6,0,[],0,0,[],30.0
2023-02-10,100,2186.1,0,[],0,0,[],30.0
2023-02-11,100,2265.8,0,[],0,0,[],30.0
2023-02-12,100,2300.0,0,[],0,0,[],30.0
2023-02-13,100,2309.3,0,[],0,0,[],30.0
2023-02-14,100,2308.3,0,[],1,1,2023-2-14-8-52-57-894538_,30.0
2023-02-15,100,2252.4,0,[],2,0,[],30.0
2023-02-16,100,2207.0,0,[],1,0,[],30.0
2023-02-17,100,2127.4,0,[],0,0,[],30.0
2023-02-18,100,2171.5,0,[],1,0,[],30.0
2023-02-19,100,2139.2,0,[],1,0,[],30.0
2023-02-20,100,2107.5,0,[],1,0,[],30.0
2023-02-21,100,2170.5,0,[],0,0,[],30.0
2023-02-22,100,2126.1,0,[],0,0,[],40.0
2023-02-23,100,2191.5,0,[],0,0,[],40.0
2023-02-24,100,2163.3,0,[],0,0,[],40.0
2023-02-25,100,2161.9,0,[],1,0,[],40.0
