fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-359.6,1,2023-1-1-0-0-0-0-0.38_,0,2,2023-1-1-10-34-36-580000_2023-1-1-22-14-55-630000_,70.0
2023-01-02,100,-370.7,0,[],0,9,2023-1-2-9-16-29-800000_2023-1-2-11-52-49-150000_2023-1-2-12-40-42-850000_2023-1-2-14-38-2-500000_2023-1-2-17-4-40-850000_2023-1-2-18-23-5-150000_2023-1-2-20-4-28-450000_2023-1-2-20-5-25-600000_2023-1-2-22-16-47-550000_,75.0
2023-01-03,40.0,-491.1,1,2023-1-3-9-35-17-405000-51882.595_,0,1,2023-1-3-0-39-20-990000_,70.0
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,42.3,811.2,1,2023-1-5-0-0-0-0-49875.0_,0,5,2023-1-5-14-22-32-0_2023-1-5-15-5-53-350000_2023-1-5-16-13-8-900000_2023-1-5-20-54-53-300000_2023-1-5-22-17-14-0_,75.0
2023-01-06,100,723.8,0,[],0,4,2023-1-6-4-38-12-970000_2023-1-6-14-7-54-370000_2023-1-6-16-35-6-470000_2023-1-6-20-12-9-670000_,75.0
2023-01-07,100,680.5,0,[],0,4,2023-1-7-3-7-19-220000_2023-1-7-12-30-4-770000_2023-1-7-14-42-13-20000_2023-1-7-14-51-40-570000_,75.0
2023-01-08,100,825.0,0,[],0,3,2023-1-8-14-14-36-600000_2023-1-8-14-28-14-650000_2023-1-8-22-29-22-450000_,70.0
2023-01-09,100,792.9,0,[],0,5,2023-1-9-6-34-13-470000_2023-1-9-12-14-1-920000_2023-1-9-16-4-55-220000_2023-1-9-20-55-36-720000_2023-1-9-21-22-7-220000_,70.0
2023-01-10,100,703.4,0,[],0,3,2023-1-10-4-36-59-435000_2023-1-10-10-59-49-935000_2023-1-10-18-24-56-635000_,75.0
2023-01-11,100,739.8,0,[],0,4,2023-1-11-8-28-51-365000_2023-1-11-16-5-36-415000_2023-1-11-17-3-48-65000_2023-1-11-17-15-18-65000_,75.0
2023-01-12,100,740.6,0,[],0,8,2023-1-12-2-31-32-935000_2023-1-12-6-12-17-435000_2023-1-12-10-40-32-985000_2023-1-12-16-30-56-735000_2023-1-12-16-51-44-435000_2023-1-12-19-26-18-235000_2023-1-12-20-20-13-585000_2023-1-12-20-30-55-635000_,75.0
2023-01-13,99.2,488.0,2,2023-1-13-15-51-23-995000-61.99999976158142_2023-1-13-15-53-2-995000-660.9999997615814_,0,6,2023-1-13-6-12-13-240000_2023-1-13-8-35-21-990000_2023-1-13-16-9-45-450000_2023-1-13-16-56-22-450000_2023-1-13-18-39-38-650000_2023-1-13-20-37-30-100000_,75.0
2023-01-14,100,129.8,0,[],0,3,2023-1-14-13-16-23-590000_2023-1-14-17-35-2-240000_2023-1-14-23-7-28-140000_,75.0
2023-01-15,71.3,-726.7,3,2023-1-15-17-16-40-295000-24199.705_2023-1-15-4-3-59-995000-581.9999997615814_2023-1-15-4-17-31-995000-2.999999761581421_,0,1,2023-1-15-12-13-47-250000_,70.0
2023-01-16,93.2,-791.4,1,2023-1-16-0-0-0-0-5859.36_,0,6,2023-1-16-10-25-56-210000_2023-1-16-11-58-16-410000_2023-1-16-14-3-36-710000_2023-1-16-14-37-21-110000_2023-1-16-20-16-7-160000_2023-1-16-21-55-36-960000_,75.0
2023-01-17,99.3,-717.8,1,2023-1-17-15-20-5-995000-597.9999997615814_,0,2,2023-1-17-2-9-10-750000_2023-1-17-6-52-30-850000_,75.0
2023-01-18,100,-693.9,0,[],0,2,2023-1-18-13-3-43-220000_2023-1-18-20-53-20-870000_,75.0
2023-01-19,100,-730.1,0,[],0,4,2023-1-19-7-53-47-765000_2023-1-19-7-55-38-565000_2023-1-19-11-44-30-665000_2023-1-19-11-54-15-715000_,75.0
2023-01-20,100.0,-682.3,1,2023-1-20-16-28-49-875000-6.254999876022339_,0,5,2023-1-20-0-12-34-555000_2023-1-20-0-25-47-55000_2023-1-20-2-40-48-205000_2023-1-20-8-55-48-805000_2023-1-20-20-47-45-235000_,75.0
2023-01-21,98.3,-667.8,1,2023-1-21-23-35-7-765000-1492.235_,0,7,2023-1-21-0-18-49-460000_2023-1-21-0-29-37-110000_2023-1-21-6-4-27-760000_2023-1-21-6-19-2-960000_2023-1-21-11-14-45-160000_2023-1-21-11-36-43-210000_2023-1-21-16-13-19-710000_,75.0
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,66.1,891.9,1,2023-1-26-0-0-0-0-29304.315_,0,2,2023-1-26-8-58-55-65000_2023-1-26-11-56-19-615000_,75.0
2023-01-27,100.0,606.0,1,2023-1-27-14-50-14-595000-18.324999809265137_,0,5,2023-1-27-4-35-0-770000_2023-1-27-7-3-48-20000_2023-1-27-9-47-18-970000_2023-1-27-15-12-38-175000_2023-1-27-19-49-27-475000_,75.0
2023-01-28,100,655.1,0,[],0,4,2023-1-28-11-19-27-680000_2023-1-28-11-55-39-230000_2023-1-28-16-10-16-330000_2023-1-28-16-34-30-730000_,75.0
2023-01-29,98.2,-215.1,4,2023-1-29-11-25-59-995000-117.99999976158142_2023-1-29-11-28-39-995000-661.9999997615814_2023-1-29-13-21-25-995000-137.99999976158142_2023-1-29-13-24-24-995000-659.9999997615814_,0,3,2023-1-29-10-22-44-735000_2023-1-29-10-27-57-35000_2023-1-29-23-12-30-300000_,75.0
2023-01-30,100.0,-349.4,1,2023-1-30-16-42-4-820000-10.079999923706055_,0,3,2023-1-30-0-32-5-355000_2023-1-30-20-35-14-5000_2023-1-30-21-5-31-655000_,75.0
2023-01-31,100,-213.7,0,[],0,3,2023-1-31-0-36-3-485000_2023-1-31-2-9-47-185000_2023-1-31-4-45-17-435000_,75.0
2023-02-01,100,-206.1,0,[],0,0,[],75.0
2023-02-02,85.7,-235.4,1,2023-2-2-20-33-38-645000-12381.355_,0,0,[],75.0
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,34.7,-190.2,1,2023-2-6-0-0-0-0-56429.325_,0,0,[],75.0
2023-02-07,99.8,-284.5,4,2023-2-7-14-32-12-860000-5.3399999141693115_2023-2-7-14-35-1-875000-21.990000009536743_2023-2-7-14-36-24-680000-76.64499974250793_2023-2-7-14-41-15-150000-78.7649998664856_,0,3,2023-2-7-4-12-37-295000_2023-2-7-9-47-19-695000_2023-2-7-9-57-44-195000_,75.0
2023-02-08,100,-319.7,0,[],0,1,2023-2-8-9-58-55-155000_,75.0
