fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,5395.2,1,2023-1-1-0-0-0-0-0.335_,0,0,[],55.0
2023-01-02,100,5490.8,0,[],0,4,2023-1-2-12-29-23-25000_2023-1-2-17-4-51-375000_2023-1-2-17-12-29-525000_2023-1-2-18-23-20-775000_,80.0
2023-01-03,39.9,5372.0,1,2023-1-3-9-35-15-275000-51884.725_,0,0,[],55.0
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,42.3,4799.5,1,2023-1-5-0-0-0-0-49872.0_,0,1,2023-1-5-21-59-15-250000_,80.0
2023-01-06,100,4714.6,0,[],0,1,2023-1-6-13-55-10-390000_,80.0
2023-01-07,100,4651.2,0,[],0,5,2023-1-7-0-34-43-335000_2023-1-7-11-43-13-535000_2023-1-7-18-14-13-885000_2023-1-7-21-1-26-35000_2023-1-7-22-16-43-85000_,75.0
2023-01-08,100,4983.3,0,[],0,1,2023-1-8-9-46-35-695000_,65.0
2023-01-09,100,4896.2,0,[],0,4,2023-1-9-11-45-58-460000_2023-1-9-14-6-47-160000_2023-1-9-19-7-44-410000_2023-1-9-22-12-19-260000_,65.0
2023-01-10,100,4798.3,0,[],0,1,2023-1-10-18-43-56-470000_,75.0
2023-01-11,100,4898.2,0,[],0,1,2023-1-11-22-26-8-940000_,80.0
2023-01-12,100,4886.7,0,[],0,4,2023-1-12-11-3-17-420000_2023-1-12-11-51-35-820000_2023-1-12-16-31-11-370000_2023-1-12-19-37-23-670000_,75.0
2023-01-13,99.2,4545.5,2,2023-1-13-15-51-20-995000-64.99999976158142_2023-1-13-15-53-2-995000-657.9999997615814_,0,3,2023-1-13-13-26-28-975000_2023-1-13-14-59-10-525000_2023-1-13-20-9-37-900000_,80.0
2023-01-14,100,3892.5,0,[],0,1,2023-1-14-16-28-45-275000_,80.0
