fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-6624842.1,1,2023-1-1-0-0-0-0-1.208391_,0,0,[],5.0
2023-01-02,100,-6625341.9,0,[],0,0,[],5.0
2023-01-03,100,-6625308.1,0,[],0,0,[],5.0
2023-01-04,100,-6625237.3,0,[],0,0,[],5.0
2023-01-05,100,-6624746.8,0,[],0,0,[],5.0
2023-01-06,100,-6624391.7,0,[],0,0,[],5.0
2023-01-07,100,-6624262.0,0,[],0,0,[],5.0
2023-01-08,100,-6624632.3,0,[],0,0,[],5.0
2023-01-09,100,-6624751.6,0,[],0,0,[],5.0
2023-01-10,100,-6624045.1,0,[],0,0,[],5.0
2023-01-11,100,-6623713.2,0,[],0,0,[],5.0
2023-01-12,100,-6624094.6,0,[],0,0,[],5.0
2023-01-13,100,-6623894.3,0,[],0,0,[],5.0
2023-01-14,100,-6623506.6,0,[],0,0,[],5.0
2023-01-15,100,-6623299.3,0,[],0,0,[],5.0
2023-01-16,100,-6623656.2,0,[],0,0,[],5.0
2023-01-17,100,-6624212.6,0,[],0,0,[],5.0
2023-01-18,100,-6623892.1,0,[],0,0,[],5.0
2023-01-19,100,-6623441.7,0,[],0,0,[],5.0
2023-01-20,100,-6623827.8,0,[],1,0,[],5.0
2023-01-21,100,-6624096.0,0,[],0,0,[],5.0
2023-01-22,100,-6624071.7,0,[],0,0,[],5.0
2023-01-23,100,-6624201.3,0,[],0,0,[],5.0
2023-01-24,100,-6624176.4,0,[],0,0,[],5.0
2023-01-25,100,-6624161.9,0,[],3,0,[],5.0
2023-01-26,100,-6623859.5,0,[],0,0,[],5.0
2023-01-27,100,-6623736.1,0,[],1,0,[],5.0
2023-01-28,100,-6623632.6,0,[],0,0,[],5.0
2023-01-29,100,-6623589.8,0,[],0,0,[],5.0
2023-01-30,100,-6623574.8,0,[],1,0,[],5.0
2023-01-31,100,-6623763.6,0,[],0,0,[],5.0
2023-02-01,100,-6624213.1,0,[],0,0,[],5.0
2023-02-02,100,-6623582.4,0,[],0,0,[],5.0
2023-02-03,100,-6623442.4,0,[],0,0,[],5.0
2023-02-04,100,-6623865.2,0,[],0,0,[],5.0
2023-02-05,100,-6624470.1,0,[],0,0,[],5.0
2023-02-06,100,-6624536.2,0,[],0,0,[],5.0
2023-02-07,100,-6624238.5,0,[],1,0,[],5.0
2023-02-08,100,-6624096.4,0,[],0,0,[],5.0
2023-02-09,100,-6624222.4,0,[],0,0,[],5.0
2023-02-10,100,-6624611.4,0,[],0,0,[],5.0
2023-02-11,100,-6624657.2,0,[],0,0,[],5.0
2023-02-12,100,-6625123.4,0,[],0,0,[],5.0
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,100.0,-6625087.9,1,2023-2-14-0-0-0-0-1.838393_,1,0,[],5.0
2023-02-15,81.2,-6625623.0,1,2023-2-15-19-28-42-958400-16277.0416_,1,1,2023-2-15-13-4-47-348393_,5.0
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,0,-9,0,[],0,0,[],-9
2023-02-20,0,-9,0,[],0,0,[],-9
2023-02-21,0,-9,0,[],0,0,[],-9
2023-02-22,0,-9,0,[],0,0,[],-9
2023-02-23,0,-9,0,[],0,0,[],-9
2023-02-24,0,-9,0,[],0,0,[],-9
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,0,-9,0,[],0,0,[],-9
2023-03-02,0,-9,0,[],0,0,[],-9
2023-03-03,0,-9,0,[],0,0,[],-9
2023-03-04,0,-9,0,[],0,0,[],-9
2023-03-05,0,-9,0,[],0,0,[],-9
2023-03-06,0,-9,0,[],0,0,[],-9
2023-03-07,0,-9,0,[],0,0,[],-9
2023-03-08,0,-9,0,[],0,0,[],-9
2023-03-09,0,-9,0,[],0,0,[],-9
2023-03-10,0,-9,0,[],0,0,[],-9
2023-03-11,0,-9,0,[],0,0,[],-9
2023-03-12,0,-9,0,[],0,0,[],-9
2023-03-13,0,-9,0,[],0,0,[],-9
2023-03-14,0,-9,0,[],0,0,[],-9
2023-03-15,0,-9,0,[],0,0,[],-9
2023-03-16,0,-9,0,[],0,0,[],-9
2023-03-17,0,-9,0,[],0,0,[],-9
2023-03-18,0,-9,0,[],0,0,[],-9
2023-03-19,0,-9,0,[],0,0,[],-9
2023-03-20,0,-9,0,[],0,0,[],-9
2023-03-21,0,-9,0,[],0,0,[],-9
2023-03-22,0,-9,0,[],0,0,[],-9
2023-03-23,0,-9,0,[],0,0,[],-9
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
2023-03-26,0,-9,0,[],0,0,[],-9
2023-03-27,0,-9,0,[],0,0,[],-9
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,0,-9,0,[],0,0,[],-9
2023-03-30,0,-9,0,[],0,0,[],-9
2023-03-31,0,-9,0,[],0,0,[],-9
2023-04-01,0,-9,0,[],0,0,[],-9
2023-04-02,0,-9,0,[],0,0,[],-9
2023-04-03,0,-9,0,[],0,0,[],-9
2023-04-04,0,-9,0,[],0,0,[],-9
2023-04-05,0,-9,0,[],0,0,[],-9
2023-04-06,0,-9,0,[],0,0,[],-9
2023-04-07,0,-9,0,[],0,0,[],-9
2023-04-08,0,-9,0,[],0,0,[],-9
2023-04-09,0,-9,0,[],0,0,[],-9
2023-04-10,0,-9,0,[],0,0,[],-9
2023-04-11,25.6,-8475183.6,1,2023-4-11-0-0-0-0-64299.968397_,0,0,[],0.0
2023-04-12,81.0,-8997791.9,1,2023-4-12-18-42-23-958382-16400.000013828278_,0,0,[],10.0
2023-04-13,100,-4985290.5,0,[],0,0,[],0.0
2023-04-14,100,-4970560.3,0,[],0,0,[],0.0
2023-04-15,100,-4970585.8,0,[],0,0,[],0.0
2023-04-16,83.9,-1561131.6,4,2023-4-16-13-34-22-958393-9228.000000953674_2023-4-16-16-19-15-958394-4652.000001907349_2023-4-16-20-16-9-958396-36.0_2023-4-16-21-22-48-958396-34.0_,0,1,2023-4-16-21-22-31-968396_,10.0
2023-04-17,100,7788114.4,0,[],3,5,2023-4-17-0-5-10-718393_2023-4-17-0-6-2-268393_2023-4-17-0-9-3-968393_2023-4-17-1-36-20-868393_2023-4-17-17-57-5-818393_,75.0
2023-04-18,100,7755116.9,0,[],0,2,2023-4-18-5-35-49-528391_2023-4-18-11-42-44-628391_,75.0
2023-04-19,100,7735237.9,0,[],3,8,2023-4-19-3-41-7-828393_2023-4-19-3-42-1-678393_2023-4-19-3-42-51-678393_2023-4-19-6-27-44-328393_2023-4-19-8-0-54-128393_2023-4-19-10-22-54-378393_2023-4-19-13-55-10-78393_2023-4-19-14-33-19-178393_,75.0
2023-04-20,100,7730346.8,0,[],0,3,2023-4-20-12-11-5-98391_2023-4-20-15-42-38-348391_2023-4-20-19-37-31-198391_,75.0
2023-04-21,100,7851848.5,0,[],0,0,[],60.0
2023-04-22,100,7879960.7,0,[],0,13,2023-4-22-0-1-39-188391_2023-4-22-0-4-26-238391_2023-4-22-0-35-38-438391_2023-4-22-0-36-47-238391_2023-4-22-0-48-30-838391_2023-4-22-4-39-43-88391_2023-4-22-11-44-32-688391_2023-4-22-11-45-39-588391_2023-4-22-12-16-17-838391_2023-4-22-12-18-35-138391_2023-4-22-19-45-37-438391_2023-4-22-19-51-41-288391_2023-4-22-19-52-42-588391_,60.0
2023-04-23,100,7851571.5,0,[],0,5,2023-4-23-6-43-49-688393_2023-4-23-6-45-5-638393_2023-4-23-7-54-49-238393_2023-4-23-20-17-9-638393_2023-4-23-20-35-16-288393_,65.0
2023-04-24,100,7866331.6,0,[],0,2,2023-4-24-17-53-46-248393_2023-4-24-17-56-50-198393_,40.0
2023-04-25,100,7749701.1,0,[],0,4,2023-4-25-8-39-1-198393_2023-4-25-8-40-0-648393_2023-4-25-23-59-3-198393_2023-4-25-23-59-53-348393_,75.0
2023-04-26,100,7768127.6,0,[],1,0,[],70.0
2023-04-27,100,7743731.7,0,[],2,4,2023-4-27-2-1-47-418391_2023-4-27-16-29-21-368391_2023-4-27-17-14-47-418391_2023-4-27-23-38-24-468393_,75.0
2023-04-28,100,7726301.3,0,[],0,4,2023-4-28-6-0-39-928393_2023-4-28-15-25-12-328393_2023-4-28-17-34-24-328393_2023-4-28-22-0-0-478393_,70.0
2023-04-29,100,7865190.8,0,[],0,1,2023-4-29-22-13-23-28393_,40.0
