fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,101.0,1,2023-1-1-0-0-0-0-3.428393_,0,3,2023-1-1-7-58-43-378393_2023-1-1-14-45-28-478393_2023-1-1-14-46-19-278393_,0.0
2023-01-02,100,111.6,0,[],0,17,2023-1-2-0-43-46-168391_2023-1-2-1-48-6-468391_2023-1-2-1-49-25-618391_2023-1-2-3-39-51-568391_2023-1-2-3-41-4-18391_2023-1-2-4-38-47-968391_2023-1-2-4-41-52-468391_2023-1-2-4-42-44-168391_2023-1-2-4-46-3-218391_2023-1-2-6-20-48-618391_2023-1-2-6-21-54-68391_2023-1-2-11-59-39-18391_2023-1-2-12-0-1-918391_2023-1-2-12-1-45-618391_2023-1-2-20-31-53-318391_2023-1-2-22-3-16-418391_2023-1-2-22-4-6-568391_,0.0
2023-01-03,100,117.3,0,[],0,7,2023-1-3-14-33-32-498393_2023-1-3-14-35-37-298393_2023-1-3-14-36-29-698393_2023-1-3-15-31-10-548393_2023-1-3-15-32-18-898393_2023-1-3-22-44-5-648393_2023-1-3-22-44-56-398393_,0.0
2023-01-04,100,103.3,0,[],0,11,2023-1-4-0-40-22-518393_2023-1-4-2-28-52-18393_2023-1-4-3-5-26-618393_2023-1-4-6-26-26-518393_2023-1-4-8-12-4-668393_2023-1-4-13-55-25-968393_2023-1-4-21-43-40-68393_2023-1-4-21-44-42-18393_2023-1-4-21-53-26-268393_2023-1-4-22-2-9-768393_2023-1-4-22-3-0-868393_,0.0
2023-01-05,100,105.9,0,[],0,7,2023-1-5-13-26-19-388391_2023-1-5-13-27-35-438391_2023-1-5-13-31-30-38391_2023-1-5-14-16-18-738391_2023-1-5-14-24-38-338391_2023-1-5-22-39-55-838391_2023-1-5-22-49-51-838391_,0.0
2023-01-06,100,99.9,0,[],0,24,2023-1-6-1-42-49-218393_2023-1-6-1-48-34-368393_2023-1-6-1-49-35-668393_2023-1-6-2-47-48-668393_2023-1-6-2-48-39-968393_2023-1-6-2-49-33-368393_2023-1-6-5-25-48-268393_2023-1-6-5-35-54-318393_2023-1-6-5-54-50-668393_2023-1-6-6-1-19-868393_2023-1-6-6-8-58-368393_2023-1-6-6-47-55-318393_2023-1-6-8-43-3-418393_2023-1-6-8-50-14-868393_2023-1-6-10-24-23-968393_2023-1-6-10-27-32-968393_2023-1-6-11-47-4-168393_2023-1-6-12-10-22-118393_2023-1-6-12-11-12-118393_2023-1-6-15-23-42-768393_2023-1-6-21-37-7-218393_2023-1-6-23-15-50-118393_2023-1-6-23-16-41-568393_2023-1-6-23-25-40-168393_,5.0
2023-01-07,100,102.9,0,[],0,5,2023-1-7-10-31-37-888393_2023-1-7-21-19-22-238393_2023-1-7-21-21-27-588393_2023-1-7-21-22-18-638393_2023-1-7-23-58-25-138393_,0.0
2023-01-08,100,103.7,0,[],0,16,2023-1-8-0-3-15-288393_2023-1-8-0-4-55-538393_2023-1-8-0-13-17-938393_2023-1-8-0-15-29-888393_2023-1-8-0-32-1-288393_2023-1-8-7-5-11-538393_2023-1-8-7-7-4-738393_2023-1-8-8-40-25-38393_2023-1-8-8-43-19-138393_2023-1-8-8-44-11-338393_2023-1-8-11-50-53-938393_2023-1-8-13-22-25-288393_2023-1-8-13-33-13-288393_2023-1-8-14-54-12-988393_2023-1-8-14-55-3-88393_2023-1-8-14-55-53-88393_,0.0
2023-01-09,100,104.5,0,[],0,4,2023-1-9-14-22-13-888393_2023-1-9-14-26-55-488393_2023-1-9-14-27-46-588393_2023-1-9-18-52-41-588393_,0.0
2023-01-10,100,111.7,0,[],0,19,2023-1-10-3-54-40-128393_2023-1-10-3-55-43-578393_2023-1-10-3-56-34-628393_2023-1-10-4-9-45-978393_2023-1-10-4-47-25-978393_2023-1-10-4-48-34-628393_2023-1-10-4-49-42-628393_2023-1-10-6-0-26-28393_2023-1-10-7-4-27-578393_2023-1-10-7-5-47-778393_2023-1-10-13-57-25-428393_2023-1-10-13-58-20-78393_2023-1-10-14-2-23-278393_2023-1-10-14-13-20-828393_2023-1-10-14-22-19-378393_2023-1-10-14-23-26-878393_2023-1-10-22-53-40-428393_2023-1-10-23-4-31-178393_2023-1-10-23-23-56-378393_,0.0
2023-01-11,100,106.3,0,[],0,8,2023-1-11-4-9-32-818393_2023-1-11-4-10-23-918393_2023-1-11-6-6-19-518393_2023-1-11-7-33-58-918393_2023-1-11-8-38-28-218393_2023-1-11-20-24-33-168393_2023-1-11-20-44-52-918393_2023-1-11-20-45-44-118393_,0.0
2023-01-12,100,121.6,0,[],0,13,2023-1-12-2-55-54-538393_2023-1-12-8-11-28-638393_2023-1-12-8-58-29-388393_2023-1-12-15-25-53-538393_2023-1-12-15-26-44-88393_2023-1-12-15-28-16-588393_2023-1-12-15-29-9-38393_2023-1-12-16-18-45-238393_2023-1-12-16-21-35-238393_2023-1-12-16-35-33-638393_2023-1-12-23-46-26-888393_2023-1-12-23-47-18-388393_2023-1-12-23-49-19-288393_,0.0
2023-01-13,100,107.8,0,[],0,2,2023-1-13-0-13-14-578393_2023-1-13-0-15-19-628393_,0.0
2023-01-14,100,117.8,0,[],0,2,2023-1-14-12-18-4-58393_2023-1-14-15-11-42-58393_,0.0
2023-01-15,100,100.1,0,[],0,6,2023-1-15-1-53-38-988393_2023-1-15-1-54-29-588393_2023-1-15-2-14-4-88393_2023-1-15-2-14-55-288393_2023-1-15-18-0-1-488393_2023-1-15-23-17-8-838393_,0.0
2023-01-16,100,111.9,0,[],0,2,2023-1-16-0-2-30-88393_2023-1-16-0-3-23-438393_,0.0
2023-01-17,100,114.0,0,[],0,4,2023-1-17-1-52-55-778393_2023-1-17-2-56-4-628393_2023-1-17-4-47-13-478393_2023-1-17-4-48-10-378393_,0.0
2023-01-18,100,104.8,0,[],0,4,2023-1-18-8-0-7-478391_2023-1-18-8-2-12-628391_2023-1-18-8-3-31-528391_2023-1-18-8-4-40-378391_,0.0
2023-01-19,100,114.6,0,[],0,3,2023-1-19-17-47-43-128393_2023-1-19-17-48-42-878393_2023-1-19-23-19-49-528393_,0.0
2023-01-20,100,100.4,0,[],1,8,2023-1-20-11-29-1-438393_2023-1-20-11-31-54-338393_2023-1-20-11-33-26-988393_2023-1-20-11-34-18-338393_2023-1-20-19-4-3-968393_2023-1-20-19-10-0-768393_2023-1-20-22-19-49-968393_2023-1-20-22-23-4-818393_,0.0
2023-01-21,100,111.5,0,[],0,2,2023-1-21-0-54-17-468393_2023-1-21-14-6-41-368393_,0.0
2023-01-22,100,103.9,0,[],0,5,2023-1-22-1-36-10-68393_2023-1-22-2-32-22-268393_2023-1-22-3-25-52-368393_2023-1-22-3-43-46-168393_2023-1-22-15-0-53-968393_,0.0
2023-01-23,100,97.3,0,[],0,3,2023-1-23-6-15-41-448391_2023-1-23-6-40-36-698391_2023-1-23-11-19-24-198391_,0.0
2023-01-24,100,90.4,0,[],0,8,2023-1-24-4-12-25-668391_2023-1-24-9-55-11-68391_2023-1-24-9-56-1-618391_2023-1-24-11-54-7-768391_2023-1-24-18-42-39-68391_2023-1-24-18-47-6-668391_2023-1-24-21-28-43-768391_2023-1-24-23-35-31-168391_,0.0
2023-01-25,100,84.8,0,[],2,6,2023-1-25-0-59-4-498393_2023-1-25-1-40-9-598393_2023-1-25-3-20-43-598393_2023-1-25-8-38-36-98393_2023-1-25-13-18-56-998393_2023-1-25-19-11-38-568394_,0.0
2023-01-26,100,75.8,0,[],0,3,2023-1-26-4-30-53-698393_2023-1-26-7-11-31-48393_2023-1-26-18-25-32-198393_,0.0
2023-01-27,100,100.8,0,[],1,7,2023-1-27-0-6-19-148393_2023-1-27-3-8-59-348393_2023-1-27-4-35-39-898393_2023-1-27-9-59-39-98393_2023-1-27-10-1-9-98393_2023-1-27-14-4-21-198393_2023-1-27-14-10-18-798393_,0.0
2023-01-28,100,90.6,0,[],0,2,2023-1-28-2-0-39-948391_2023-1-28-12-35-59-48391_,0.0
2023-01-29,100,90.7,0,[],0,2,2023-1-29-3-9-4-978393_2023-1-29-18-44-31-778393_,0.0
2023-01-30,100,85.6,0,[],1,8,2023-1-30-0-41-33-838393_2023-1-30-7-53-39-938393_2023-1-30-8-37-9-738393_2023-1-30-9-51-53-838393_2023-1-30-13-44-48-788393_2023-1-30-18-41-58-118393_2023-1-30-18-42-0-118393_2023-1-30-22-57-52-618393_,0.0
2023-01-31,100,109.0,0,[],0,16,2023-1-31-1-1-0-98393_2023-1-31-1-49-3-448393_2023-1-31-2-43-0-948393_2023-1-31-2-43-51-798393_2023-1-31-5-23-50-898393_2023-1-31-5-25-18-348393_2023-1-31-6-55-10-948393_2023-1-31-10-6-50-148393_2023-1-31-12-24-57-898393_2023-1-31-12-43-54-898393_2023-1-31-14-17-47-898393_2023-1-31-17-48-24-698393_2023-1-31-19-18-34-748393_2023-1-31-21-21-6-98393_2023-1-31-22-31-34-948393_2023-1-31-23-30-56-798393_,0.0
2023-02-01,100,101.5,0,[],0,12,2023-2-1-1-7-10-968391_2023-2-1-3-49-26-118391_2023-2-1-4-25-51-718391_2023-2-1-4-26-41-918391_2023-2-1-7-43-45-318391_2023-2-1-8-24-19-168391_2023-2-1-10-10-36-918391_2023-2-1-12-2-58-818391_2023-2-1-17-45-51-668391_2023-2-1-20-28-21-318391_2023-2-1-21-17-28-218391_2023-2-1-23-42-53-618391_,0.0
2023-02-02,100,90.9,0,[],0,15,2023-2-2-0-24-20-398391_2023-2-2-0-57-53-398391_2023-2-2-2-35-21-798391_2023-2-2-3-18-48-598391_2023-2-2-4-19-18-548391_2023-2-2-5-0-41-798391_2023-2-2-6-23-8-848391_2023-2-2-6-40-10-198391_2023-2-2-7-37-1-398391_2023-2-2-9-50-45-348391_2023-2-2-10-6-54-798391_2023-2-2-14-32-53-348391_2023-2-2-14-46-31-348391_2023-2-2-21-20-5-548391_2023-2-2-22-13-33-398391_,0.0
