fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,124527.3,1,2023-1-1-0-0-0-0-2.464538_,0,0,[],35.0
2023-01-02,100,124514.9,0,[],0,0,[],45.0
2023-01-03,100,124500.4,0,[],0,0,[],45.0
2023-01-04,100,124486.0,0,[],0,0,[],45.0
2023-01-05,100,124480.2,0,[],0,0,[],45.0
2023-01-06,100,124471.4,0,[],0,0,[],45.0
2023-01-07,100,124464.1,0,[],0,0,[],45.0
2023-01-08,99.3,124459.7,1,2023-1-8-22-46-41-979536-606.0000021457672_,0,0,[],45.0
2023-01-09,100,124451.1,0,[],0,0,[],35.0
2023-01-10,100,124444.4,0,[],0,0,[],45.0
2023-01-11,100,124418.3,0,[],0,0,[],40.0
2023-01-12,99.3,124405.7,1,2023-1-12-2-55-11-979538-611.0000007152557_,0,0,[],50.0
2023-01-13,100,124389.9,0,[],0,0,[],45.0
2023-01-14,100,124384.1,0,[],0,0,[],45.0
2023-01-15,100,124367.5,0,[],0,0,[],45.0
2023-01-16,100,124360.0,0,[],0,0,[],45.0
2023-01-17,100,124353.7,0,[],0,0,[],45.0
2023-01-18,100,124351.5,0,[],0,0,[],45.0
2023-01-19,100,124342.3,0,[],0,0,[],45.0
2023-01-20,100,124333.2,0,[],1,0,[],45.0
2023-01-21,100,124313.9,0,[],0,0,[],45.0
2023-01-22,100,124303.9,0,[],0,0,[],45.0
2023-01-23,100,124303.9,0,[],0,0,[],40.0
2023-01-24,100,124295.6,0,[],0,0,[],45.0
2023-01-25,100,124282.4,0,[],2,0,[],45.0
2023-01-26,100,124246.7,0,[],0,0,[],45.0
2023-01-27,100,124225.6,0,[],1,0,[],45.0
2023-01-28,100,124209.3,0,[],0,0,[],45.0
2023-01-29,100,124223.6,0,[],0,0,[],45.0
2023-01-30,100,124201.9,0,[],1,0,[],45.0
2023-01-31,100,124196.7,0,[],0,0,[],45.0
2023-02-01,100,124188.5,0,[],0,0,[],45.0
2023-02-02,100,124178.3,0,[],0,0,[],45.0
2023-02-03,100,124183.3,0,[],0,0,[],45.0
2023-02-04,100,124152.1,0,[],0,0,[],45.0
2023-02-05,100,124166.5,0,[],0,0,[],45.0
2023-02-06,100,124156.2,0,[],0,0,[],45.0
2023-02-07,100.0,124142.6,1,2023-2-7-14-19-28-979536-24.00000023841858_,3,0,[],45.0
2023-02-08,100,124130.8,0,[],0,0,[],45.0
2023-02-09,100,124111.7,0,[],0,0,[],45.0
2023-02-10,100,124114.6,0,[],0,0,[],45.0
2023-02-11,100,124085.9,0,[],0,0,[],45.0
2023-02-12,100,124085.8,0,[],0,0,[],45.0
2023-02-13,100,124093.2,0,[],0,0,[],45.0
2023-02-14,100,124075.2,0,[],1,0,[],45.0
2023-02-15,100,124067.4,0,[],2,0,[],45.0
2023-02-16,100,124058.6,0,[],1,0,[],45.0
2023-02-17,100,124050.9,0,[],0,0,[],45.0
2023-02-18,100,124028.1,0,[],1,0,[],45.0
2023-02-19,100,124033.4,0,[],1,0,[],45.0
2023-02-20,100,124016.3,0,[],1,0,[],45.0
2023-02-21,100,124017.6,0,[],0,0,[],40.0
2023-02-22,100,124011.6,0,[],0,0,[],40.0
2023-02-23,100,123987.0,0,[],0,0,[],45.0
2023-02-24,100,123963.2,0,[],0,0,[],45.0
2023-02-25,100,123947.0,0,[],1,0,[],45.0
2023-02-26,100,123959.5,0,[],1,0,[],45.0
2023-02-27,100,123933.9,0,[],0,0,[],45.0
2023-02-28,100,123937.8,0,[],0,0,[],45.0
2023-03-01,100,123926.2,0,[],1,0,[],45.0
2023-03-02,100,123922.1,0,[],1,0,[],45.0
2023-03-03,100,123910.7,0,[],0,0,[],45.0
2023-03-04,100,123895.1,0,[],0,0,[],45.0
2023-03-05,100,123894.3,0,[],0,0,[],45.0
2023-03-06,100,123875.2,0,[],0,0,[],45.0
2023-03-07,100,123865.8,0,[],0,0,[],45.0
2023-03-08,100,123863.1,0,[],0,0,[],45.0
2023-03-09,100,123864.0,0,[],0,0,[],40.0
2023-03-10,100,123859.8,0,[],0,1,2023-3-10-9-19-25-714536_,45.0
2023-03-11,100,123855.2,0,[],0,0,[],40.0
2023-03-12,100,123855.5,0,[],0,0,[],40.0
2023-03-13,100,123841.1,0,[],0,0,[],40.0
2023-03-14,100,123821.3,0,[],0,0,[],40.0
2023-03-15,100,123797.3,0,[],0,0,[],45.0
2023-03-16,100,123780.8,0,[],0,0,[],45.0
2023-03-17,100,123777.6,0,[],0,0,[],45.0
2023-03-18,100,123770.6,0,[],0,1,2023-3-18-17-17-57-224536_,45.0
2023-03-19,100,123755.7,0,[],0,0,[],45.0
2023-03-20,100,123747.1,0,[],0,0,[],35.0
2023-03-21,100,123718.3,0,[],0,0,[],45.0
2023-03-22,100,123712.2,0,[],0,0,[],45.0
2023-03-23,100,123715.0,0,[],0,0,[],45.0
2023-03-24,100,123694.4,0,[],0,0,[],45.0
2023-03-25,99.3,123705.4,1,2023-3-25-20-36-59-979538-605.9999980926514_,0,0,[],45.0
2023-03-26,99.3,123698.4,1,2023-3-26-19-9-51-979536-606.0000021457672_,0,0,[],45.0
2023-03-27,100,123681.2,0,[],1,0,[],45.0
2023-03-28,99.3,123671.3,1,2023-3-28-22-21-46-979538-605.9999980926514_,2,0,[],50.0
2023-03-29,100,123662.7,0,[],1,0,[],45.0
2023-03-30,99.3,123659.3,1,2023-3-30-10-3-42-979538-606.9999980926514_,2,0,[],50.0
2023-03-31,99.3,123658.8,1,2023-3-31-4-51-33-979536-611.0000021457672_,0,0,[],45.0
2023-04-01,99.3,123647.0,1,2023-4-1-0-6-36-979536-606.000002861023_,0,0,[],45.0
2023-04-02,99.3,123631.8,1,2023-4-2-17-26-44-979538-611.0_,0,0,[],50.0
2023-04-03,100,123621.6,0,[],0,0,[],45.0
2023-04-04,100,123609.9,0,[],0,0,[],45.0
2023-04-05,100,123585.0,0,[],2,0,[],45.0
2023-04-06,100,123593.6,0,[],0,0,[],30.0
2023-04-07,100,123573.7,0,[],0,0,[],35.0
2023-04-08,100,123569.1,0,[],0,0,[],45.0
2023-04-09,100,123556.4,0,[],0,0,[],35.0
2023-04-10,100,123546.3,0,[],0,0,[],45.0
2023-04-11,100,123532.3,0,[],0,0,[],45.0
2023-04-12,99.3,123525.1,1,2023-4-12-9-38-11-979538-607.0_,0,0,[],45.0
2023-04-13,99.3,123501.5,1,2023-4-13-0-11-51-979538-607.0_,0,0,[],45.0
2023-04-14,100,123491.7,0,[],0,0,[],45.0
2023-04-15,100,123494.8,0,[],0,0,[],45.0
2023-04-16,99.3,123501.5,1,2023-4-16-14-37-39-979538-607.0_,0,0,[],45.0
2023-04-17,99.3,123499.3,1,2023-4-17-11-17-41-979536-611.0000002384186_,3,0,[],45.0
2023-04-18,100,123477.5,0,[],0,0,[],40.0
2023-04-19,99.3,123460.8,1,2023-4-19-0-52-21-979536-611.000002861023_,3,0,[],50.0
2023-04-20,100,123452.8,0,[],0,0,[],45.0
2023-04-21,100,123448.1,0,[],0,0,[],45.0
2023-04-22,100,123441.6,0,[],0,0,[],40.0
2023-04-23,100,123405.9,0,[],0,0,[],45.0
2023-04-24,100,123377.6,0,[],0,0,[],45.0
2023-04-25,100,123366.7,0,[],0,0,[],45.0
2023-04-26,100,123374.5,0,[],1,0,[],40.0
2023-04-27,100,123360.5,0,[],2,0,[],40.0
2023-04-28,100,123340.1,0,[],0,0,[],45.0
2023-04-29,100,123326.3,0,[],0,0,[],45.0
2023-04-30,100,123317.6,0,[],0,0,[],45.0
2023-05-01,100,123310.2,0,[],0,0,[],35.0
2023-05-02,97.9,123301.8,3,2023-5-2-4-12-15-979538-611.0_2023-5-2-8-25-58-979538-606.0000007152557_2023-5-2-13-35-55-979539-605.9999997615814_,0,0,[],55.0
2023-05-03,99.3,123297.3,1,2023-5-3-2-45-4-979538-606.0_,0,0,[],45.0
2023-05-04,100,123286.6,0,[],0,0,[],40.0
2023-05-05,100,123275.6,0,[],0,0,[],45.0
2023-05-06,100,123266.5,0,[],0,0,[],40.0
2023-05-07,100,123240.2,0,[],0,0,[],45.0
2023-05-08,100,123248.3,0,[],0,0,[],40.0
2023-05-09,99.3,123232.2,1,2023-5-9-14-41-56-979536-607.000002861023_,0,0,[],45.0
2023-05-10,100,123220.3,0,[],0,0,[],45.0
2023-05-11,100,123201.4,0,[],1,0,[],45.0
2023-05-12,99.3,123197.5,1,2023-5-12-8-55-49-979538-606.9999980926514_,0,0,[],50.0
2023-05-13,100,123198.7,0,[],0,0,[],40.0
2023-05-14,100,123167.3,0,[],0,1,2023-5-14-6-4-40-714538_,45.0
2023-05-15,100,123166.4,0,[],0,0,[],45.0
2023-05-16,100,123156.0,0,[],0,0,[],45.0
2023-05-17,100,123160.8,0,[],0,0,[],45.0
2023-05-18,100,123133.8,0,[],0,0,[],45.0
2023-05-19,100,123116.0,0,[],0,0,[],45.0
2023-05-20,100,123112.9,0,[],0,0,[],45.0
2023-05-21,100,123097.8,0,[],0,0,[],45.0
2023-05-22,100,123094.4,0,[],0,0,[],35.0
2023-05-23,100,123102.1,0,[],0,0,[],45.0
2023-05-24,99.3,123090.8,1,2023-5-24-17-28-19-979538-606.0_,0,0,[],45.0
2023-05-25,100,123078.5,0,[],0,2,2023-5-25-3-9-0-639536_2023-5-25-3-9-54-189536_,45.0
2023-05-26,100,123076.9,0,[],0,0,[],40.0
2023-05-27,100,123064.4,0,[],0,0,[],40.0
2023-05-28,100,123039.6,0,[],0,1,2023-5-28-15-47-10-899536_,45.0
2023-05-29,98.9,123055.4,1,2023-5-29-17-43-17-979538-929.0_,1,0,[],45.0
2023-05-30,100,123104.7,0,[],0,0,[],40.0
2023-05-31,100,123082.0,0,[],0,0,[],45.0
2023-06-01,100,123063.5,0,[],0,0,[],45.0
2023-06-02,100,123062.7,0,[],0,0,[],45.0
2023-06-03,100,123040.9,0,[],0,0,[],45.0
2023-06-04,100,123044.6,0,[],0,0,[],40.0
2023-06-05,100,123036.3,0,[],0,0,[],45.0
2023-06-06,93.6,123030.0,1,2023-6-6-17-25-34-979538-5529.999998092651_,0,0,[],40.0
2023-06-07,100,123023.0,0,[],0,0,[],45.0
2023-06-08,64.9,123022.8,1,2023-6-8-15-34-26-979538-30333.020462_,0,0,[],40.0
2023-06-09,0,-9,0,[],0,0,[],-9
2023-06-10,0,-9,0,[],0,0,[],-9
2023-06-11,0,-9,0,[],0,0,[],-9
2023-06-12,0,-9,0,[],0,0,[],-9
2023-06-13,0,-9,0,[],0,0,[],-9
2023-06-14,0,-9,0,[],0,0,[],-9
2023-06-15,0,-9,0,[],0,0,[],-9
2023-06-16,0,-9,0,[],0,0,[],-9
2023-06-17,0,-9,0,[],0,0,[],-9
2023-06-18,0,-9,0,[],0,0,[],-9
2023-06-19,0,-9,0,[],0,0,[],-9
2023-06-20,0,-9,0,[],0,0,[],-9
2023-06-21,0,-9,0,[],0,0,[],-9
2023-06-22,0,-9,0,[],0,0,[],-9
2023-06-23,0,-9,0,[],0,0,[],-9
2023-06-24,0,-9,0,[],0,0,[],-9
2023-06-25,0,-9,0,[],0,0,[],-9
2023-06-26,0,-9,0,[],0,0,[],-9
2023-06-27,0,-9,0,[],0,0,[],-9
2023-06-28,32.9,121110.3,1,2023-6-28-0-0-0-0-57948.984538_,1,0,[],50.0
2023-06-29,100.0,121665.8,1,2023-6-29-0-0-0-0-0.684536_,0,0,[],45.0
2023-06-30,100.0,122392.3,1,2023-6-30-0-0-0-0-0.759538_,0,0,[],45.0
2023-07-01,100.0,122623.9,1,2023-7-1-0-0-0-0-1.594538_,0,0,[],45.0
2023-07-02,100,122703.8,0,[],0,0,[],45.0
2023-07-03,100,122716.3,0,[],0,0,[],35.0
2023-07-04,100,122715.9,0,[],0,0,[],45.0
2023-07-05,100.0,122701.0,1,2023-7-5-0-0-0-0-2.004536_,0,0,[],45.0
2023-07-06,100.0,122672.5,1,2023-7-6-0-0-0-0-1.444536_,0,0,[],45.0
2023-07-07,100.0,122651.2,1,2023-7-7-0-0-0-0-1.014538_,0,0,[],45.0
2023-07-08,100,122633.4,0,[],0,0,[],45.0
2023-07-09,100,122603.9,0,[],0,0,[],45.0
2023-07-10,100,122582.6,0,[],0,0,[],45.0
2023-07-11,100.0,122537.5,1,2023-7-11-0-0-0-0-0.349536_,0,0,[],45.0
2023-07-12,100,122507.7,0,[],2,0,[],45.0
2023-07-13,100.0,122471.0,1,2023-7-13-0-0-0-0-1.049536_,4,0,[],45.0
2023-07-14,100,122440.3,0,[],1,0,[],45.0
2023-07-15,100,122414.3,0,[],0,0,[],45.0
2023-07-16,100,122385.3,0,[],0,0,[],45.0
2023-07-17,100.0,122355.8,1,2023-7-17-0-0-0-0-0.104536_,0,0,[],45.0
2023-07-18,100,122332.2,0,[],0,0,[],45.0
2023-07-19,100.0,122321.1,1,2023-7-19-0-0-0-0-1.079538_,0,0,[],45.0
2023-07-20,100,122291.1,0,[],0,0,[],45.0
2023-07-21,100,122264.3,0,[],0,0,[],45.0
2023-07-22,100,122259.7,0,[],0,0,[],45.0
2023-07-23,100,122232.0,0,[],0,0,[],45.0
2023-07-24,100.0,122199.2,1,2023-7-24-0-0-0-0-1.384536_,2,0,[],45.0
2023-07-26,100.0,122162.9,1,2023-7-26-0-0-0-0-1.644538_,0,0,[],45.0
2023-07-27,100,122139.6,0,[],2,0,[],45.0
2023-07-28,100,122124.6,0,[],0,0,[],45.0
2023-07-29,100,122103.5,0,[],0,0,[],45.0
2023-07-30,100,122081.7,0,[],0,0,[],45.0
2023-07-31,100,122066.1,0,[],0,0,[],45.0
2023-08-01,100.0,122060.2,1,2023-8-1-0-0-0-0-0.159538_,0,0,[],45.0
2023-08-02,100.0,122048.3,1,2023-8-2-0-0-0-0-2.004536_,0,0,[],45.0
2023-08-03,100.0,122031.3,1,2023-8-3-0-0-0-0-1.479536_,0,0,[],45.0
2023-08-04,100.0,122006.5,1,2023-8-4-0-0-0-0-1.654538_,2,0,[],45.0
2023-08-05,100,121985.6,0,[],2,0,[],45.0
2023-08-06,100,121967.6,0,[],0,0,[],45.0
2023-08-07,100,121952.6,0,[],0,0,[],35.0
2023-08-08,100.0,121937.1,1,2023-8-8-0-0-0-0-0.394538_,0,0,[],45.0
2023-08-09,100.0,121931.5,1,2023-8-9-0-0-0-0-0.169536_,1,0,[],45.0
2023-08-10,100.0,121916.9,1,2023-8-10-0-0-0-0-1.534538_,0,0,[],45.0
2023-08-11,100.0,121892.6,1,2023-8-11-0-0-0-0-1.499538_,0,0,[],45.0
2023-08-12,100,121885.5,0,[],0,0,[],45.0
2023-08-13,100,121863.4,0,[],0,0,[],45.0
2023-08-14,100.0,121854.7,1,2023-8-14-0-0-0-0-0.939536_,0,0,[],45.0
2023-08-15,100.0,121837.3,1,2023-8-15-0-0-0-0-2.024538_,0,0,[],45.0
2023-08-16,100,121819.6,0,[],1,0,[],45.0
2023-08-17,100,121783.0,0,[],1,2,2023-8-17-17-5-13-884536_2023-8-17-17-17-41-234536_,45.0
2023-08-18,100,121773.2,0,[],0,1,2023-8-18-1-15-43-434538_,45.0
2023-08-19,100,121770.7,0,[],0,0,[],45.0
2023-08-20,100,121742.2,0,[],0,0,[],45.0
2023-08-21,100,121740.7,0,[],0,0,[],35.0
2023-08-22,100,121733.1,0,[],0,0,[],45.0
2023-08-23,100,121708.6,0,[],1,0,[],45.0
