fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,1243.2,1,2023-1-1-0-0-0-0-4.858393_,0,2,2023-1-1-7-4-1-208393_2023-1-1-23-56-44-558393_,0.0
2023-01-02,100,1272.0,0,[],0,1,2023-1-2-22-11-19-228393_,0.0
2023-01-03,100,1248.3,0,[],0,1,2023-1-3-21-44-33-818393_,0.0
2023-01-04,100,1258.7,0,[],0,2,2023-1-4-6-41-56-478393_2023-1-4-13-10-58-428393_,0.0
2023-01-05,100,1258.5,0,[],0,1,2023-1-5-15-36-9-328393_,0.0
2023-01-06,100,1257.6,0,[],0,6,2023-1-6-4-38-46-118393_2023-1-6-9-0-17-168393_2023-1-6-12-41-44-518393_2023-1-6-15-4-4-168393_2023-1-6-18-0-3-818393_2023-1-6-20-52-4-68393_,0.0
2023-01-07,100,1248.2,0,[],0,0,[],0.0
2023-01-08,100,1256.4,0,[],0,1,2023-1-8-14-5-16-348393_,0.0
2023-01-09,100,1257.2,0,[],0,3,2023-1-9-12-58-39-808393_2023-1-9-13-0-37-8393_2023-1-9-18-53-6-558393_,0.0
2023-01-10,100,1277.4,0,[],0,2,2023-1-10-11-40-12-778393_2023-1-10-12-53-48-878393_,0.0
2023-01-11,100,1257.2,0,[],0,1,2023-1-11-13-0-17-628393_,0.0
2023-01-12,100,1262.9,0,[],0,0,[],0.0
2023-01-13,100,1246.3,0,[],0,2,2023-1-13-7-23-24-388394_2023-1-13-16-43-10-988394_,0.0
2023-01-14,100,1234.2,0,[],0,3,2023-1-14-4-13-53-98394_2023-1-14-18-20-3-898394_2023-1-14-23-9-17-148394_,0.0
2023-01-15,100,1241.9,0,[],0,3,2023-1-15-2-4-37-618393_2023-1-15-2-18-17-718393_2023-1-15-4-4-42-268393_,0.0
2023-01-16,100,1242.7,0,[],0,3,2023-1-16-5-27-54-388393_2023-1-16-20-56-40-988393_2023-1-16-22-14-50-988393_,0.0
2023-01-17,100,1281.7,0,[],0,1,2023-1-17-1-41-12-298393_,0.0
2023-01-18,100,1252.3,0,[],0,2,2023-1-18-8-1-21-338393_2023-1-18-8-2-21-288393_,0.0
2023-01-19,100,1265.5,0,[],0,0,[],0.0
2023-01-20,100,1264.9,0,[],1,9,2023-1-20-3-54-30-548393_2023-1-20-3-55-20-798393_2023-1-20-4-1-6-98393_2023-1-20-11-30-41-798393_2023-1-20-11-31-33-648393_2023-1-20-22-15-41-218393_2023-1-20-22-20-28-18393_2023-1-20-22-28-58-118393_2023-1-20-22-30-36-568393_,0.0
2023-01-21,100,1260.3,0,[],0,0,[],0.0
2023-01-22,100,1256.5,0,[],0,2,2023-1-22-0-26-22-898393_2023-1-22-22-28-57-348393_,0.0
2023-01-23,100,1247.8,0,[],0,0,[],0.0
2023-01-24,100,1234.5,0,[],0,3,2023-1-24-0-49-46-128393_2023-1-24-18-43-2-528393_2023-1-24-18-48-3-178393_,0.0
2023-01-25,100,1219.8,0,[],2,0,[],0.0
2023-01-26,100,1272.3,0,[],0,1,2023-1-26-7-7-2-398393_,0.0
2023-01-27,100,1230.1,0,[],1,3,2023-1-27-0-35-6-268393_2023-1-27-4-35-2-418393_2023-1-27-12-29-24-218393_,0.0
2023-01-28,100,1216.5,0,[],0,0,[],0.0
2023-01-29,100,1215.2,0,[],0,4,2023-1-29-1-18-1-418393_2023-1-29-2-6-18-368393_2023-1-29-19-12-27-368393_2023-1-29-23-48-14-418393_,0.0
2023-01-30,100,1220.2,0,[],1,0,[],0.0
2023-01-31,100,1342.7,0,[],0,2,2023-1-31-5-49-53-88393_2023-1-31-12-7-57-888393_,0.0
2023-02-01,100,1230.0,0,[],0,3,2023-2-1-6-0-40-558393_2023-2-1-16-48-31-58393_2023-2-1-19-52-11-758393_,0.0
2023-02-02,100,1210.9,0,[],0,2,2023-2-2-1-13-20-208393_2023-2-2-1-59-1-508393_,0.0
2023-02-03,100,1307.7,0,[],0,1,2023-2-3-12-24-21-368393_,0.0
2023-02-04,100,1238.1,0,[],0,0,[],0.0
2023-02-05,100,1218.4,0,[],0,0,[],0.0
2023-02-06,100,1177.0,0,[],0,6,2023-2-6-1-55-18-218393_2023-2-6-4-12-29-418393_2023-2-6-6-0-25-818393_2023-2-6-11-10-23-718393_2023-2-6-11-11-27-768393_2023-2-6-12-14-43-118393_,0.0
2023-02-07,100,1218.6,0,[],1,5,2023-2-7-0-45-25-518393_2023-2-7-2-57-13-418393_2023-2-7-2-58-7-168393_2023-2-7-12-35-33-68393_2023-2-7-21-32-23-868394_,0.0
2023-02-08,100,1200.4,0,[],0,1,2023-2-8-15-22-54-908393_,0.0
2023-02-09,100,1218.1,0,[],0,1,2023-2-9-7-41-5-788393_,0.0
2023-02-10,100,1221.6,0,[],0,0,[],0.0
2023-02-11,100,1221.7,0,[],0,1,2023-2-11-9-14-4-328393_,0.0
2023-02-12,100,1230.1,0,[],0,1,2023-2-12-20-6-2-248393_,0.0
2023-02-13,100,1248.1,0,[],0,0,[],0.0
2023-02-14,100,1234.5,0,[],1,3,2023-2-14-0-8-46-278393_2023-2-14-7-12-49-728393_2023-2-14-8-13-23-678393_,0.0
2023-02-15,100,1435.3,0,[],2,3,2023-2-15-13-5-41-368393_2023-2-15-22-45-58-618393_2023-2-15-22-46-48-718393_,0.0
2023-02-16,100,1270.2,0,[],1,4,2023-2-16-0-14-26-648391_2023-2-16-6-56-40-918393_2023-2-16-12-32-49-718393_2023-2-16-15-18-7-718393_,0.0
2023-02-17,100,1280.1,0,[],0,0,[],0.0
2023-02-18,100,1257.4,0,[],1,0,[],0.0
2023-02-19,100,1244.3,0,[],1,5,2023-2-19-0-36-52-738393_2023-2-19-2-56-46-518393_2023-2-19-2-57-56-418393_2023-2-19-2-58-51-368393_2023-2-19-2-59-43-18393_,0.0
2023-02-20,100,1265.6,0,[],1,5,2023-2-20-0-2-40-448393_2023-2-20-2-2-13-498393_2023-2-20-17-51-14-448393_2023-2-20-19-22-35-548393_2023-2-20-21-53-49-268393_,0.0
2023-02-21,100,1255.7,0,[],0,5,2023-2-21-0-2-47-48393_2023-2-21-6-3-43-748393_2023-2-21-15-48-16-448393_2023-2-21-18-50-49-848393_2023-2-21-20-32-23-148393_,0.0
2023-02-22,100,1271.8,0,[],0,3,2023-2-22-6-9-32-968393_2023-2-22-10-41-31-168393_2023-2-22-14-15-56-918393_,0.0
2023-02-23,100,1266.6,0,[],0,6,2023-2-23-1-47-21-718393_2023-2-23-1-50-40-468393_2023-2-23-2-1-59-968393_2023-2-23-2-2-59-668393_2023-2-23-2-4-0-268393_2023-2-23-17-0-1-418393_,0.0
2023-02-24,100,1212.1,0,[],0,3,2023-2-24-16-2-14-228393_2023-2-24-16-5-41-128393_2023-2-24-16-6-50-428393_,0.0
2023-02-25,100,1232.8,0,[],1,2,2023-2-25-1-59-7-78393_2023-2-25-2-0-42-428393_,0.0
2023-02-26,100,1233.3,0,[],1,1,2023-2-26-15-56-6-538393_,0.0
2023-02-27,100,1216.3,0,[],0,10,2023-2-27-2-48-24-498393_2023-2-27-3-51-54-548393_2023-2-27-3-53-43-398393_2023-2-27-4-1-32-98393_2023-2-27-10-42-59-498393_2023-2-27-12-10-24-198393_2023-2-27-12-11-47-798393_2023-2-27-12-12-37-848393_2023-2-27-15-36-46-98393_2023-2-27-15-38-18-48393_,0.0
2023-02-28,100,1217.9,0,[],0,5,2023-2-28-5-56-15-108393_2023-2-28-11-59-48-908393_2023-2-28-12-0-2-658393_2023-2-28-12-1-11-758393_2023-2-28-12-2-23-158393_,0.0
2023-03-01,100,1248.2,0,[],1,10,2023-3-1-5-54-37-78393_2023-3-1-5-57-23-28393_2023-3-1-6-33-13-928393_2023-3-1-11-15-16-128393_2023-3-1-15-38-36-28393_2023-3-1-15-39-33-878393_2023-3-1-20-41-49-968393_2023-3-1-21-5-51-968393_2023-3-1-21-11-21-518393_2023-3-1-21-15-16-718393_,0.0
2023-03-02,100,1193.4,0,[],1,7,2023-3-2-10-37-23-468393_2023-3-2-10-38-13-468393_2023-3-2-11-53-38-218393_2023-3-2-11-57-6-168393_2023-3-2-13-35-26-568393_2023-3-2-18-20-19-168393_2023-3-2-18-22-9-918393_,0.0
2023-03-03,100,1242.6,0,[],0,11,2023-3-3-7-20-26-768393_2023-3-3-8-12-8-368393_2023-3-3-8-54-55-118393_2023-3-3-8-55-47-318393_2023-3-3-10-9-58-418393_2023-3-3-10-10-51-118393_2023-3-3-11-10-5-318393_2023-3-3-13-37-51-418393_2023-3-3-13-40-4-18393_2023-3-3-16-54-24-318393_2023-3-3-20-12-29-118393_,0.0
2023-03-04,100,1231.2,0,[],0,7,2023-3-4-6-42-42-98393_2023-3-4-11-8-20-998393_2023-3-4-11-9-46-148393_2023-3-4-13-49-40-498393_2023-3-4-15-43-53-798393_2023-3-4-16-55-44-48393_2023-3-4-18-25-19-748393_,0.0
2023-03-05,100,1239.8,0,[],0,1,2023-3-5-1-49-15-128393_,0.0
2023-03-06,100,1248.8,0,[],0,1,2023-3-6-10-24-49-958393_,0.0
2023-03-07,100,1233.2,0,[],0,9,2023-3-7-1-33-39-58393_2023-3-7-3-39-23-358393_2023-3-7-4-0-27-758393_2023-3-7-12-12-5-358393_2023-3-7-12-12-56-908393_2023-3-7-12-50-3-358393_2023-3-7-12-50-53-458393_2023-3-7-16-23-53-208393_2023-3-7-16-24-50-458393_,0.0
2023-03-08,100,1250.5,0,[],0,2,2023-3-8-12-51-17-518393_2023-3-8-18-52-1-118393_,0.0
2023-03-09,100,1279.9,0,[],0,4,2023-3-9-1-55-15-148393_2023-3-9-6-31-42-848393_2023-3-9-14-11-47-198393_2023-3-9-21-58-23-898393_,0.0
2023-03-10,100,1271.3,0,[],0,8,2023-3-10-5-42-57-98394_2023-3-10-5-57-51-998394_2023-3-10-9-20-11-698394_2023-3-10-15-16-17-848394_2023-3-10-15-17-40-348394_2023-3-10-15-18-31-548394_2023-3-10-20-48-34-48394_2023-3-10-20-49-24-598394_,0.0
2023-03-11,100,1275.8,0,[],0,2,2023-3-11-21-12-56-438393_2023-3-11-21-13-51-238393_,0.0
2023-03-12,100,1287.3,0,[],0,0,[],0.0
2023-03-13,100,1281.1,0,[],0,8,2023-3-13-4-56-8-598393_2023-3-13-4-57-6-748393_2023-3-13-18-54-49-398393_2023-3-13-18-57-13-948393_2023-3-13-20-45-4-398393_2023-3-13-20-45-56-348393_2023-3-13-20-47-34-398393_2023-3-13-20-49-12-598393_,0.0
2023-03-14,100,1298.1,0,[],0,7,2023-3-14-5-8-32-568393_2023-3-14-6-5-56-268393_2023-3-14-11-34-23-368393_2023-3-14-11-35-13-968393_2023-3-14-13-45-16-118393_2023-3-14-15-11-19-468393_2023-3-14-15-12-10-118393_,0.0
2023-03-15,100,1266.5,0,[],0,4,2023-3-15-11-47-18-718393_2023-3-15-11-53-38-668393_2023-3-15-17-44-56-568393_2023-3-15-21-51-20-868393_,0.0
2023-03-16,100,1286.3,0,[],0,13,2023-3-16-1-29-21-558393_2023-3-16-1-39-14-958393_2023-3-16-1-45-18-408393_2023-3-16-1-50-55-408393_2023-3-16-2-8-9-858393_2023-3-16-11-7-56-208393_2023-3-16-11-13-28-608393_2023-3-16-11-59-31-408393_2023-3-16-13-32-18-808393_2023-3-16-13-33-29-658393_2023-3-16-13-34-20-408393_2023-3-16-14-5-12-858393_2023-3-16-14-6-7-858393_,0.0
2023-03-17,100,1252.1,0,[],0,4,2023-3-17-8-24-29-988393_2023-3-17-12-15-58-388393_2023-3-17-12-17-4-888393_2023-3-17-12-17-55-188393_,0.0
2023-03-18,100,1287.6,0,[],0,5,2023-3-18-4-8-37-878393_2023-3-18-4-9-28-828393_2023-3-18-17-17-19-528393_2023-3-18-17-18-15-128393_2023-3-18-18-1-56-28393_,0.0
2023-03-19,100,1262.3,0,[],0,1,2023-3-19-12-21-57-938393_,0.0
2023-03-20,100,1220.2,0,[],0,11,2023-3-20-8-17-16-508393_2023-3-20-11-37-36-208393_2023-3-20-11-39-32-958393_2023-3-20-11-41-3-958393_2023-3-20-11-42-20-58393_2023-3-20-11-43-10-608393_2023-3-20-11-48-52-958393_2023-3-20-12-8-3-358393_2023-3-20-12-11-25-458393_2023-3-20-12-12-42-408393_2023-3-20-12-19-46-858393_,0.0
2023-03-21,100,1246.3,0,[],0,9,2023-3-21-1-48-28-738393_2023-3-21-1-49-21-338393_2023-3-21-1-50-17-288393_2023-3-21-1-51-37-188393_2023-3-21-2-0-5-538393_2023-3-21-10-49-57-788393_2023-3-21-15-1-23-488393_2023-3-21-15-2-14-338393_2023-3-21-21-26-49-238393_,0.0
2023-03-22,100,1235.9,0,[],0,1,2023-3-22-18-37-25-88393_,0.0
2023-03-23,100,1246.6,0,[],0,3,2023-3-23-21-12-2-768394_2023-3-23-22-2-28-468394_2023-3-23-22-18-23-318394_,0.0
2023-03-24,100,1230.2,0,[],0,11,2023-3-24-11-49-14-498393_2023-3-24-11-54-44-298393_2023-3-24-11-56-54-98393_2023-3-24-18-47-22-198393_2023-3-24-18-58-4-348393_2023-3-24-18-58-54-348393_2023-3-24-18-59-44-898393_2023-3-24-20-26-50-748393_2023-3-24-20-27-46-848393_2023-3-24-20-28-53-598393_2023-3-24-22-20-12-998393_,0.0
2023-03-25,100,1260.6,0,[],0,4,2023-3-25-6-56-38-758393_2023-3-25-12-36-16-508393_2023-3-25-12-42-41-308393_2023-3-25-21-27-58-258393_,0.0
2023-03-26,100,1261.1,0,[],0,3,2023-3-26-21-20-8-658393_2023-3-26-23-37-56-658393_2023-3-26-23-38-47-58393_,0.0
2023-03-27,100,1262.3,0,[],1,2,2023-3-27-10-28-51-788393_2023-3-27-22-10-33-288393_,0.0
2023-03-28,100,1241.5,0,[],2,4,2023-3-28-9-46-26-568393_2023-3-28-11-14-21-368393_2023-3-28-12-21-3-368393_2023-3-28-17-2-28-368393_,0.0
2023-03-29,100,1239.1,0,[],1,5,2023-3-29-3-28-45-298393_2023-3-29-3-29-40-898393_2023-3-29-3-30-34-398393_2023-3-29-11-59-51-848393_2023-3-29-12-50-19-198393_,0.0
2023-03-30,100,1206.4,0,[],2,11,2023-3-30-8-25-50-118394_2023-3-30-14-30-13-318394_2023-3-30-14-49-42-368394_2023-3-30-14-58-31-668394_2023-3-30-15-14-55-668394_2023-3-30-17-53-40-768394_2023-3-30-17-55-44-868394_2023-3-30-17-57-6-568394_2023-3-30-17-58-4-318394_2023-3-30-17-58-55-118394_2023-3-30-18-50-59-418394_,0.0
2023-03-31,100,1244.5,0,[],0,10,2023-3-31-0-9-36-158393_2023-3-31-0-10-27-658393_2023-3-31-0-11-17-808393_2023-3-31-12-53-20-808393_2023-3-31-15-10-29-558393_2023-3-31-16-2-11-458393_2023-3-31-19-36-10-158393_2023-3-31-20-34-28-158393_2023-3-31-22-50-24-208393_2023-3-31-22-51-14-308393_,0.0
2023-04-01,100,1226.9,0,[],0,5,2023-4-1-1-3-34-118394_2023-4-1-1-4-45-868394_2023-4-1-1-5-36-368394_2023-4-1-15-36-39-718394_2023-4-1-16-22-11-818394_,0.0
2023-04-02,100,1244.1,0,[],0,4,2023-4-2-5-38-0-978393_2023-4-2-19-3-40-78393_2023-4-2-19-4-36-278393_2023-4-2-20-3-59-128393_,0.0
2023-04-03,100,1224.0,0,[],0,5,2023-4-3-3-41-1-638394_2023-4-3-3-51-13-138394_2023-4-3-3-58-46-888394_2023-4-3-13-4-46-138394_2023-4-3-21-51-53-338394_,0.0
2023-04-04,100,1232.0,0,[],0,8,2023-4-4-2-21-27-558391_2023-4-4-9-58-48-8391_2023-4-4-11-11-50-458391_2023-4-4-19-15-37-958391_2023-4-4-19-28-46-408391_2023-4-4-19-30-40-408391_2023-4-4-22-21-16-658391_2023-4-4-22-22-17-658391_,0.0
2023-04-05,100,1222.3,0,[],2,2,2023-4-5-6-25-30-848391_2023-4-5-14-47-13-448391_,0.0
2023-04-06,100,1272.6,0,[],0,5,2023-4-6-6-44-36-768393_2023-4-6-8-24-5-18393_2023-4-6-8-24-55-18393_2023-4-6-17-32-25-268393_2023-4-6-21-20-52-168393_,0.0
2023-04-07,100,1270.2,0,[],0,5,2023-4-7-4-12-19-508393_2023-4-7-7-37-26-708393_2023-4-7-9-1-24-758393_2023-4-7-11-18-1-458393_2023-4-7-22-11-3-358393_,0.0
2023-04-08,100,1261.6,0,[],0,2,2023-4-8-1-41-54-408393_2023-4-8-21-40-7-558393_,0.0
2023-04-09,100,1249.7,0,[],0,2,2023-4-9-3-57-40-648393_2023-4-9-21-17-21-148393_,0.0
2023-04-10,100,1235.1,0,[],0,2,2023-4-10-11-12-33-928393_2023-4-10-21-54-43-828393_,0.0
2023-04-11,100,1230.4,0,[],0,2,2023-4-11-0-19-13-208393_2023-4-11-8-12-22-908393_,0.0
2023-04-12,100,1227.3,0,[],0,1,2023-4-12-0-23-9-618394_,0.0
2023-04-13,100,1217.6,0,[],0,1,2023-4-13-16-21-5-288391_,0.0
2023-04-14,100,1237.7,0,[],0,4,2023-4-14-10-44-47-298393_2023-4-14-17-32-2-948393_2023-4-14-21-41-15-798393_2023-4-14-22-0-42-948393_,0.0
2023-04-15,100,1228.7,0,[],0,4,2023-4-15-1-52-9-828393_2023-4-15-3-53-20-78393_2023-4-15-3-55-7-778393_2023-4-15-20-8-11-478393_,0.0
2023-04-16,100,1316.9,0,[],0,3,2023-4-16-8-14-0-398393_2023-4-16-8-14-53-798393_2023-4-16-20-58-40-698393_,0.0
2023-04-17,100,1264.6,0,[],3,1,2023-4-17-11-1-17-308394_,0.0
2023-04-18,100,1242.8,0,[],0,5,2023-4-18-2-26-45-118393_2023-4-18-5-14-46-618393_2023-4-18-5-17-3-818393_2023-4-18-6-14-27-418393_2023-4-18-18-52-50-318393_,0.0
2023-04-19,100,1221.9,0,[],3,2,2023-4-19-13-0-1-358393_2023-4-19-17-53-33-218393_,0.0
2023-04-20,100,1263.5,0,[],0,5,2023-4-20-0-16-34-118393_2023-4-20-0-29-35-168393_2023-4-20-9-59-19-868393_2023-4-20-10-59-35-918393_2023-4-20-12-59-28-668393_,0.0
2023-04-21,100,1272.2,0,[],0,4,2023-4-21-10-58-54-418394_2023-4-21-11-10-59-918394_2023-4-21-13-4-37-368394_2023-4-21-23-17-12-768394_,0.0
2023-04-22,100,1256.0,0,[],0,3,2023-4-22-10-6-13-58393_2023-4-22-16-27-10-808393_2023-4-22-19-11-42-508393_,0.0
2023-04-23,100,1237.7,0,[],0,2,2023-4-23-1-52-28-358393_2023-4-23-1-53-18-808393_,0.0
2023-04-24,100,1221.0,0,[],0,4,2023-4-24-1-31-31-378393_2023-4-24-1-33-21-178393_2023-4-24-2-6-15-478393_2023-4-24-22-0-1-528393_,0.0
2023-04-25,100,1239.9,0,[],0,4,2023-4-25-5-40-2-948391_2023-4-25-5-41-17-798391_2023-4-25-5-42-25-748391_2023-4-25-11-16-8-148391_,0.0
2023-04-26,100,1233.2,0,[],1,3,2023-4-26-3-19-59-778393_2023-4-26-3-21-14-828393_2023-4-26-20-45-1-878393_,0.0
2023-04-27,100,1239.7,0,[],2,3,2023-4-27-0-3-50-148393_2023-4-27-3-46-47-948393_2023-4-27-9-57-38-848393_,0.0
2023-04-28,100,1251.4,0,[],0,6,2023-4-28-5-0-9-188393_2023-4-28-5-0-59-388393_2023-4-28-5-8-24-688393_2023-4-28-5-31-35-988393_2023-4-28-22-24-12-438393_2023-4-28-22-25-2-488393_,0.0
2023-04-29,100,1245.1,0,[],0,8,2023-4-29-5-12-32-758393_2023-4-29-5-13-26-58393_2023-4-29-6-53-37-258393_2023-4-29-7-57-47-608393_2023-4-29-8-40-29-208393_2023-4-29-8-55-29-358393_2023-4-29-9-1-56-858393_2023-4-29-10-7-39-58393_,0.0
2023-04-30,100,1235.1,0,[],0,2,2023-4-30-5-3-5-678393_2023-4-30-22-34-18-278393_,0.0
2023-05-01,100,1267.4,0,[],0,3,2023-5-1-4-3-13-718393_2023-5-1-9-38-23-818393_2023-5-1-9-39-49-518393_,0.0
2023-05-02,100,1238.0,0,[],0,1,2023-5-2-15-53-22-488394_,0.0
2023-05-03,100,1243.2,0,[],0,2,2023-5-3-2-13-59-758393_2023-5-3-2-14-51-908393_,0.0
2023-05-04,100,1245.9,0,[],0,0,[],0.0
2023-05-05,100,1255.6,0,[],0,1,2023-5-5-22-33-15-468393_,0.0
2023-05-06,100,1255.2,0,[],0,2,2023-5-6-1-49-28-668394_2023-5-6-11-1-23-568394_,0.0
2023-05-07,100,1236.8,0,[],0,0,[],0.0
2023-05-08,100,1189.6,0,[],0,7,2023-5-8-0-54-10-128393_2023-5-8-13-43-27-778393_2023-5-8-13-57-22-378393_2023-5-8-13-59-29-728393_2023-5-8-14-3-28-278393_2023-5-8-20-22-13-328393_2023-5-8-20-23-3-528393_,0.0
2023-05-09,100,1226.5,0,[],0,6,2023-5-9-0-22-44-358394_2023-5-9-0-33-13-508394_2023-5-9-10-55-47-608394_2023-5-9-10-56-43-308394_2023-5-9-21-48-30-8394_2023-5-9-21-49-31-608394_,0.0
2023-05-10,100,1187.3,0,[],0,5,2023-5-10-14-17-59-438393_2023-5-10-16-28-31-788393_2023-5-10-16-44-23-388393_2023-5-10-16-45-14-738393_2023-5-10-22-9-32-888393_,0.0
2023-05-11,100,1256.0,0,[],1,0,[],0.0
2023-05-12,100,1253.5,0,[],0,1,2023-5-12-9-46-5-938394_,0.0
2023-05-13,100,1268.0,0,[],0,1,2023-5-13-0-10-21-548393_,0.0
2023-05-14,100,1224.6,0,[],0,6,2023-5-14-1-6-30-328393_2023-5-14-6-5-46-528393_2023-5-14-6-6-39-878393_2023-5-14-12-8-52-978393_2023-5-14-12-9-43-28393_2023-5-14-16-44-38-28393_,0.0
2023-05-15,100,1245.7,0,[],0,10,2023-5-15-0-54-8-718393_2023-5-15-2-37-36-768393_2023-5-15-2-38-27-168393_2023-5-15-2-39-17-318393_2023-5-15-7-57-28-168393_2023-5-15-7-58-18-868393_2023-5-15-7-59-9-68393_2023-5-15-7-59-59-618393_2023-5-15-10-37-28-818393_2023-5-15-10-38-18-818393_,0.0
2023-05-16,100,1268.1,0,[],0,0,[],0.0
2023-05-17,100,1257.9,0,[],0,7,2023-5-17-5-47-17-358393_2023-5-17-5-48-7-958393_2023-5-17-6-0-14-858393_2023-5-17-10-53-42-208393_2023-5-17-21-41-27-708393_2023-5-17-23-6-37-808393_2023-5-17-23-8-55-8393_,0.0
2023-05-18,100,1274.0,0,[],0,5,2023-5-18-0-20-42-228393_2023-5-18-0-21-32-628393_2023-5-18-0-23-15-978393_2023-5-18-11-8-34-328393_2023-5-18-14-50-27-828393_,0.0
2023-05-19,100,1235.3,0,[],0,4,2023-5-19-3-45-2-858393_2023-5-19-3-46-38-108393_2023-5-19-6-18-7-358393_2023-5-19-11-15-43-708393_,0.0
2023-05-20,100,1263.3,0,[],0,3,2023-5-20-4-59-17-638393_2023-5-20-12-18-7-838393_2023-5-20-16-6-17-838393_,0.0
2023-05-21,100,1265.8,0,[],0,6,2023-5-21-15-45-1-68393_2023-5-21-15-45-51-118393_2023-5-21-15-46-41-568393_2023-5-21-15-47-35-168393_2023-5-21-16-1-36-918393_2023-5-21-16-3-18-118393_,0.0
2023-05-22,100,1283.8,0,[],0,17,2023-5-22-0-30-39-518393_2023-5-22-5-33-19-818393_2023-5-22-11-48-45-918393_2023-5-22-12-8-31-968393_2023-5-22-12-13-58-718393_2023-5-22-12-19-34-718393_2023-5-22-12-20-42-318393_2023-5-22-14-21-54-68393_2023-5-22-14-22-44-668393_2023-5-22-17-15-10-468393_2023-5-22-17-35-3-168393_2023-5-22-19-5-49-918393_2023-5-22-19-7-43-868393_2023-5-22-20-43-10-618393_2023-5-22-21-20-43-418393_2023-5-22-21-35-35-18393_2023-5-22-21-36-27-568393_,0.0
