fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,776.1,1,2023-1-1-0-0-0-0-1.155_,0,0,[],40.0
2023-01-02,100,877.0,0,[],0,0,[],40.0
2023-01-03,100,1002.7,0,[],0,0,[],40.0
2023-01-04,100,879.9,0,[],0,0,[],40.0
2023-01-05,100,854.1,0,[],0,0,[],40.0
2023-01-06,100,913.3,0,[],0,0,[],40.0
2023-01-07,100,462.6,0,[],0,0,[],40.0
2023-01-08,37.8,3268.3,2,2023-1-8-3-6-12-930000-53724.06500005722_2023-1-8-18-1-39-895000-4.099999904632568_,0,0,[],30.0
2023-01-09,73.4,4272.2,2,2023-1-9-10-49-8-705000-22966.289999961853_2023-1-9-17-11-57-900000-4.09499979019165_,0,0,[],30.0
2023-01-10,62.6,4339.1,2,2023-1-10-8-37-1-350000-32316.644999742508_2023-1-10-17-35-40-905000-4.0899999141693115_,0,0,[],25.0
2023-01-11,100,3746.3,0,[],0,0,[],40.0
2023-01-12,60.4,3595.5,2,2023-1-12-8-12-3-710000-34204.28499984741_2023-1-12-17-42-10-910000-4.0849997997283936_,0,0,[],25.0
2023-01-13,75.2,3290.2,2,2023-1-13-11-22-34-55000-21453.939999818802_2023-1-13-17-20-10-910000-4.0849997997283936_,0,0,[],30.0
2023-01-14,100,3073.7,0,[],0,0,[],40.0
2023-01-15,100,3186.9,0,[],0,0,[],40.0
2023-01-16,60.4,2487.2,2,2023-1-16-8-26-34-175000-34187.81999993324_2023-1-16-17-56-24-910000-4.0849997997283936_,0,0,[],25.0
2023-01-17,100,2593.7,0,[],0,0,[],40.0
2023-01-18,100,2771.0,0,[],0,0,[],40.0
2023-01-19,38.2,2254.2,2,2023-1-19-2-27-27-490000-53394.50500011444_2023-1-19-17-17-24-925000-4.069999933242798_,0,0,[],15.0
2023-01-20,100.0,1807.3,1,2023-1-20-16-28-49-145000-9.869999885559082_,0,0,[],40.0
2023-01-21,100,916.3,0,[],0,0,[],40.0
2023-01-22,100,1340.9,0,[],0,0,[],40.0
2023-01-23,100,670.3,0,[],0,0,[],40.0
2023-01-24,100,1118.7,0,[],0,0,[],40.0
2023-01-25,100.0,1140.8,2,2023-1-25-14-48-53-575000-20.21999979019165_2023-1-25-14-51-48-40000-6.129999876022339_,0,0,[],40.0
2023-01-26,100,-891.6,0,[],0,0,[],40.0
2023-01-27,100.0,-2186.2,1,2023-1-27-14-50-14-415000-16.25_,0,0,[],40.0
2023-01-28,100,-2065.5,0,[],0,0,[],40.0
