fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,41.9,-10699.9,14,2023-1-1-0-0-0-0-9134.0_2023-1-1-22-38-12-200000-4907.8_2023-1-1-2-32-35-250000-33870.420000076294_2023-1-1-11-57-25-685000-345.30999994277954_2023-1-1-12-4-1-235000-432.7599997520447_2023-1-1-12-11-57-980000-279.0149998664856_2023-1-1-12-21-41-50000-290.9449999332428_2023-1-1-12-30-2-590000-288.4049997329712_2023-1-1-12-39-46-170000-280.8250000476837_2023-1-1-12-45-4-665000-338.32999992370605_2023-1-1-13-4-28-610000-43.144999980926514_2023-1-1-19-20-11-990000-0.004999876022338867_2023-1-1-19-57-36-985000-0.009999990463256836_2023-1-1-20-23-21-990000-0.004999876022338867_,6,0,[],30.0
2023-01-02,40.6,-9898.6,14,2023-1-2-0-0-0-0-44412.0_2023-1-2-23-41-10-390000-1129.61_2023-1-2-12-37-46-560000-1005.4349999427795_2023-1-2-12-55-33-330000-308.664999961853_2023-1-2-13-1-18-970000-1143.0250000953674_2023-1-2-13-21-3-125000-696.8699998855591_2023-1-2-13-33-22-755000-278.23999977111816_2023-1-2-13-39-40-520000-277.47499990463257_2023-1-2-13-51-53-700000-48.05499982833862_2023-1-2-23-1-28-310000-362.68499970436096_2023-1-2-23-9-4-235000-373.7599997520447_2023-1-2-23-16-33-625000-419.3699998855591_2023-1-2-23-24-17-750000-431.2449996471405_2023-1-2-23-32-27-935000-465.05999970436096_,1,0,[],45.0
2023-01-03,40.4,-9878.0,18,2023-1-3-0-0-0-0-37.0_2023-1-3-23-52-4-315000-475.685_2023-1-3-0-0-59-350000-715.6449997425079_2023-1-3-0-13-15-210000-695.7850000858307_2023-1-3-0-25-38-425000-812.5699999332428_2023-1-3-0-40-13-685000-984.3099999427795_2023-1-3-0-57-48-160000-43779.83499979973_2023-1-3-13-11-58-680000-47.07499980926514_2023-1-3-13-35-0-985000-0.009999990463256836_2023-1-3-14-37-29-230000-1.5249998569488525_2023-1-3-19-24-45-990000-0.004999876022338867_2023-1-3-22-37-49-20000-390.97499990463257_2023-1-3-22-46-8-150000-404.84499979019165_2023-1-3-22-54-18-500000-496.4949998855591_2023-1-3-23-3-23-380000-538.6149997711182_2023-1-3-23-13-30-625000-616.3699998855591_2023-1-3-23-24-48-490000-731.5050001144409_2023-1-3-23-37-52-840000-804.1549999713898_,5,0,[],30.0
2023-01-04,43.7,-9598.7,16,2023-1-4-0-0-0-0-343.0_2023-1-4-23-21-29-935000-2310.065_2023-1-4-0-6-1-375000-924.7249999046326_2023-1-4-0-22-5-915000-1680.079999923706_2023-1-4-0-50-14-885000-39481.109999895096_2023-1-4-11-48-56-620000-472.375_2023-1-4-11-57-16-465000-388.52999997138977_2023-1-4-12-4-28-785000-411.02500009536743_2023-1-4-12-11-26-495000-1450.4999997615814_2023-1-4-12-44-37-515000-35.239999771118164_2023-1-4-12-58-12-990000-0.004999876022338867_2023-1-4-21-20-32-990000-0.004999876022338867_2023-1-4-22-31-57-980000-0.014999866485595703_2023-1-4-22-59-7-745000-366.25_2023-1-4-23-6-38-315000-365.6799998283386_2023-1-4-23-14-0-980000-381.0149998664856_,5,0,[],30.0
2023-01-05,0.4,-9477.9,7,2023-1-5-0-0-0-0-82951.0_2023-1-5-23-50-57-350000-542.65_2023-1-5-23-3-57-825000-354.16999983787537_2023-1-5-23-11-15-620000-385.375_2023-1-5-23-18-28-595000-846.3999998569489_2023-1-5-23-33-31-500000-443.4949998855591_2023-1-5-23-41-55-45000-488.9500000476837_,0,0,[],-9
2023-01-06,45.0,-9900.9,13,2023-1-6-0-0-0-0-14.0_2023-1-6-23-9-10-995000-3049.005_2023-1-6-0-0-37-320000-1144.6999998092651_2023-1-6-0-19-59-785000-604.210000038147_2023-1-6-0-30-51-945000-597.0499999523163_2023-1-6-0-41-33-965000-803.0299999713898_2023-1-6-0-55-35-690000-39879.30500006676_2023-1-6-12-0-30-945000-368.0499999523163_2023-1-6-12-7-0-670000-312.32499980926514_2023-1-6-12-14-48-690000-40.06500005722046_2023-1-6-12-36-13-990000-0.004999876022338867_2023-1-6-22-54-47-605000-366.3899998664856_2023-1-6-23-1-59-980000-360.0149998664856_,2,0,[],30.0
2023-01-07,45.2,-10416.3,6,2023-1-7-0-0-0-0-46382.0_2023-1-7-23-56-48-190000-191.81_2023-1-7-13-2-12-480000-38.27499985694885_2023-1-7-13-9-15-985000-0.009999990463256836_2023-1-7-23-41-14-725000-403.2699999809265_2023-1-7-23-49-10-850000-367.1449999809265_,3,0,[],45.0
2023-01-08,40.3,-9910.8,27,2023-1-8-0-0-0-0-189.0_2023-1-8-23-56-59-510000-180.49_2023-1-8-0-4-26-125000-897.8699998855591_2023-1-8-0-20-25-475000-469.51999974250793_2023-1-8-0-28-46-930000-503.06500005722046_2023-1-8-0-38-1-995000-567.9999997615814_2023-1-8-0-48-11-250000-1302.7450001239777_2023-1-8-1-10-39-380000-691.6149997711182_2023-1-8-1-22-26-20000-1452.9749999046326_2023-1-8-1-47-40-930000-36144.06500005722_2023-1-8-11-50-43-295000-663.6999998092651_2023-1-8-12-2-7-585000-1005.4099998474121_2023-1-8-12-19-43-920000-298.07499980926514_2023-1-8-12-25-53-785000-280.210000038147_2023-1-8-12-32-9-370000-300.625_2023-1-8-12-38-8-115000-285.87999987602234_2023-1-8-12-43-59-240000-2543.7549998760223_2023-1-8-13-29-24-5000-49.75_2023-1-8-13-32-8-990000-0.004999876022338867_2023-1-8-22-47-28-930000-334.06500005722046_2023-1-8-22-54-41-500000-366.4949998855591_2023-1-8-23-1-58-495000-420.4999997615814_2023-1-8-23-9-35-305000-431.69000005722046_2023-1-8-23-17-41-715000-467.2799997329712_2023-1-8-23-26-3-970000-547.0250000953674_2023-1-8-23-35-57-915000-555.079999923706_2023-1-8-23-45-48-420000-649.5749998092651_,1,0,[],30.0
2023-01-09,41.9,-9285.7,12,2023-1-9-0-0-0-0-490.99_2023-1-9-22-59-32-190000-3627.81_2023-1-9-0-8-12-990000-1448.0049998760223_2023-1-9-0-33-38-525000-2134.4700000286102_2023-1-9-1-10-3-995000-38728.99999976158_2023-1-9-11-56-0-365000-1922.6299998760223_2023-1-9-12-28-18-845000-344.30999994277954_2023-1-9-12-34-35-445000-296.5499999523163_2023-1-9-12-40-35-900000-279.09499979019165_2023-1-9-12-47-3-720000-268.27499985694885_2023-1-9-12-52-20-575000-624.1799998283386_2023-1-9-13-27-37-985000-0.009999990463256836_,3,0,[],30.0
2023-01-10,40.7,-9958.5,10,2023-1-10-0-0-0-0-46694.795_2023-1-10-23-49-25-300000-634.7_2023-1-10-12-58-16-845000-944.9099998474121_2023-1-10-13-22-31-990000-0.004999876022338867_2023-1-10-21-27-31-990000-0.004999876022338867_2023-1-10-22-55-35-995000-377.9999997615814_2023-1-10-23-3-24-245000-390.75_2023-1-10-23-10-1-900000-499.09499979019165_2023-1-10-23-19-35-885000-483.1099998950958_2023-1-10-23-28-19-570000-1213.4249999523163_,4,0,[],45.0
2023-01-11,41.6,-9708.2,14,2023-1-11-0-0-0-0-9.0_2023-1-11-23-31-56-500000-1683.5_2023-1-11-0-1-9-660000-712.3349997997284_2023-1-11-0-14-19-755000-2079.239999771118_2023-1-11-0-49-35-740000-40831.25499987602_2023-1-11-12-10-45-415000-578.579999923706_2023-1-11-12-21-7-955000-476.03999972343445_2023-1-11-12-29-16-905000-1110.0899999141693_2023-1-11-12-48-54-120000-278.875_2023-1-11-12-57-8-530000-34.22499990463257_2023-1-11-13-26-2-985000-0.009999990463256836_2023-1-11-22-45-41-845000-424.14999985694885_2023-1-11-22-53-25-860000-1515.1349999904633_2023-1-11-23-19-43-785000-683.210000038147_,4,0,[],30.0
2023-01-12,38.6,-9272.3,8,2023-1-12-0-0-0-0-50476.445_2023-1-12-23-54-16-900000-343.1_2023-1-12-14-9-53-785000-39.97000002861023_2023-1-12-14-27-48-990000-0.004999876022338867_2023-1-12-14-33-8-990000-0.004999876022338867_2023-1-12-23-14-26-65000-961.9300000667572_2023-1-12-23-32-15-835000-556.1599998474121_2023-1-12-23-42-49-935000-636.059999704361_,1,0,[],40.0
2023-01-13,41.8,-9428.1,15,2023-1-13-0-0-0-0-573.0_2023-1-13-23-16-36-780000-2603.22_2023-1-13-0-10-29-385000-2346.609999895096_2023-1-13-0-50-14-960000-1372.2199997901917_2023-1-13-1-13-19-20000-38253.97499990463_2023-1-13-11-51-45-935000-520.059999704361_2023-1-13-12-1-10-670000-431.32499980926514_2023-1-13-12-9-7-110000-305.8849997520447_2023-1-13-12-15-12-370000-344.625_2023-1-13-12-21-56-875000-1469.119999885559_2023-1-13-12-52-17-150000-32.60499978065491_2023-1-13-22-38-46-310000-366.68499970436096_2023-1-13-22-46-2-580000-421.414999961853_2023-1-13-22-54-5-865000-564.1299998760223_2023-1-13-23-4-27-870000-675.1249997615814_,1,0,[],30.0
