fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,97.5,-9468.0,37,2023-1-1-0-0-0-0-6.0_2023-1-1-7-25-45-990000-240.0_2023-1-1-7-29-55-990000-50.0_2023-1-1-7-30-55-990000-50.0_2023-1-1-7-31-55-990000-20.0_2023-1-1-7-32-25-990000-20.0_2023-1-1-7-33-5-990000-30.0_2023-1-1-7-33-45-990000-10.0_2023-1-1-7-34-15-990000-60.0_2023-1-1-7-35-25-990000-130.0_2023-1-1-7-37-45-990000-90.0_2023-1-1-7-39-25-990000-110.0_2023-1-1-7-41-25-990000-30.0_2023-1-1-7-42-5-990000-65.0_2023-1-1-7-43-20-990000-30.0_2023-1-1-7-44-0-990000-50.0_2023-1-1-7-45-0-990000-100.0_2023-1-1-7-46-50-990000-60.0_2023-1-1-7-48-0-990000-30.0_2023-1-1-7-48-40-990000-80.0_2023-1-1-7-50-10-990000-80.0_2023-1-1-7-51-40-990000-20.0_2023-1-1-7-52-10-990000-30.0_2023-1-1-7-52-50-990000-100.0_2023-1-1-7-54-40-990000-70.0_2023-1-1-7-56-0-990000-60.0_2023-1-1-7-57-10-990000-40.0_2023-1-1-7-58-0-990000-20.0_2023-1-1-7-58-30-990000-30.0_2023-1-1-7-59-10-990000-30.0_2023-1-1-7-59-50-990000-10.0_2023-1-1-8-0-10-990000-80.0_2023-1-1-8-1-40-990000-60.0_2023-1-1-8-2-50-990000-60.0_2023-1-1-8-4-0-990000-10.0_2023-1-1-8-4-20-990000-20.0_2023-1-1-8-4-50-990000-170.0_,0,1,2023-1-1-11-49-37-50000_,0.0
2023-01-02,100,-9450.4,0,[],0,0,[],0.0
2023-01-03,100.0,-9449.3,2,2023-1-3-0-0-1-290000-39.71_2023-1-3-0-0-38-990000-2.0_,0,0,[],0.0
2023-01-04,99.2,-9456.8,1,2023-1-4-21-6-48-990000-670.0_,0,1,2023-1-4-13-55-9-150000_,0.0
2023-01-05,100,-9444.1,0,[],0,0,[],0.0
2023-01-06,98.9,-9463.4,22,2023-1-6-0-0-0-0-4.78_2023-1-6-14-57-7-990000-270.0_2023-1-6-15-2-7-990000-10.0_2023-1-6-15-2-27-990000-40.0_2023-1-6-15-3-37-990000-20.0_2023-1-6-15-4-17-990000-10.0_2023-1-6-15-4-47-990000-10.0_2023-1-6-15-5-7-990000-20.0_2023-1-6-15-5-37-990000-10.0_2023-1-6-15-5-57-990000-30.0_2023-1-6-15-6-37-990000-60.0_2023-1-6-15-7-57-990000-20.0_2023-1-6-15-8-27-990000-50.0_2023-1-6-15-9-27-990000-10.0_2023-1-6-15-9-47-990000-70.0_2023-1-6-15-11-7-990000-50.0_2023-1-6-15-12-7-990000-80.0_2023-1-6-15-13-37-990000-100.0_2023-1-6-15-15-27-990000-20.0_2023-1-6-15-16-7-990000-20.0_2023-1-6-15-16-37-990000-10.0_2023-1-6-23-59-44-990000-1.0_,0,2,2023-1-6-2-0-40-650000_2023-1-6-4-38-31-200000_,0.0
2023-01-07,100.0,-9476.3,1,2023-1-7-0-0-1-610000-4.39_,0,0,[],0.0
2023-01-08,99.6,-9454.3,9,2023-1-8-14-42-57-990000-30.0_2023-1-8-14-43-37-990000-30.0_2023-1-8-14-44-17-990000-20.0_2023-1-8-14-44-47-940000-70.0_2023-1-8-14-46-7-990000-71.0_2023-1-8-14-47-38-990000-10.0_2023-1-8-14-47-59-990000-10.0_2023-1-8-14-48-19-990000-30.0_2023-1-8-14-48-59-990000-50.0_,0,7,2023-1-8-13-2-37-950000_2023-1-8-13-9-38-750000_2023-1-8-14-50-48-650000_2023-1-8-14-51-48-550000_2023-1-8-14-53-34-250000_2023-1-8-14-54-58-0_2023-1-8-19-55-23-350000_,0.0
2023-01-09,96.8,-9451.1,17,2023-1-9-0-0-0-0-3.77_2023-1-9-22-8-48-990000-1370.0_2023-1-9-23-26-27-990000-30.0_2023-1-9-23-27-7-990000-90.0_2023-1-9-23-28-47-990000-80.0_2023-1-9-23-30-27-990000-110.0_2023-1-9-23-32-27-990000-210.0_2023-1-9-23-36-7-990000-110.0_2023-1-9-23-38-7-990000-60.0_2023-1-9-23-39-27-990000-90.0_2023-1-9-23-41-7-990000-80.0_2023-1-9-23-42-37-990000-80.0_2023-1-9-23-44-7-990000-70.0_2023-1-9-23-45-27-990000-80.0_2023-1-9-23-46-57-990000-40.0_2023-1-9-23-47-47-990000-120.0_2023-1-9-23-49-57-990000-110.0_,0,0,[],0.0
2023-01-10,100.0,-9437.1,4,2023-1-10-0-0-2-40000-15.96_2023-1-10-15-39-46-990000-10.0_2023-1-10-15-44-51-990000-9.0_2023-1-10-17-55-36-990000-2.0_,1,1,2023-1-10-15-3-46-100000_,0.0
2023-01-11,99.4,-9463.6,9,2023-1-11-1-36-24-990000-219.0_2023-1-11-1-40-53-990000-20.0_2023-1-11-1-41-23-990000-30.0_2023-1-11-1-42-3-990000-10.0_2023-1-11-1-48-40-990000-70.0_2023-1-11-1-50-0-990000-60.0_2023-1-11-1-51-10-990000-30.0_2023-1-11-1-51-50-990000-100.0_2023-1-11-3-50-58-990000-1.0_,0,0,[],0.0
2023-01-12,100.0,-9437.3,3,2023-1-12-22-4-18-990000-10.0_2023-1-12-22-6-32-990000-10.0_2023-1-12-23-59-43-990000-9.0_,0,0,[],0.0
2023-01-13,99.9,-9462.0,3,2023-1-13-3-12-48-990000-20.0_2023-1-13-3-13-18-990000-40.0_2023-1-13-3-14-8-990000-10.0_,0,2,2023-1-13-7-24-25-450000_2023-1-13-16-44-20-900000_,0.0
2023-01-14,100.0,-9455.0,1,2023-1-14-0-0-0-0-0.37_,0,2,2023-1-14-11-34-24-800000_2023-1-14-18-21-5-600000_,0.0
2023-01-15,100.0,-9460.3,3,2023-1-15-0-0-36-990000-1.0_2023-1-15-0-1-7-990000-8.0_2023-1-15-6-15-27-990000-30.0_,0,3,2023-1-15-17-59-57-800000_2023-1-15-18-0-50-700000_2023-1-15-20-24-32-850000_,0.0
2023-01-16,99.0,-9471.6,27,2023-1-16-0-0-2-370000-110.63_2023-1-16-0-1-50-990000-2.0_2023-1-16-17-0-28-990000-10.0_2023-1-16-17-0-43-990000-45.0_2023-1-16-17-1-38-990000-53.0_2023-1-16-17-2-46-990000-33.0_2023-1-16-17-3-38-990000-49.0_2023-1-16-17-4-42-990000-45.0_2023-1-16-17-5-42-990000-45.0_2023-1-16-17-6-37-990000-60.0_2023-1-16-17-7-47-990000-40.0_2023-1-16-17-8-37-990000-60.0_2023-1-16-17-9-47-990000-15.0_2023-1-16-17-10-12-990000-25.0_2023-1-16-17-10-42-990000-28.0_2023-1-16-17-11-20-990000-99.0_2023-1-16-17-16-1-990000-13.0_2023-1-16-17-16-19-990000-5.0_2023-1-16-17-16-29-990000-39.0_2023-1-16-17-17-13-990000-35.0_2023-1-16-17-25-54-990000-5.0_2023-1-16-17-26-4-990000-10.0_2023-1-16-17-26-24-990000-5.0_2023-1-16-17-26-34-990000-15.0_2023-1-16-17-27-9-990000-15.0_2023-1-16-17-27-29-990000-25.0_2023-1-16-19-34-42-990000-10.0_,0,1,2023-1-16-0-3-53-900000_,0.0
2023-01-17,99.2,-9454.8,2,2023-1-17-0-0-24-990000-1.0_2023-1-17-16-15-24-990000-660.0_,0,0,[],0.0
2023-01-18,99.9,-9449.5,5,2023-1-18-0-0-3-420000-15.58_2023-1-18-0-0-17-990000-1.0_2023-1-18-6-12-22-990000-20.0_2023-1-18-13-52-16-990000-10.0_2023-1-18-23-59-43-990000-4.0_,0,3,2023-1-18-7-20-3-800000_2023-1-18-7-20-57-650000_2023-1-18-19-3-12-350000_,0.0
2023-01-19,0,-9,9,[],9,9,[],-9
2023-01-20,100.0,-9451.9,2,2023-1-20-0-2-8-990000-8.0_2023-1-20-16-28-35-20000-20.419999837875366_,0,6,2023-1-20-11-28-50-600000_2023-1-20-11-32-51-400000_2023-1-20-17-57-28-400000_2023-1-20-19-50-18-550000_2023-1-20-22-15-19-650000_2023-1-20-22-24-4-450000_,0.0
2023-01-21,100.0,-9455.4,1,2023-1-21-0-2-8-990000-4.0_,0,0,[],0.0
2023-01-22,100.0,-9453.4,1,2023-1-22-0-0-3-160000-2.84_,0,3,2023-1-22-3-38-9-300000_2023-1-22-9-39-9-700000_2023-1-22-10-42-9-0_,0.0
2023-01-23,100.0,-9446.3,2,2023-1-23-10-10-22-990000-5.0_2023-1-23-23-59-47-990000-8.0_,0,1,2023-1-23-11-19-43-650000_,0.0
2023-01-24,100,-9451.2,0,[],0,0,[],0.0
2023-01-25,99.9,-9475.5,7,2023-1-25-14-48-44-530000-23.680000066757202_2023-1-25-14-51-37-110000-11.789999961853027_2023-1-25-15-3-30-990000-10.0_2023-1-25-15-3-45-990000-10.0_2023-1-25-15-4-0-990000-20.0_2023-1-25-15-4-25-990000-15.0_2023-1-25-15-4-45-990000-5.0_,0,1,2023-1-25-7-16-8-550000_,0.0
2023-01-26,97.3,-9466.4,13,2023-1-26-0-0-2-920000-120.08_2023-1-26-13-4-51-990000-10.0_2023-1-26-15-12-49-990000-663.0_2023-1-26-16-54-47-990000-5.0_2023-1-26-17-7-2-990000-8.0_2023-1-26-17-31-38-990000-1.0_2023-1-26-18-10-55-990000-4.0_2023-1-26-18-17-16-990000-16.0_2023-1-26-18-17-42-990000-154.0_2023-1-26-18-20-21-990000-185.0_2023-1-26-18-23-40-990000-152.0_2023-1-26-19-59-37-990000-805.0_2023-1-26-20-13-12-990000-180.0_,0,1,2023-1-26-4-31-8-500000_,0.0
2023-01-27,99.8,-9469.2,9,2023-1-27-0-0-38-990000-2.0_2023-1-27-14-20-16-990000-10.0_2023-1-27-14-20-36-990000-10.0_2023-1-27-14-28-50-990000-20.0_2023-1-27-14-29-20-990000-20.0_2023-1-27-14-50-7-40000-17.710000038146973_2023-1-27-17-47-8-990000-5.0_2023-1-27-17-47-23-990000-25.0_2023-1-27-21-1-53-990000-30.0_,0,1,2023-1-27-4-35-30-550000_,0.0
2023-01-28,100,-9456.5,0,[],0,0,[],0.0
2023-01-29,100,-9463.6,0,[],0,1,2023-1-29-2-7-8-100000_,0.0
