fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-4.3,8,2023-1-1-0-0-0-0-0.25_2023-1-1-0-28-57-995000-1.999999761581421_2023-1-1-10-49-40-995000-1.999999761581421_2023-1-1-12-58-42-995000-1.999999761581421_2023-1-1-14-41-24-995000-1.999999761581421_2023-1-1-15-15-16-995000-1.999999761581421_2023-1-1-15-58-58-995000-1.999999761581421_2023-1-1-23-19-42-995000-1.999999761581421_,0,0,[],75.0
2023-01-02,100.0,-3.1,17,2023-1-2-0-28-36-995000-1.999999761581421_2023-1-2-0-29-58-995000-1.999999761581421_2023-1-2-0-58-44-995000-1.999999761581421_2023-1-2-1-1-24-995000-1.999999761581421_2023-1-2-1-3-0-995000-1.999999761581421_2023-1-2-3-43-1-995000-1.999999761581421_2023-1-2-3-43-17-995000-1.999999761581421_2023-1-2-15-12-17-995000-3.999999761581421_2023-1-2-15-12-29-995000-1.999999761581421_2023-1-2-15-12-39-995000-1.999999761581421_2023-1-2-15-12-51-995000-1.999999761581421_2023-1-2-15-13-17-995000-1.999999761581421_2023-1-2-15-13-41-995000-1.999999761581421_2023-1-2-15-15-47-995000-1.999999761581421_2023-1-2-15-16-1-995000-1.999999761581421_2023-1-2-15-46-13-995000-1.999999761581421_2023-1-2-19-48-5-995000-1.999999761581421_,0,1,2023-1-2-5-48-8-700000_,70.0
2023-01-03,100.0,-3.2,1,2023-1-3-4-49-34-995000-1.999999761581421_,0,0,[],65.0
2023-01-04,99.9,-3.7,56,2023-1-4-10-20-8-995000-1.999999761581421_2023-1-4-13-37-30-995000-1.999999761581421_2023-1-4-13-37-46-995000-1.999999761581421_2023-1-4-13-38-2-995000-1.999999761581421_2023-1-4-13-38-18-995000-1.999999761581421_2023-1-4-13-38-34-995000-1.999999761581421_2023-1-4-13-39-6-995000-1.999999761581421_2023-1-4-13-39-22-995000-1.999999761581421_2023-1-4-13-39-54-995000-1.999999761581421_2023-1-4-13-40-10-995000-1.999999761581421_2023-1-4-13-40-42-995000-1.999999761581421_2023-1-4-13-40-58-995000-1.999999761581421_2023-1-4-13-41-14-995000-1.999999761581421_2023-1-4-13-41-30-995000-1.999999761581421_2023-1-4-13-44-42-995000-1.999999761581421_2023-1-4-13-46-4-995000-1.999999761581421_2023-1-4-13-46-24-995000-1.999999761581421_2023-1-4-13-46-34-995000-1.999999761581421_2023-1-4-13-46-50-995000-1.999999761581421_2023-1-4-13-47-6-995000-1.999999761581421_2023-1-4-13-47-22-995000-1.999999761581421_2023-1-4-13-47-38-995000-1.999999761581421_2023-1-4-13-47-54-995000-1.999999761581421_2023-1-4-13-48-26-995000-1.999999761581421_2023-1-4-13-48-42-995000-1.999999761581421_2023-1-4-13-48-58-995000-1.999999761581421_2023-1-4-13-51-10-995000-1.999999761581421_2023-1-4-13-51-22-995000-1.999999761581421_2023-1-4-13-51-38-995000-1.999999761581421_2023-1-4-13-51-54-995000-1.999999761581421_2023-1-4-13-52-26-995000-1.999999761581421_2023-1-4-13-52-42-995000-1.999999761581421_2023-1-4-13-53-14-995000-1.999999761581421_2023-1-4-13-53-30-995000-1.999999761581421_2023-1-4-13-53-46-995000-1.999999761581421_2023-1-4-13-58-50-995000-1.999999761581421_2023-1-4-13-59-6-995000-1.999999761581421_2023-1-4-14-0-12-995000-1.999999761581421_2023-1-4-14-0-28-995000-1.999999761581421_2023-1-4-14-1-0-995000-1.999999761581421_2023-1-4-14-1-16-995000-1.999999761581421_2023-1-4-14-1-32-995000-1.999999761581421_2023-1-4-15-44-10-995000-1.999999761581421_2023-1-4-15-44-26-995000-1.999999761581421_2023-1-4-15-44-42-995000-1.999999761581421_2023-1-4-15-45-14-995000-1.999999761581421_2023-1-4-15-45-30-995000-1.999999761581421_2023-1-4-15-45-46-995000-1.999999761581421_2023-1-4-15-46-2-995000-1.999999761581421_2023-1-4-16-26-14-995000-1.999999761581421_2023-1-4-19-30-32-995000-1.999999761581421_2023-1-4-20-29-42-995000-1.999999761581421_2023-1-4-20-52-38-995000-1.999999761581421_2023-1-4-22-30-30-995000-1.999999761581421_2023-1-4-23-29-44-995000-1.999999761581421_2023-1-4-23-30-46-995000-1.999999761581421_,0,4,2023-1-4-0-41-25-900000_2023-1-4-4-48-19-400000_2023-1-4-10-9-35-800000_2023-1-4-21-1-16-350000_,75.0
2023-01-05,100.0,-4.1,11,2023-1-5-0-40-54-995000-1.999999761581421_2023-1-5-4-35-32-995000-1.999999761581421_2023-1-5-4-36-18-995000-2.999999761581421_2023-1-5-4-56-17-995000-1.999999761581421_2023-1-5-5-32-4-995000-1.999999761581421_2023-1-5-6-28-19-995000-1.999999761581421_2023-1-5-6-57-39-995000-1.999999761581421_2023-1-5-9-11-31-995000-1.999999761581421_2023-1-5-10-52-52-995000-1.999999761581421_2023-1-5-19-23-55-995000-1.999999761581421_2023-1-5-22-20-49-995000-1.999999761581421_,0,1,2023-1-5-8-36-31-700000_,70.0
2023-01-06,99.8,-3.7,89,2023-1-6-13-6-25-995000-1.999999761581421_2023-1-6-13-6-41-995000-1.999999761581421_2023-1-6-13-7-11-995000-1.999999761581421_2023-1-6-13-7-27-995000-3.999999761581421_2023-1-6-13-8-15-995000-1.999999761581421_2023-1-6-13-9-17-995000-1.999999761581421_2023-1-6-13-10-53-995000-1.999999761581421_2023-1-6-13-11-9-995000-1.999999761581421_2023-1-6-13-11-25-995000-1.999999761581421_2023-1-6-13-11-41-995000-1.999999761581421_2023-1-6-13-11-57-995000-1.999999761581421_2023-1-6-13-12-13-995000-1.999999761581421_2023-1-6-13-12-55-995000-1.999999761581421_2023-1-6-13-13-3-995000-1.999999761581421_2023-1-6-13-13-21-995000-1.999999761581421_2023-1-6-13-15-43-995000-1.999999761581421_2023-1-6-13-16-5-995000-1.999999761581421_2023-1-6-13-16-13-995000-3.999999761581421_2023-1-6-13-16-31-995000-1.999999761581421_2023-1-6-13-17-15-995000-3.999999761581421_2023-1-6-13-17-31-995000-3.999999761581421_2023-1-6-13-18-21-995000-1.999999761581421_2023-1-6-13-18-53-995000-1.999999761581421_2023-1-6-13-19-57-995000-1.999999761581421_2023-1-6-13-21-17-995000-1.999999761581421_2023-1-6-13-22-21-995000-1.999999761581421_2023-1-6-13-24-13-995000-1.999999761581421_2023-1-6-13-27-3-995000-1.999999761581421_2023-1-6-13-27-11-995000-1.999999761581421_2023-1-6-13-27-41-995000-3.999999761581421_2023-1-6-13-27-59-995000-1.999999761581421_2023-1-6-13-28-15-995000-1.999999761581421_2023-1-6-13-28-47-995000-1.999999761581421_2023-1-6-13-29-51-995000-1.999999761581421_2023-1-6-13-30-7-995000-1.999999761581421_2023-1-6-13-30-23-995000-1.999999761581421_2023-1-6-13-30-39-995000-1.999999761581421_2023-1-6-13-30-55-995000-1.999999761581421_2023-1-6-13-31-43-995000-1.999999761581421_2023-1-6-13-31-59-995000-1.999999761581421_2023-1-6-13-32-9-995000-1.999999761581421_2023-1-6-13-32-15-995000-1.999999761581421_2023-1-6-13-32-47-995000-1.999999761581421_2023-1-6-13-33-3-995000-1.999999761581421_2023-1-6-13-33-17-995000-1.999999761581421_2023-1-6-13-33-21-995000-1.999999761581421_2023-1-6-13-33-37-995000-1.999999761581421_2023-1-6-13-33-53-995000-1.999999761581421_2023-1-6-13-34-9-995000-1.999999761581421_2023-1-6-13-34-41-995000-1.999999761581421_2023-1-6-13-35-13-995000-1.999999761581421_2023-1-6-13-36-5-995000-5.999999761581421_2023-1-6-13-37-1-995000-1.999999761581421_2023-1-6-13-38-47-995000-3.999999761581421_2023-1-6-13-39-27-995000-1.999999761581421_2023-1-6-13-40-9-995000-1.999999761581421_2023-1-6-13-40-25-995000-1.999999761581421_2023-1-6-13-41-45-995000-1.999999761581421_2023-1-6-13-42-1-995000-1.999999761581421_2023-1-6-13-42-17-995000-1.999999761581421_2023-1-6-13-42-33-995000-1.999999761581421_2023-1-6-13-42-55-995000-1.999999761581421_2023-1-6-13-45-43-995000-1.999999761581421_2023-1-6-13-46-7-995000-3.999999761581421_2023-1-6-13-46-35-995000-1.999999761581421_2023-1-6-13-46-49-995000-1.999999761581421_2023-1-6-13-47-5-995000-1.999999761581421_2023-1-6-13-47-21-995000-1.999999761581421_2023-1-6-13-49-27-995000-1.999999761581421_2023-1-6-13-49-43-995000-1.999999761581421_2023-1-6-13-49-47-995000-1.999999761581421_2023-1-6-13-49-59-995000-1.999999761581421_2023-1-6-13-50-15-995000-1.999999761581421_2023-1-6-13-50-31-995000-1.999999761581421_2023-1-6-13-50-47-995000-1.999999761581421_2023-1-6-13-52-23-995000-1.999999761581421_2023-1-6-13-53-59-995000-1.999999761581421_2023-1-6-13-54-31-995000-1.999999761581421_2023-1-6-13-54-47-995000-1.999999761581421_2023-1-6-13-55-3-995000-1.999999761581421_2023-1-6-13-55-19-995000-1.999999761581421_2023-1-6-13-55-35-995000-1.999999761581421_2023-1-6-13-55-51-995000-1.999999761581421_2023-1-6-13-56-5-995000-3.999999761581421_2023-1-6-16-49-11-995000-1.999999761581421_2023-1-6-18-50-23-995000-1.999999761581421_2023-1-6-20-56-57-995000-1.999999761581421_2023-1-6-20-57-1-995000-3.999999761581421_2023-1-6-20-57-9-995000-1.999999761581421_,0,4,2023-1-6-7-0-45-740000_2023-1-6-9-9-36-990000_2023-1-6-9-14-25-140000_2023-1-6-9-59-54-890000_,75.0
2023-01-07,100.0,-3.6,19,2023-1-7-0-37-43-995000-1.999999761581421_2023-1-7-4-52-9-995000-1.999999761581421_2023-1-7-10-20-41-995000-0.9999997615814209_2023-1-7-11-55-51-995000-1.999999761581421_2023-1-7-15-42-56-995000-1.999999761581421_2023-1-7-23-41-21-995000-1.999999761581421_2023-1-7-23-41-27-995000-1.999999761581421_2023-1-7-23-41-43-995000-1.999999761581421_2023-1-7-23-41-59-995000-1.999999761581421_2023-1-7-23-42-7-995000-1.999999761581421_2023-1-7-23-42-31-995000-1.999999761581421_2023-1-7-23-42-47-995000-1.999999761581421_2023-1-7-23-43-3-995000-1.999999761581421_2023-1-7-23-43-19-995000-1.999999761581421_2023-1-7-23-43-35-995000-1.999999761581421_2023-1-7-23-44-7-995000-1.999999761581421_2023-1-7-23-46-9-995000-7.999999761581421_2023-1-7-23-46-21-995000-1.999999761581421_2023-1-7-23-46-37-995000-1.999999761581421_,0,1,2023-1-7-5-37-26-450000_,75.0
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
