fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-10-04,0,-9,0,[],0,0,[],-9
2023-10-05,28.1,1812.7,1,2023-10-5-0-0-0-0-62146.47_,0,0,[],55.0
2023-10-06,99.9,2097.5,1,2023-10-6-15-52-34-710000-78.0_,0,0,[],50.0
2023-10-07,100,2423.4,0,[],0,0,[],50.0
2023-10-08,100,2583.0,0,[],0,0,[],50.0
2023-10-09,100,2505.7,0,[],0,0,[],50.0
2023-10-10,100,2622.9,0,[],0,0,[],50.0
2023-10-11,100,2588.3,0,[],0,0,[],50.0
2023-10-12,100,2621.9,0,[],0,0,[],50.0
2023-10-13,100,2503.2,0,[],0,0,[],50.0
2023-10-14,100,2239.1,0,[],0,0,[],50.0
2023-10-15,100,2150.2,0,[],0,0,[],45.0
2023-10-16,100,2132.6,0,[],0,0,[],45.0
2023-10-17,100,2106.3,0,[],0,0,[],50.0
2023-10-18,100,2180.9,0,[],0,0,[],50.0
2023-10-19,100,2136.9,0,[],0,0,[],50.0
2023-10-20,100.0,2278.0,1,2023-10-20-21-23-10-630000-11.859999895095825_,0,1,2023-10-20-12-2-3-200000_,50.0
2023-10-21,100.0,2071.0,1,2023-10-21-21-57-5-415000-11.894999980926514_,0,0,[],50.0
2023-10-22,100,2059.5,0,[],0,0,[],50.0
2023-10-22,100,2059.5,0,[],0,0,[],50.0
2023-10-23,100,2109.2,0,[],0,0,[],50.0
2023-10-24,100,2548.5,0,[],0,0,[],50.0
2023-10-25,100.0,2502.8,1,2023-10-25-20-22-9-705000-6.914999961853027_,0,0,[],50.0
2023-10-26,100,2214.8,0,[],0,0,[],50.0
2023-10-27,100,2171.7,0,[],0,0,[],50.0
2023-10-28,100,2162.1,0,[],0,0,[],50.0
2023-10-29,100,2445.1,0,[],0,0,[],45.0
2023-10-30,100,2464.4,0,[],0,0,[],50.0
2023-10-31,100,2495.0,0,[],0,0,[],50.0
2023-11-01,100,2745.0,0,[],0,0,[],50.0
2023-11-02,100,2804.3,0,[],0,0,[],55.0
2023-11-03,100,4130.3,0,[],0,1,2023-11-3-19-8-17-900000_,50.0
2023-11-04,100,4091.8,0,[],0,0,[],50.0
2023-11-05,100,4051.6,0,[],0,1,2023-11-5-16-10-18-150000_,45.0
2023-11-06,100,4079.5,0,[],0,0,[],45.0
2023-11-07,100.0,4046.4,1,2023-11-7-18-34-30-380000-6.909999847412109_,0,0,[],50.0
2023-11-08,100,3831.7,0,[],0,0,[],50.0
2023-11-09,100.0,3877.3,5,2023-11-9-14-49-41-315000-8.479999780654907_2023-11-9-15-4-3-250000-5.194999933242798_2023-11-9-15-31-3-190000-5.0_2023-11-9-22-31-22-115000-10.335000038146973_2023-11-9-22-49-3-280000-5.069999933242798_,0,0,[],50.0
2023-11-10,100.0,3418.6,4,2023-11-10-13-53-30-295000-6.009999990463257_2023-11-10-15-38-36-575000-5.124999761581421_2023-11-10-20-27-9-765000-5.0899999141693115_2023-11-10-20-30-0-570000-3.4200000762939453_,0,0,[],50.0
2023-11-11,100,3725.9,0,[],0,0,[],50.0
2023-11-12,100.0,3824.6,1,2023-11-12-23-36-43-480000-5.09499979019165_,0,0,[],50.0
2023-11-13,100,3940.8,0,[],0,0,[],50.0
2023-11-14,100,3917.2,0,[],0,0,[],50.0
2023-11-15,100,3612.0,0,[],0,0,[],50.0
2023-11-16,100,3739.9,0,[],0,0,[],50.0
2023-11-17,100.0,3767.8,1,2023-11-17-22-44-25-705000-6.745000123977661_,0,0,[],50.0
2023-11-18,100,3586.8,0,[],0,0,[],55.0
2023-11-19,100,2321.5,0,[],0,0,[],45.0
2023-11-20,100,2110.6,0,[],0,0,[],50.0
2023-11-21,100,2039.1,0,[],0,0,[],50.0
2023-11-22,100,2116.9,0,[],0,0,[],50.0
2023-11-23,100.0,2539.1,1,2023-11-23-22-50-35-550000-6.809999704360962_,0,0,[],50.0
2023-11-24,100,2517.4,0,[],0,0,[],50.0
2023-11-25,100,2542.7,0,[],0,0,[],50.0
2023-11-26,100,2597.0,0,[],0,0,[],45.0
2023-11-27,100,2466.8,0,[],0,0,[],50.0
2023-11-28,100.0,2758.0,1,2023-11-28-12-36-53-310000-10.119999885559082_,0,0,[],50.0
2023-11-29,100,2858.9,0,[],0,0,[],50.0
2023-11-30,100,2845.7,0,[],0,0,[],50.0
2023-12-01,100,2725.1,0,[],0,2,2023-12-1-13-4-47-750000_2023-12-1-16-5-56-250000_,50.0
2023-12-02,100,2552.4,0,[],0,0,[],50.0
2023-12-03,100,2788.1,0,[],0,0,[],50.0
2023-12-04,100.0,2743.0,2,2023-12-4-4-41-22-840000-2.0_2023-12-4-21-12-50-840000-3.0_,0,0,[],50.0
2023-12-05,100,2678.8,0,[],0,0,[],50.0
2023-12-06,100,2373.7,0,[],0,0,[],50.0
2023-12-07,100,1718.0,0,[],0,0,[],50.0
2023-12-08,100,2335.5,0,[],0,0,[],50.0
2023-12-09,100,2398.9,0,[],0,1,2023-12-9-19-18-50-900000_,50.0
2023-12-10,100,2552.1,0,[],0,0,[],50.0
2023-12-11,100,3005.5,0,[],0,0,[],55.0
2023-12-12,100,3989.9,0,[],0,0,[],50.0
2023-12-13,100.0,4139.1,1,2023-12-13-16-45-16-350000-9.899999856948853_,0,0,[],50.0
2023-12-14,100,3961.7,0,[],0,0,[],50.0
2023-12-15,100,4085.5,0,[],0,0,[],50.0
2023-12-16,100,3879.3,0,[],0,0,[],50.0
2023-12-17,100,3752.7,0,[],0,0,[],50.0
2023-12-17,100,3752.7,0,[],0,0,[],50.0
2023-12-18,100,3880.4,0,[],0,1,2023-12-18-17-43-33-700000_,50.0
2023-12-19,100,3743.5,0,[],0,0,[],50.0
2023-12-20,100,3862.0,0,[],0,0,[],50.0
2023-12-21,100,3781.9,0,[],0,0,[],50.0
2023-12-22,100,3720.5,0,[],0,0,[],50.0
2023-12-23,100,3761.1,0,[],0,0,[],50.0
2023-12-24,100,3956.0,0,[],0,0,[],45.0
2023-12-25,100,3692.8,0,[],0,0,[],45.0
2023-12-26,100,3733.4,0,[],0,0,[],50.0
2023-12-27,100,3920.7,0,[],0,0,[],50.0
2023-12-28,100,3902.1,0,[],0,0,[],50.0
2023-12-29,100,3712.8,0,[],0,0,[],50.0
2023-12-30,100,3777.2,0,[],0,0,[],50.0
2023-12-31,100,3835.1,0,[],0,0,[],45.0
