fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-33806.6,1,2023-1-1-0-0-0-0-1.76_,0,2,2023-1-1-0-10-18-560000_2023-1-1-5-59-1-510000_,25.0
2023-01-02,100,-33806.5,0,[],0,2,2023-1-2-6-0-48-310000_2023-1-2-21-29-15-260000_,30.0
2023-01-03,100,-33806.6,0,[],0,3,2023-1-3-0-44-19-140000_2023-1-3-10-12-39-990000_2023-1-3-20-7-5-690000_,25.0
2023-01-04,100,-33806.5,0,[],0,3,2023-1-4-4-13-9-760000_2023-1-4-8-43-50-160000_2023-1-4-21-3-1-760000_,30.0
2023-01-05,100,-33806.5,0,[],0,3,2023-1-5-8-31-24-360000_2023-1-5-11-34-56-210000_2023-1-5-18-46-11-60000_,25.0
2023-01-06,100,-33806.6,0,[],0,1,2023-1-6-4-38-59-440000_,30.0
2023-01-07,100,-33806.8,0,[],0,2,2023-1-7-4-26-36-340000_2023-1-7-10-31-39-340000_,35.0
2023-01-08,100,-33806.8,0,[],0,1,2023-1-8-20-56-39-260000_,30.0
2023-01-09,100,-33807.0,0,[],0,3,2023-1-9-0-1-3-500000_2023-1-9-4-55-10-600000_2023-1-9-18-7-37-400000_,30.0
2023-01-10,100,-33806.9,0,[],0,1,2023-1-10-15-3-11-920000_,30.0
2023-01-11,100,-33806.7,0,[],0,0,[],30.0
2023-01-12,100,-33807.0,0,[],0,2,2023-1-12-2-56-1-470000_2023-1-12-2-57-13-820000_,25.0
2023-01-13,100,-33806.9,0,[],0,1,2023-1-13-17-12-6-690000_,30.0
2023-01-14,100,-33806.9,0,[],0,2,2023-1-14-4-30-18-640000_2023-1-14-23-59-11-790000_,25.0
2023-01-15,100,-33806.9,0,[],0,3,2023-1-15-2-3-46-440000_2023-1-15-17-59-36-90000_2023-1-15-18-0-1-940000_,25.0
2023-01-16,100,-33807.1,0,[],0,2,2023-1-16-1-31-55-710000_2023-1-16-8-41-21-910000_,30.0
2023-01-17,100,-33807.0,0,[],0,4,2023-1-17-5-18-42-470000_2023-1-17-7-33-43-520000_2023-1-17-17-19-9-220000_2023-1-17-18-58-5-170000_,30.0
2023-01-18,100,-33806.9,0,[],0,3,2023-1-18-0-44-24-590000_2023-1-18-7-51-54-90000_2023-1-18-19-23-50-890000_,30.0
2023-01-19,100,-33807.1,0,[],0,1,2023-1-19-0-55-40-900000_,25.0
2023-01-20,100.0,-33807.3,1,2023-1-20-16-28-42-320000-14.799999952316284_,0,4,2023-1-20-1-4-20-500000_2023-1-20-2-53-40-500000_2023-1-20-4-44-15-250000_2023-1-20-22-15-20-580000_,30.0
2023-01-21,100,-33807.1,0,[],0,0,[],30.0
2023-01-22,100,-33807.2,0,[],0,0,[],30.0
2023-01-23,100,-33807.2,0,[],0,3,2023-1-23-6-24-20-640000_2023-1-23-6-25-55-840000_2023-1-23-23-53-39-890000_,35.0
2023-01-24,100,-33807.0,0,[],0,2,2023-1-24-14-19-16-380000_2023-1-24-22-24-31-330000_,30.0
