fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-35333.7,1,2023-1-1-0-0-0-0-1.305_,0,3,2023-1-1-0-10-20-855000_2023-1-1-5-38-14-505000_2023-1-1-5-40-2-155000_,45.0
2023-01-02,100,-35338.3,0,[],0,1,2023-1-2-6-0-43-175000_,45.0
2023-01-03,100,-35350.1,0,[],0,0,[],45.0
2023-01-04,100,-35367.3,0,[],0,1,2023-1-4-23-52-3-355000_,45.0
2023-01-05,100,-35384.6,0,[],0,2,2023-1-5-8-31-23-0_2023-1-5-8-34-13-800000_,45.0
2023-01-06,100,-35400.5,0,[],0,0,[],45.0
2023-01-07,100,-35417.0,0,[],0,3,2023-1-7-0-58-18-830000_2023-1-7-4-26-41-930000_2023-1-7-4-31-59-530000_,45.0
2023-01-08,100,-35437.2,0,[],0,0,[],45.0
2023-01-09,100,-35454.7,0,[],0,2,2023-1-9-2-10-34-805000_2023-1-9-13-41-27-505000_,45.0
2023-01-10,100,-35464.4,0,[],1,2,2023-1-10-14-3-29-620000_2023-1-10-20-20-31-220000_,45.0
2023-01-11,100,-35491.1,0,[],0,1,2023-1-11-19-49-23-730000_,45.0
2023-01-12,100,-35511.5,0,[],0,0,[],45.0
2023-01-13,100,-35521.9,0,[],0,3,2023-1-13-3-38-56-755000_2023-1-13-4-8-10-205000_2023-1-13-17-12-5-355000_,45.0
2023-01-14,100,-35535.5,0,[],0,2,2023-1-14-4-30-13-155000_2023-1-14-23-59-8-655000_,45.0
2023-01-15,100,-35544.6,0,[],0,2,2023-1-15-2-3-40-0_2023-1-15-17-59-49-800000_,45.0
2023-01-16,100,-35552.7,0,[],0,4,2023-1-16-0-28-31-760000_2023-1-16-1-31-58-210000_2023-1-16-8-41-21-910000_2023-1-16-12-7-15-560000_,45.0
2023-01-17,100,-35570.5,0,[],0,0,[],45.0
2023-01-18,100,-35584.8,0,[],0,2,2023-1-18-0-44-21-730000_2023-1-18-7-51-53-30000_,45.0
2023-01-19,100,-35598.7,0,[],0,3,2023-1-19-2-36-0-405000_2023-1-19-18-28-29-155000_2023-1-19-19-30-0-405000_,45.0
2023-01-20,100.0,-35608.6,1,2023-1-20-16-28-44-460000-20.045000076293945_,0,3,2023-1-20-2-53-41-400000_2023-1-20-13-53-3-700000_2023-1-20-19-53-16-210000_,45.0
2023-01-21,100,-35615.5,0,[],0,0,[],45.0
2023-01-22,100,-35627.1,0,[],0,1,2023-1-22-3-37-27-500000_,45.0
2023-01-23,100,-35646.1,0,[],0,2,2023-1-23-6-24-24-730000_2023-1-23-6-25-56-30000_,45.0
2023-01-24,100,-35658.9,0,[],0,0,[],45.0
2023-01-25,100.0,-35669.4,2,2023-1-25-14-48-50-445000-26.274999856948853_2023-1-25-14-51-41-380000-15.849999904632568_,0,1,2023-1-25-12-7-6-895000_,45.0
2023-01-26,100,-35681.0,0,[],0,1,2023-1-26-4-30-41-690000_,45.0
2023-01-27,100.0,-35692.9,1,2023-1-27-14-50-10-925000-20.34999990463257_,0,0,[],45.0
2023-01-28,100,-35703.5,0,[],0,2,2023-1-28-2-33-45-670000_2023-1-28-14-11-52-370000_,45.0
2023-01-29,100,-35715.1,0,[],0,0,[],45.0
2023-01-30,100.0,-35728.7,1,2023-1-30-16-42-2-100000-14.414999961853027_,0,1,2023-1-30-11-25-11-210000_,45.0
2023-01-31,100,-35741.3,0,[],0,4,2023-1-31-13-27-53-500000_2023-1-31-14-5-6-550000_2023-1-31-14-19-59-300000_2023-1-31-20-5-2-850000_,45.0
2023-02-01,100,-35753.1,0,[],0,4,2023-2-1-9-45-49-280000_2023-2-1-12-38-52-180000_2023-2-1-14-21-52-180000_2023-2-1-18-2-10-330000_,45.0
2023-02-02,100,-35764.5,0,[],0,1,2023-2-2-0-4-58-845000_,45.0
2023-02-03,100,-35775.4,0,[],0,2,2023-2-3-14-14-2-625000_2023-2-3-22-1-49-525000_,45.0
2023-02-04,100,-35788.5,0,[],0,1,2023-2-4-16-31-50-225000_,45.0
2023-02-05,100,-35797.2,0,[],0,2,2023-2-5-14-10-39-470000_2023-2-5-23-29-38-70000_,45.0
2023-02-06,100,-35805.4,0,[],0,1,2023-2-6-1-37-31-745000_,50.0
2023-02-07,98.4,-35815.4,1,2023-2-7-14-19-25-975000-1390.4999997615814_,0,0,[],45.0
2023-02-08,100,-35826.3,0,[],0,2,2023-2-8-18-15-29-595000_2023-2-8-23-54-14-695000_,45.0
2023-02-09,100,-35836.6,0,[],0,3,2023-2-9-2-43-11-240000_2023-2-9-18-35-10-990000_2023-2-9-18-38-8-490000_,45.0
2023-02-10,100,-35846.3,0,[],0,0,[],45.0
2023-02-11,100,-35855.3,0,[],0,2,2023-2-11-1-11-43-935000_2023-2-11-3-6-15-835000_,45.0
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,100.0,-35872.9,1,2023-2-13-0-0-0-0-1.115_,0,5,2023-2-13-0-38-56-65000_2023-2-13-14-24-4-915000_2023-2-13-15-2-47-965000_2023-2-13-18-1-15-215000_2023-2-13-20-11-24-65000_,45.0
2023-02-14,100.0,-35883.3,1,2023-2-14-16-4-15-680000-27.08999991416931_,0,6,2023-2-14-11-43-30-65000_2023-2-14-11-48-24-265000_2023-2-14-15-8-26-215000_2023-2-14-17-0-0-425000_2023-2-14-17-3-28-675000_2023-2-14-20-28-10-775000_,45.0
2023-02-15,100.0,-35893.4,2,2023-2-15-15-56-35-145000-18.699999809265137_2023-2-15-19-40-52-750000-19.199999809265137_,0,0,[],45.0
2023-02-16,100.0,-35900.5,1,2023-2-16-0-24-52-395000-13.02999997138977_,0,1,2023-2-16-16-5-55-880000_,45.0
2023-02-17,100,-35906.5,0,[],0,4,2023-2-17-0-24-58-705000_2023-2-17-16-18-20-405000_2023-2-17-18-47-41-355000_2023-2-17-22-53-35-355000_,45.0
2023-02-18,100.0,-35912.5,1,2023-2-18-16-17-12-250000-16.78500008583069_,0,1,2023-2-18-11-56-42-965000_,45.0
2023-02-19,100.0,-35918.5,1,2023-2-19-1-38-51-470000-10.555000066757202_,0,1,2023-2-19-20-22-32-630000_,45.0
2023-02-20,100.0,-35925.1,1,2023-2-20-20-26-59-380000-12.694999694824219_,0,1,2023-2-20-19-3-57-105000_,45.0
2023-02-21,100,-35933.7,0,[],0,2,2023-2-21-0-51-14-420000_2023-2-21-0-56-36-420000_,45.0
2023-02-22,100,-35943.2,0,[],0,4,2023-2-22-2-8-34-620000_2023-2-22-8-54-26-570000_2023-2-22-11-19-29-470000_2023-2-22-22-0-30-320000_,45.0
