fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2024-01-26,26.7,-24.3,2,2024-1-26-0-0-0-0-63327.5_2024-1-26-18-31-54-940000-15.479999780654907_,0,1,2024-1-26-21-25-57-975000_,40.0
2024-01-27,100,-57.0,0,[],0,1,2024-1-27-11-2-24-700000_,35.0
2024-01-28,100,-27.9,0,[],0,0,[],35.0
2024-01-29,100.0,69.4,7,2024-1-29-19-42-52-985000-6.299999952316284_2024-1-29-19-48-36-575000-4.159999847412109_2024-1-29-19-57-22-685000-5.710000038146973_2024-1-29-19-58-56-975000-6.164999723434448_2024-1-29-20-2-34-195000-6.2099995613098145_2024-1-29-20-3-2-950000-6.2749998569488525_2024-1-29-22-20-20-55000-2.0749998092651367_,0,1,2024-1-29-2-44-6-600000_,35.0
2024-01-30,100,13.5,0,[],0,0,[],35.0
2024-01-31,100,-84.1,0,[],0,0,[],35.0
2024-02-01,100,25.5,0,[],0,0,[],35.0
2024-02-02,100.0,-5.9,4,2024-2-2-15-49-57-165000-8.334999799728394_2024-2-2-15-58-54-365000-5.980000019073486_2024-2-2-17-26-33-155000-12.419999837875366_2024-2-2-19-42-59-185000-12.360000133514404_,0,0,[],35.0
2024-02-03,100,191.7,0,[],0,0,[],35.0
2024-02-04,100,134.9,0,[],0,1,2024-2-4-14-19-13-150000_,35.0
2024-02-05,100,197.2,0,[],0,0,[],35.0
2024-02-06,100,100.4,0,[],0,0,[],35.0
2024-02-07,100,122.6,0,[],0,1,2024-2-7-0-16-12-400000_,35.0
2024-02-08,100,149.3,0,[],0,0,[],35.0
2024-02-09,100,168.0,0,[],0,0,[],35.0
2024-02-10,100,268.3,0,[],0,0,[],35.0
2024-02-11,100,273.5,0,[],0,0,[],35.0
2024-02-12,100,247.9,0,[],0,0,[],35.0
2024-02-13,100,456.6,0,[],0,0,[],35.0
2024-02-14,100,360.2,0,[],0,0,[],35.0
2024-02-15,100,254.9,0,[],0,0,[],35.0
2024-02-16,100.0,253.1,1,2024-2-16-14-19-0-485000-6.340000152587891_,0,0,[],35.0
2024-02-17,100,417.9,0,[],0,3,2024-2-17-0-23-53-450000_2024-2-17-20-1-33-750000_2024-2-17-23-58-46-500000_,35.0
2024-02-18,100,450.8,0,[],0,0,[],35.0
2024-02-19,100,588.2,0,[],0,0,[],35.0
2024-02-20,100,712.0,0,[],0,0,[],35.0
2024-02-21,100,657.4,0,[],0,0,[],35.0
2024-02-22,100,686.9,0,[],0,0,[],35.0
2024-02-23,100,721.5,0,[],0,0,[],35.0
2024-02-24,100,604.4,0,[],0,0,[],35.0
2024-02-25,100,699.3,0,[],0,0,[],35.0
2024-02-26,100,694.3,0,[],0,0,[],35.0
2024-02-27,100,704.9,0,[],0,0,[],35.0
2024-02-28,100,760.0,0,[],0,0,[],35.0
