fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2024-01-26,26.7,-144.2,2,2024-1-26-0-0-0-0-63327.545_2024-1-26-18-31-54-275000-17.50499963760376_,0,0,[],30.0
2024-01-27,100,-439.9,0,[],0,0,[],30.0
2024-01-28,100,-530.3,0,[],0,0,[],30.0
2024-01-29,100.0,-578.5,7,2024-1-29-19-42-53-845000-6.229999780654907_2024-1-29-19-48-35-330000-6.154999732971191_2024-1-29-19-57-23-840000-3.7249999046325684_2024-1-29-19-58-55-415000-6.194999933242798_2024-1-29-20-2-35-715000-6.21999979019165_2024-1-29-20-3-2-345000-6.154999732971191_2024-1-29-22-20-19-200000-2.0999996662139893_,0,0,[],30.0
2024-01-30,100,-487.1,0,[],0,1,2024-1-30-2-51-48-0_,30.0
2024-01-31,100,-403.2,0,[],0,1,2024-1-31-9-15-22-800000_,30.0
2024-02-01,100,-378.3,0,[],0,0,[],30.0
2024-02-02,100.0,-288.3,4,2024-2-2-15-49-55-920000-8.34500002861023_2024-2-2-15-58-54-340000-5.6549999713897705_2024-2-2-17-26-32-185000-14.305000066757202_2024-2-2-19-42-58-620000-14.555000066757202_,0,0,[],30.0
2024-02-03,100,-347.4,0,[],0,0,[],30.0
2024-02-04,100,-280.0,0,[],0,2,2024-2-4-14-6-57-250000_2024-2-4-14-19-13-0_,30.0
2024-02-05,100,-222.7,0,[],0,1,2024-2-5-8-57-16-650000_,30.0
2024-02-06,100,-91.5,0,[],0,1,2024-2-6-0-51-17-600000_,30.0
2024-02-07,100,-110.5,0,[],0,0,[],30.0
2024-02-08,100,-66.3,0,[],0,0,[],30.0
2024-02-09,100,-1.6,0,[],0,0,[],30.0
2024-02-10,100,21.5,0,[],0,0,[],30.0
2024-02-11,100,-40.3,0,[],0,1,2024-2-11-20-4-56-750000_,30.0
2024-02-12,100,48.1,0,[],0,0,[],30.0
2024-02-13,100,-34.7,0,[],0,0,[],30.0
2024-02-14,100,28.5,0,[],0,0,[],30.0
2024-02-15,100,192.7,0,[],0,1,2024-2-15-22-15-42-650000_,30.0
2024-02-16,100.0,203.4,1,2024-2-16-14-19-1-200000-6.404999732971191_,0,0,[],30.0
2024-02-17,100,203.1,0,[],0,0,[],30.0
2024-02-18,100,307.7,0,[],0,1,2024-2-18-14-38-30-0_,30.0
2024-02-19,100,219.1,0,[],0,0,[],30.0
2024-02-20,100,322.9,0,[],0,1,2024-2-20-14-39-12-200000_,30.0
2024-02-21,100,452.1,0,[],0,0,[],30.0
2024-02-22,100,467.3,0,[],0,0,[],30.0
2024-02-23,100,511.2,0,[],0,0,[],30.0
2024-02-24,100,622.0,0,[],0,0,[],30.0
2024-02-25,100,612.5,0,[],0,0,[],30.0
2024-02-26,100,674.3,0,[],0,0,[],30.0
2024-02-27,100,702.6,0,[],0,0,[],30.0
2024-02-28,100,725.8,0,[],0,0,[],30.0
