fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2024-01-23,0,-9,0,[],0,0,[],-9
2024-01-24,0,-9,0,[],0,0,[],-9
2024-01-25,19.5,8.8,3,2024-1-25-0-0-0-0-69512.605_2024-1-25-19-20-57-685000-5.909999847412109_2024-1-25-19-27-24-170000-2.125_,0,0,[],30.0
2024-01-26,100.0,-65.4,2,2024-1-26-14-56-4-220000-8.579999685287476_2024-1-26-18-31-55-50000-16.83999991416931_,0,0,[],30.0
2024-01-27,100,-311.2,0,[],0,0,[],25.0
2024-01-28,100,-329.7,0,[],0,0,[],25.0
2024-01-29,100.0,-334.0,7,2024-1-29-19-42-52-530000-8.434999704360962_2024-1-29-19-48-35-740000-6.289999961853027_2024-1-29-19-57-22-325000-6.299999952316284_2024-1-29-19-58-57-150000-4.249999761581421_2024-1-29-20-2-36-715000-4.2099995613098145_2024-1-29-20-3-4-65000-4.200000286102295_2024-1-29-22-20-19-420000-2.064999580383301_,0,0,[],30.0
2024-01-30,100,-348.6,0,[],0,0,[],25.0
2024-01-31,100.0,-346.9,1,2024-1-31-5-54-0-840000-4.0_,0,0,[],25.0
2024-02-01,100,-353.2,0,[],0,0,[],25.0
2024-02-02,99.9,-356.7,5,2024-2-2-1-4-22-840000-3.0_2024-2-2-15-49-56-640000-8.494999885559082_2024-2-2-15-58-52-645000-6.365000009536743_2024-2-2-17-26-32-395000-14.84499979019165_2024-2-2-19-42-57-125000-12.59999966621399_,0,0,[],30.0
2024-02-03,100,-316.1,0,[],0,0,[],25.0
2024-02-04,100,-359.0,0,[],0,0,[],25.0
2024-02-05,100,-320.9,0,[],0,0,[],25.0
2024-02-06,100,-281.4,0,[],0,0,[],25.0
2024-02-07,100,-326.4,0,[],0,0,[],25.0
2024-02-08,100,-328.8,0,[],0,0,[],25.0
2024-02-09,100,-314.8,0,[],0,0,[],25.0
2024-02-10,100.0,-295.3,1,2024-2-10-14-29-24-840000-2.0_,0,0,[],25.0
2024-02-11,100,-308.3,0,[],0,0,[],25.0
2024-02-12,100,-299.8,0,[],0,0,[],25.0
2024-02-13,100,-304.7,0,[],0,0,[],25.0
2024-02-14,100,-308.0,0,[],0,0,[],25.0
2024-02-15,100,-293.9,0,[],0,0,[],25.0
2024-02-16,100.0,-298.5,1,2024-2-16-14-19-0-920000-6.404999732971191_,0,0,[],30.0
2024-02-17,100,-299.0,0,[],0,0,[],25.0
2024-02-18,100,-297.5,0,[],0,0,[],25.0
2024-02-19,100.0,-296.4,1,2024-2-19-4-23-0-840000-3.0_,0,0,[],30.0
2024-02-20,100,-286.7,0,[],0,0,[],25.0
2024-02-21,100,-270.6,0,[],0,0,[],25.0
2024-02-22,100,-204.5,0,[],0,0,[],25.0
2024-02-23,100.0,-205.8,1,2024-2-23-9-7-22-840000-2.0_,0,0,[],30.0
2024-02-24,100,-223.2,0,[],0,0,[],25.0
2024-02-25,100.0,-225.8,1,2024-2-25-2-38-22-840000-3.0_,0,0,[],25.0
2024-02-26,100,-201.5,0,[],0,0,[],25.0
2024-02-27,100,-199.7,0,[],0,0,[],25.0
2024-02-28,100,-194.0,0,[],0,0,[],25.0
