fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-32769.7,1,2023-1-1-0-0-0-0-0.44_,0,2,2023-1-1-10-5-40-590000_2023-1-1-13-46-50-240000_,20.0
2023-01-02,100,-32774.6,0,[],0,0,[],20.0
2023-01-03,71.2,-32772.3,58,2023-1-3-23-52-59-190000-420.81_2023-1-3-16-51-33-480000-2415.7000000476837_2023-1-3-17-31-56-920000-157.50999999046326_2023-1-3-17-34-38-670000-2553.0899999141693_2023-1-3-18-17-20-790000-1475.75_2023-1-3-18-42-17-680000-54.71999979019165_2023-1-3-18-43-29-690000-433.44000029563904_2023-1-3-18-50-46-700000-549.9900000095367_2023-1-3-19-0-3-390000-1310.2999999523163_2023-1-3-19-21-57-930000-918.610000371933_2023-1-3-19-37-20-760000-767.9199998378754_2023-1-3-19-50-17-470000-1467.8399999141693_2023-1-3-20-15-19-130000-8.380000114440918_2023-1-3-20-15-31-680000-318.25999999046326_2023-1-3-20-21-2-750000-8.46999979019165_2023-1-3-20-21-15-380000-96.3600001335144_2023-1-3-20-23-7-290000-53.12000012397766_2023-1-3-20-24-42-50000-18.05999994277954_2023-1-3-20-25-7-620000-459.2500002384186_2023-1-3-20-32-51-250000-348.26000022888184_2023-1-3-20-38-52-410000-8.880000114440918_2023-1-3-20-39-5-790000-367.6199998855591_2023-1-3-20-45-17-710000-642.7799999713898_2023-1-3-20-56-8-700000-8.309999942779541_2023-1-3-20-56-29-290000-110.70000004768372_2023-1-3-20-58-23-720000-58.079999923706055_2023-1-3-20-59-30-270000-447.2699999809265_2023-1-3-21-7-1-580000-33.84000015258789_2023-1-3-21-7-43-890000-470.3900001049042_2023-1-3-21-16-14-950000-1660.0099997520447_2023-1-3-21-44-36-500000-499.2400002479553_2023-1-3-21-53-4-340000-8.800000190734863_2023-1-3-21-53-30-910000-16.91000008583069_2023-1-3-21-53-55-860000-3.859999895095825_2023-1-3-21-54-24-390000-161.0699999332428_2023-1-3-21-58-5-600000-22.170000076293945_2023-1-3-21-58-36-560000-29.300000190734863_2023-1-3-21-59-10-60000-55.60000014305115_2023-1-3-22-0-13-770000-89.01999998092651_2023-1-3-22-2-4-70000-77.4300000667572_2023-1-3-22-3-29-950000-69.11999988555908_2023-1-3-22-4-48-230000-48.90000009536743_2023-1-3-22-5-50-130000-17.320000171661377_2023-1-3-22-6-20-270000-147.71999979019165_2023-1-3-22-8-52-250000-266.5000002384186_2023-1-3-22-13-22-930000-1016.6300001144409_2023-1-3-22-30-28-840000-1462.940000295639_2023-1-3-22-54-56-270000-932.5799996852875_2023-1-3-23-10-33-250000-75.29000043869019_2023-1-3-23-11-53-100000-13.640000343322754_2023-1-3-23-12-33-380000-41.12999987602234_2023-1-3-23-13-23-670000-688.1299998760223_2023-1-3-23-25-9-750000-13.559999704360962_2023-1-3-23-25-41-430000-135.5299997329712_2023-1-3-23-28-33-260000-526.6000001430511_2023-1-3-23-37-28-910000-550.789999961853_2023-1-3-23-47-47-580000-32.59000015258789_2023-1-3-23-48-39-80000-247.0900001525879_,0,0,[],15.0
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0.4,-32657.3,50,2023-1-9-0-0-0-0-7257.56_2023-1-9-23-40-43-930000-1156.07_2023-1-9-2-1-1-620000-4.019999980926514_2023-1-9-2-1-9-710000-1941.0499999523163_2023-1-9-2-33-38-710000-7.920000076293945_2023-1-9-2-33-50-240000-58423.670000076294_2023-1-9-18-47-40-20000-1737.7799999713898_2023-1-9-19-16-41-440000-66.54999995231628_2023-1-9-19-17-51-390000-59.480000019073486_2023-1-9-19-18-53-810000-55.19000005722046_2023-1-9-19-19-51-750000-968.6999998092651_2023-1-9-19-36-6-300000-699.3700001239777_2023-1-9-19-47-52-230000-403.8599998950958_2023-1-9-19-54-40-520000-289.78000020980835_2023-1-9-19-59-38-940000-1283.8599998950958_2023-1-9-20-21-15-350000-895.5499999523163_2023-1-9-20-36-15-30000-156.849999666214_2023-1-9-20-39-0-300000-981.3099999427795_2023-1-9-20-55-30-390000-223.67999982833862_2023-1-9-20-59-29-550000-112.91999983787537_2023-1-9-21-1-26-200000-648.1199998855591_2023-1-9-21-12-17-580000-161.25_2023-1-9-21-15-2-550000-533.6399998664856_2023-1-9-21-23-59-620000-332.05000019073486_2023-1-9-21-29-35-630000-15.15999984741211_2023-1-9-21-29-54-400000-10.52999997138977_2023-1-9-21-30-12-420000-4.080000162124634_2023-1-9-21-30-19-880000-3.7099997997283936_2023-1-9-21-30-26-890000-467.3600001335144_2023-1-9-21-38-17-760000-174.79999995231628_2023-1-9-21-41-20-30000-188.48999977111816_2023-1-9-21-44-32-390000-301.8599998950958_2023-1-9-21-49-44-330000-93.81000018119812_2023-1-9-21-51-24-900000-182.79999995231628_2023-1-9-21-54-37-360000-335.10000014305115_2023-1-9-22-0-19-250000-412.1800003051758_2023-1-9-22-7-24-790000-321.01999974250793_2023-1-9-22-12-55-700000-302.44000005722046_2023-1-9-22-18-4-890000-584.5600001811981_2023-1-9-22-28-0-420000-725.2300000190735_2023-1-9-22-40-15-730000-3.570000410079956_2023-1-9-22-40-22-770000-276.9800000190735_2023-1-9-22-45-2-790000-522.9699997901917_2023-1-9-22-53-53-510000-7.93999981880188_2023-1-9-22-54-9-540000-649.0400002002716_2023-1-9-23-5-5-340000-360.0000002384186_2023-1-9-23-11-8-930000-948.1000001430511_2023-1-9-23-27-9-560000-4.159999847412109_2023-1-9-23-27-17-830000-518.4499998092651_2023-1-9-23-36-0-350000-279.5299997329712_,0,0,[],75.0
2023-01-10,0,-9,9,[],9,9,[],-9
