fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-33707.3,1,2023-1-1-0-0-0-0-3.53_,0,0,[],0.0
2023-01-02,100,-33836.1,0,[],0,0,[],0.0
2023-01-03,71.3,-33826.4,61,2023-1-3-23-52-58-460000-421.54_2023-1-3-16-51-38-600000-972.9300000667572_2023-1-3-17-8-0-370000-561.1000001430511_2023-1-3-17-17-29-950000-849.1100001335144_2023-1-3-17-31-43-280000-16.820000171661377_2023-1-3-17-32-4-310000-910.809999704361_2023-1-3-17-47-36-460000-3262.1299998760223_2023-1-3-18-42-15-840000-1063.5400002002716_2023-1-3-19-0-3-230000-254.92000007629395_2023-1-3-19-4-26-400000-920.0899999141693_2023-1-3-19-19-50-330000-3294.3099999427795_2023-1-3-20-15-14-730000-333.5200002193451_2023-1-3-20-20-57-100000-104.71000003814697_2023-1-3-20-22-54-200000-55.08999991416931_2023-1-3-20-23-57-830000-4.309999942779541_2023-1-3-20-24-43-210000-16.130000352859497_2023-1-3-20-25-7-600000-226.03000020980835_2023-1-3-20-28-57-500000-225.96000003814697_2023-1-3-20-32-47-950000-348.37999987602234_2023-1-3-20-38-40-720000-4.420000076293945_2023-1-3-20-38-49-570000-4.440000057220459_2023-1-3-20-39-7-400000-367.6399998664856_2023-1-3-20-45-19-490000-132.39000010490417_2023-1-3-20-47-36-230000-500.52999997138977_2023-1-3-20-56-13-890000-4.210000276565552_2023-1-3-20-56-26-810000-108.38000011444092_2023-1-3-20-58-19-410000-46.53000020980835_2023-1-3-20-59-14-460000-974.3099999427795_2023-1-3-21-16-19-720000-1652.4100000858307_2023-1-3-21-44-39-850000-499.24000000953674_2023-1-3-21-53-3-500000-4.440000057220459_2023-1-3-21-53-39-540000-12.890000104904175_2023-1-3-21-54-22-660000-171.09999990463257_2023-1-3-21-58-2-380000-31.789999961853027_2023-1-3-21-58-43-60000-30.37999987602234_2023-1-3-21-59-22-220000-41.950000047683716_2023-1-3-22-0-8-340000-106.52000021934509_2023-1-3-22-2-3-860000-81.2900002002716_2023-1-3-22-3-33-900000-62.889999866485596_2023-1-3-22-4-46-190000-49.980000019073486_2023-1-3-22-5-49-300000-17.440000295639038_2023-1-3-22-6-15-620000-141.2900002002716_2023-1-3-22-8-41-330000-4.360000133514404_2023-1-3-22-8-50-160000-683.9900000095367_2023-1-3-22-20-23-150000-597.9399998188019_2023-1-3-22-30-30-320000-1451.1100001335144_2023-1-3-22-54-46-220000-918.7300000190735_2023-1-3-23-10-13-800000-4.25_2023-1-3-23-10-35-500000-4.379999876022339_2023-1-3-23-10-44-320000-8.950000047683716_2023-1-3-23-11-2-560000-51.55999994277954_2023-1-3-23-12-3-220000-9.080000162124634_2023-1-3-23-12-34-890000-37.260000228881836_2023-1-3-23-13-26-250000-681.8600001335144_2023-1-3-23-25-6-460000-9.259999752044678_2023-1-3-23-25-48-200000-120.42000007629395_2023-1-3-23-28-21-110000-535.0899996757507_2023-1-3-23-37-25-720000-9.190000057220459_2023-1-3-23-37-39-400000-543.460000038147_2023-1-3-23-47-46-770000-28.02999997138977_2023-1-3-23-48-38-500000-246.49000000953674_,0,0,[],0.0
2023-01-04,0,-9,9,[],9,9,[],-9
2023-01-05,0,-9,9,[],9,9,[],-9
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,0,-9,9,[],9,9,[],-9
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0.4,-33234.9,41,2023-1-9-0-0-0-0-9212.44_2023-1-9-23-53-46-760000-373.24_2023-1-9-2-33-36-550000-16.369999647140503_2023-1-9-2-33-57-20000-59475.43000006676_2023-1-9-19-5-15-940000-743.6699998378754_2023-1-9-19-17-43-760000-65.39999985694885_2023-1-9-19-18-52-700000-346.57999992370605_2023-1-9-19-24-42-930000-677.7700002193451_2023-1-9-19-36-8-20000-697.0499999523163_2023-1-9-19-47-52-580000-402.5_2023-1-9-19-54-41-680000-1581.8899998664856_2023-1-9-20-21-16-970000-700.5400002002716_2023-1-9-20-33-2-110000-188.29999995231628_2023-1-9-20-36-19-40000-53.170000076293945_2023-1-9-20-37-16-900000-1087.3600001335144_2023-1-9-20-55-28-710000-4.539999961853027_2023-1-9-20-55-42-310000-211.35999989509583_2023-1-9-20-59-30-820000-106.48000025749207_2023-1-9-21-1-25-850000-650.5800001621246_2023-1-9-21-12-20-520000-1032.1400001049042_2023-1-9-21-29-37-90000-34.05000019073486_2023-1-9-21-30-19-520000-33.58999991416931_2023-1-9-21-30-57-390000-1114.5199999809265_2023-1-9-21-49-42-900000-93.82999992370605_2023-1-9-21-51-24-470000-182.4300000667572_2023-1-9-21-54-37-430000-43.579999923706055_2023-1-9-21-55-28-880000-285.539999961853_2023-1-9-22-0-21-960000-413.94000005722046_2023-1-9-22-7-23-220000-7.579999923706055_2023-1-9-22-7-34-520000-306.98000025749207_2023-1-9-22-12-56-680000-301.34999990463257_2023-1-9-22-18-5-650000-589.2000000476837_2023-1-9-22-28-2-960000-709.0499999523163_2023-1-9-22-39-55-990000-7.6600000858306885_2023-1-9-22-40-27-310000-799.5399997234344_2023-1-9-22-54-4-180000-319.8800001144409_2023-1-9-22-59-28-460000-328.09999990463257_2023-1-9-23-5-0-810000-42.14999985694885_2023-1-9-23-5-47-150000-1277.2099997997284_2023-1-9-23-27-17-660000-804.1299998760223_2023-1-9-23-40-45-990000-771.1400001049042_,0,0,[],80.0
2023-01-10,0,-9,9,[],9,9,[],-9
