fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,0,-9,0,[],0,0,[],-9
2023-01-02,99.6,-4395.4,9,2023-1-2-0-0-0-0-0.595_2023-1-2-13-4-32-445000-1.554999828338623_2023-1-2-13-4-35-510000-1.549999475479126_2023-1-2-13-4-40-155000-1.5449998378753662_2023-1-2-13-4-44-795000-1.5349998474121094_2023-1-2-13-4-47-880000-1.5499999523162842_2023-1-2-13-4-57-165000-1.5499999523162842_2023-1-2-13-5-6-455000-1.554999828338623_2023-1-2-13-5-9-570000-345.88499999046326_,0,0,[],40.0
2023-01-03,100,-8907.4,0,[],0,0,[],40.0
2023-01-04,100,-9076.1,0,[],0,0,[],40.0
2023-01-05,99.8,-6862.6,22,2023-1-5-14-2-34-680000-1.4649999141693115_2023-1-5-14-2-39-30000-11.37999963760376_2023-1-5-14-2-52-30000-1.624999761581421_2023-1-5-14-2-56-940000-24.429999828338623_2023-1-5-14-3-24-625000-4.764999866485596_2023-1-5-14-3-32-200000-11.259999752044678_2023-1-5-14-3-45-105000-1.6449999809265137_2023-1-5-14-3-48-395000-1.6399998664855957_2023-1-5-14-3-51-655000-4.890000104904175_2023-1-5-14-3-59-805000-14.275000095367432_2023-1-5-14-4-15-690000-3.2150001525878906_2023-1-5-14-4-20-500000-8.184999704360962_2023-1-5-14-4-31-925000-36.34999990463257_2023-1-5-14-5-11-540000-1.6099998950958252_2023-1-5-14-5-14-780000-1.5849997997283936_2023-1-5-14-5-19-575000-6.43999981880188_2023-1-5-14-5-27-640000-1.5999996662139893_2023-1-5-14-5-32-435000-14.754999876022339_2023-1-5-14-5-48-810000-26.44000005722046_2023-1-5-14-6-16-860000-3.2850000858306885_2023-1-5-14-6-21-740000-2.950000047683716_2023-1-5-15-6-43-805000-7.180000066757202_,0,0,[],40.0
2023-01-06,100,-7679.1,0,[],0,0,[],40.0
2023-01-07,99.8,-3239.8,18,2023-1-7-15-49-31-15000-1.614999771118164_2023-1-7-15-49-34-275000-18.75499987602234_2023-1-7-15-49-54-125000-28.574999809265137_2023-1-7-15-50-25-755000-14.819999694824219_2023-1-7-15-50-42-245000-6.789999961853027_2023-1-7-15-50-50-730000-5.005000114440918_2023-1-7-15-51-0-440000-4.949999809265137_2023-1-7-15-51-8-725000-1.684999942779541_2023-1-7-15-51-12-30000-28.704999685287476_2023-1-7-15-51-44-5000-1.6349999904632568_2023-1-7-15-51-48-840000-1.7050001621246338_2023-1-7-15-51-53-850000-1.6349997520446777_2023-1-7-15-51-58-615000-22.699999809265137_2023-1-7-15-52-22-980000-5.034999847412109_2023-1-7-15-52-31-120000-4.81000018119812_2023-1-7-15-52-39-265000-5.105000019073486_2023-1-7-15-52-47-720000-1.6699998378753662_2023-1-7-15-52-52-750000-4.8349997997283936_,0,0,[],40.0
2023-01-08,100,-10936.6,0,[],0,0,[],40.0
2023-01-09,100,-12563.5,0,[],0,0,[],40.0
2023-01-10,100,-10057.7,0,[],0,0,[],40.0
